"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"29.07.2022 22:00 - 29.07.2022 23:00","0","0","0","n/e","n/e","n/e","33","33","21"
"29.07.2022 23:00 - 30.07.2022 00:00","0","0","0","n/e","n/e","n/e","32","32","24"
"30.07.2022 00:00 - 30.07.2022 01:00","0","0","0","n/e","n/e","n/e","15","11","11"
"30.07.2022 01:00 - 30.07.2022 02:00","0","0","0","n/e","n/e","n/e","21","18","18"
"30.07.2022 02:00 - 30.07.2022 03:00","0","0","0","n/e","n/e","n/e","35","38","38"
"30.07.2022 03:00 - 30.07.2022 04:00","0","0","0","n/e","n/e","n/e","44","40","40"
"30.07.2022 04:00 - 30.07.2022 05:00","0","0","0","n/e","n/e","n/e","58","77","77"
"30.07.2022 05:00 - 30.07.2022 06:00","0","0","0","n/e","n/e","n/e","55","87","87"
"30.07.2022 06:00 - 30.07.2022 07:00","2","2","2","n/e","n/e","n/e","42","73","73"
"30.07.2022 07:00 - 30.07.2022 08:00","6","6","6","n/e","n/e","n/e","28","28","28"
"30.07.2022 08:00 - 30.07.2022 09:00","13","13","13","n/e","n/e","n/e","18","19","19"
"30.07.2022 09:00 - 30.07.2022 10:00","18","18","18","n/e","n/e","n/e","24","26","26"
"30.07.2022 10:00 - 30.07.2022 11:00","23","23","23","n/e","n/e","n/e","42","43","45"
"30.07.2022 11:00 - 30.07.2022 12:00","27","27","27","n/e","n/e","n/e","64","63","88"
"30.07.2022 12:00 - 30.07.2022 13:00","30","30","30","n/e","n/e","n/e","74","75","69"
"30.07.2022 13:00 - 30.07.2022 14:00","34","34","34","n/e","n/e","n/e","88","91","87"
"30.07.2022 14:00 - 30.07.2022 15:00","36","36","36","n/e","n/e","n/e","114","116","129"
"30.07.2022 15:00 - 30.07.2022 16:00","33","33","33","n/e","n/e","n/e","134","135","136"
"30.07.2022 16:00 - 30.07.2022 17:00","26","26","26","n/e","n/e","n/e","182","180","183"
"30.07.2022 17:00 - 30.07.2022 18:00","18","18","18","n/e","n/e","n/e","238","235","247"
"30.07.2022 18:00 - 30.07.2022 19:00","9","9","9","n/e","n/e","n/e","264","260","303"
"30.07.2022 19:00 - 30.07.2022 20:00","2","2","2","n/e","n/e","n/e","286","283","356"
"30.07.2022 20:00 - 30.07.2022 21:00","0","0","0","n/e","n/e","n/e","305","304","388"
"30.07.2022 21:00 - 30.07.2022 22:00","0","0","0","n/e","n/e","n/e","329","330","378"
"30.07.2022 22:00 - 30.07.2022 23:00","0","0","0","n/e","n/e","n/e","342","343","393"
"30.07.2022 23:00 - 31.07.2022 00:00","0","0","0","n/e","n/e","n/e","378","380","378"
"31.07.2022 00:00 - 31.07.2022 01:00","0","0","0","n/e","n/e","n/e","386","380","380"
"31.07.2022 01:00 - 31.07.2022 02:00","0","0","0","n/e","n/e","n/e","397","398","398"
"31.07.2022 02:00 - 31.07.2022 03:00","0","0","0","n/e","n/e","n/e","408","372","372"
"31.07.2022 03:00 - 31.07.2022 04:00","0","0","0","n/e","n/e","n/e","418","384","384"
"31.07.2022 04:00 - 31.07.2022 05:00","0","0","0","n/e","n/e","n/e","428","401","401"
"31.07.2022 05:00 - 31.07.2022 06:00","0","0","0","n/e","n/e","n/e","439","417","417"
"31.07.2022 06:00 - 31.07.2022 07:00","3","3","3","n/e","n/e","n/e","433","432","432"
"31.07.2022 07:00 - 31.07.2022 08:00","12","12","12","n/e","n/e","n/e","406","386","386"
"31.07.2022 08:00 - 31.07.2022 09:00","24","24","24","n/e","n/e","n/e","389","355","355"
"31.07.2022 09:00 - 31.07.2022 10:00","33","33","33","n/e","n/e","n/e","393","343","343"
"31.07.2022 10:00 - 31.07.2022 11:00","41","41","41","n/e","n/e","n/e","371","356","356"
"31.07.2022 11:00 - 31.07.2022 12:00","46","46","46","n/e","n/e","n/e","327","333","308"
"31.07.2022 12:00 - 31.07.2022 13:00","49","49","49","n/e","n/e","n/e","300","305","309"
"31.07.2022 13:00 - 31.07.2022 14:00","48","48","48","n/e","n/e","n/e","287","291","291"
"31.07.2022 14:00 - 31.07.2022 15:00","43","43","43","n/e","n/e","n/e","302","305","330"
"31.07.2022 15:00 - 31.07.2022 16:00","37","37","37","n/e","n/e","n/e","320","322","353"
"31.07.2022 16:00 - 31.07.2022 17:00","29","29","29","n/e","n/e","n/e","333","333","334"
"31.07.2022 17:00 - 31.07.2022 18:00","20","20","20","n/e","n/e","n/e","350","348","337"
"31.07.2022 18:00 - 31.07.2022 19:00","9","9","9","n/e","n/e","n/e","350","350","355"
"31.07.2022 19:00 - 31.07.2022 20:00","2","2","2","n/e","n/e","n/e","354","354","344"
"31.07.2022 20:00 - 31.07.2022 21:00","0","0","0","n/e","n/e","n/e","351","351","332"
"31.07.2022 21:00 - 31.07.2022 22:00","0","0","0","n/e","n/e","n/e","346","345","297"
"31.07.2022 22:00 - 31.07.2022 23:00","0","0","0","n/e","n/e","n/e","335","334","279"
"31.07.2022 23:00 - 01.08.2022 00:00","0","0","0","n/e","n/e","n/e","328","326","201"
"01.08.2022 00:00 - 01.08.2022 01:00","0","0","0","n/e","n/e","n/e","274","220","220"
"01.08.2022 01:00 - 01.08.2022 02:00","0","0","0","n/e","n/e","n/e","284","231","231"
"01.08.2022 02:00 - 01.08.2022 03:00","0","0","0","n/e","n/e","n/e","295","241","241"
"01.08.2022 03:00 - 01.08.2022 04:00","0","0","0","n/e","n/e","n/e","299","257","257"
"01.08.2022 04:00 - 01.08.2022 05:00","0","0","0","n/e","n/e","n/e","300","261","261"
"01.08.2022 05:00 - 01.08.2022 06:00","0","0","0","n/e","n/e","n/e","298","264","264"
"01.08.2022 06:00 - 01.08.2022 07:00","4","4","4","n/e","n/e","n/e","284","256","256"
"01.08.2022 07:00 - 01.08.2022 08:00","12","12","12","n/e","n/e","n/e","250","258","258"
"01.08.2022 08:00 - 01.08.2022 09:00","25","25","25","n/e","n/e","n/e","223","238","238"
"01.08.2022 09:00 - 01.08.2022 10:00","35","35","35","n/e","n/e","n/e","226","224","209"
"01.08.2022 10:00 - 01.08.2022 11:00","42","42","42","n/e","n/e","n/e","236","236","209"
"01.08.2022 11:00 - 01.08.2022 12:00","47","47","47","n/e","n/e","n/e","240","240","239"
"01.08.2022 12:00 - 01.08.2022 13:00","50","50","50","n/e","n/e","n/e","253","252","262"
"01.08.2022 13:00 - 01.08.2022 14:00","50","50","50","n/e","n/e","n/e","262","261","259"
"01.08.2022 14:00 - 01.08.2022 15:00","46","46","46","n/e","n/e","n/e","275","273","267"
"01.08.2022 15:00 - 01.08.2022 16:00","41","41","41","n/e","n/e","n/e","301","302","298"
"01.08.2022 16:00 - 01.08.2022 17:00","32","32","32","n/e","n/e","n/e","302","306","305"
"01.08.2022 17:00 - 01.08.2022 18:00","21","21","21","n/e","n/e","n/e","304","309","299"
"01.08.2022 18:00 - 01.08.2022 19:00","10","10","10","n/e","n/e","n/e","298","302","270"
"01.08.2022 19:00 - 01.08.2022 20:00","2","2","2","n/e","n/e","n/e","295","297","229"
"01.08.2022 20:00 - 01.08.2022 21:00","0","0","0","n/e","n/e","n/e","290","289","225"
"01.08.2022 21:00 - 01.08.2022 22:00","0","0","0","n/e","n/e","n/e","282","281","215"
"01.08.2022 22:00 - 01.08.2022 23:00","0","0","0","n/e","n/e","n/e","283","280","193"
"01.08.2022 23:00 - 02.08.2022 00:00","0","0","0","n/e","n/e","n/e","289","284","193"
"02.08.2022 00:00 - 02.08.2022 01:00","0","0","0","n/e","n/e","n/e","235","216","216"
"02.08.2022 01:00 - 02.08.2022 02:00","0","0","0","n/e","n/e","n/e","250","188","188"
"02.08.2022 02:00 - 02.08.2022 03:00","0","0","0","n/e","n/e","n/e","264","207","207"
"02.08.2022 03:00 - 02.08.2022 04:00","0","0","0","n/e","n/e","n/e","262","218","218"
"02.08.2022 04:00 - 02.08.2022 05:00","0","0","0","n/e","n/e","n/e","250","245","245"
"02.08.2022 05:00 - 02.08.2022 06:00","0","0","0","n/e","n/e","n/e","232","231","231"
"02.08.2022 06:00 - 02.08.2022 07:00","2","2","2","n/e","n/e","n/e","224","254","254"
"02.08.2022 07:00 - 02.08.2022 08:00","10","10","10","n/e","n/e","n/e","220","244","244"
"02.08.2022 08:00 - 02.08.2022 09:00","22","22","22","n/e","n/e","n/e","203","217","217"
"02.08.2022 09:00 - 02.08.2022 10:00","32","32","32","n/e","n/e","n/e","200","200","201"
"02.08.2022 10:00 - 02.08.2022 11:00","39","39","39","n/e","n/e","n/e","209","209","215"
"02.08.2022 11:00 - 02.08.2022 12:00","44","44","44","n/e","n/e","n/e","209","210","207"
"02.08.2022 12:00 - 02.08.2022 13:00","46","46","46","n/e","n/e","n/e","202","204","212"
"02.08.2022 13:00 - 02.08.2022 14:00","45","45","45","n/e","n/e","n/e","191","194","195"
"02.08.2022 14:00 - 02.08.2022 15:00","42","42","42","n/e","n/e","n/e","200","202","210"
"02.08.2022 15:00 - 02.08.2022 16:00","38","38","38","n/e","n/e","n/e","216","218","230"
"02.08.2022 16:00 - 02.08.2022 17:00","30","30","30","n/e","n/e","n/e","235","238","236"
"02.08.2022 17:00 - 02.08.2022 18:00","20","20","20","n/e","n/e","n/e","263","264","283"
"02.08.2022 18:00 - 02.08.2022 19:00","9","9","9","n/e","n/e","n/e","305","306","305"
"02.08.2022 19:00 - 02.08.2022 20:00","2","2","2","n/e","n/e","n/e","358","360","373"
"02.08.2022 20:00 - 02.08.2022 21:00","0","0","0","n/e","n/e","n/e","391","394","407"
"02.08.2022 21:00 - 02.08.2022 22:00","0","0","0","n/e","n/e","n/e","410","414","425"
"02.08.2022 22:00 - 02.08.2022 23:00","0","0","0","n/e","n/e","n/e","424","431","427"
"02.08.2022 23:00 - 03.08.2022 00:00","0","0","0","n/e","n/e","n/e","429","436","431"
"03.08.2022 00:00 - 03.08.2022 01:00","0","0","0","n/e","n/e","n/e","459","455","455"
"03.08.2022 01:00 - 03.08.2022 02:00","0","0","0","n/e","n/e","n/e","454","430","430"
"03.08.2022 02:00 - 03.08.2022 03:00","0","0","0","n/e","n/e","n/e","444","400","400"
"03.08.2022 03:00 - 03.08.2022 04:00","0","0","0","n/e","n/e","n/e","431","346","346"
"03.08.2022 04:00 - 03.08.2022 05:00","0","0","0","n/e","n/e","n/e","423","353","353"
"03.08.2022 05:00 - 03.08.2022 06:00","0","0","0","n/e","n/e","n/e","423","398","398"
"03.08.2022 06:00 - 03.08.2022 07:00","2","2","2","n/e","n/e","n/e","415","363","363"
"03.08.2022 07:00 - 03.08.2022 08:00","11","11","11","n/e","n/e","n/e","392","357","357"
"03.08.2022 08:00 - 03.08.2022 09:00","25","25","25","n/e","n/e","n/e","356","312","312"
"03.08.2022 09:00 - 03.08.2022 10:00","35","35","35","n/e","n/e","n/e","299","297","272"
"03.08.2022 10:00 - 03.08.2022 11:00","43","43","43","n/e","n/e","n/e","231","230","190"
"03.08.2022 11:00 - 03.08.2022 12:00","49","49","49","n/e","n/e","n/e","184","181","151"
"03.08.2022 12:00 - 03.08.2022 13:00","51","51","51","n/e","n/e","n/e","162","159","110"
"03.08.2022 13:00 - 03.08.2022 14:00","50","50","50","n/e","n/e","n/e","162","160","145"
"03.08.2022 14:00 - 03.08.2022 15:00","46","46","46","n/e","n/e","n/e","174","172","192"
"03.08.2022 15:00 - 03.08.2022 16:00","41","41","41","n/e","n/e","n/e","190","188","191"
"03.08.2022 16:00 - 03.08.2022 17:00","32","32","32","n/e","n/e","n/e","205","204","208"
"03.08.2022 17:00 - 03.08.2022 18:00","22","22","22","n/e","n/e","n/e","219","216","216"
"03.08.2022 18:00 - 03.08.2022 19:00","10","10","10","n/e","n/e","n/e","230","227","221"
"03.08.2022 19:00 - 03.08.2022 20:00","2","2","2","n/e","n/e","n/e","245","243","209"
"03.08.2022 20:00 - 03.08.2022 21:00","0","0","0","n/e","n/e","n/e","277","275","263"
"03.08.2022 21:00 - 03.08.2022 22:00","0","0","0","n/e","n/e","n/e","312","308","287"
"03.08.2022 22:00 - 03.08.2022 23:00","0","0","0","n/e","n/e","n/e","334","331","317"
"03.08.2022 23:00 - 04.08.2022 00:00","0","0","0","n/e","n/e","n/e","339","338","325"
"04.08.2022 00:00 - 04.08.2022 01:00","0","0","0","n/e","n/e","n/e","295","297","297"
"04.08.2022 01:00 - 04.08.2022 02:00","0","0","0","n/e","n/e","n/e","288","289","289"
"04.08.2022 02:00 - 04.08.2022 03:00","0","0","0","n/e","n/e","n/e","271","267","267"
"04.08.2022 03:00 - 04.08.2022 04:00","0","0","0","n/e","n/e","n/e","252","248","248"
"04.08.2022 04:00 - 04.08.2022 05:00","0","0","0","n/e","n/e","n/e","238","233","233"
"04.08.2022 05:00 - 04.08.2022 06:00","0","0","0","n/e","n/e","n/e","222","217","217"
"04.08.2022 06:00 - 04.08.2022 07:00","2","2","2","n/e","n/e","n/e","207","203","203"
"04.08.2022 07:00 - 04.08.2022 08:00","11","11","11","n/e","n/e","n/e","176","179","179"
"04.08.2022 08:00 - 04.08.2022 09:00","24","24","24","n/e","n/e","n/e","127","126","126"
"04.08.2022 09:00 - 04.08.2022 10:00","36","36","36","n/e","n/e","n/e","84","85","80"
"04.08.2022 10:00 - 04.08.2022 11:00","44","44","44","n/e","n/e","n/e","64","65","31"
"04.08.2022 11:00 - 04.08.2022 12:00","50","50","50","n/e","n/e","n/e","57","58","30"
"04.08.2022 12:00 - 04.08.2022 13:00","52","52","52","n/e","n/e","n/e","70","71","54"
"04.08.2022 13:00 - 04.08.2022 14:00","50","50","50","n/e","n/e","n/e","93","94","85"
"04.08.2022 14:00 - 04.08.2022 15:00","48","48","48","n/e","n/e","n/e","123","124","120"
"04.08.2022 15:00 - 04.08.2022 16:00","43","43","43","n/e","n/e","n/e","145","145","147"
"04.08.2022 16:00 - 04.08.2022 17:00","35","35","35","n/e","n/e","n/e","161","161","176"
"04.08.2022 17:00 - 04.08.2022 18:00","23","23","23","n/e","n/e","n/e","167","167","169"
"04.08.2022 18:00 - 04.08.2022 19:00","10","10","10","n/e","n/e","n/e","144","144","137"
"04.08.2022 19:00 - 04.08.2022 20:00","2","2","2","n/e","n/e","n/e","112","112","108"
"04.08.2022 20:00 - 04.08.2022 21:00","0","0","0","n/e","n/e","n/e","89","89","61"
"04.08.2022 21:00 - 04.08.2022 22:00","0","0","0","n/e","n/e","n/e","81","81","49"
"04.08.2022 22:00 - 04.08.2022 23:00","0","0","0","n/e","n/e","n/e","85","84","49"
"04.08.2022 23:00 - 05.08.2022 00:00","0","0","0","n/e","n/e","n/e","92","91","53"
"05.08.2022 00:00 - 05.08.2022 01:00","0","0","0","n/e","n/e","n/e","45","45","45"
"05.08.2022 01:00 - 05.08.2022 02:00","0","0","0","n/e","n/e","n/e","51","51","51"
"05.08.2022 02:00 - 05.08.2022 03:00","0","0","0","n/e","n/e","n/e","58","58","58"
"05.08.2022 03:00 - 05.08.2022 04:00","0","0","0","n/e","n/e","n/e","57","57","57"
"05.08.2022 04:00 - 05.08.2022 05:00","0","0","0","n/e","n/e","n/e","53","53","53"
"05.08.2022 05:00 - 05.08.2022 06:00","0","0","0","n/e","n/e","n/e","49","49","49"
"05.08.2022 06:00 - 05.08.2022 07:00","2","2","2","n/e","n/e","n/e","43","43","43"
"05.08.2022 07:00 - 05.08.2022 08:00","11","11","11","n/e","n/e","n/e","35","35","35"
"05.08.2022 08:00 - 05.08.2022 09:00","24","24","24","n/e","n/e","n/e","20","20","20"
"05.08.2022 09:00 - 05.08.2022 10:00","36","36","36","n/e","n/e","n/e","8","8","8"
"05.08.2022 10:00 - 05.08.2022 11:00","44","44","44","n/e","n/e","n/e","10","10","10"
"05.08.2022 11:00 - 05.08.2022 12:00","50","50","50","n/e","n/e","n/e","26","26","23"
"05.08.2022 12:00 - 05.08.2022 13:00","52","52","52","n/e","n/e","n/e","52","52","52"
"05.08.2022 13:00 - 05.08.2022 14:00","52","52","52","n/e","n/e","n/e","85","85","85"
"05.08.2022 14:00 - 05.08.2022 15:00","48","48","48","n/e","n/e","n/e","125","125","135"
"05.08.2022 15:00 - 05.08.2022 16:00","44","44","44","n/e","n/e","n/e","156","156","177"
"05.08.2022 16:00 - 05.08.2022 17:00","35","35","35","n/e","n/e","n/e","181","181","211"
"05.08.2022 17:00 - 05.08.2022 18:00","23","23","23","n/e","n/e","n/e","183","183","195"
"05.08.2022 18:00 - 05.08.2022 19:00","10","10","10","n/e","n/e","n/e","157","157","162"
"05.08.2022 19:00 - 05.08.2022 20:00","2","2","2","n/e","n/e","n/e","129","129","148"
"05.08.2022 20:00 - 05.08.2022 21:00","0","0","0","n/e","n/e","n/e","106","106","106"
"05.08.2022 21:00 - 05.08.2022 22:00","0","0","0","n/e","n/e","n/e","90","90","78"
"05.08.2022 22:00 - 05.08.2022 23:00","0","0","0","n/e","n/e","n/e","67","67","67"
"05.08.2022 23:00 - 06.08.2022 00:00","0","0","0","n/e","n/e","n/e","58","58","62"
"06.08.2022 00:00 - 06.08.2022 01:00","0","0","0","n/e","n/e","n/e","66","68","68"
"06.08.2022 01:00 - 06.08.2022 02:00","0","0","0","n/e","n/e","n/e","73","74","74"
"06.08.2022 02:00 - 06.08.2022 03:00","0","0","0","n/e","n/e","n/e","94","95","95"
"06.08.2022 03:00 - 06.08.2022 04:00","0","0","0","n/e","n/e","n/e","117","118","118"
"06.08.2022 04:00 - 06.08.2022 05:00","0","0","0","n/e","n/e","n/e","154","156","156"
"06.08.2022 05:00 - 06.08.2022 06:00","0","0","0","n/e","n/e","n/e","208","210","210"
"06.08.2022 06:00 - 06.08.2022 07:00","2","2","2","n/e","n/e","n/e","256","259","259"
"06.08.2022 07:00 - 06.08.2022 08:00","11","11","11","n/e","n/e","n/e","285","287","287"
"06.08.2022 08:00 - 06.08.2022 09:00","24","24","24","n/e","n/e","n/e","295","296","296"
"06.08.2022 09:00 - 06.08.2022 10:00","34","34","34","n/e","n/e","n/e","313","314","314"
"06.08.2022 10:00 - 06.08.2022 11:00","41","41","41","n/e","n/e","n/e","346","345","348"
"06.08.2022 11:00 - 06.08.2022 12:00","47","47","47","n/e","n/e","n/e","363","360","370"
"06.08.2022 12:00 - 06.08.2022 13:00","49","49","49","n/e","n/e","n/e","377","371","389"
"06.08.2022 13:00 - 06.08.2022 14:00","48","48","48","n/e","n/e","n/e","395","386","396"
"06.08.2022 14:00 - 06.08.2022 15:00","44","44","44","n/e","n/e","n/e","422","414","421"
"06.08.2022 15:00 - 06.08.2022 16:00","37","37","37","n/e","n/e","n/e","447","440","460"
"06.08.2022 16:00 - 06.08.2022 17:00","30","30","30","n/e","n/e","n/e","461","459","466"
"06.08.2022 17:00 - 06.08.2022 18:00","19","19","19","n/e","n/e","n/e","471","472","482"
"06.08.2022 18:00 - 06.08.2022 19:00","8","8","8","n/e","n/e","n/e","494","492","516"
"06.08.2022 19:00 - 06.08.2022 20:00","1","1","1","n/e","n/e","n/e","540","534","543"
"06.08.2022 20:00 - 06.08.2022 21:00","0","0","0","n/e","n/e","n/e","591","586","584"
"06.08.2022 21:00 - 06.08.2022 22:00","0","0","0","n/e","n/e","n/e","642","637","642"
"06.08.2022 22:00 - 06.08.2022 23:00","0","0","0","n/e","n/e","n/e","678","675","664"
"06.08.2022 23:00 - 07.08.2022 00:00","0","0","0","n/e","n/e","n/e","689","688","668"
"07.08.2022 00:00 - 07.08.2022 01:00","0","0","0","n/e","n/e","n/e","736","706","706"
"07.08.2022 01:00 - 07.08.2022 02:00","0","0","0","n/e","n/e","n/e","739","704","704"
"07.08.2022 02:00 - 07.08.2022 03:00","0","0","0","n/e","n/e","n/e","741","705","705"
"07.08.2022 03:00 - 07.08.2022 04:00","0","0","0","n/e","n/e","n/e","732","697","697"
"07.08.2022 04:00 - 07.08.2022 05:00","0","0","0","n/e","n/e","n/e","724","704","704"
"07.08.2022 05:00 - 07.08.2022 06:00","0","0","0","n/e","n/e","n/e","714","693","693"
"07.08.2022 06:00 - 07.08.2022 07:00","2","2","2","n/e","n/e","n/e","702","682","682"
"07.08.2022 07:00 - 07.08.2022 08:00","8","8","8","n/e","n/e","n/e","680","655","655"
"07.08.2022 08:00 - 07.08.2022 09:00","17","17","17","n/e","n/e","n/e","646","600","600"
"07.08.2022 09:00 - 07.08.2022 10:00","26","26","26","n/e","n/e","n/e","595","545","555"
"07.08.2022 10:00 - 07.08.2022 11:00","33","33","33","n/e","n/e","n/e","535","515","504"
"07.08.2022 11:00 - 07.08.2022 12:00","41","41","41","n/e","n/e","n/e","475","456","446"
"07.08.2022 12:00 - 07.08.2022 13:00","45","45","45","n/e","n/e","n/e","416","409","409"
"07.08.2022 13:00 - 07.08.2022 14:00","44","44","44","n/e","n/e","n/e","390","384","388"
"07.08.2022 14:00 - 07.08.2022 15:00","43","43","43","n/e","n/e","n/e","386","383","391"
"07.08.2022 15:00 - 07.08.2022 16:00","38","38","38","n/e","n/e","n/e","398","396","385"
"07.08.2022 16:00 - 07.08.2022 17:00","30","30","30","n/e","n/e","n/e","423","420","392"
"07.08.2022 17:00 - 07.08.2022 18:00","20","20","20","n/e","n/e","n/e","476","471","453"
"07.08.2022 18:00 - 07.08.2022 19:00","8","8","8","n/e","n/e","n/e","527","522","527"
"07.08.2022 19:00 - 07.08.2022 20:00","2","2","2","n/e","n/e","n/e","579","573","569"
"07.08.2022 20:00 - 07.08.2022 21:00","0","0","0","n/e","n/e","n/e","620","615","611"
"07.08.2022 21:00 - 07.08.2022 22:00","0","0","0","n/e","n/e","n/e","640","639","617"
"07.08.2022 22:00 - 07.08.2022 23:00","0","0","0","n/e","n/e","n/e","636","637","593"
"07.08.2022 23:00 - 08.08.2022 00:00","0","0","0","n/e","n/e","n/e","622","623","568"
"08.08.2022 00:00 - 08.08.2022 01:00","0","0","0","n/e","n/e","n/e","570","521","521"
"08.08.2022 01:00 - 08.08.2022 02:00","0","0","0","n/e","n/e","n/e","537","487","487"
"08.08.2022 02:00 - 08.08.2022 03:00","0","0","0","n/e","n/e","n/e","514","464","464"
"08.08.2022 03:00 - 08.08.2022 04:00","0","0","0","n/e","n/e","n/e","491","431","431"
"08.08.2022 04:00 - 08.08.2022 05:00","0","0","0","n/e","n/e","n/e","463","420","420"
"08.08.2022 05:00 - 08.08.2022 06:00","0","0","0","n/e","n/e","n/e","438","394","394"
"08.08.2022 06:00 - 08.08.2022 07:00","2","2","2","n/e","n/e","n/e","421","394","394"
"08.08.2022 07:00 - 08.08.2022 08:00","8","8","8","n/e","n/e","n/e","393","343","343"
"08.08.2022 08:00 - 08.08.2022 09:00","17","17","17","n/e","n/e","n/e","355","329","329"
"08.08.2022 09:00 - 08.08.2022 10:00","25","25","25","n/e","n/e","n/e","309","267","267"
"08.08.2022 10:00 - 08.08.2022 11:00","34","34","34","n/e","n/e","n/e","275","243","243"
"08.08.2022 11:00 - 08.08.2022 12:00","39","39","39","n/e","n/e","n/e","252","221","226"
"08.08.2022 12:00 - 08.08.2022 13:00","43","43","43","n/e","n/e","n/e","251","246","221"
"08.08.2022 13:00 - 08.08.2022 14:00","43","43","43","n/e","n/e","n/e","274","270","242"
"08.08.2022 14:00 - 08.08.2022 15:00","40","40","40","n/e","n/e","n/e","312","307","293"
"08.08.2022 15:00 - 08.08.2022 16:00","36","36","36","n/e","n/e","n/e","337","333","341"
"08.08.2022 16:00 - 08.08.2022 17:00","27","27","27","n/e","n/e","n/e","368","368","338"
"08.08.2022 17:00 - 08.08.2022 18:00","18","18","18","n/e","n/e","n/e","414","418","383"
"08.08.2022 18:00 - 08.08.2022 19:00","8","8","8","n/e","n/e","n/e","444","448","487"
"08.08.2022 19:00 - 08.08.2022 20:00","1","1","1","n/e","n/e","n/e","485","488","538"
"08.08.2022 20:00 - 08.08.2022 21:00","0","0","0","n/e","n/e","n/e","520","522","509"
"08.08.2022 21:00 - 08.08.2022 22:00","0","0","0","n/e","n/e","n/e","550","553","538"
"08.08.2022 22:00 - 08.08.2022 23:00","0","0","0","n/e","n/e","n/e","575","579","564"
"08.08.2022 23:00 - 09.08.2022 00:00","0","0","0","n/e","n/e","n/e","584","587","522"
"09.08.2022 00:00 - 09.08.2022 01:00","0","0","0","n/e","n/e","n/e","612","544","544"
"09.08.2022 01:00 - 09.08.2022 02:00","0","0","0","n/e","n/e","n/e","615","584","584"
"09.08.2022 02:00 - 09.08.2022 03:00","0","0","0","n/e","n/e","n/e","616","594","594"
"09.08.2022 03:00 - 09.08.2022 04:00","0","0","0","n/e","n/e","n/e","615","595","595"
"09.08.2022 04:00 - 09.08.2022 05:00","0","0","0","n/e","n/e","n/e","614","606","606"
"09.08.2022 05:00 - 09.08.2022 06:00","0","0","0","n/e","n/e","n/e","613","605","605"
"09.08.2022 06:00 - 09.08.2022 07:00","1","1","1","n/e","n/e","n/e","601","593","593"
"09.08.2022 07:00 - 09.08.2022 08:00","7","7","7","n/e","n/e","n/e","575","566","566"
"09.08.2022 08:00 - 09.08.2022 09:00","16","16","16","n/e","n/e","n/e","548","538","538"
"09.08.2022 09:00 - 09.08.2022 10:00","25","25","25","n/e","n/e","n/e","521","523","523"
"09.08.2022 10:00 - 09.08.2022 11:00","33","33","33","n/e","n/e","n/e","492","493","513"
"09.08.2022 11:00 - 09.08.2022 12:00","38","38","38","n/e","n/e","n/e","471","470","497"
"09.08.2022 12:00 - 09.08.2022 13:00","41","41","41","n/e","n/e","n/e","460","455","434"
"09.08.2022 13:00 - 09.08.2022 14:00","41","41","41","n/e","n/e","n/e","452","445","426"
"09.08.2022 14:00 - 09.08.2022 15:00","38","38","38","n/e","n/e","n/e","455","450","427"
"09.08.2022 15:00 - 09.08.2022 16:00","34","34","34","n/e","n/e","n/e","469","465","429"
"09.08.2022 16:00 - 09.08.2022 17:00","27","27","27","n/e","n/e","n/e","487","484","454"
"09.08.2022 17:00 - 09.08.2022 18:00","18","18","18","n/e","n/e","n/e","520","517","518"
"09.08.2022 18:00 - 09.08.2022 19:00","7","7","7","n/e","n/e","n/e","558","557","555"
"09.08.2022 19:00 - 09.08.2022 20:00","1","1","1","n/e","n/e","n/e","601","600","630"
"09.08.2022 20:00 - 09.08.2022 21:00","0","0","0","n/e","n/e","n/e","655","652","647"
"09.08.2022 21:00 - 09.08.2022 22:00","0","0","0","n/e","n/e","n/e","682","680","658"
"09.08.2022 22:00 - 09.08.2022 23:00","0","0","0","n/e","n/e","n/e","691","689","674"
"09.08.2022 23:00 - 10.08.2022 00:00","0","0","0","n/e","n/e","n/e","688","687","675"
"10.08.2022 00:00 - 10.08.2022 01:00","0","0","0","n/e","n/e","n/e","646","646","646"
"10.08.2022 01:00 - 10.08.2022 02:00","0","0","0","n/e","n/e","n/e","644","634","634"
"10.08.2022 02:00 - 10.08.2022 03:00","0","0","0","n/e","n/e","n/e","641","641","641"
"10.08.2022 03:00 - 10.08.2022 04:00","0","0","0","n/e","n/e","n/e","641","641","641"
"10.08.2022 04:00 - 10.08.2022 05:00","0","0","0","n/e","n/e","n/e","649","639","639"
"10.08.2022 05:00 - 10.08.2022 06:00","0","0","0","n/e","n/e","n/e","657","652","652"
"10.08.2022 06:00 - 10.08.2022 07:00","1","1","1","n/e","n/e","n/e","651","646","646"
"10.08.2022 07:00 - 10.08.2022 08:00","8","8","8","n/e","n/e","n/e","621","621","621"
