"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","0","n/e","n/e","n/e","412","411","409"
"09.01.2022 00:00 - 09.01.2022 01:00","0","0","0","n/e","n/e","n/e","315","313","313"
"09.01.2022 01:00 - 09.01.2022 02:00","0","0","0","n/e","n/e","n/e","283","282","282"
"09.01.2022 02:00 - 09.01.2022 03:00","0","0","0","n/e","n/e","n/e","243","242","242"
"09.01.2022 03:00 - 09.01.2022 04:00","0","0","0","n/e","n/e","n/e","205","205","205"
"09.01.2022 04:00 - 09.01.2022 05:00","0","0","0","n/e","n/e","n/e","171","171","171"
"09.01.2022 05:00 - 09.01.2022 06:00","0","0","0","n/e","n/e","n/e","134","134","134"
"09.01.2022 06:00 - 09.01.2022 07:00","0","0","0","n/e","n/e","n/e","106","106","106"
"09.01.2022 07:00 - 09.01.2022 08:00","0","0","0","n/e","n/e","n/e","76","75","75"
"09.01.2022 08:00 - 09.01.2022 09:00","2","2","2","n/e","n/e","n/e","57","66","66"
"09.01.2022 09:00 - 09.01.2022 10:00","6","6","6","n/e","n/e","n/e","42","33","33"
"09.01.2022 10:00 - 09.01.2022 11:00","8","8","8","n/e","n/e","n/e","35","38","25"
"09.01.2022 11:00 - 09.01.2022 12:00","11","11","11","n/e","n/e","n/e","33","36","36"
"09.01.2022 12:00 - 09.01.2022 13:00","10","10","10","n/e","n/e","n/e","28","29","30"
"09.01.2022 13:00 - 09.01.2022 14:00","7","7","7","n/e","n/e","n/e","34","34","34"
"09.01.2022 14:00 - 09.01.2022 15:00","4","4","4","n/e","n/e","n/e","57","57","57"
"09.01.2022 15:00 - 09.01.2022 16:00","1","1","1","n/e","n/e","n/e","86","89","46"
"09.01.2022 16:00 - 09.01.2022 17:00","0","0","0","n/e","n/e","n/e","140","142","80"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","0","n/e","n/e","n/e","221","221","162"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","0","n/e","n/e","n/e","306","306","323"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","0","n/e","n/e","n/e","385","386","427"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","0","n/e","n/e","n/e","459","458","520"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","0","n/e","n/e","n/e","537","534","633"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","0","n/e","n/e","n/e","606","603","664"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","0","n/e","n/e","n/e","661","660","713"
"10.01.2022 00:00 - 10.01.2022 01:00","0","0","0","n/e","n/e","n/e","681","722","722"
