"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Intraday / Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Intraday / Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Intraday / Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"04.01.2022 08:00 - 04.01.2022 09:00","758","N/A","758","N/A","n/e","n/e","3132","3104","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","2084","N/A","2086","N/A","n/e","n/e","3201","3142","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","3223","N/A","3219","N/A","n/e","n/e","3245","3185","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","3890","N/A","3869","N/A","n/e","n/e","3435","3382","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","4063","N/A","4047","N/A","n/e","n/e","3613","3564","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","3825","N/A","3776","N/A","n/e","n/e","3822","3808","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","3048","N/A","2968","N/A","n/e","n/e","3846","3842","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","1713","N/A","1650","N/A","n/e","n/e","3748","3756","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","318","N/A","304","N/A","n/e","n/e","3666","3682","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","3763","3783","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","3902","3906","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","3990","4001","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","4039","4031","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","4074","4053","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","4171","4146","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","4240","4218","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","3989","3989","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","4080","4080","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","4128","4128","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","4214","4214","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","4219","4219","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","4196","4196","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","4157","4157","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","48","N/A","48","N/A","n/e","n/e","4133","4133","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","916","N/A","916","N/A","n/e","n/e","4049","4020","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","2457","N/A","2457","N/A","n/e","n/e","3805","3783","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","3780","N/A","3781","N/A","n/e","n/e","3560","3564","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","4520","N/A","4521","N/A","n/e","n/e","3610","3599","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","4675","N/A","4676","N/A","n/e","n/e","3753","3742","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","4294","N/A","4292","N/A","n/e","n/e","3858","3837","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","3304","N/A","3303","N/A","n/e","n/e","3895","3939","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","1774","N/A","1773","N/A","n/e","n/e","3843","3875","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","307","N/A","307","N/A","n/e","n/e","3892","3849","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","3998","4082","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","4248","4369","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","4518","4665","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","4695","4821","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","4807","4790","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","4792","5022","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","4602","4624","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","5548","5548","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","5463","5463","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","5071","5071","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","4660","4660","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","3944","3944","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","3347","3347","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","2690","2690","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","15","N/A","16","N/A","n/e","n/e","2176","2176","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","648","N/A","661","N/A","n/e","n/e","1916","1913","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","2035","N/A","2078","N/A","n/e","n/e","1725","1662","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","3359","N/A","3425","N/A","n/e","n/e","1565","1522","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","4159","N/A","4259","N/A","n/e","n/e","1546","1509","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","4396","N/A","4507","N/A","n/e","n/e","1494","1454","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","4050","N/A","4150","N/A","n/e","n/e","1465","1396","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","3099","N/A","3158","N/A","n/e","n/e","1355","1254","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","1648","N/A","1651","N/A","n/e","n/e","1268","1147","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","310","N/A","284","N/A","n/e","n/e","1289","1172","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","1264","1174","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","1240","1199","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","1287","1257","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","1148","1144","n/e"
