MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
14.02.2022 04:00 - 14.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
14.02.2022 05:00 - 14.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,17,24,24
14.02.2022 06:00 - 14.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,19,25,25
14.02.2022 07:00 - 14.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,18,24,24
14.02.2022 08:00 - 14.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,18,25,25
14.02.2022 09:00 - 14.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,20,27,28
14.02.2022 10:00 - 14.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,21,27,27
14.02.2022 11:00 - 14.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,22,27,27
14.02.2022 12:00 - 14.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,23,31,31
14.02.2022 13:00 - 14.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,24,29,30
14.02.2022 14:00 - 14.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,24,24,24
14.02.2022 15:00 - 14.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,24,24,24
14.02.2022 16:00 - 14.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
14.02.2022 17:00 - 14.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
14.02.2022 18:00 - 14.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
14.02.2022 19:00 - 14.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
14.02.2022 20:00 - 14.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
14.02.2022 21:00 - 14.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
14.02.2022 22:00 - 14.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
14.02.2022 23:00 - 15.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,18,26,26
15.02.2022 00:00 - 15.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,17,24,24
15.02.2022 01:00 - 15.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,13,22,22
15.02.2022 02:00 - 15.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,13,20,20
15.02.2022 03:00 - 15.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,13,12,12
15.02.2022 04:00 - 15.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,12,19,19
15.02.2022 05:00 - 15.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,15,19,19
15.02.2022 06:00 - 15.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,12,13,13
15.02.2022 07:00 - 15.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,13,11,11
15.02.2022 08:00 - 15.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,13,18,18
15.02.2022 09:00 - 15.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
15.02.2022 10:00 - 15.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,15,13,13
15.02.2022 11:00 - 15.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,15,16,16
15.02.2022 12:00 - 15.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,15,18,18
15.02.2022 13:00 - 15.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,16,19,19
15.02.2022 14:00 - 15.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
15.02.2022 15:00 - 15.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
15.02.2022 16:00 - 15.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
15.02.2022 17:00 - 15.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
15.02.2022 18:00 - 15.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,27
15.02.2022 19:00 - 15.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,29,28,28
15.02.2022 20:00 - 15.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
15.02.2022 21:00 - 15.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
15.02.2022 22:00 - 15.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
15.02.2022 23:00 - 16.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,27,33,33
16.02.2022 00:00 - 16.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
16.02.2022 01:00 - 16.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,17,21,21
16.02.2022 02:00 - 16.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,12,19,19
16.02.2022 03:00 - 16.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,10,14,14
16.02.2022 04:00 - 16.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,10,14,14
16.02.2022 05:00 - 16.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,12,14,14
16.02.2022 06:00 - 16.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,15,20,20
16.02.2022 07:00 - 16.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,14,27,27
16.02.2022 08:00 - 16.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,16,27,28
16.02.2022 09:00 - 16.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,20,29,29
16.02.2022 10:00 - 16.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,27,23,23
16.02.2022 11:00 - 16.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,27,26,26
16.02.2022 12:00 - 16.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,25,24,24
16.02.2022 13:00 - 16.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,28,23,23
16.02.2022 14:00 - 16.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,28,28,28
16.02.2022 15:00 - 16.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
16.02.2022 16:00 - 16.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,25,25,25
16.02.2022 17:00 - 16.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,24,24,24
16.02.2022 18:00 - 16.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
16.02.2022 19:00 - 16.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
16.02.2022 20:00 - 16.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
16.02.2022 21:00 - 16.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
16.02.2022 22:00 - 16.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
16.02.2022 23:00 - 17.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,23,32,32
17.02.2022 00:00 - 17.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,31,33,33
17.02.2022 01:00 - 17.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,35,34,34
17.02.2022 02:00 - 17.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,35,38,38
17.02.2022 03:00 - 17.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,34,39,39
17.02.2022 04:00 - 17.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,32,37,37
17.02.2022 05:00 - 17.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,29,34,34
17.02.2022 06:00 - 17.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,20,37,37
17.02.2022 07:00 - 17.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,18,34,34
17.02.2022 08:00 - 17.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,11,34,37
17.02.2022 09:00 - 17.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,16,34,34
17.02.2022 10:00 - 17.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,16,34,34
17.02.2022 11:00 - 17.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,15,33,33
17.02.2022 12:00 - 17.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,20,28,28
17.02.2022 13:00 - 17.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,20,34,34
17.02.2022 14:00 - 17.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,24,24,24
17.02.2022 15:00 - 17.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,28,28,28
17.02.2022 16:00 - 17.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,28,28,28
17.02.2022 17:00 - 17.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
17.02.2022 18:00 - 17.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,34,31,31
17.02.2022 19:00 - 17.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
17.02.2022 20:00 - 17.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,25,26,26
17.02.2022 21:00 - 17.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
17.02.2022 22:00 - 17.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,25,26,26
17.02.2022 23:00 - 18.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,25,29,29
18.02.2022 00:00 - 18.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,29,28,28
18.02.2022 01:00 - 18.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,29,28,28
18.02.2022 02:00 - 18.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
18.02.2022 03:00 - 18.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,31,37,37
18.02.2022 04:00 - 18.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,31,37,37
18.02.2022 05:00 - 18.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,34,37,37
18.02.2022 06:00 - 18.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,33,36,36
18.02.2022 07:00 - 18.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,31,37,37
18.02.2022 08:00 - 18.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,31,30,36
18.02.2022 09:00 - 18.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,32,31,31
18.02.2022 10:00 - 18.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,31,30,30
18.02.2022 11:00 - 18.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
18.02.2022 12:00 - 18.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,29,30,30
18.02.2022 13:00 - 18.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,29,27,27
18.02.2022 14:00 - 18.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
18.02.2022 15:00 - 18.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
18.02.2022 16:00 - 18.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,25,25,25
18.02.2022 17:00 - 18.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,21,21,21
18.02.2022 18:00 - 18.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
18.02.2022 19:00 - 18.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,27
18.02.2022 20:00 - 18.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,27
18.02.2022 21:00 - 18.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,27,26,26
18.02.2022 22:00 - 18.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
18.02.2022 23:00 - 19.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,21,18,18
19.02.2022 00:00 - 19.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,16,18,18
19.02.2022 01:00 - 19.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,26,22,22
19.02.2022 02:00 - 19.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,29,24,24
19.02.2022 03:00 - 19.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,31,29,29
19.02.2022 04:00 - 19.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,31,28,28
19.02.2022 05:00 - 19.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
19.02.2022 06:00 - 19.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
19.02.2022 07:00 - 19.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,31,34,34
19.02.2022 08:00 - 19.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,34,33,33
19.02.2022 09:00 - 19.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,34,33,33
19.02.2022 10:00 - 19.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
19.02.2022 11:00 - 19.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,34,33,33
19.02.2022 12:00 - 19.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,28,31,31
19.02.2022 13:00 - 19.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,29,32,32
19.02.2022 14:00 - 19.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
19.02.2022 15:00 - 19.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
19.02.2022 16:00 - 19.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
19.02.2022 17:00 - 19.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
19.02.2022 18:00 - 19.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
19.02.2022 19:00 - 19.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,27
19.02.2022 20:00 - 19.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,23,23,23
19.02.2022 21:00 - 19.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,25,24,24
19.02.2022 22:00 - 19.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
19.02.2022 23:00 - 20.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
20.02.2022 00:00 - 20.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,17,20,17
20.02.2022 01:00 - 20.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,20,18,20
20.02.2022 02:00 - 20.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,24,18,24
20.02.2022 03:00 - 20.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,28,20,28
20.02.2022 04:00 - 20.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,31,20,31
20.02.2022 05:00 - 20.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,28,24,28
20.02.2022 06:00 - 20.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,33,22,33
20.02.2022 07:00 - 20.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,34,28,34
20.02.2022 08:00 - 20.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,31,29,31
20.02.2022 09:00 - 20.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,34,33,34
20.02.2022 10:00 - 20.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,24,23,24
20.02.2022 11:00 - 20.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,22,21,22
20.02.2022 12:00 - 20.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,23,23,23
20.02.2022 13:00 - 20.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,21,25,21
20.02.2022 14:00 - 20.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
20.02.2022 15:00 - 20.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
20.02.2022 16:00 - 20.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
20.02.2022 17:00 - 20.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
20.02.2022 18:00 - 20.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
20.02.2022 19:00 - 20.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
20.02.2022 20:00 - 20.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
20.02.2022 21:00 - 20.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
20.02.2022 22:00 - 20.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,17,16,17
20.02.2022 23:00 - 21.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,18,12,12
21.02.2022 00:00 - 21.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,14,13,13
21.02.2022 01:00 - 21.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
21.02.2022 02:00 - 21.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
21.02.2022 03:00 - 21.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
21.02.2022 04:00 - 21.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,24,25,25
21.02.2022 05:00 - 21.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,28,30,30
21.02.2022 06:00 - 21.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,30,27,27
21.02.2022 07:00 - 21.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,27,28,28
21.02.2022 08:00 - 21.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,30,28,28
21.02.2022 09:00 - 21.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,29,31,31
21.02.2022 10:00 - 21.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,33,37,37
21.02.2022 11:00 - 21.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,33,30,30
21.02.2022 12:00 - 21.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,33
21.02.2022 13:00 - 21.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 14:00 - 21.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,37,34,34
21.02.2022 15:00 - 21.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,37,40,40
21.02.2022 16:00 - 21.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 17:00 - 21.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 18:00 - 21.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 19:00 - 21.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 20:00 - 21.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 21:00 - 21.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 22:00 - 21.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,34,34,34
21.02.2022 23:00 - 22.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,33,26,26
22.02.2022 00:00 - 22.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,23,24,24
22.02.2022 01:00 - 22.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,22,26,26
22.02.2022 02:00 - 22.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,20,24,24
22.02.2022 03:00 - 22.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,15,32,32
22.02.2022 04:00 - 22.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,15,34,34
22.02.2022 05:00 - 22.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,16,40,40
22.02.2022 06:00 - 22.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,17,36,36
22.02.2022 07:00 - 22.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,15,40,40
22.02.2022 08:00 - 22.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,35,45,36
22.02.2022 09:00 - 22.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,40,36,35
22.02.2022 10:00 - 22.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,34,35,35
22.02.2022 11:00 - 22.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,33,36,36
22.02.2022 12:00 - 22.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,31,35,35
22.02.2022 13:00 - 22.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,32,34,34
22.02.2022 14:00 - 22.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
22.02.2022 15:00 - 22.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,33
22.02.2022 16:00 - 22.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,31,32,32
22.02.2022 17:00 - 22.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
22.02.2022 18:00 - 22.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,26,26,26
22.02.2022 19:00 - 22.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
22.02.2022 20:00 - 22.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
22.02.2022 21:00 - 22.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
22.02.2022 22:00 - 22.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
22.02.2022 23:00 - 23.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
23.02.2022 00:00 - 23.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,10,12,12
23.02.2022 01:00 - 23.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,10,12,12
23.02.2022 02:00 - 23.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,6,12,12
23.02.2022 03:00 - 23.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,6,9,9
23.02.2022 04:00 - 23.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,6,14,14
23.02.2022 05:00 - 23.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,9,15,15
23.02.2022 06:00 - 23.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,6,15,15
23.02.2022 07:00 - 23.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,7,15,15
23.02.2022 08:00 - 23.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,13
23.02.2022 09:00 - 23.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
23.02.2022 10:00 - 23.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,6,12,10
23.02.2022 11:00 - 23.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,6,13,13
23.02.2022 12:00 - 23.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,6,13,13
23.02.2022 13:00 - 23.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,5,13,13
23.02.2022 14:00 - 23.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
23.02.2022 15:00 - 23.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
23.02.2022 16:00 - 23.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
23.02.2022 17:00 - 23.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
23.02.2022 18:00 - 23.02.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
23.02.2022 19:00 - 23.02.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
23.02.2022 20:00 - 23.02.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
23.02.2022 21:00 - 23.02.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
23.02.2022 22:00 - 23.02.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
23.02.2022 23:00 - 24.02.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
24.02.2022 00:00 - 24.02.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,20,22,22
24.02.2022 01:00 - 24.02.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,21,19,19
24.02.2022 02:00 - 24.02.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,21,19,19
24.02.2022 03:00 - 24.02.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,19,23,23
24.02.2022 04:00 - 24.02.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,23,28,28
24.02.2022 05:00 - 24.02.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,24,31,31
24.02.2022 06:00 - 24.02.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,29,30,30
24.02.2022 07:00 - 24.02.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
24.02.2022 08:00 - 24.02.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
24.02.2022 09:00 - 24.02.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,31,30,30
24.02.2022 10:00 - 24.02.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,32,28,28
24.02.2022 11:00 - 24.02.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,33
24.02.2022 12:00 - 24.02.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,33,34,34
24.02.2022 13:00 - 24.02.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,33,34,34
24.02.2022 14:00 - 24.02.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
24.02.2022 15:00 - 24.02.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
24.02.2022 16:00 - 24.02.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
24.02.2022 17:00 - 24.02.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,26,26,26
