MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
04.01.2022 06:00 - 04.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,33,34,34
04.01.2022 07:00 - 04.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,33
04.01.2022 08:00 - 04.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,27,31,31
04.01.2022 09:00 - 04.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,33
04.01.2022 10:00 - 04.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,30,37,37
04.01.2022 11:00 - 04.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,21,26,26
04.01.2022 12:00 - 04.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,7,16,16
04.01.2022 13:00 - 04.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,5,14,14
04.01.2022 14:00 - 04.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
04.01.2022 15:00 - 04.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 16:00 - 04.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 17:00 - 04.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 18:00 - 04.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 19:00 - 04.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 20:00 - 04.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
04.01.2022 21:00 - 04.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
