MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
13.06.2022 04:00 - 13.06.2022 04:15,0,0,n/e,608,608,608,1394,1394,1394
13.06.2022 04:15 - 13.06.2022 04:30,0,0,n/e,668,668,668,1452,1452,1452
13.06.2022 04:30 - 13.06.2022 04:45,0,0,n/e,725,725,725,1512,1512,1512
13.06.2022 04:45 - 13.06.2022 05:00,0,0,n/e,782,782,782,1571,1571,1571
13.06.2022 05:00 - 13.06.2022 05:15,0,0,n/e,840,840,840,1631,1631,1631
13.06.2022 05:15 - 13.06.2022 05:30,10,10,n/e,867,867,867,1651,1651,1651
13.06.2022 05:30 - 13.06.2022 05:45,21,21,n/e,864,864,864,1628,1628,1628
13.06.2022 05:45 - 13.06.2022 06:00,30,30,n/e,861,861,861,1605,1605,1605
13.06.2022 06:00 - 13.06.2022 06:15,39,39,n/e,859,859,859,1584,1584,1584
13.06.2022 06:15 - 13.06.2022 06:30,161,161,n/e,855,855,855,1563,1563,1563
13.06.2022 06:30 - 13.06.2022 06:45,283,283,n/e,849,849,849,1538,1538,1538
13.06.2022 06:45 - 13.06.2022 07:00,402,402,n/e,844,844,844,1518,1518,1518
13.06.2022 07:00 - 13.06.2022 07:15,520,520,n/e,839,839,839,1496,1496,1496
13.06.2022 07:15 - 13.06.2022 07:30,667,667,n/e,833,833,833,1473,1473,1473
13.06.2022 07:30 - 13.06.2022 07:45,811,811,n/e,827,827,827,1451,1451,1451
13.06.2022 07:45 - 13.06.2022 08:00,954,954,n/e,821,821,821,1429,1429,1429
13.06.2022 08:00 - 13.06.2022 08:15,1101,1101,n/e,815,815,815,1409,1409,1409
13.06.2022 08:15 - 13.06.2022 08:30,1368,1368,n/e,805,805,805,1398,1398,1398
13.06.2022 08:30 - 13.06.2022 08:45,1632,1632,n/e,791,791,791,1399,1399,1399
13.06.2022 08:45 - 13.06.2022 09:00,1899,1899,n/e,777,777,777,1399,1399,1399
13.06.2022 09:00 - 13.06.2022 09:15,2163,2163,n/e,764,764,764,1400,1400,1400
13.06.2022 09:15 - 13.06.2022 09:30,2434,2434,n/e,749,749,749,1406,1406,1406
13.06.2022 09:30 - 13.06.2022 09:45,2705,2705,n/e,733,733,733,1416,1416,1416
13.06.2022 09:45 - 13.06.2022 10:00,2979,2979,n/e,717,717,717,1425,1425,1425
13.06.2022 10:00 - 13.06.2022 10:15,3251,3251,n/e,701,701,701,1432,1432,1432
13.06.2022 10:15 - 13.06.2022 10:30,3508,3508,n/e,685,685,685,1447,1447,1447
13.06.2022 10:30 - 13.06.2022 10:45,3769,3769,n/e,671,671,671,1463,1463,1463
13.06.2022 10:45 - 13.06.2022 11:00,4028,4028,n/e,656,656,656,1479,1479,1479
13.06.2022 11:00 - 13.06.2022 11:15,4289,4289,n/e,642,642,642,1496,1496,1496
13.06.2022 11:15 - 13.06.2022 11:30,4460,4460,n/e,629,629,629,1505,1505,1505
13.06.2022 11:30 - 13.06.2022 11:45,4631,4631,n/e,618,618,618,1508,1508,1508
13.06.2022 11:45 - 13.06.2022 12:00,4799,4799,n/e,608,608,608,1513,1513,1513
13.06.2022 12:00 - 13.06.2022 12:15,4970,4970,n/e,597,597,597,1515,1515,1515
13.06.2022 12:15 - 13.06.2022 12:30,5100,5100,n/e,591,591,591,1518,1518,1518
13.06.2022 12:30 - 13.06.2022 12:45,5235,5235,n/e,588,588,588,1529,1529,1529
13.06.2022 12:45 - 13.06.2022 13:00,5366,5366,n/e,585,585,585,1538,1538,1538
13.06.2022 13:00 - 13.06.2022 13:15,5499,5499,n/e,582,582,582,1546,1546,1546
13.06.2022 13:15 - 13.06.2022 13:30,5550,5550,n/e,579,579,579,1554,1554,1554
13.06.2022 13:30 - 13.06.2022 13:45,5604,5604,n/e,575,575,575,1564,1564,1564
13.06.2022 13:45 - 13.06.2022 14:00,5657,5657,n/e,571,571,571,1573,1573,1573
13.06.2022 14:00 - 13.06.2022 14:15,5712,5712,n/e,567,567,567,1582,1582,1582
13.06.2022 14:15 - 13.06.2022 14:30,5723,5723,n/e,563,563,563,1576,1576,1576
13.06.2022 14:30 - 13.06.2022 14:45,5733,5733,n/e,558,558,558,1557,1557,1557
13.06.2022 14:45 - 13.06.2022 15:00,5743,5743,n/e,554,554,554,1537,1537,1537
13.06.2022 15:00 - 13.06.2022 15:15,5754,5754,n/e,550,550,550,1519,1519,1519
13.06.2022 15:15 - 13.06.2022 15:30,5642,5642,n/e,535,535,535,1501,1501,1501
13.06.2022 15:30 - 13.06.2022 15:45,5530,5530,n/e,511,511,511,1483,1483,1483
13.06.2022 15:45 - 13.06.2022 16:00,5419,5419,n/e,487,487,487,1463,1463,1463
13.06.2022 16:00 - 13.06.2022 16:15,5309,5309,n/e,462,462,462,1445,1445,1445
13.06.2022 16:15 - 13.06.2022 16:30,5120,5120,n/e,445,445,445,1429,1429,1429
13.06.2022 16:30 - 13.06.2022 16:45,4932,4932,n/e,435,435,435,1412,1412,1412
13.06.2022 16:45 - 13.06.2022 17:00,4745,4745,n/e,424,424,424,1396,1396,1396
13.06.2022 17:00 - 13.06.2022 17:15,4559,4559,n/e,414,414,414,1380,1380,1380
13.06.2022 17:15 - 13.06.2022 17:30,4367,4367,n/e,396,396,396,1332,1332,1332
13.06.2022 17:30 - 13.06.2022 17:45,4177,4177,n/e,369,369,369,1252,1252,1252
13.06.2022 17:45 - 13.06.2022 18:00,3986,3986,n/e,342,342,342,1170,1170,1170
13.06.2022 18:00 - 13.06.2022 18:15,3797,3797,n/e,316,316,316,1091,1091,1091
13.06.2022 18:15 - 13.06.2022 18:30,3500,3500,n/e,293,293,293,1015,1015,1015
13.06.2022 18:30 - 13.06.2022 18:45,3200,3200,n/e,273,273,273,946,946,946
13.06.2022 18:45 - 13.06.2022 19:00,2903,2903,n/e,253,253,253,875,875,875
13.06.2022 19:00 - 13.06.2022 19:15,2606,2606,n/e,233,233,233,807,807,807
13.06.2022 19:15 - 13.06.2022 19:30,2334,2334,n/e,212,212,212,746,746,746
13.06.2022 19:30 - 13.06.2022 19:45,2060,2060,n/e,187,187,187,697,697,697
13.06.2022 19:45 - 13.06.2022 20:00,1789,1789,n/e,163,163,163,647,647,647
13.06.2022 20:00 - 13.06.2022 20:15,1519,1519,n/e,139,139,139,597,597,597
13.06.2022 20:15 - 13.06.2022 20:30,1314,1314,n/e,126,126,126,559,559,559
13.06.2022 20:30 - 13.06.2022 20:45,1107,1107,n/e,123,123,123,533,533,533
13.06.2022 20:45 - 13.06.2022 21:00,900,900,n/e,120,120,120,503,503,503
13.06.2022 21:00 - 13.06.2022 21:15,696,696,n/e,117,117,117,476,476,476
13.06.2022 21:15 - 13.06.2022 21:30,546,546,n/e,113,113,113,448,448,448
13.06.2022 21:30 - 13.06.2022 21:45,396,396,n/e,109,109,109,421,421,421
13.06.2022 21:45 - 13.06.2022 22:00,246,246,n/e,105,105,105,393,393,393
13.06.2022 22:00 - 13.06.2022 22:15,96,96,n/e,101,101,101,364,364,364
13.06.2022 22:15 - 13.06.2022 22:30,72,72,n/e,97,97,97,338,338,338
13.06.2022 22:30 - 13.06.2022 22:45,48,48,n/e,93,93,93,312,312,312
13.06.2022 22:45 - 13.06.2022 23:00,25,25,n/e,90,90,90,287,287,287
13.06.2022 23:00 - 13.06.2022 23:15,0,0,n/e,86,86,86,264,264,264
13.06.2022 23:15 - 13.06.2022 23:30,0,0,n/e,84,84,84,251,251,251
13.06.2022 23:30 - 13.06.2022 23:45,0,0,n/e,85,85,85,250,250,250
13.06.2022 23:45 - 14.06.2022 00:00,0,0,n/e,85,85,85,248,248,248
14.06.2022 00:00 - 14.06.2022 00:15,0,0,n/e,83,83,83,271,271,271
14.06.2022 00:15 - 14.06.2022 00:30,0,0,n/e,90,90,90,284,284,284
14.06.2022 00:30 - 14.06.2022 00:45,0,0,n/e,97,97,97,298,298,298
14.06.2022 00:45 - 14.06.2022 01:00,0,0,n/e,104,104,104,311,311,311
14.06.2022 01:00 - 14.06.2022 01:15,0,0,n/e,111,111,111,326,326,326
14.06.2022 01:15 - 14.06.2022 01:30,0,0,n/e,116,116,116,341,341,341
14.06.2022 01:30 - 14.06.2022 01:45,0,0,n/e,121,121,121,362,362,362
14.06.2022 01:45 - 14.06.2022 02:00,0,0,n/e,125,125,125,381,381,381
14.06.2022 02:00 - 14.06.2022 02:15,0,0,n/e,130,130,130,400,400,400
14.06.2022 02:15 - 14.06.2022 02:30,0,0,n/e,131,131,131,402,402,402
14.06.2022 02:30 - 14.06.2022 02:45,0,0,n/e,128,128,128,384,384,384
14.06.2022 02:45 - 14.06.2022 03:00,0,0,n/e,126,126,126,364,364,364
14.06.2022 03:00 - 14.06.2022 03:15,0,0,n/e,123,123,123,347,347,347
14.06.2022 03:15 - 14.06.2022 03:30,0,0,n/e,120,120,120,330,330,330
14.06.2022 03:30 - 14.06.2022 03:45,0,0,n/e,116,116,116,316,316,316
14.06.2022 03:45 - 14.06.2022 04:00,0,0,n/e,111,111,111,302,302,302
14.06.2022 04:00 - 14.06.2022 04:15,0,0,n/e,107,107,107,287,287,287
14.06.2022 04:15 - 14.06.2022 04:30,0,0,n/e,103,103,103,273,273,273
14.06.2022 04:30 - 14.06.2022 04:45,0,0,n/e,99,99,99,260,260,260
14.06.2022 04:45 - 14.06.2022 05:00,0,0,n/e,95,95,95,245,245,245
14.06.2022 05:00 - 14.06.2022 05:15,0,0,n/e,91,91,91,231,231,231
14.06.2022 05:15 - 14.06.2022 05:30,11,11,n/e,90,90,90,217,217,217
14.06.2022 05:30 - 14.06.2022 05:45,22,22,n/e,92,92,92,204,204,204
14.06.2022 05:45 - 14.06.2022 06:00,31,31,n/e,93,93,93,188,188,188
14.06.2022 06:00 - 14.06.2022 06:15,43,43,n/e,95,95,95,171,171,171
14.06.2022 06:15 - 14.06.2022 06:30,172,172,n/e,96,96,96,157,157,157
14.06.2022 06:30 - 14.06.2022 06:45,304,304,n/e,98,98,98,147,147,147
14.06.2022 06:45 - 14.06.2022 07:00,433,433,n/e,99,99,99,135,135,135
14.06.2022 07:00 - 14.06.2022 07:15,561,561,n/e,101,101,101,123,123,123
14.06.2022 07:15 - 14.06.2022 07:30,716,716,n/e,103,103,103,114,114,114
14.06.2022 07:30 - 14.06.2022 07:45,872,872,n/e,106,106,106,105,105,105
14.06.2022 07:45 - 14.06.2022 08:00,1025,1025,n/e,109,109,109,101,101,101
14.06.2022 08:00 - 14.06.2022 08:15,1182,1182,n/e,111,111,111,95,95,95
14.06.2022 08:15 - 14.06.2022 08:30,1454,1454,n/e,110,110,110,89,89,89
14.06.2022 08:30 - 14.06.2022 08:45,1730,1730,n/e,104,104,104,86,86,86
14.06.2022 08:45 - 14.06.2022 09:00,2004,2004,n/e,98,98,98,81,81,81
14.06.2022 09:00 - 14.06.2022 09:15,2280,2280,n/e,93,93,93,78,78,78
14.06.2022 09:15 - 14.06.2022 09:30,2575,2575,n/e,86,86,86,74,74,74
14.06.2022 09:30 - 14.06.2022 09:45,2868,2868,n/e,80,80,80,75,75,75
14.06.2022 09:45 - 14.06.2022 10:00,3163,3163,n/e,74,74,74,74,74,74
14.06.2022 10:00 - 14.06.2022 10:15,3456,3456,n/e,67,67,67,73,73,73
14.06.2022 10:15 - 14.06.2022 10:30,3740,3740,n/e,64,64,64,73,73,73
14.06.2022 10:30 - 14.06.2022 10:45,4022,4022,n/e,64,64,64,74,74,74
14.06.2022 10:45 - 14.06.2022 11:00,4307,4307,n/e,64,64,64,76,76,76
14.06.2022 11:00 - 14.06.2022 11:15,4592,4592,n/e,64,64,64,77,77,77
14.06.2022 11:15 - 14.06.2022 11:30,4540,4540,n/e,64,64,64,78,78,78
14.06.2022 11:30 - 14.06.2022 11:45,4491,4491,n/e,65,65,65,79,79,79
14.06.2022 11:45 - 14.06.2022 12:00,4440,4440,n/e,66,66,66,79,79,79
14.06.2022 12:00 - 14.06.2022 12:15,4391,4391,n/e,66,66,66,80,80,80
14.06.2022 12:15 - 14.06.2022 12:30,4506,4506,n/e,67,67,67,80,80,80
14.06.2022 12:30 - 14.06.2022 12:45,4626,4626,n/e,67,67,67,80,80,80
14.06.2022 12:45 - 14.06.2022 13:00,4742,4742,n/e,67,67,67,80,80,80
14.06.2022 13:00 - 14.06.2022 13:15,4859,4859,n/e,67,67,67,80,80,80
14.06.2022 13:15 - 14.06.2022 13:30,4907,4907,n/e,67,67,67,82,82,82
14.06.2022 13:30 - 14.06.2022 13:45,4954,4954,n/e,67,67,67,82,82,82
14.06.2022 13:45 - 14.06.2022 14:00,5002,5002,n/e,67,67,67,83,83,83
14.06.2022 14:00 - 14.06.2022 14:15,5052,5052,n/e,67,67,67,82,82,82
14.06.2022 14:15 - 14.06.2022 14:30,5020,5020,n/e,66,66,66,82,82,82
14.06.2022 14:30 - 14.06.2022 14:45,4992,4992,n/e,64,64,64,82,82,82
14.06.2022 14:45 - 14.06.2022 15:00,4962,4962,n/e,61,61,61,82,82,82
14.06.2022 15:00 - 14.06.2022 15:15,4931,4931,n/e,59,59,59,81,81,81
14.06.2022 15:15 - 14.06.2022 15:30,4835,4835,n/e,58,58,58,81,81,81
14.06.2022 15:30 - 14.06.2022 15:45,4737,4737,n/e,59,59,59,80,80,80
14.06.2022 15:45 - 14.06.2022 16:00,4643,4643,n/e,60,60,60,81,81,81
14.06.2022 16:00 - 14.06.2022 16:15,4546,4546,n/e,60,60,60,80,80,80
14.06.2022 16:15 - 14.06.2022 16:30,4387,4387,n/e,67,67,67,81,81,81
14.06.2022 16:30 - 14.06.2022 16:45,4226,4226,n/e,78,78,78,82,82,82
14.06.2022 16:45 - 14.06.2022 17:00,4066,4066,n/e,90,90,90,84,84,84
14.06.2022 17:00 - 14.06.2022 17:15,3906,3906,n/e,101,101,101,86,86,86
14.06.2022 17:15 - 14.06.2022 17:30,3786,3786,n/e,110,110,110,84,84,84
14.06.2022 17:30 - 14.06.2022 17:45,3665,3665,n/e,115,115,115,79,79,79
14.06.2022 17:45 - 14.06.2022 18:00,3542,3542,n/e,120,120,120,74,74,74
14.06.2022 18:00 - 14.06.2022 18:15,3421,3421,n/e,126,126,126,67,67,67
14.06.2022 18:15 - 14.06.2022 18:30,3156,3156,n/e,132,132,132,71,71,71
14.06.2022 18:30 - 14.06.2022 18:45,2892,2892,n/e,140,140,140,82,82,82
14.06.2022 18:45 - 14.06.2022 19:00,2627,2627,n/e,148,148,148,93,93,93
14.06.2022 19:00 - 14.06.2022 19:15,2365,2365,n/e,156,156,156,105,105,105
14.06.2022 19:15 - 14.06.2022 19:30,2124,2124,n/e,166,166,166,120,120,120
14.06.2022 19:30 - 14.06.2022 19:45,1882,1882,n/e,177,177,177,143,143,143
14.06.2022 19:45 - 14.06.2022 20:00,1642,1642,n/e,189,189,189,164,164,164
14.06.2022 20:00 - 14.06.2022 20:15,1400,1400,n/e,200,200,200,183,183,183
14.06.2022 20:15 - 14.06.2022 20:30,1222,1222,n/e,208,208,208,200,200,200
14.06.2022 20:30 - 14.06.2022 20:45,1043,1043,n/e,214,214,214,218,218,218
14.06.2022 20:45 - 14.06.2022 21:00,865,865,n/e,220,220,220,234,234,234
14.06.2022 21:00 - 14.06.2022 21:15,685,685,n/e,225,225,225,254,254,254
14.06.2022 21:15 - 14.06.2022 21:30,538,538,n/e,233,233,233,280,280,280
14.06.2022 21:30 - 14.06.2022 21:45,390,390,n/e,242,242,242,313,313,313
14.06.2022 21:45 - 14.06.2022 22:00,243,243,n/e,252,252,252,345,345,345
14.06.2022 22:00 - 14.06.2022 22:15,96,96,n/e,262,262,262,377,377,377
14.06.2022 22:15 - 14.06.2022 22:30,72,72,n/e,277,277,277,416,416,416
14.06.2022 22:30 - 14.06.2022 22:45,46,46,n/e,298,298,298,461,461,461
14.06.2022 22:45 - 14.06.2022 23:00,25,25,n/e,320,320,320,505,505,505
14.06.2022 23:00 - 14.06.2022 23:15,0,0,n/e,341,341,341,547,547,547
14.06.2022 23:15 - 14.06.2022 23:30,0,0,n/e,354,354,354,572,572,572
14.06.2022 23:30 - 14.06.2022 23:45,0,0,n/e,361,361,361,580,580,580
14.06.2022 23:45 - 15.06.2022 00:00,0,0,n/e,367,367,367,587,587,587
15.06.2022 00:00 - 15.06.2022 00:15,0,0,n/e,430,430,430,864,864,864
15.06.2022 00:15 - 15.06.2022 00:30,0,0,n/e,425,425,425,858,858,858
15.06.2022 00:30 - 15.06.2022 00:45,0,0,n/e,422,422,422,853,853,853
15.06.2022 00:45 - 15.06.2022 01:00,0,0,n/e,418,418,418,846,846,846
15.06.2022 01:00 - 15.06.2022 01:15,0,0,n/e,414,414,414,843,843,843
15.06.2022 01:15 - 15.06.2022 01:30,0,0,n/e,405,405,405,835,835,835
15.06.2022 01:30 - 15.06.2022 01:45,0,0,n/e,393,393,393,822,822,822
15.06.2022 01:45 - 15.06.2022 02:00,0,0,n/e,381,381,381,810,810,810
15.06.2022 02:00 - 15.06.2022 02:15,0,0,n/e,368,368,368,798,798,798
15.06.2022 02:15 - 15.06.2022 02:30,0,0,n/e,357,357,357,784,784,784
15.06.2022 02:30 - 15.06.2022 02:45,0,0,n/e,348,348,348,773,773,773
15.06.2022 02:45 - 15.06.2022 03:00,0,0,n/e,339,339,339,761,761,761
15.06.2022 03:00 - 15.06.2022 03:15,0,0,n/e,329,329,329,749,749,749
15.06.2022 03:15 - 15.06.2022 03:30,0,0,n/e,322,322,322,734,734,734
15.06.2022 03:30 - 15.06.2022 03:45,0,0,n/e,316,316,316,722,722,722
15.06.2022 03:45 - 15.06.2022 04:00,0,0,n/e,310,310,310,707,707,707
15.06.2022 04:00 - 15.06.2022 04:15,0,0,n/e,304,304,304,695,695,695
15.06.2022 04:15 - 15.06.2022 04:30,0,0,n/e,299,299,299,684,684,684
15.06.2022 04:30 - 15.06.2022 04:45,0,0,n/e,294,294,294,670,670,670
15.06.2022 04:45 - 15.06.2022 05:00,0,0,n/e,289,289,289,656,656,656
15.06.2022 05:00 - 15.06.2022 05:15,0,0,n/e,284,284,284,642,642,642
15.06.2022 05:15 - 15.06.2022 05:30,13,13,n/e,279,279,279,627,627,627
15.06.2022 05:30 - 15.06.2022 05:45,23,23,n/e,275,275,275,607,607,607
15.06.2022 05:45 - 15.06.2022 06:00,34,34,n/e,271,271,271,590,590,590
15.06.2022 06:00 - 15.06.2022 06:15,44,44,n/e,266,266,266,568,568,568
15.06.2022 06:15 - 15.06.2022 06:30,177,177,n/e,259,259,259,551,551,551
15.06.2022 06:30 - 15.06.2022 06:45,309,309,n/e,248,248,248,533,533,533
15.06.2022 06:45 - 15.06.2022 07:00,444,444,n/e,237,237,237,516,516,516
15.06.2022 07:00 - 15.06.2022 07:15,575,575,n/e,226,226,226,498,498,498
15.06.2022 07:15 - 15.06.2022 07:30,733,733,n/e,218,218,218,484,484,484
15.06.2022 07:30 - 15.06.2022 07:45,891,891,n/e,213,213,213,468,468,468
15.06.2022 07:45 - 15.06.2022 08:00,1048,1048,n/e,207,207,207,455,455,455
15.06.2022 08:00 - 15.06.2022 08:15,1207,1207,n/e,202,202,202,439,439,439
15.06.2022 08:15 - 15.06.2022 08:30,1502,1502,n/e,195,195,195,421,421,421
15.06.2022 08:30 - 15.06.2022 08:45,1793,1793,n/e,187,187,187,398,398,398
15.06.2022 08:45 - 15.06.2022 09:00,2088,2088,n/e,178,178,178,376,376,376
15.06.2022 09:00 - 15.06.2022 09:15,2382,2382,n/e,170,170,170,354,354,354
15.06.2022 09:15 - 15.06.2022 09:30,2698,2698,n/e,161,161,161,332,332,332
15.06.2022 09:30 - 15.06.2022 09:45,3012,3012,n/e,152,152,152,315,315,315
15.06.2022 09:45 - 15.06.2022 10:00,3327,3327,n/e,143,143,143,295,295,295
15.06.2022 10:00 - 15.06.2022 10:15,3640,3640,n/e,133,133,133,276,276,276
15.06.2022 10:15 - 15.06.2022 10:30,3947,3947,n/e,127,127,127,263,263,263
15.06.2022 10:30 - 15.06.2022 10:45,4254,4254,n/e,124,124,124,254,254,254
15.06.2022 10:45 - 15.06.2022 11:00,4559,4559,n/e,121,121,121,244,244,244
15.06.2022 11:00 - 15.06.2022 11:15,4862,4862,n/e,118,118,118,235,235,235
15.06.2022 11:15 - 15.06.2022 11:30,5031,5031,n/e,116,116,116,228,228,228
15.06.2022 11:30 - 15.06.2022 11:45,5198,5198,n/e,115,115,115,222,222,222
15.06.2022 11:45 - 15.06.2022 12:00,5364,5364,n/e,114,114,114,215,215,215
15.06.2022 12:00 - 15.06.2022 12:15,5532,5532,n/e,113,113,113,211,211,211
15.06.2022 12:15 - 15.06.2022 12:30,5680,5680,n/e,112,112,112,205,205,205
15.06.2022 12:30 - 15.06.2022 12:45,5827,5827,n/e,110,110,110,198,198,198
15.06.2022 12:45 - 15.06.2022 13:00,5974,5974,n/e,108,108,108,191,191,191
15.06.2022 13:00 - 15.06.2022 13:15,6124,6124,n/e,105,105,105,185,185,185
15.06.2022 13:15 - 15.06.2022 13:30,6182,6182,n/e,103,103,103,177,177,177
15.06.2022 13:30 - 15.06.2022 13:45,6243,6243,n/e,101,101,101,172,172,172
15.06.2022 13:45 - 15.06.2022 14:00,6301,6301,n/e,99,99,99,167,167,167
15.06.2022 14:00 - 15.06.2022 14:15,6361,6361,n/e,97,97,97,159,159,159
15.06.2022 14:15 - 15.06.2022 14:30,6333,6333,n/e,98,98,98,158,158,158
15.06.2022 14:30 - 15.06.2022 14:45,6306,6306,n/e,102,102,102,164,164,164
15.06.2022 14:45 - 15.06.2022 15:00,6279,6279,n/e,106,106,106,170,170,170
15.06.2022 15:00 - 15.06.2022 15:15,6250,6250,n/e,110,110,110,175,175,175
15.06.2022 15:15 - 15.06.2022 15:30,6132,6132,n/e,115,115,115,186,186,186
15.06.2022 15:30 - 15.06.2022 15:45,6009,6009,n/e,120,120,120,202,202,202
15.06.2022 15:45 - 15.06.2022 16:00,5889,5889,n/e,126,126,126,219,219,219
15.06.2022 16:00 - 15.06.2022 16:15,5768,5768,n/e,131,131,131,234,234,234
15.06.2022 16:15 - 15.06.2022 16:30,5563,5563,n/e,138,138,138,252,252,252
15.06.2022 16:30 - 15.06.2022 16:45,5359,5359,n/e,144,144,144,270,270,270
15.06.2022 16:45 - 15.06.2022 17:00,5157,5157,n/e,151,151,151,291,291,291
15.06.2022 17:00 - 15.06.2022 17:15,4951,4951,n/e,158,158,158,309,309,309
15.06.2022 17:15 - 15.06.2022 17:30,4710,4710,n/e,165,165,165,321,321,321
15.06.2022 17:30 - 15.06.2022 17:45,4466,4466,n/e,172,172,172,326,326,326
15.06.2022 17:45 - 15.06.2022 18:00,4223,4223,n/e,179,179,179,330,330,330
15.06.2022 18:00 - 15.06.2022 18:15,3981,3981,n/e,186,186,186,338,338,338
15.06.2022 18:15 - 15.06.2022 18:30,3664,3664,n/e,192,192,192,351,351,351
15.06.2022 18:30 - 15.06.2022 18:45,3350,3350,n/e,199,199,199,371,371,371
15.06.2022 18:45 - 15.06.2022 19:00,3034,3034,n/e,206,206,206,393,393,393
15.06.2022 19:00 - 15.06.2022 19:15,2720,2720,n/e,212,212,212,413,413,413
15.06.2022 19:15 - 15.06.2022 19:30,2432,2432,n/e,219,219,219,438,438,438
15.06.2022 19:30 - 15.06.2022 19:45,2146,2146,n/e,226,226,226,467,467,467
15.06.2022 19:45 - 15.06.2022 20:00,1856,1856,n/e,233,233,233,496,496,496
15.06.2022 20:00 - 15.06.2022 20:15,1571,1571,n/e,240,240,240,525,525,525
15.06.2022 20:15 - 15.06.2022 20:30,1355,1355,n/e,248,248,248,559,559,559
15.06.2022 20:30 - 15.06.2022 20:45,1139,1139,n/e,258,258,258,595,595,595
15.06.2022 20:45 - 15.06.2022 21:00,923,923,n/e,267,267,267,632,632,632
15.06.2022 21:00 - 15.06.2022 21:15,709,709,n/e,276,276,276,669,669,669
15.06.2022 21:15 - 15.06.2022 21:30,556,556,n/e,294,294,294,713,713,713
15.06.2022 21:30 - 15.06.2022 21:45,405,405,n/e,319,319,319,766,766,766
15.06.2022 21:45 - 15.06.2022 22:00,253,253,n/e,345,345,345,821,821,821
15.06.2022 22:00 - 15.06.2022 22:15,104,104,n/e,371,371,371,874,874,874
15.06.2022 22:15 - 15.06.2022 22:30,77,77,n/e,392,392,392,934,934,934
15.06.2022 22:30 - 15.06.2022 22:45,51,51,n/e,409,409,409,1000,1000,1000
15.06.2022 22:45 - 15.06.2022 23:00,26,26,n/e,426,426,426,1067,1067,1067
15.06.2022 23:00 - 15.06.2022 23:15,0,0,n/e,442,442,442,1134,1134,1134
15.06.2022 23:15 - 15.06.2022 23:30,0,0,n/e,451,451,451,1140,1140,1140
15.06.2022 23:30 - 15.06.2022 23:45,0,0,n/e,452,452,452,1087,1087,1087
15.06.2022 23:45 - 16.06.2022 00:00,0,0,n/e,453,453,453,1033,1033,1033
16.06.2022 00:00 - 16.06.2022 00:15,0,0,n/e,519,519,519,1211,1211,1211
16.06.2022 00:15 - 16.06.2022 00:30,0,0,n/e,504,504,504,1165,1165,1165
16.06.2022 00:30 - 16.06.2022 00:45,0,0,n/e,488,488,488,1122,1122,1122
16.06.2022 00:45 - 16.06.2022 01:00,0,0,n/e,472,472,472,1080,1080,1080
16.06.2022 01:00 - 16.06.2022 01:15,0,0,n/e,457,457,457,1036,1036,1036
16.06.2022 01:15 - 16.06.2022 01:30,0,0,n/e,438,438,438,989,989,989
16.06.2022 01:30 - 16.06.2022 01:45,0,0,n/e,416,416,416,943,943,943
16.06.2022 01:45 - 16.06.2022 02:00,0,0,n/e,393,393,393,896,896,896
16.06.2022 02:00 - 16.06.2022 02:15,0,0,n/e,371,371,371,850,850,850
16.06.2022 02:15 - 16.06.2022 02:30,0,0,n/e,351,351,351,808,808,808
16.06.2022 02:30 - 16.06.2022 02:45,0,0,n/e,334,334,334,769,769,769
16.06.2022 02:45 - 16.06.2022 03:00,0,0,n/e,317,317,317,732,732,732
16.06.2022 03:00 - 16.06.2022 03:15,0,0,n/e,299,299,299,690,690,690
16.06.2022 03:15 - 16.06.2022 03:30,0,0,n/e,283,283,283,655,655,655
16.06.2022 03:30 - 16.06.2022 03:45,0,0,n/e,269,269,269,622,622,622
16.06.2022 03:45 - 16.06.2022 04:00,0,0,n/e,255,255,255,586,586,586
16.06.2022 04:00 - 16.06.2022 04:15,0,0,n/e,240,240,240,551,551,551
16.06.2022 04:15 - 16.06.2022 04:30,0,0,n/e,226,226,226,518,518,518
16.06.2022 04:30 - 16.06.2022 04:45,0,0,n/e,212,212,212,489,489,489
16.06.2022 04:45 - 16.06.2022 05:00,0,0,n/e,197,197,197,458,458,458
16.06.2022 05:00 - 16.06.2022 05:15,0,0,n/e,183,183,183,428,428,428
16.06.2022 05:15 - 16.06.2022 05:30,11,11,n/e,172,172,172,395,395,395
16.06.2022 05:30 - 16.06.2022 05:45,23,23,n/e,165,165,165,356,356,356
16.06.2022 05:45 - 16.06.2022 06:00,31,31,n/e,159,159,159,320,320,320
16.06.2022 06:00 - 16.06.2022 06:15,43,43,n/e,152,152,152,285,285,285
16.06.2022 06:15 - 16.06.2022 06:30,174,174,n/e,144,144,144,255,255,255
16.06.2022 06:30 - 16.06.2022 06:45,308,308,n/e,134,134,134,229,229,229
16.06.2022 06:45 - 16.06.2022 07:00,440,440,n/e,125,125,125,204,204,204
