MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
02.01.2022 01:30 - 02.01.2022 01:45,0,0,n/e,1331,1331,1331,2334,2334,2334
02.01.2022 01:45 - 02.01.2022 02:00,0,0,n/e,1336,1336,1336,2361,2361,2361
02.01.2022 02:00 - 02.01.2022 02:15,0,0,n/e,1342,1342,1342,2391,2391,2391
02.01.2022 02:15 - 02.01.2022 02:30,0,0,n/e,1346,1346,1346,2422,2422,2422
02.01.2022 02:30 - 02.01.2022 02:45,0,0,n/e,1350,1350,1350,2463,2463,2463
02.01.2022 02:45 - 02.01.2022 03:00,0,0,n/e,1353,1353,1353,2503,2503,2503
02.01.2022 03:00 - 02.01.2022 03:15,0,0,n/e,1356,1356,1356,2541,2541,2541
02.01.2022 03:15 - 02.01.2022 03:30,0,0,n/e,1348,1348,1348,2560,2560,2560
02.01.2022 03:30 - 02.01.2022 03:45,0,0,n/e,1327,1327,1327,2560,2560,2560
02.01.2022 03:45 - 02.01.2022 04:00,0,0,n/e,1307,1307,1307,2559,2559,2559
02.01.2022 04:00 - 02.01.2022 04:15,0,0,n/e,1287,1287,1287,2562,2562,2562
02.01.2022 04:15 - 02.01.2022 04:30,0,0,n/e,1289,1289,1289,2571,2571,2571
02.01.2022 04:30 - 02.01.2022 04:45,0,0,n/e,1313,1313,1313,2586,2586,2586
02.01.2022 04:45 - 02.01.2022 05:00,0,0,n/e,1338,1338,1338,2600,2600,2600
02.01.2022 05:00 - 02.01.2022 05:15,0,0,n/e,1362,1362,1362,2616,2616,2616
02.01.2022 05:15 - 02.01.2022 05:30,0,0,n/e,1377,1377,1377,2647,2647,2647
02.01.2022 05:30 - 02.01.2022 05:45,0,0,n/e,1381,1381,1381,2702,2702,2702
02.01.2022 05:45 - 02.01.2022 06:00,0,0,n/e,1386,1386,1386,2756,2756,2756
02.01.2022 06:00 - 02.01.2022 06:15,0,0,n/e,1391,1391,1391,2810,2810,2810
02.01.2022 06:15 - 02.01.2022 06:30,0,0,n/e,1395,1395,1395,2865,2865,2865
02.01.2022 06:30 - 02.01.2022 06:45,0,0,n/e,1397,1397,1397,2918,2918,2918
02.01.2022 06:45 - 02.01.2022 07:00,0,0,n/e,1400,1400,1400,2974,2974,2974
02.01.2022 07:00 - 02.01.2022 07:15,0,0,n/e,1403,1403,1403,3030,3030,3030
02.01.2022 07:15 - 02.01.2022 07:30,0,0,n/e,1404,1404,1404,3072,3072,3072
