MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Intraday / Estonia (EE),Generation - Wind Offshore  [MW] Current / Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE)
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,n/e,n/e,n/e,16,16,16
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,n/e,n/e,n/e,19,19,19
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,n/e,n/e,n/e,27,27,27
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,n/e,n/e,n/e,35,35,35
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,n/e,n/e,n/e,40,40,40
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,n/e,n/e,n/e,43,43,43
08.01.2022 07:00 - 08.01.2022 08:00,0,0,0,n/e,n/e,n/e,47,47,47
08.01.2022 08:00 - 08.01.2022 09:00,0,0,0,n/e,n/e,n/e,54,54,54
08.01.2022 09:00 - 08.01.2022 10:00,1,1,1,n/e,n/e,n/e,67,67,67
08.01.2022 10:00 - 08.01.2022 11:00,1,1,1,n/e,n/e,n/e,81,81,81
08.01.2022 11:00 - 08.01.2022 12:00,1,1,1,n/e,n/e,n/e,87,87,87
08.01.2022 12:00 - 08.01.2022 13:00,1,1,1,n/e,n/e,n/e,92,92,92
08.01.2022 13:00 - 08.01.2022 14:00,0,0,0,n/e,n/e,n/e,92,92,92
08.01.2022 14:00 - 08.01.2022 15:00,0,0,0,n/e,n/e,n/e,90,90,90
08.01.2022 15:00 - 08.01.2022 16:00,0,0,0,n/e,n/e,n/e,83,83,83
08.01.2022 16:00 - 08.01.2022 17:00,0,0,0,n/e,n/e,n/e,82,82,82
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,n/e,n/e,n/e,82,82,82
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,n/e,n/e,n/e,82,82,82
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,n/e,n/e,n/e,80,80,80
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,n/e,n/e,n/e,78,78,78
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,n/e,n/e,n/e,73,73,73
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,n/e,n/e,n/e,70,70,70
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,n/e,n/e,n/e,64,64,64
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,n/e,n/e,n/e,56,56,56
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,n/e,n/e,n/e,54,54,54
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,n/e,n/e,n/e,47,47,47
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,n/e,n/e,n/e,40,40,40
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,n/e,n/e,n/e,36,36,36
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,n/e,n/e,n/e,35,35,35
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,n/e,n/e,n/e,35,35,35
09.01.2022 07:00 - 09.01.2022 08:00,0,0,0,n/e,n/e,n/e,35,35,35
09.01.2022 08:00 - 09.01.2022 09:00,0,0,0,n/e,n/e,n/e,32,32,32
09.01.2022 09:00 - 09.01.2022 10:00,2,2,2,n/e,n/e,n/e,28,28,28
09.01.2022 10:00 - 09.01.2022 11:00,3,3,3,n/e,n/e,n/e,28,28,28
09.01.2022 11:00 - 09.01.2022 12:00,3,3,3,n/e,n/e,n/e,28,28,28
09.01.2022 12:00 - 09.01.2022 13:00,3,3,3,n/e,n/e,n/e,26,26,26
09.01.2022 13:00 - 09.01.2022 14:00,2,2,2,n/e,n/e,n/e,24,24,24
09.01.2022 14:00 - 09.01.2022 15:00,0,0,0,n/e,n/e,n/e,20,20,20
09.01.2022 15:00 - 09.01.2022 16:00,0,0,0,n/e,n/e,n/e,18,18,18
09.01.2022 16:00 - 09.01.2022 17:00,0,0,0,n/e,n/e,n/e,17,17,17
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,n/e,n/e,n/e,18,18,18
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,n/e,n/e,n/e,18,18,18
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,n/e,n/e,n/e,19,19,19
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,n/e,n/e,n/e,21,21,21
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,n/e,n/e,n/e,25,25,25
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,n/e,n/e,n/e,32,32,32
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,n/e,n/e,n/e,45,45,45
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,n/e,n/e,n/e,50,50,50
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,n/e,n/e,n/e,53,53,53
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,n/e,n/e,n/e,58,58,58
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,n/e,n/e,n/e,61,61,61
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,n/e,n/e,n/e,63,63,63
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,n/e,n/e,n/e,61,61,61
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,n/e,n/e,n/e,56,56,56
10.01.2022 07:00 - 10.01.2022 08:00,0,0,0,n/e,n/e,n/e,49,49,49
10.01.2022 08:00 - 10.01.2022 09:00,0,0,0,n/e,n/e,n/e,43,43,43
10.01.2022 09:00 - 10.01.2022 10:00,1,1,1,n/e,n/e,n/e,39,39,39
10.01.2022 10:00 - 10.01.2022 11:00,3,3,3,n/e,n/e,n/e,34,34,34
10.01.2022 11:00 - 10.01.2022 12:00,4,4,4,n/e,n/e,n/e,30,30,30
10.01.2022 12:00 - 10.01.2022 13:00,4,4,4,n/e,n/e,n/e,28,28,28
10.01.2022 13:00 - 10.01.2022 14:00,2,2,2,n/e,n/e,n/e,28,28,28
10.01.2022 14:00 - 10.01.2022 15:00,0,0,0,n/e,n/e,n/e,29,29,29
10.01.2022 15:00 - 10.01.2022 16:00,0,0,0,n/e,n/e,n/e,29,29,29
10.01.2022 16:00 - 10.01.2022 17:00,0,0,0,n/e,n/e,n/e,30,30,30
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,n/e,n/e,n/e,28,28,28
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,n/e,n/e,n/e,25,25,25
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,n/e,n/e,n/e,23,23,23
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,n/e,n/e,n/e,20,20,20
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,n/e,n/e,n/e,17,17,17
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,n/e,n/e,n/e,14,14,14
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,n/e,n/e,n/e,8,8,8
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,n/e,n/e,n/e,6,6,6
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,n/e,n/e,n/e,5,5,5
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,n/e,n/e,n/e,5,5,5
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,n/e,n/e,n/e,5,5,5
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,n/e,n/e,n/e,5,5,5
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,n/e,n/e,n/e,6,6,6
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,n/e,n/e,n/e,7,7,7
11.01.2022 07:00 - 11.01.2022 08:00,0,0,0,n/e,n/e,n/e,9,9,9
11.01.2022 08:00 - 11.01.2022 09:00,1,1,1,n/e,n/e,n/e,10,10,10
11.01.2022 09:00 - 11.01.2022 10:00,1,1,1,n/e,n/e,n/e,11,11,11
11.01.2022 10:00 - 11.01.2022 11:00,3,3,3,n/e,n/e,n/e,11,11,11
11.01.2022 11:00 - 11.01.2022 12:00,4,4,4,n/e,n/e,n/e,13,13,13
11.01.2022 12:00 - 11.01.2022 13:00,4,4,4,n/e,n/e,n/e,15,15,15
11.01.2022 13:00 - 11.01.2022 14:00,2,2,2,n/e,n/e,n/e,20,20,20
11.01.2022 14:00 - 11.01.2022 15:00,0,0,0,n/e,n/e,n/e,27,27,27
11.01.2022 15:00 - 11.01.2022 16:00,0,0,0,n/e,n/e,n/e,36,36,36
11.01.2022 16:00 - 11.01.2022 17:00,0,0,0,n/e,n/e,n/e,44,44,44
11.01.2022 17:00 - 11.01.2022 18:00,0,0,0,n/e,n/e,n/e,51,51,51
11.01.2022 18:00 - 11.01.2022 19:00,0,0,0,n/e,n/e,n/e,57,57,57
11.01.2022 19:00 - 11.01.2022 20:00,0,0,0,n/e,n/e,n/e,64,64,64
