MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
02.07.2022 04:00 - 02.07.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 05:00 - 02.07.2022 06:00,20,20,20,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 06:00 - 02.07.2022 07:00,114,114,114,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 07:00 - 02.07.2022 08:00,351,351,351,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 08:00 - 02.07.2022 09:00,675,675,675,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 09:00 - 02.07.2022 10:00,935,935,935,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 10:00 - 02.07.2022 11:00,1141,1141,1141,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 11:00 - 02.07.2022 12:00,1263,1263,1263,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 12:00 - 02.07.2022 13:00,1322,1322,1322,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 13:00 - 02.07.2022 14:00,1326,1326,1326,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 14:00 - 02.07.2022 15:00,1315,1315,1315,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 15:00 - 02.07.2022 16:00,1221,1221,1221,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 16:00 - 02.07.2022 17:00,1036,1036,1036,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 17:00 - 02.07.2022 18:00,729,729,729,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 18:00 - 02.07.2022 19:00,365,365,365,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 19:00 - 02.07.2022 20:00,137,137,137,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 20:00 - 02.07.2022 21:00,37,37,37,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 21:00 - 02.07.2022 22:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 22:00 - 02.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.07.2022 23:00 - 03.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 00:00 - 03.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 01:00 - 03.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 02:00 - 03.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 03:00 - 03.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 04:00 - 03.07.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 05:00 - 03.07.2022 06:00,25,25,25,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 06:00 - 03.07.2022 07:00,138,138,138,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 07:00 - 03.07.2022 08:00,402,402,402,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 08:00 - 03.07.2022 09:00,751,751,751,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 09:00 - 03.07.2022 10:00,1079,1079,1079,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 10:00 - 03.07.2022 11:00,1340,1340,1340,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 11:00 - 03.07.2022 12:00,1500,1500,1500,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 12:00 - 03.07.2022 13:00,1581,1581,1581,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 13:00 - 03.07.2022 14:00,1596,1596,1596,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 14:00 - 03.07.2022 15:00,1502,1502,1502,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 15:00 - 03.07.2022 16:00,1328,1328,1328,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 16:00 - 03.07.2022 17:00,1072,1072,1072,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 17:00 - 03.07.2022 18:00,712,712,712,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 18:00 - 03.07.2022 19:00,360,360,360,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 19:00 - 03.07.2022 20:00,133,133,133,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 20:00 - 03.07.2022 21:00,34,34,34,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 21:00 - 03.07.2022 22:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 22:00 - 03.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.07.2022 23:00 - 04.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 00:00 - 04.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 01:00 - 04.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 02:00 - 04.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 03:00 - 04.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 04:00 - 04.07.2022 05:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 05:00 - 04.07.2022 06:00,26,26,26,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 06:00 - 04.07.2022 07:00,123,123,123,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 07:00 - 04.07.2022 08:00,332,332,332,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 08:00 - 04.07.2022 09:00,596,596,596,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 09:00 - 04.07.2022 10:00,742,742,742,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 10:00 - 04.07.2022 11:00,909,909,909,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 11:00 - 04.07.2022 12:00,1005,1005,1005,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 12:00 - 04.07.2022 13:00,1001,1001,1001,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 13:00 - 04.07.2022 14:00,1012,1012,1012,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 14:00 - 04.07.2022 15:00,996,996,996,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 15:00 - 04.07.2022 16:00,799,799,799,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 16:00 - 04.07.2022 17:00,628,628,628,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 17:00 - 04.07.2022 18:00,452,452,452,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 18:00 - 04.07.2022 19:00,255,255,255,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 19:00 - 04.07.2022 20:00,97,97,97,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 20:00 - 04.07.2022 21:00,35,35,35,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 21:00 - 04.07.2022 22:00,6,6,6,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 22:00 - 04.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.07.2022 23:00 - 05.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 00:00 - 05.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 01:00 - 05.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 02:00 - 05.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 03:00 - 05.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 04:00 - 05.07.2022 05:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 05:00 - 05.07.2022 06:00,20,20,20,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 06:00 - 05.07.2022 07:00,71,71,71,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 07:00 - 05.07.2022 08:00,180,180,180,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 08:00 - 05.07.2022 09:00,340,340,340,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 09:00 - 05.07.2022 10:00,472,472,472,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 10:00 - 05.07.2022 11:00,588,588,588,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 11:00 - 05.07.2022 12:00,657,657,657,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 12:00 - 05.07.2022 13:00,662,662,662,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 13:00 - 05.07.2022 14:00,715,715,715,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 14:00 - 05.07.2022 15:00,759,759,759,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 15:00 - 05.07.2022 16:00,719,719,719,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 16:00 - 05.07.2022 17:00,630,630,630,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 17:00 - 05.07.2022 18:00,465,465,465,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 18:00 - 05.07.2022 19:00,247,247,247,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 19:00 - 05.07.2022 20:00,101,101,101,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 20:00 - 05.07.2022 21:00,33,33,33,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 21:00 - 05.07.2022 22:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 22:00 - 05.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.07.2022 23:00 - 06.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 00:00 - 06.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 01:00 - 06.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 02:00 - 06.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 03:00 - 06.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 04:00 - 06.07.2022 05:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 05:00 - 06.07.2022 06:00,20,20,20,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 06:00 - 06.07.2022 07:00,107,107,107,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 07:00 - 06.07.2022 08:00,318,318,318,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 08:00 - 06.07.2022 09:00,636,636,636,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 09:00 - 06.07.2022 10:00,891,891,891,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 10:00 - 06.07.2022 11:00,1080,1080,1080,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 11:00 - 06.07.2022 12:00,1193,1193,1193,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 12:00 - 06.07.2022 13:00,1193,1193,1193,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 13:00 - 06.07.2022 14:00,1141,1141,1141,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 14:00 - 06.07.2022 15:00,1176,1176,1176,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 15:00 - 06.07.2022 16:00,1125,1125,1125,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 16:00 - 06.07.2022 17:00,913,913,913,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 17:00 - 06.07.2022 18:00,657,657,657,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 18:00 - 06.07.2022 19:00,358,358,358,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 19:00 - 06.07.2022 20:00,129,129,129,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 20:00 - 06.07.2022 21:00,31,31,31,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 21:00 - 06.07.2022 22:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 22:00 - 06.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.07.2022 23:00 - 07.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 00:00 - 07.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 01:00 - 07.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 02:00 - 07.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 03:00 - 07.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 04:00 - 07.07.2022 05:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 05:00 - 07.07.2022 06:00,22,22,22,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 06:00 - 07.07.2022 07:00,79,79,79,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 07:00 - 07.07.2022 08:00,192,192,192,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 08:00 - 07.07.2022 09:00,322,322,322,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 09:00 - 07.07.2022 10:00,475,475,475,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 10:00 - 07.07.2022 11:00,574,574,574,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 11:00 - 07.07.2022 12:00,599,599,599,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 12:00 - 07.07.2022 13:00,675,675,675,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 13:00 - 07.07.2022 14:00,745,745,745,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 14:00 - 07.07.2022 15:00,659,659,659,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 15:00 - 07.07.2022 16:00,551,551,551,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 16:00 - 07.07.2022 17:00,451,451,451,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 17:00 - 07.07.2022 18:00,313,313,313,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 18:00 - 07.07.2022 19:00,169,169,169,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 19:00 - 07.07.2022 20:00,76,76,76,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 20:00 - 07.07.2022 21:00,32,32,32,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 21:00 - 07.07.2022 22:00,6,6,6,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 22:00 - 07.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.07.2022 23:00 - 08.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 00:00 - 08.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 01:00 - 08.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 02:00 - 08.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 03:00 - 08.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 04:00 - 08.07.2022 05:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 05:00 - 08.07.2022 06:00,15,15,15,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 06:00 - 08.07.2022 07:00,75,75,75,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 07:00 - 08.07.2022 08:00,208,208,208,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 08:00 - 08.07.2022 09:00,352,352,352,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 09:00 - 08.07.2022 10:00,449,449,449,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 10:00 - 08.07.2022 11:00,571,571,571,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 11:00 - 08.07.2022 12:00,682,682,682,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 12:00 - 08.07.2022 13:00,756,756,756,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 13:00 - 08.07.2022 14:00,839,839,839,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 14:00 - 08.07.2022 15:00,867,867,867,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 15:00 - 08.07.2022 16:00,903,903,903,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 16:00 - 08.07.2022 17:00,759,759,759,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 17:00 - 08.07.2022 18:00,594,594,594,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 18:00 - 08.07.2022 19:00,303,303,303,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 19:00 - 08.07.2022 20:00,116,116,116,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 20:00 - 08.07.2022 21:00,30,30,30,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 21:00 - 08.07.2022 22:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 22:00 - 08.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.07.2022 23:00 - 09.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 00:00 - 09.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 01:00 - 09.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 02:00 - 09.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 03:00 - 09.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 04:00 - 09.07.2022 05:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 05:00 - 09.07.2022 06:00,19,19,19,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 06:00 - 09.07.2022 07:00,102,102,102,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 07:00 - 09.07.2022 08:00,321,321,321,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 08:00 - 09.07.2022 09:00,616,616,616,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 09:00 - 09.07.2022 10:00,893,893,893,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 10:00 - 09.07.2022 11:00,1068,1068,1068,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 11:00 - 09.07.2022 12:00,1145,1145,1145,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 12:00 - 09.07.2022 13:00,1091,1091,1091,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 13:00 - 09.07.2022 14:00,977,977,977,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 14:00 - 09.07.2022 15:00,854,854,854,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 15:00 - 09.07.2022 16:00,707,707,707,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 16:00 - 09.07.2022 17:00,505,505,505,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 17:00 - 09.07.2022 18:00,327,327,327,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 18:00 - 09.07.2022 19:00,137,137,137,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 19:00 - 09.07.2022 20:00,53,53,53,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 20:00 - 09.07.2022 21:00,27,27,27,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 21:00 - 09.07.2022 22:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 22:00 - 09.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.07.2022 23:00 - 10.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 00:00 - 10.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 01:00 - 10.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 02:00 - 10.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 03:00 - 10.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 04:00 - 10.07.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 05:00 - 10.07.2022 06:00,14,14,14,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 06:00 - 10.07.2022 07:00,87,87,87,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 07:00 - 10.07.2022 08:00,267,267,267,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 08:00 - 10.07.2022 09:00,528,528,528,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 09:00 - 10.07.2022 10:00,715,715,715,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 10:00 - 10.07.2022 11:00,876,876,876,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 11:00 - 10.07.2022 12:00,980,980,980,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 12:00 - 10.07.2022 13:00,975,975,975,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 13:00 - 10.07.2022 14:00,931,931,931,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 14:00 - 10.07.2022 15:00,841,841,841,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 15:00 - 10.07.2022 16:00,728,728,728,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 16:00 - 10.07.2022 17:00,591,591,591,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 17:00 - 10.07.2022 18:00,397,397,397,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 18:00 - 10.07.2022 19:00,199,199,199,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 19:00 - 10.07.2022 20:00,78,78,78,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 20:00 - 10.07.2022 21:00,22,22,22,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 21:00 - 10.07.2022 22:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 22:00 - 10.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.07.2022 23:00 - 11.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 00:00 - 11.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 01:00 - 11.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 02:00 - 11.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 03:00 - 11.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 04:00 - 11.07.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 05:00 - 11.07.2022 06:00,14,14,14,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 06:00 - 11.07.2022 07:00,92,92,92,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 07:00 - 11.07.2022 08:00,283,283,283,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 08:00 - 11.07.2022 09:00,539,539,539,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 09:00 - 11.07.2022 10:00,754,754,754,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 10:00 - 11.07.2022 11:00,964,964,964,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 11:00 - 11.07.2022 12:00,1072,1072,1072,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 12:00 - 11.07.2022 13:00,1056,1056,1056,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 13:00 - 11.07.2022 14:00,1066,1066,1066,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 14:00 - 11.07.2022 15:00,1031,1031,1031,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 15:00 - 11.07.2022 16:00,1042,1042,1042,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 16:00 - 11.07.2022 17:00,859,859,859,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 17:00 - 11.07.2022 18:00,616,616,616,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 18:00 - 11.07.2022 19:00,352,352,352,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 19:00 - 11.07.2022 20:00,131,131,131,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 20:00 - 11.07.2022 21:00,31,31,31,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 21:00 - 11.07.2022 22:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 22:00 - 11.07.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
11.07.2022 23:00 - 12.07.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 00:00 - 12.07.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 01:00 - 12.07.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 02:00 - 12.07.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 03:00 - 12.07.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 04:00 - 12.07.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 05:00 - 12.07.2022 06:00,15,15,15,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 06:00 - 12.07.2022 07:00,102,102,102,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 07:00 - 12.07.2022 08:00,331,331,331,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 08:00 - 12.07.2022 09:00,648,648,648,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 09:00 - 12.07.2022 10:00,884,884,884,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 10:00 - 12.07.2022 11:00,1074,1074,1074,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 11:00 - 12.07.2022 12:00,1214,1214,1214,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 12:00 - 12.07.2022 13:00,1295,1295,1295,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 13:00 - 12.07.2022 14:00,1193,1193,1193,n/e,n/e,n/e,n/e,n/e,n/e
12.07.2022 14:00 - 12.07.2022 15:00,1047,1047,1047,n/e,n/e,n/e,n/e,n/e,n/e
