MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
04.01.2022 10:00 - 04.01.2022 11:00,31,31,31,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 11:00 - 04.01.2022 12:00,56,56,56,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 12:00 - 04.01.2022 13:00,73,73,73,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 13:00 - 04.01.2022 14:00,100,100,100,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 14:00 - 04.01.2022 15:00,71,71,71,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 15:00 - 04.01.2022 16:00,24,24,24,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 16:00 - 04.01.2022 17:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 07:00 - 05.01.2022 08:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 08:00 - 05.01.2022 09:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 09:00 - 05.01.2022 10:00,26,26,26,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 10:00 - 05.01.2022 11:00,71,71,71,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 11:00 - 05.01.2022 12:00,128,128,128,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 12:00 - 05.01.2022 13:00,183,183,183,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 13:00 - 05.01.2022 14:00,188,188,188,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 14:00 - 05.01.2022 15:00,154,154,154,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 15:00 - 05.01.2022 16:00,65,65,65,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 16:00 - 05.01.2022 17:00,10,10,10,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 07:00 - 06.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 08:00 - 06.01.2022 09:00,40,40,40,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 09:00 - 06.01.2022 10:00,181,181,181,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 10:00 - 06.01.2022 11:00,356,356,356,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 11:00 - 06.01.2022 12:00,525,525,525,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 12:00 - 06.01.2022 13:00,661,661,661,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 13:00 - 06.01.2022 14:00,692,692,692,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 14:00 - 06.01.2022 15:00,484,484,484,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 15:00 - 06.01.2022 16:00,164,164,164,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 16:00 - 06.01.2022 17:00,13,13,13,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
