MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Solar  [MW] Intraday / Slovakia (SK),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Intraday / Slovakia (SK),Generation - Wind Offshore  [MW] Current / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Onshore  [MW] Intraday / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK)
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 07:00 - 07.01.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
07.01.2022 08:00 - 07.01.2022 09:00,55,55,55,n/e,n/e,n/e,1,1,1
07.01.2022 09:00 - 07.01.2022 10:00,125,125,125,n/e,n/e,n/e,1,1,1
07.01.2022 10:00 - 07.01.2022 11:00,165,165,165,n/e,n/e,n/e,1,1,1
07.01.2022 11:00 - 07.01.2022 12:00,185,185,185,n/e,n/e,n/e,1,1,1
07.01.2022 12:00 - 07.01.2022 13:00,175,175,175,n/e,n/e,n/e,1,1,1
07.01.2022 13:00 - 07.01.2022 14:00,145,145,145,n/e,n/e,n/e,1,1,1
07.01.2022 14:00 - 07.01.2022 15:00,80,80,80,n/e,n/e,n/e,1,1,1
07.01.2022 15:00 - 07.01.2022 16:00,10,10,10,n/e,n/e,n/e,1,1,1
07.01.2022 16:00 - 07.01.2022 17:00,5,5,5,n/e,n/e,n/e,1,1,1
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 06:00 - 08.01.2022 07:00,2,2,2,n/e,n/e,n/e,1,1,1
08.01.2022 07:00 - 08.01.2022 08:00,35,35,35,n/e,n/e,n/e,1,1,1
08.01.2022 08:00 - 08.01.2022 09:00,90,90,90,n/e,n/e,n/e,1,1,1
08.01.2022 09:00 - 08.01.2022 10:00,125,125,125,n/e,n/e,n/e,1,1,1
08.01.2022 10:00 - 08.01.2022 11:00,135,135,135,n/e,n/e,n/e,1,1,1
08.01.2022 11:00 - 08.01.2022 12:00,150,150,150,n/e,n/e,n/e,1,1,1
08.01.2022 12:00 - 08.01.2022 13:00,130,130,130,n/e,n/e,n/e,1,1,1
08.01.2022 13:00 - 08.01.2022 14:00,95,95,95,n/e,n/e,n/e,1,1,1
08.01.2022 14:00 - 08.01.2022 15:00,50,50,50,n/e,n/e,n/e,1,1,1
08.01.2022 15:00 - 08.01.2022 16:00,8,8,8,n/e,n/e,n/e,1,1,1
08.01.2022 16:00 - 08.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
