MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
04.06.2022 09:00 - 04.06.2022 10:00,1161,1161,1161,133,133,133,179,179,179
04.06.2022 10:00 - 04.06.2022 11:00,1436,1436,1436,131,131,131,172,172,172
04.06.2022 11:00 - 04.06.2022 12:00,1607,1607,1607,119,119,119,164,164,164
04.06.2022 12:00 - 04.06.2022 13:00,1696,1696,1696,119,119,119,163,163,163
04.06.2022 13:00 - 04.06.2022 14:00,1706,1706,1706,107,107,107,175,175,175
04.06.2022 14:00 - 04.06.2022 15:00,1642,1642,1642,125,125,125,186,186,186
04.06.2022 15:00 - 04.06.2022 16:00,1514,1514,1514,143,143,143,196,196,196
04.06.2022 16:00 - 04.06.2022 17:00,1316,1316,1316,140,140,140,198,198,198
04.06.2022 17:00 - 04.06.2022 18:00,1058,1058,1058,126,126,126,217,217,217
04.06.2022 18:00 - 04.06.2022 19:00,733,733,733,113,113,113,246,246,246
04.06.2022 19:00 - 04.06.2022 20:00,393,393,393,130,130,130,259,259,259
04.06.2022 20:00 - 04.06.2022 21:00,135,135,135,116,116,116,238,238,238
04.06.2022 21:00 - 04.06.2022 22:00,18,18,18,116,116,116,217,217,217
04.06.2022 22:00 - 04.06.2022 23:00,0,0,0,126,126,126,218,218,218
04.06.2022 23:00 - 05.06.2022 00:00,0,0,0,124,124,124,228,228,228
05.06.2022 00:00 - 05.06.2022 01:00,1,1,1,75,75,75,136,136,136
05.06.2022 01:00 - 05.06.2022 02:00,0,0,0,72,72,72,143,143,143
05.06.2022 02:00 - 05.06.2022 03:00,0,0,0,53,53,53,146,146,146
05.06.2022 03:00 - 05.06.2022 04:00,0,0,0,40,40,40,148,148,148
05.06.2022 04:00 - 05.06.2022 05:00,2,2,2,29,29,29,144,144,144
05.06.2022 05:00 - 05.06.2022 06:00,47,47,47,26,26,26,138,138,138
05.06.2022 06:00 - 05.06.2022 07:00,200,200,200,28,28,28,128,128,128
05.06.2022 07:00 - 05.06.2022 08:00,490,490,490,25,25,25,115,115,115
05.06.2022 08:00 - 05.06.2022 09:00,858,858,858,26,26,26,117,117,117
05.06.2022 09:00 - 05.06.2022 10:00,1203,1203,1203,32,32,32,131,131,131
05.06.2022 10:00 - 05.06.2022 11:00,1468,1468,1468,49,49,49,163,163,163
05.06.2022 11:00 - 05.06.2022 12:00,1639,1639,1639,62,62,62,174,174,174
05.06.2022 12:00 - 05.06.2022 13:00,1728,1728,1728,70,70,70,178,178,178
05.06.2022 13:00 - 05.06.2022 14:00,1737,1737,1737,110,110,110,179,179,179
05.06.2022 14:00 - 05.06.2022 15:00,1667,1667,1667,156,156,156,200,200,200
05.06.2022 15:00 - 05.06.2022 16:00,1529,1529,1529,197,197,197,224,224,224
05.06.2022 16:00 - 05.06.2022 17:00,1321,1321,1321,275,275,275,254,254,254
05.06.2022 17:00 - 05.06.2022 18:00,1045,1045,1045,357,357,357,296,296,296
05.06.2022 18:00 - 05.06.2022 19:00,695,695,695,418,418,418,347,347,347
05.06.2022 19:00 - 05.06.2022 20:00,351,351,351,418,418,418,404,404,404
05.06.2022 20:00 - 05.06.2022 21:00,114,114,114,471,471,471,434,434,434
05.06.2022 21:00 - 05.06.2022 22:00,15,15,15,518,518,518,478,478,478
05.06.2022 22:00 - 05.06.2022 23:00,0,0,0,507,507,507,546,546,546
05.06.2022 23:00 - 06.06.2022 00:00,0,0,0,494,494,494,650,650,650
06.06.2022 00:00 - 06.06.2022 01:00,0,0,0,528,528,528,768,768,768
06.06.2022 01:00 - 06.06.2022 02:00,0,0,0,528,528,528,837,837,837
06.06.2022 02:00 - 06.06.2022 03:00,0,0,0,570,570,570,981,981,981
06.06.2022 03:00 - 06.06.2022 04:00,0,0,0,705,705,705,1104,1104,1104
06.06.2022 04:00 - 06.06.2022 05:00,2,2,2,871,871,871,1224,1224,1224
06.06.2022 05:00 - 06.06.2022 06:00,27,27,27,936,936,936,1326,1326,1326
06.06.2022 06:00 - 06.06.2022 07:00,72,72,72,958,958,958,1308,1308,1308
06.06.2022 07:00 - 06.06.2022 08:00,133,133,133,899,899,899,1250,1250,1250
06.06.2022 08:00 - 06.06.2022 09:00,186,186,186,888,888,888,1291,1291,1291
06.06.2022 09:00 - 06.06.2022 10:00,226,226,226,900,900,900,1347,1347,1347
06.06.2022 10:00 - 06.06.2022 11:00,268,268,268,889,889,889,1397,1397,1397
06.06.2022 11:00 - 06.06.2022 12:00,327,327,327,835,835,835,1325,1325,1325
06.06.2022 12:00 - 06.06.2022 13:00,393,393,393,708,708,708,1310,1310,1310
06.06.2022 13:00 - 06.06.2022 14:00,420,420,420,701,701,701,1286,1286,1286
06.06.2022 14:00 - 06.06.2022 15:00,419,419,419,773,773,773,1177,1177,1177
06.06.2022 15:00 - 06.06.2022 16:00,415,415,415,732,732,732,1003,1003,1003
06.06.2022 16:00 - 06.06.2022 17:00,436,436,436,582,582,582,844,844,844
06.06.2022 17:00 - 06.06.2022 18:00,395,395,395,465,465,465,701,701,701
06.06.2022 18:00 - 06.06.2022 19:00,261,261,261,404,404,404,581,581,581
06.06.2022 19:00 - 06.06.2022 20:00,157,157,157,403,403,403,480,480,480
06.06.2022 20:00 - 06.06.2022 21:00,66,66,66,321,321,321,416,416,416
06.06.2022 21:00 - 06.06.2022 22:00,10,10,10,206,206,206,400,400,400
06.06.2022 22:00 - 06.06.2022 23:00,0,0,0,202,202,202,404,404,404
06.06.2022 23:00 - 07.06.2022 00:00,0,0,0,208,208,208,434,434,434
07.06.2022 00:00 - 07.06.2022 01:00,2,2,2,450,450,450,701,701,701
07.06.2022 01:00 - 07.06.2022 02:00,0,0,0,492,492,492,656,656,656
07.06.2022 02:00 - 07.06.2022 03:00,0,0,0,587,587,587,666,666,666
07.06.2022 03:00 - 07.06.2022 04:00,0,0,0,665,665,665,644,644,644
07.06.2022 04:00 - 07.06.2022 05:00,1,1,1,712,712,712,632,632,632
07.06.2022 05:00 - 07.06.2022 06:00,21,21,21,763,763,763,654,654,654
07.06.2022 06:00 - 07.06.2022 07:00,59,59,59,742,742,742,659,659,659
07.06.2022 07:00 - 07.06.2022 08:00,114,114,114,733,733,733,688,688,688
07.06.2022 08:00 - 07.06.2022 09:00,180,180,180,661,661,661,862,862,862
07.06.2022 09:00 - 07.06.2022 10:00,265,265,265,617,617,617,1083,1083,1083
07.06.2022 10:00 - 07.06.2022 11:00,354,354,354,626,626,626,1297,1297,1297
07.06.2022 11:00 - 07.06.2022 12:00,439,439,439,585,585,585,1397,1397,1397
07.06.2022 12:00 - 07.06.2022 13:00,467,467,467,479,479,479,1449,1449,1449
07.06.2022 13:00 - 07.06.2022 14:00,451,451,451,395,395,395,1515,1515,1515
07.06.2022 14:00 - 07.06.2022 15:00,407,407,407,345,345,345,1543,1543,1543
07.06.2022 15:00 - 07.06.2022 16:00,346,346,346,413,413,413,1519,1519,1519
07.06.2022 16:00 - 07.06.2022 17:00,294,294,294,583,583,583,1476,1476,1476
07.06.2022 17:00 - 07.06.2022 18:00,255,255,255,641,641,641,1480,1480,1480
07.06.2022 18:00 - 07.06.2022 19:00,175,175,175,812,812,812,1481,1481,1481
07.06.2022 19:00 - 07.06.2022 20:00,95,95,95,878,878,878,1388,1388,1388
07.06.2022 20:00 - 07.06.2022 21:00,37,37,37,874,874,874,1187,1187,1187
07.06.2022 21:00 - 07.06.2022 22:00,6,6,6,747,747,747,1068,1068,1068
07.06.2022 22:00 - 07.06.2022 23:00,0,0,0,695,695,695,1062,1062,1062
07.06.2022 23:00 - 08.06.2022 00:00,0,0,0,679,679,679,1092,1092,1092
08.06.2022 00:00 - 08.06.2022 01:00,0,0,0,893,893,893,1247,1247,1247
08.06.2022 01:00 - 08.06.2022 02:00,0,0,0,852,852,852,1257,1257,1257
08.06.2022 02:00 - 08.06.2022 03:00,0,0,0,821,821,821,1266,1266,1266
08.06.2022 03:00 - 08.06.2022 04:00,0,0,0,799,799,799,1239,1239,1239
08.06.2022 04:00 - 08.06.2022 05:00,1,1,1,741,741,741,1223,1223,1223
08.06.2022 05:00 - 08.06.2022 06:00,25,25,25,674,674,674,1158,1158,1158
08.06.2022 06:00 - 08.06.2022 07:00,89,89,89,623,623,623,1073,1073,1073
08.06.2022 07:00 - 08.06.2022 08:00,194,194,194,589,589,589,975,975,975
08.06.2022 08:00 - 08.06.2022 09:00,310,310,310,511,511,511,978,978,978
08.06.2022 09:00 - 08.06.2022 10:00,464,464,464,447,447,447,933,933,933
08.06.2022 10:00 - 08.06.2022 11:00,670,670,670,376,376,376,903,903,903
08.06.2022 11:00 - 08.06.2022 12:00,873,873,873,344,344,344,845,845,845
08.06.2022 12:00 - 08.06.2022 13:00,1015,1015,1015,281,281,281,773,773,773
08.06.2022 13:00 - 08.06.2022 14:00,1052,1052,1052,208,208,208,712,712,712
08.06.2022 14:00 - 08.06.2022 15:00,1028,1028,1028,179,179,179,656,656,656
08.06.2022 15:00 - 08.06.2022 16:00,933,933,933,152,152,152,547,547,547
08.06.2022 16:00 - 08.06.2022 17:00,818,818,818,135,135,135,425,425,425
08.06.2022 17:00 - 08.06.2022 18:00,656,656,656,124,124,124,329,329,329
08.06.2022 18:00 - 08.06.2022 19:00,419,419,419,131,131,131,227,227,227
08.06.2022 19:00 - 08.06.2022 20:00,211,211,211,136,136,136,155,155,155
08.06.2022 20:00 - 08.06.2022 21:00,74,74,74,126,126,126,118,118,118
08.06.2022 21:00 - 08.06.2022 22:00,11,11,11,125,125,125,123,123,123
08.06.2022 22:00 - 08.06.2022 23:00,0,0,0,134,134,134,152,152,152
08.06.2022 23:00 - 09.06.2022 00:00,0,0,0,165,165,165,179,179,179
09.06.2022 00:00 - 09.06.2022 01:00,0,0,0,178,178,178,237,237,237
09.06.2022 01:00 - 09.06.2022 02:00,0,0,0,159,159,159,274,274,274
09.06.2022 02:00 - 09.06.2022 03:00,0,0,0,124,124,124,306,306,306
09.06.2022 03:00 - 09.06.2022 04:00,0,0,0,138,138,138,300,300,300
09.06.2022 04:00 - 09.06.2022 05:00,2,2,2,167,167,167,282,282,282
09.06.2022 05:00 - 09.06.2022 06:00,24,24,24,161,161,161,259,259,259
09.06.2022 06:00 - 09.06.2022 07:00,70,70,70,136,136,136,238,238,238
09.06.2022 07:00 - 09.06.2022 08:00,152,152,152,121,121,121,230,230,230
09.06.2022 08:00 - 09.06.2022 09:00,253,253,253,124,124,124,247,247,247
09.06.2022 09:00 - 09.06.2022 10:00,345,345,345,131,131,131,268,268,268
09.06.2022 10:00 - 09.06.2022 11:00,401,401,401,144,144,144,305,305,305
09.06.2022 11:00 - 09.06.2022 12:00,494,494,494,156,156,156,343,343,343
09.06.2022 12:00 - 09.06.2022 13:00,591,591,591,144,144,144,364,364,364
09.06.2022 13:00 - 09.06.2022 14:00,647,647,647,128,128,128,390,390,390
09.06.2022 14:00 - 09.06.2022 15:00,698,698,698,102,102,102,416,416,416
09.06.2022 15:00 - 09.06.2022 16:00,665,665,665,103,103,103,442,442,442
09.06.2022 16:00 - 09.06.2022 17:00,593,593,593,146,146,146,458,458,458
09.06.2022 17:00 - 09.06.2022 18:00,504,504,504,284,284,284,482,482,482
09.06.2022 18:00 - 09.06.2022 19:00,336,336,336,414,414,414,505,505,505
09.06.2022 19:00 - 09.06.2022 20:00,175,175,175,388,388,388,524,524,524
09.06.2022 20:00 - 09.06.2022 21:00,63,63,63,432,432,432,516,516,516
09.06.2022 21:00 - 09.06.2022 22:00,11,11,11,432,432,432,505,505,505
09.06.2022 22:00 - 09.06.2022 23:00,0,0,0,389,389,389,538,538,538
09.06.2022 23:00 - 10.06.2022 00:00,0,0,0,398,398,398,585,585,585
10.06.2022 00:00 - 10.06.2022 01:00,0,0,0,388,388,388,721,721,721
10.06.2022 01:00 - 10.06.2022 02:00,0,0,0,417,417,417,745,745,745
10.06.2022 02:00 - 10.06.2022 03:00,0,0,0,414,414,414,750,750,750
10.06.2022 03:00 - 10.06.2022 04:00,0,0,0,440,440,440,740,740,740
10.06.2022 04:00 - 10.06.2022 05:00,2,2,2,429,429,429,739,739,739
10.06.2022 05:00 - 10.06.2022 06:00,34,34,34,440,440,440,678,678,678
10.06.2022 06:00 - 10.06.2022 07:00,123,123,123,419,419,419,580,580,580
10.06.2022 07:00 - 10.06.2022 08:00,305,305,305,383,383,383,475,475,475
10.06.2022 08:00 - 10.06.2022 09:00,570,570,570,307,307,307,457,457,457
10.06.2022 09:00 - 10.06.2022 10:00,901,901,901,286,286,286,485,485,485
10.06.2022 10:00 - 10.06.2022 11:00,1198,1198,1198,290,290,290,568,568,568
10.06.2022 11:00 - 10.06.2022 12:00,1406,1406,1406,266,266,266,630,630,630
10.06.2022 12:00 - 10.06.2022 13:00,1500,1500,1500,293,293,293,713,713,713
10.06.2022 13:00 - 10.06.2022 14:00,1506,1506,1506,319,319,319,824,824,824
10.06.2022 14:00 - 10.06.2022 15:00,1409,1409,1409,386,386,386,899,899,899
10.06.2022 15:00 - 10.06.2022 16:00,1183,1183,1183,422,422,422,954,954,954
10.06.2022 16:00 - 10.06.2022 17:00,949,949,949,441,441,441,947,947,947
10.06.2022 17:00 - 10.06.2022 18:00,730,730,730,432,432,432,943,943,943
10.06.2022 18:00 - 10.06.2022 19:00,492,492,492,382,382,382,918,918,918
10.06.2022 19:00 - 10.06.2022 20:00,264,264,264,338,338,338,843,843,843
10.06.2022 20:00 - 10.06.2022 21:00,93,93,93,333,333,333,714,714,714
10.06.2022 21:00 - 10.06.2022 22:00,14,14,14,335,335,335,622,622,622
10.06.2022 22:00 - 10.06.2022 23:00,0,0,0,341,341,341,593,593,593
10.06.2022 23:00 - 11.06.2022 00:00,0,0,0,318,318,318,594,594,594
11.06.2022 00:00 - 11.06.2022 01:00,0,0,0,353,353,353,585,585,585
11.06.2022 01:00 - 11.06.2022 02:00,0,0,0,364,364,364,575,575,575
11.06.2022 02:00 - 11.06.2022 03:00,0,0,0,425,425,425,564,564,564
11.06.2022 03:00 - 11.06.2022 04:00,0,0,0,466,466,466,524,524,524
11.06.2022 04:00 - 11.06.2022 05:00,2,2,2,476,476,476,529,529,529
11.06.2022 05:00 - 11.06.2022 06:00,41,41,41,528,528,528,542,542,542
11.06.2022 06:00 - 11.06.2022 07:00,147,147,147,502,502,502,536,536,536
11.06.2022 07:00 - 11.06.2022 08:00,343,343,343,448,448,448,519,519,519
11.06.2022 08:00 - 11.06.2022 09:00,575,575,575,450,450,450,595,595,595
11.06.2022 09:00 - 11.06.2022 10:00,776,776,776,464,464,464,680,680,680
11.06.2022 10:00 - 11.06.2022 11:00,930,930,930,397,397,397,773,773,773
11.06.2022 11:00 - 11.06.2022 12:00,1126,1126,1126,364,364,364,843,843,843
11.06.2022 12:00 - 11.06.2022 13:00,1296,1296,1296,406,406,406,966,966,966
11.06.2022 13:00 - 11.06.2022 14:00,1370,1370,1370,510,510,510,1181,1181,1181
11.06.2022 14:00 - 11.06.2022 15:00,1390,1390,1390,545,545,545,1383,1383,1383
11.06.2022 15:00 - 11.06.2022 16:00,1353,1353,1353,583,583,583,1621,1621,1621
11.06.2022 16:00 - 11.06.2022 17:00,1227,1227,1227,641,641,641,1718,1718,1718
11.06.2022 17:00 - 11.06.2022 18:00,1009,1009,1009,629,629,629,1736,1736,1736
11.06.2022 18:00 - 11.06.2022 19:00,704,704,704,648,648,648,1705,1705,1705
11.06.2022 19:00 - 11.06.2022 20:00,386,386,386,712,712,712,1554,1554,1554
11.06.2022 20:00 - 11.06.2022 21:00,142,142,142,731,731,731,1272,1272,1272
11.06.2022 21:00 - 11.06.2022 22:00,21,21,21,730,730,730,1031,1031,1031
11.06.2022 22:00 - 11.06.2022 23:00,0,0,0,707,707,707,933,933,933
11.06.2022 23:00 - 12.06.2022 00:00,0,0,0,711,711,711,962,962,962
12.06.2022 00:00 - 12.06.2022 01:00,0,0,0,600,600,600,1148,1148,1148
12.06.2022 01:00 - 12.06.2022 02:00,0,0,0,626,626,626,1148,1148,1148
12.06.2022 02:00 - 12.06.2022 03:00,0,0,0,708,708,708,1203,1203,1203
12.06.2022 03:00 - 12.06.2022 04:00,0,0,0,703,703,703,1194,1194,1194
12.06.2022 04:00 - 12.06.2022 05:00,3,3,3,638,638,638,1147,1147,1147
12.06.2022 05:00 - 12.06.2022 06:00,46,46,46,627,627,627,1064,1064,1064
12.06.2022 06:00 - 12.06.2022 07:00,171,171,171,565,565,565,945,945,945
12.06.2022 07:00 - 12.06.2022 08:00,413,413,413,540,540,540,862,862,862
12.06.2022 08:00 - 12.06.2022 09:00,731,731,731,549,549,549,964,964,964
12.06.2022 09:00 - 12.06.2022 10:00,1041,1041,1041,583,583,583,1136,1136,1136
12.06.2022 10:00 - 12.06.2022 11:00,1242,1242,1242,566,566,566,1389,1389,1389
12.06.2022 11:00 - 12.06.2022 12:00,1363,1363,1363,566,566,566,1507,1507,1507
12.06.2022 12:00 - 12.06.2022 13:00,1429,1429,1429,512,512,512,1686,1686,1686
12.06.2022 13:00 - 12.06.2022 14:00,1420,1420,1420,495,495,495,1883,1883,1883
12.06.2022 14:00 - 12.06.2022 15:00,1344,1344,1344,492,492,492,2001,2001,2001
12.06.2022 15:00 - 12.06.2022 16:00,1300,1300,1300,483,483,483,2064,2064,2064
12.06.2022 16:00 - 12.06.2022 17:00,1208,1208,1208,467,467,467,1960,1960,1960
12.06.2022 17:00 - 12.06.2022 18:00,1008,1008,1008,513,513,513,1904,1904,1904
12.06.2022 18:00 - 12.06.2022 19:00,711,711,711,527,527,527,1782,1782,1782
12.06.2022 19:00 - 12.06.2022 20:00,393,393,393,553,553,553,1602,1602,1602
12.06.2022 20:00 - 12.06.2022 21:00,143,143,143,578,578,578,1348,1348,1348
12.06.2022 21:00 - 12.06.2022 22:00,21,21,21,548,548,548,1128,1128,1128
12.06.2022 22:00 - 12.06.2022 23:00,0,0,0,518,518,518,1029,1029,1029
12.06.2022 23:00 - 13.06.2022 00:00,0,0,0,559,559,559,1038,1038,1038
13.06.2022 00:00 - 13.06.2022 01:00,0,0,0,743,743,743,1265,1265,1265
13.06.2022 01:00 - 13.06.2022 02:00,0,0,0,768,768,768,1258,1258,1258
13.06.2022 02:00 - 13.06.2022 03:00,0,0,0,758,758,758,1288,1288,1288
13.06.2022 03:00 - 13.06.2022 04:00,0,0,0,726,726,726,1165,1165,1165
13.06.2022 04:00 - 13.06.2022 05:00,3,3,3,652,652,652,1021,1021,1021
13.06.2022 05:00 - 13.06.2022 06:00,43,43,43,551,551,551,875,875,875
13.06.2022 06:00 - 13.06.2022 07:00,145,145,145,507,507,507,805,805,805
13.06.2022 07:00 - 13.06.2022 08:00,352,352,352,519,519,519,832,832,832
13.06.2022 08:00 - 13.06.2022 09:00,600,600,600,541,541,541,1000,1000,1000
13.06.2022 09:00 - 13.06.2022 10:00,766,766,766,575,575,575,1134,1134,1134
13.06.2022 10:00 - 13.06.2022 11:00,900,900,900,595,595,595,1332,1332,1332
13.06.2022 11:00 - 13.06.2022 12:00,1040,1040,1040,653,653,653,1500,1500,1500
13.06.2022 12:00 - 13.06.2022 13:00,1197,1197,1197,680,680,680,1739,1739,1739
13.06.2022 13:00 - 13.06.2022 14:00,1332,1332,1332,683,683,683,2015,2015,2015
13.06.2022 14:00 - 13.06.2022 15:00,1375,1375,1375,753,753,753,2238,2238,2238
13.06.2022 15:00 - 13.06.2022 16:00,1286,1286,1286,824,824,824,2420,2420,2420
13.06.2022 16:00 - 13.06.2022 17:00,1141,1141,1141,882,882,882,2509,2509,2509
13.06.2022 17:00 - 13.06.2022 18:00,908,908,908,907,907,907,2581,2581,2581
13.06.2022 18:00 - 13.06.2022 19:00,618,618,618,1013,1013,1013,2655,2655,2655
13.06.2022 19:00 - 13.06.2022 20:00,339,339,339,1081,1081,1081,2624,2624,2624
13.06.2022 20:00 - 13.06.2022 21:00,123,123,123,1106,1106,1106,2364,2364,2364
13.06.2022 21:00 - 13.06.2022 22:00,18,18,18,1101,1101,1101,2195,2195,2195
13.06.2022 22:00 - 13.06.2022 23:00,0,0,0,1053,1053,1053,2189,2189,2189
13.06.2022 23:00 - 14.06.2022 00:00,0,0,0,1048,1048,1048,2169,2169,2169
14.06.2022 00:00 - 14.06.2022 01:00,0,0,0,1160,1160,1160,2157,2157,2157
14.06.2022 01:00 - 14.06.2022 02:00,0,0,0,1107,1107,1107,2085,2085,2085
14.06.2022 02:00 - 14.06.2022 03:00,0,0,0,1009,1009,1009,2034,2034,2034
14.06.2022 03:00 - 14.06.2022 04:00,0,0,0,987,987,987,1924,1924,1924
14.06.2022 04:00 - 14.06.2022 05:00,3,3,3,926,926,926,1866,1866,1866
14.06.2022 05:00 - 14.06.2022 06:00,43,43,43,840,840,840,1802,1802,1802
14.06.2022 06:00 - 14.06.2022 07:00,140,140,140,815,815,815,1700,1700,1700
14.06.2022 07:00 - 14.06.2022 08:00,308,308,308,818,818,818,1624,1624,1624
14.06.2022 08:00 - 14.06.2022 09:00,537,537,537,741,741,741,1691,1691,1691
14.06.2022 09:00 - 14.06.2022 10:00,814,814,814,706,706,706,1642,1642,1642
14.06.2022 10:00 - 14.06.2022 11:00,1088,1088,1088,681,681,681,1561,1561,1561
14.06.2022 11:00 - 14.06.2022 12:00,1286,1286,1286,610,610,610,1476,1476,1476
14.06.2022 12:00 - 14.06.2022 13:00,1375,1375,1375,518,518,518,1478,1478,1478
14.06.2022 13:00 - 14.06.2022 14:00,1374,1374,1374,473,473,473,1535,1535,1535
14.06.2022 14:00 - 14.06.2022 15:00,1298,1298,1298,498,498,498,1566,1566,1566
14.06.2022 15:00 - 14.06.2022 16:00,1195,1195,1195,532,532,532,1567,1567,1567
14.06.2022 16:00 - 14.06.2022 17:00,1020,1020,1020,483,483,483,1474,1474,1474
14.06.2022 17:00 - 14.06.2022 18:00,808,808,808,466,466,466,1367,1367,1367
14.06.2022 18:00 - 14.06.2022 19:00,535,535,535,486,486,486,1243,1243,1243
14.06.2022 19:00 - 14.06.2022 20:00,286,286,286,466,466,466,1110,1110,1110
14.06.2022 20:00 - 14.06.2022 21:00,109,109,109,414,414,414,906,906,906
14.06.2022 21:00 - 14.06.2022 22:00,20,20,20,352,352,352,739,739,739
14.06.2022 22:00 - 14.06.2022 23:00,0,0,0,338,338,338,680,680,680
14.06.2022 23:00 - 15.06.2022 00:00,0,0,0,331,331,331,685,685,685
15.06.2022 00:00 - 15.06.2022 01:00,0,0,0,305,305,305,649,649,649
15.06.2022 01:00 - 15.06.2022 02:00,0,0,0,292,292,292,657,657,657
15.06.2022 02:00 - 15.06.2022 03:00,0,0,0,280,280,280,694,694,694
15.06.2022 03:00 - 15.06.2022 04:00,0,0,0,311,311,311,694,694,694
15.06.2022 04:00 - 15.06.2022 05:00,3,3,3,312,312,312,656,656,656
15.06.2022 05:00 - 15.06.2022 06:00,48,48,48,282,282,282,591,591,591
15.06.2022 06:00 - 15.06.2022 07:00,169,169,169,257,257,257,548,548,548
15.06.2022 07:00 - 15.06.2022 08:00,392,392,392,193,193,193,532,532,532
15.06.2022 08:00 - 15.06.2022 09:00,687,687,687,133,133,133,582,582,582
15.06.2022 09:00 - 15.06.2022 10:00,989,989,989,111,111,111,602,602,602
15.06.2022 10:00 - 15.06.2022 11:00,1244,1244,1244,84,84,84,611,611,611
15.06.2022 11:00 - 15.06.2022 12:00,1428,1428,1428,77,77,77,610,610,610
15.06.2022 12:00 - 15.06.2022 13:00,1511,1511,1511,77,77,77,642,642,642
15.06.2022 13:00 - 15.06.2022 14:00,1488,1488,1488,65,65,65,715,715,715
15.06.2022 14:00 - 15.06.2022 15:00,1423,1423,1423,53,53,53,784,784,784
15.06.2022 15:00 - 15.06.2022 16:00,1310,1310,1310,55,55,55,813,813,813
15.06.2022 16:00 - 15.06.2022 17:00,1136,1136,1136,69,69,69,819,819,819
15.06.2022 17:00 - 15.06.2022 18:00,915,915,915,97,97,97,813,813,813
15.06.2022 18:00 - 15.06.2022 19:00,638,638,638,104,104,104,766,766,766
15.06.2022 19:00 - 15.06.2022 20:00,358,358,358,139,139,139,709,709,709
15.06.2022 20:00 - 15.06.2022 21:00,135,135,135,141,141,141,593,593,593
15.06.2022 21:00 - 15.06.2022 22:00,22,22,22,109,109,109,505,505,505
15.06.2022 22:00 - 15.06.2022 23:00,0,0,0,112,112,112,496,496,496
15.06.2022 23:00 - 16.06.2022 00:00,0,0,0,136,136,136,548,548,548
16.06.2022 00:00 - 16.06.2022 01:00,0,0,0,193,193,193,528,528,528
16.06.2022 01:00 - 16.06.2022 02:00,0,0,0,253,253,253,585,585,585
16.06.2022 02:00 - 16.06.2022 03:00,0,0,0,252,252,252,680,680,680
16.06.2022 03:00 - 16.06.2022 04:00,0,0,0,267,267,267,713,713,713
16.06.2022 04:00 - 16.06.2022 05:00,3,3,3,272,272,272,782,782,782
16.06.2022 05:00 - 16.06.2022 06:00,44,44,44,284,284,284,873,873,873
16.06.2022 06:00 - 16.06.2022 07:00,157,157,157,304,304,304,895,895,895
16.06.2022 07:00 - 16.06.2022 08:00,385,385,385,334,334,334,915,915,915
16.06.2022 08:00 - 16.06.2022 09:00,689,689,689,333,333,333,1074,1074,1074
16.06.2022 09:00 - 16.06.2022 10:00,1002,1002,1002,339,339,339,1208,1208,1208
16.06.2022 10:00 - 16.06.2022 11:00,1278,1278,1278,343,343,343,1336,1336,1336
16.06.2022 11:00 - 16.06.2022 12:00,1491,1491,1491,323,323,323,1356,1356,1356
16.06.2022 12:00 - 16.06.2022 13:00,1611,1611,1611,298,298,298,1472,1472,1472
16.06.2022 13:00 - 16.06.2022 14:00,1642,1642,1642,329,329,329,1516,1516,1516
16.06.2022 14:00 - 16.06.2022 15:00,1604,1604,1604,318,318,318,1523,1523,1523
16.06.2022 15:00 - 16.06.2022 16:00,1512,1512,1512,390,390,390,1526,1526,1526
16.06.2022 16:00 - 16.06.2022 17:00,1333,1333,1333,391,391,391,1504,1504,1504
16.06.2022 17:00 - 16.06.2022 18:00,1081,1081,1081,457,457,457,1505,1505,1505
16.06.2022 18:00 - 16.06.2022 19:00,757,757,757,479,479,479,1501,1501,1501
16.06.2022 19:00 - 16.06.2022 20:00,416,416,416,512,512,512,1447,1447,1447
16.06.2022 20:00 - 16.06.2022 21:00,146,146,146,483,483,483,1229,1229,1229
16.06.2022 21:00 - 16.06.2022 22:00,21,21,21,427,427,427,1010,1010,1010
16.06.2022 22:00 - 16.06.2022 23:00,0,0,0,399,399,399,907,907,907
16.06.2022 23:00 - 17.06.2022 00:00,0,0,0,368,368,368,926,926,926
17.06.2022 00:00 - 17.06.2022 01:00,0,0,0,448,448,448,795,795,795
17.06.2022 01:00 - 17.06.2022 02:00,0,0,0,391,391,391,731,731,731
17.06.2022 02:00 - 17.06.2022 03:00,0,0,0,331,331,331,689,689,689
17.06.2022 03:00 - 17.06.2022 04:00,0,0,0,348,348,348,650,650,650
17.06.2022 04:00 - 17.06.2022 05:00,3,3,3,353,353,353,686,686,686
17.06.2022 05:00 - 17.06.2022 06:00,49,49,49,412,412,412,690,690,690
17.06.2022 06:00 - 17.06.2022 07:00,159,159,159,429,429,429,565,565,565
17.06.2022 07:00 - 17.06.2022 08:00,335,335,335,385,385,385,430,430,430
17.06.2022 08:00 - 17.06.2022 09:00,531,531,531,328,328,328,402,402,402
