"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Spain (ES)","Actual Total Load [MW] - Spain (ES)"
"28.08.2022 07:30 - 28.08.2022 07:45","20570","20364"
"28.08.2022 07:45 - 28.08.2022 08:00","20600","20248"
"28.08.2022 08:00 - 28.08.2022 08:15","20547","20412"
"28.08.2022 08:15 - 28.08.2022 08:30","20704","20616"
"28.08.2022 08:30 - 28.08.2022 08:45","20939","20804"
"28.08.2022 08:45 - 28.08.2022 09:00","21237","21044"
"28.08.2022 09:00 - 28.08.2022 09:15","21562","21624"
"28.08.2022 09:15 - 28.08.2022 09:30","21921","21984"
"28.08.2022 09:30 - 28.08.2022 09:45","22280","22216"
"28.08.2022 09:45 - 28.08.2022 10:00","22630","22516"
"28.08.2022 10:00 - 28.08.2022 10:15","23026","22936"
"28.08.2022 10:15 - 28.08.2022 10:30","23334","23308"
"28.08.2022 10:30 - 28.08.2022 10:45","23610","23612"
"28.08.2022 10:45 - 28.08.2022 11:00","23857","23804"
"28.08.2022 11:00 - 28.08.2022 11:15","24116","24300"
"28.08.2022 11:15 - 28.08.2022 11:30","24322","24380"
"28.08.2022 11:30 - 28.08.2022 11:45","24514","24604"
"28.08.2022 11:45 - 28.08.2022 12:00","24702","24732"
"28.08.2022 12:00 - 28.08.2022 12:15","24869","24940"
"28.08.2022 12:15 - 28.08.2022 12:30","25075","25120"
"28.08.2022 12:30 - 28.08.2022 12:45","25301","25188"
"28.08.2022 12:45 - 28.08.2022 13:00","25539","25508"
"28.08.2022 13:00 - 28.08.2022 13:15","25816","25816"
"28.08.2022 13:15 - 28.08.2022 13:30","26043","26044"
"28.08.2022 13:30 - 28.08.2022 13:45","26246","26328"
"28.08.2022 13:45 - 28.08.2022 14:00","26409","26688"
"28.08.2022 14:00 - 28.08.2022 14:15","26661","26736"
"28.08.2022 14:15 - 28.08.2022 14:30","26699","26896"
"28.08.2022 14:30 - 28.08.2022 14:45","26658","26740"
"28.08.2022 14:45 - 28.08.2022 15:00","26559","26616"
"28.08.2022 15:00 - 28.08.2022 15:15","26416","26524"
"28.08.2022 15:15 - 28.08.2022 15:30","26287","26328"
"28.08.2022 15:30 - 28.08.2022 15:45","26181","26032"
"28.08.2022 15:45 - 28.08.2022 16:00","26101","25976"
"28.08.2022 16:00 - 28.08.2022 16:15","26005","25852"
"28.08.2022 16:15 - 28.08.2022 16:30","25967","25860"
"28.08.2022 16:30 - 28.08.2022 16:45","25945","25932"
"28.08.2022 16:45 - 28.08.2022 17:00","25941","25872"
"28.08.2022 17:00 - 28.08.2022 17:15","25921","25928"
"28.08.2022 17:15 - 28.08.2022 17:30","25950","25976"
"28.08.2022 17:30 - 28.08.2022 17:45","25995","25876"
"28.08.2022 17:45 - 28.08.2022 18:00","26053","26004"
"28.08.2022 18:00 - 28.08.2022 18:15","26116","25956"
"28.08.2022 18:15 - 28.08.2022 18:30","26190","26116"
"28.08.2022 18:30 - 28.08.2022 18:45","26266","26128"
"28.08.2022 18:45 - 28.08.2022 19:00","26334","26144"
"28.08.2022 19:00 - 28.08.2022 19:15","26428","26160"
"28.08.2022 19:15 - 28.08.2022 19:30","26449","26316"
"28.08.2022 19:30 - 28.08.2022 19:45","26440","26500"
"28.08.2022 19:45 - 28.08.2022 20:00","26444","26396"
"28.08.2022 20:00 - 28.08.2022 20:15","26285","26544"
"28.08.2022 20:15 - 28.08.2022 20:30","26473","26604"
"28.08.2022 20:30 - 28.08.2022 20:45","26806","26920"
"28.08.2022 20:45 - 28.08.2022 21:00","27214","27428"
"28.08.2022 21:00 - 28.08.2022 21:15","27881","27928"
"28.08.2022 21:15 - 28.08.2022 21:30","28156","28392"
"28.08.2022 21:30 - 28.08.2022 21:45","28242","28364"
"28.08.2022 21:45 - 28.08.2022 22:00","28154","28308"
"28.08.2022 22:00 - 28.08.2022 22:15","28099","28024"
"28.08.2022 22:15 - 28.08.2022 22:30","27779","27736"
"28.08.2022 22:30 - 28.08.2022 22:45","27400","27304"
"28.08.2022 22:45 - 28.08.2022 23:00","26986","26952"
"28.08.2022 23:00 - 28.08.2022 23:15","26541","26520"
"28.08.2022 23:15 - 28.08.2022 23:30","26126","26092"
"28.08.2022 23:30 - 28.08.2022 23:45","25737","25588"
"28.08.2022 23:45 - 29.08.2022 00:00","25372","25276"
"29.08.2022 00:00 - 29.08.2022 00:15","24998","25032"
"29.08.2022 00:15 - 29.08.2022 00:30","24646","24736"
"29.08.2022 00:30 - 29.08.2022 00:45","24300","24412"
"29.08.2022 00:45 - 29.08.2022 01:00","23963","24016"
"29.08.2022 01:00 - 29.08.2022 01:15","23611","23664"
"29.08.2022 01:15 - 29.08.2022 01:30","23305","23340"
"29.08.2022 01:30 - 29.08.2022 01:45","23019","23084"
"29.08.2022 01:45 - 29.08.2022 02:00","22757","22812"
"29.08.2022 02:00 - 29.08.2022 02:15","22467","22608"
"29.08.2022 02:15 - 29.08.2022 02:30","22260","22252"
"29.08.2022 02:30 - 29.08.2022 02:45","22084","22092"
"29.08.2022 02:45 - 29.08.2022 03:00","21937","21972"
"29.08.2022 03:00 - 29.08.2022 03:15","21770","21856"
"29.08.2022 03:15 - 29.08.2022 03:30","21676","21716"
"29.08.2022 03:30 - 29.08.2022 03:45","21606","21552"
"29.08.2022 03:45 - 29.08.2022 04:00","21557","21464"
"29.08.2022 04:00 - 29.08.2022 04:15","21481","21448"
"29.08.2022 04:15 - 29.08.2022 04:30","21466","21416"
"29.08.2022 04:30 - 29.08.2022 04:45","21471","21388"
"29.08.2022 04:45 - 29.08.2022 05:00","21529","21404"
"29.08.2022 05:00 - 29.08.2022 05:15","21422","21604"
"29.08.2022 05:15 - 29.08.2022 05:30","21698","21748"
"29.08.2022 05:30 - 29.08.2022 05:45","22125","21936"
"29.08.2022 05:45 - 29.08.2022 06:00","22668","22264"
"29.08.2022 06:00 - 29.08.2022 06:15","23308","23132"
"29.08.2022 06:15 - 29.08.2022 06:30","23928","23740"
"29.08.2022 06:30 - 29.08.2022 06:45","24516","24272"
"29.08.2022 06:45 - 29.08.2022 07:00","25059","24820"
"29.08.2022 07:00 - 29.08.2022 07:15","25682","25716"
"29.08.2022 07:15 - 29.08.2022 07:30","26116","26256"
"29.08.2022 07:30 - 29.08.2022 07:45","26491","26464"
"29.08.2022 07:45 - 29.08.2022 08:00","26830","26584"
"29.08.2022 08:00 - 29.08.2022 08:15","27116","27120"
"29.08.2022 08:15 - 29.08.2022 08:30","27477","27604"
"29.08.2022 08:30 - 29.08.2022 08:45","27886","27992"
"29.08.2022 08:45 - 29.08.2022 09:00","28325","28316"
"29.08.2022 09:00 - 29.08.2022 09:15","28837","28808"
"29.08.2022 09:15 - 29.08.2022 09:30","29263","29128"
"29.08.2022 09:30 - 29.08.2022 09:45","29648","29532"
"29.08.2022 09:45 - 29.08.2022 10:00","29989","29920"
"29.08.2022 10:00 - 29.08.2022 10:15","30369","30320"
"29.08.2022 10:15 - 29.08.2022 10:30","30630","30660"
"29.08.2022 10:30 - 29.08.2022 10:45","30855","30956"
"29.08.2022 10:45 - 29.08.2022 11:00","31056","31164"
"29.08.2022 11:00 - 29.08.2022 11:15","31239","31276"
"29.08.2022 11:15 - 29.08.2022 11:30","31431","31468"
"29.08.2022 11:30 - 29.08.2022 11:45","31635","31744"
"29.08.2022 11:45 - 29.08.2022 12:00","31847","32008"
"29.08.2022 12:00 - 29.08.2022 12:15","32076","32236"
"29.08.2022 12:15 - 29.08.2022 12:30","32288","32476"
"29.08.2022 12:30 - 29.08.2022 12:45","32491","32688"
"29.08.2022 12:45 - 29.08.2022 13:00","32680","32988"
"29.08.2022 13:00 - 29.08.2022 13:15","32908","33072"
"29.08.2022 13:15 - 29.08.2022 13:30","33053","33404"
"29.08.2022 13:30 - 29.08.2022 13:45","33167","33380"
"29.08.2022 13:45 - 29.08.2022 14:00","33238","33384"
"29.08.2022 14:00 - 29.08.2022 14:15","33387","33252"
"29.08.2022 14:15 - 29.08.2022 14:30","33333","33392"
"29.08.2022 14:30 - 29.08.2022 14:45","33205","33240"
"29.08.2022 14:45 - 29.08.2022 15:00","33028","33112"
"29.08.2022 15:00 - 29.08.2022 15:15","32779","32756"
"29.08.2022 15:15 - 29.08.2022 15:30","32613","32692"
"29.08.2022 15:30 - 29.08.2022 15:45","32496","32512"
"29.08.2022 15:45 - 29.08.2022 16:00","32427","32392"
"29.08.2022 16:00 - 29.08.2022 16:15","32349","32272"
"29.08.2022 16:15 - 29.08.2022 16:30","32347","32220"
"29.08.2022 16:30 - 29.08.2022 16:45","32364","32264"
"29.08.2022 16:45 - 29.08.2022 17:00","32383","32268"
"29.08.2022 17:00 - 29.08.2022 17:15","32456","32388"
"29.08.2022 17:15 - 29.08.2022 17:30","32427","32304"
"29.08.2022 17:30 - 29.08.2022 17:45","32353","32224"
"29.08.2022 17:45 - 29.08.2022 18:00","32245","32184"
"29.08.2022 18:00 - 29.08.2022 18:15","32116","32032"
"29.08.2022 18:15 - 29.08.2022 18:30","31990","31720"
"29.08.2022 18:30 - 29.08.2022 18:45","31876","31600"
"29.08.2022 18:45 - 29.08.2022 19:00","31772","31628"
"29.08.2022 19:00 - 29.08.2022 19:15","31661","31416"
"29.08.2022 19:15 - 29.08.2022 19:30","31567","31256"
"29.08.2022 19:30 - 29.08.2022 19:45","31477","31224"
"29.08.2022 19:45 - 29.08.2022 20:00","31419","31092"
"29.08.2022 20:00 - 29.08.2022 20:15","31250","30836"
"29.08.2022 20:15 - 29.08.2022 20:30","31354","30872"
"29.08.2022 20:30 - 29.08.2022 20:45","31566","31136"
"29.08.2022 20:45 - 29.08.2022 21:00","31805","31576"
"29.08.2022 21:00 - 29.08.2022 21:15","32367","32176"
"29.08.2022 21:15 - 29.08.2022 21:30","32343","32520"
"29.08.2022 21:30 - 29.08.2022 21:45","32057","32196"
"29.08.2022 21:45 - 29.08.2022 22:00","31561","31504"
"29.08.2022 22:00 - 29.08.2022 22:15","31000","30804"
"29.08.2022 22:15 - 29.08.2022 22:30","30327","30292"
"29.08.2022 22:30 - 29.08.2022 22:45","29679","29660"
"29.08.2022 22:45 - 29.08.2022 23:00","29079","29156"
"29.08.2022 23:00 - 29.08.2022 23:15","28409","28580"
"29.08.2022 23:15 - 29.08.2022 23:30","27950","28040"
"29.08.2022 23:30 - 29.08.2022 23:45","27575","27628"
"29.08.2022 23:45 - 30.08.2022 00:00","27257","27164"
"30.08.2022 00:00 - 30.08.2022 00:15","27040","27048"
"30.08.2022 00:15 - 30.08.2022 00:30","26701","27016"
"30.08.2022 00:30 - 30.08.2022 00:45","26356","26600"
"30.08.2022 00:45 - 30.08.2022 01:00","26011","26060"
"30.08.2022 01:00 - 30.08.2022 01:15","25651","25768"
"30.08.2022 01:15 - 30.08.2022 01:30","25326","25428"
"30.08.2022 01:30 - 30.08.2022 01:45","25020","25084"
"30.08.2022 01:45 - 30.08.2022 02:00","24736","24820"
"30.08.2022 02:00 - 30.08.2022 02:15","24425","24528"
"30.08.2022 02:15 - 30.08.2022 02:30","24197","24264"
"30.08.2022 02:30 - 30.08.2022 02:45","23998","24020"
"30.08.2022 02:45 - 30.08.2022 03:00","23828","23880"
"30.08.2022 03:00 - 30.08.2022 03:15","23645","23800"
"30.08.2022 03:15 - 30.08.2022 03:30","23520","23736"
"30.08.2022 03:30 - 30.08.2022 03:45","23412","23556"
"30.08.2022 03:45 - 30.08.2022 04:00","23320","23424"
"30.08.2022 04:00 - 30.08.2022 04:15","23201","23392"
"30.08.2022 04:15 - 30.08.2022 04:30","23144","23436"
"30.08.2022 04:30 - 30.08.2022 04:45","23108","23280"
"30.08.2022 04:45 - 30.08.2022 05:00","23120","23352"
"30.08.2022 05:00 - 30.08.2022 05:15","22991","23420"
"30.08.2022 05:15 - 30.08.2022 05:30","23190","23436"
"30.08.2022 05:30 - 30.08.2022 05:45","23518","23592"
"30.08.2022 05:45 - 30.08.2022 06:00","23948","23872"
"30.08.2022 06:00 - 30.08.2022 06:15","24432","24616"
"30.08.2022 06:15 - 30.08.2022 06:30","24955","25212"
"30.08.2022 06:30 - 30.08.2022 06:45","25471","25692"
"30.08.2022 06:45 - 30.08.2022 07:00","25961","26208"
"30.08.2022 07:00 - 30.08.2022 07:15","26544","27132"
"30.08.2022 07:15 - 30.08.2022 07:30","26928","27556"
"30.08.2022 07:30 - 30.08.2022 07:45","27242","27500"
"30.08.2022 07:45 - 30.08.2022 08:00","27512","27648"
"30.08.2022 08:00 - 30.08.2022 08:15","27711","28052"
"30.08.2022 08:15 - 30.08.2022 08:30","28004","28460"
"30.08.2022 08:30 - 30.08.2022 08:45","28355","28684"
"30.08.2022 08:45 - 30.08.2022 09:00","28747","28996"
"30.08.2022 09:00 - 30.08.2022 09:15","29197","29440"
"30.08.2022 09:15 - 30.08.2022 09:30","29598","29716"
"30.08.2022 09:30 - 30.08.2022 09:45","29970","30044"
"30.08.2022 09:45 - 30.08.2022 10:00","30305","30156"
"30.08.2022 10:00 - 30.08.2022 10:15","30685","30676"
"30.08.2022 10:15 - 30.08.2022 10:30","30942","31044"
"30.08.2022 10:30 - 30.08.2022 10:45","31160","31448"
"30.08.2022 10:45 - 30.08.2022 11:00","31353","31672"
"30.08.2022 11:00 - 30.08.2022 11:15","31510","31824"
"30.08.2022 11:15 - 30.08.2022 11:30","31711","32036"
"30.08.2022 11:30 - 30.08.2022 11:45","31939","32240"
"30.08.2022 11:45 - 30.08.2022 12:00","32187","32404"
"30.08.2022 12:00 - 30.08.2022 12:15","32464","32660"
"30.08.2022 12:15 - 30.08.2022 12:30","32718","32956"
"30.08.2022 12:30 - 30.08.2022 12:45","32958","33252"
"30.08.2022 12:45 - 30.08.2022 13:00","33173","33540"
"30.08.2022 13:00 - 30.08.2022 13:15","33451","33656"
"30.08.2022 13:15 - 30.08.2022 13:30","33588","33944"
"30.08.2022 13:30 - 30.08.2022 13:45","33672","34092"
"30.08.2022 13:45 - 30.08.2022 14:00","33703","34180"
"30.08.2022 14:00 - 30.08.2022 14:15","33779","34056"
"30.08.2022 14:15 - 30.08.2022 14:30","33702","34184"
"30.08.2022 14:30 - 30.08.2022 14:45","33575","34080"
"30.08.2022 14:45 - 30.08.2022 15:00","33421","33884"
"30.08.2022 15:00 - 30.08.2022 15:15","33207","33632"
"30.08.2022 15:15 - 30.08.2022 15:30","33074","33452"
"30.08.2022 15:30 - 30.08.2022 15:45","32985","33240"
"30.08.2022 15:45 - 30.08.2022 16:00","32936","33172"
"30.08.2022 16:00 - 30.08.2022 16:15","32885","33124"
"30.08.2022 16:15 - 30.08.2022 16:30","32888","33052"
"30.08.2022 16:30 - 30.08.2022 16:45","32901","33060"
"30.08.2022 16:45 - 30.08.2022 17:00","32911","32992"
"30.08.2022 17:00 - 30.08.2022 17:15","32977","32936"
"30.08.2022 17:15 - 30.08.2022 17:30","32931","32832"
"30.08.2022 17:30 - 30.08.2022 17:45","32839","32872"
"30.08.2022 17:45 - 30.08.2022 18:00","32712","32848"
"30.08.2022 18:00 - 30.08.2022 18:15","32567","32568"
"30.08.2022 18:15 - 30.08.2022 18:30","32416","32396"
"30.08.2022 18:30 - 30.08.2022 18:45","32274","32300"
"30.08.2022 18:45 - 30.08.2022 19:00","32134","32124"
"30.08.2022 19:00 - 30.08.2022 19:15","32004","31864"
"30.08.2022 19:15 - 30.08.2022 19:30","31844","31704"
"30.08.2022 19:30 - 30.08.2022 19:45","31671","31644"
"30.08.2022 19:45 - 30.08.2022 20:00","31529","31584"
"30.08.2022 20:00 - 30.08.2022 20:15","31212","31472"
"30.08.2022 20:15 - 30.08.2022 20:30","31295","31464"
"30.08.2022 20:30 - 30.08.2022 20:45","31541","31748"
"30.08.2022 20:45 - 30.08.2022 21:00","31849","32184"
"30.08.2022 21:00 - 30.08.2022 21:15","32534","32584"
"30.08.2022 21:15 - 30.08.2022 21:30","32575","32772"
"30.08.2022 21:30 - 30.08.2022 21:45","32320","32408"
"30.08.2022 21:45 - 30.08.2022 22:00","31823","31668"
"30.08.2022 22:00 - 30.08.2022 22:15","31252","30864"
"30.08.2022 22:15 - 30.08.2022 22:30","30551","30408"
"30.08.2022 22:30 - 30.08.2022 22:45","29875","29712"
"30.08.2022 22:45 - 30.08.2022 23:00","29252","29260"
"30.08.2022 23:00 - 30.08.2022 23:15","28554","28684"
"30.08.2022 23:15 - 30.08.2022 23:30","28082","28100"
"30.08.2022 23:30 - 30.08.2022 23:45","27697","27576"
"30.08.2022 23:45 - 31.08.2022 00:00","27378","27100"
"31.08.2022 00:00 - 31.08.2022 00:15","27201","26928"
"31.08.2022 00:15 - 31.08.2022 00:30","26886","26868"
"31.08.2022 00:30 - 31.08.2022 00:45","26568","26560"
"31.08.2022 00:45 - 31.08.2022 01:00","26248","26128"
"31.08.2022 01:00 - 31.08.2022 01:15","25927","25796"
"31.08.2022 01:15 - 31.08.2022 01:30","25609","25532"
"31.08.2022 01:30 - 31.08.2022 01:45","25296","25244"
"31.08.2022 01:45 - 31.08.2022 02:00","24997","25096"
"31.08.2022 02:00 - 31.08.2022 02:15","24657","24836"
"31.08.2022 02:15 - 31.08.2022 02:30","24414","24408"
"31.08.2022 02:30 - 31.08.2022 02:45","24211","24232"
"31.08.2022 02:45 - 31.08.2022 03:00","24045","24088"
"31.08.2022 03:00 - 31.08.2022 03:15","23865","23928"
"31.08.2022 03:15 - 31.08.2022 03:30","23756","23844"
"31.08.2022 03:30 - 31.08.2022 03:45","23666","23660"
"31.08.2022 03:45 - 31.08.2022 04:00","23593","23624"
"31.08.2022 04:00 - 31.08.2022 04:15","23503","23564"
"31.08.2022 04:15 - 31.08.2022 04:30","23453","23392"
"31.08.2022 04:30 - 31.08.2022 04:45","23414","23496"
"31.08.2022 04:45 - 31.08.2022 05:00","23417","23560"
"31.08.2022 05:00 - 31.08.2022 05:15","23271","23664"
"31.08.2022 05:15 - 31.08.2022 05:30","23460","23588"
"31.08.2022 05:30 - 31.08.2022 05:45","23784","23708"
"31.08.2022 05:45 - 31.08.2022 06:00","24217","23972"
"31.08.2022 06:00 - 31.08.2022 06:15","24696","24804"
"31.08.2022 06:15 - 31.08.2022 06:30","25239","25244"
"31.08.2022 06:30 - 31.08.2022 06:45","25785","25772"
"31.08.2022 06:45 - 31.08.2022 07:00","26308","26316"
"31.08.2022 07:00 - 31.08.2022 07:15","26945","27240"
"31.08.2022 07:15 - 31.08.2022 07:30","27354","27724"
"31.08.2022 07:30 - 31.08.2022 07:45","27678","27880"
"31.08.2022 07:45 - 31.08.2022 08:00","27942","27884"
"31.08.2022 08:00 - 31.08.2022 08:15","28153","28236"
"31.08.2022 08:15 - 31.08.2022 08:30","28401","28676"
"31.08.2022 08:30 - 31.08.2022 08:45","28687","28912"
"31.08.2022 08:45 - 31.08.2022 09:00","29006","28988"
"31.08.2022 09:00 - 31.08.2022 09:15","29341","29428"
"31.08.2022 09:15 - 31.08.2022 09:30","29694","29684"
"31.08.2022 09:30 - 31.08.2022 09:45","30049","29916"
"31.08.2022 09:45 - 31.08.2022 10:00","30390","30180"
"31.08.2022 10:00 - 31.08.2022 10:15","30796","30600"
"31.08.2022 10:15 - 31.08.2022 10:30","31066","30800"
"31.08.2022 10:30 - 31.08.2022 10:45","31284","31004"
"31.08.2022 10:45 - 31.08.2022 11:00","31468","31184"
"31.08.2022 11:00 - 31.08.2022 11:15","31609","31308"
"31.08.2022 11:15 - 31.08.2022 11:30","31794","31492"
"31.08.2022 11:30 - 31.08.2022 11:45","32010","31724"
"31.08.2022 11:45 - 31.08.2022 12:00","32249","31796"
"31.08.2022 12:00 - 31.08.2022 12:15","32518","31924"
"31.08.2022 12:15 - 31.08.2022 12:30","32763","32132"
"31.08.2022 12:30 - 31.08.2022 12:45","32993","32336"
"31.08.2022 12:45 - 31.08.2022 13:00","33197","32592"
"31.08.2022 13:00 - 31.08.2022 13:15","33462","32668"
"31.08.2022 13:15 - 31.08.2022 13:30","33586","32924"
"31.08.2022 13:30 - 31.08.2022 13:45","33658","33036"
"31.08.2022 13:45 - 31.08.2022 14:00","33677","33096"
"31.08.2022 14:00 - 31.08.2022 14:15","33740","32932"
"31.08.2022 14:15 - 31.08.2022 14:30","33652","32936"
"31.08.2022 14:30 - 31.08.2022 14:45","33517","32824"
"31.08.2022 14:45 - 31.08.2022 15:00","33352","32536"
"31.08.2022 15:00 - 31.08.2022 15:15","33139","32384"
"31.08.2022 15:15 - 31.08.2022 15:30","32984","32364"
"31.08.2022 15:30 - 31.08.2022 15:45","32864","32140"
"31.08.2022 15:45 - 31.08.2022 16:00","32777","32152"
"31.08.2022 16:00 - 31.08.2022 16:15","32683","32052"
"31.08.2022 16:15 - 31.08.2022 16:30","32644","31972"
"31.08.2022 16:30 - 31.08.2022 16:45","32620","31972"
"31.08.2022 16:45 - 31.08.2022 17:00","32594","31884"
"31.08.2022 17:00 - 31.08.2022 17:15","32622","31928"
"31.08.2022 17:15 - 31.08.2022 17:30","32546","31936"
"31.08.2022 17:30 - 31.08.2022 17:45","32425","31916"
"31.08.2022 17:45 - 31.08.2022 18:00","32271","31840"
"31.08.2022 18:00 - 31.08.2022 18:15","32095","31680"
"31.08.2022 18:15 - 31.08.2022 18:30","31920","31476"
"31.08.2022 18:30 - 31.08.2022 18:45","31758","31284"
"31.08.2022 18:45 - 31.08.2022 19:00","31611","31144"
"31.08.2022 19:00 - 31.08.2022 19:15","31431","30972"
"31.08.2022 19:15 - 31.08.2022 19:30","31324","30844"
"31.08.2022 19:30 - 31.08.2022 19:45","31243","30788"
"31.08.2022 19:45 - 31.08.2022 20:00","31210","30820"
"31.08.2022 20:00 - 31.08.2022 20:15","31082","30704"
"31.08.2022 20:15 - 31.08.2022 20:30","31220","30592"
"31.08.2022 20:30 - 31.08.2022 20:45","31459","30736"
"31.08.2022 20:45 - 31.08.2022 21:00","31713","31220"
"31.08.2022 21:00 - 31.08.2022 21:15","32309","31688"
"31.08.2022 21:15 - 31.08.2022 21:30","32272","31812"
"31.08.2022 21:30 - 31.08.2022 21:45","31957","31452"
"31.08.2022 21:45 - 31.08.2022 22:00","31423","30792"
"31.08.2022 22:00 - 31.08.2022 22:15","30804","30120"
"31.08.2022 22:15 - 31.08.2022 22:30","30104","29612"
"31.08.2022 22:30 - 31.08.2022 22:45","29446","28940"
"31.08.2022 22:45 - 31.08.2022 23:00","28851","28480"
"31.08.2022 23:00 - 31.08.2022 23:15","28187","27960"
"31.08.2022 23:15 - 31.08.2022 23:30","27751","27368"
"31.08.2022 23:30 - 31.08.2022 23:45","27400","26912"
"31.08.2022 23:45 - 01.09.2022 00:00","27108","26380"
"01.09.2022 00:00 - 01.09.2022 00:15","26488","26248"
"01.09.2022 00:15 - 01.09.2022 00:30","26178","26152"
"01.09.2022 00:30 - 01.09.2022 00:45","25862","25724"
"01.09.2022 00:45 - 01.09.2022 01:00","25547","25360"
"01.09.2022 01:00 - 01.09.2022 01:15","25213","24940"
"01.09.2022 01:15 - 01.09.2022 01:30","24919","24776"
"01.09.2022 01:30 - 01.09.2022 01:45","24644","24464"
"01.09.2022 01:45 - 01.09.2022 02:00","24392","24160"
"01.09.2022 02:00 - 01.09.2022 02:15","24114","23828"
"01.09.2022 02:15 - 01.09.2022 02:30","23913","23616"
"01.09.2022 02:30 - 01.09.2022 02:45","23740","23476"
"01.09.2022 02:45 - 01.09.2022 03:00","23593","23260"
"01.09.2022 03:00 - 01.09.2022 03:15","23429","23240"
"01.09.2022 03:15 - 01.09.2022 03:30","23332","23092"
"01.09.2022 03:30 - 01.09.2022 03:45","23256","22948"
"01.09.2022 03:45 - 01.09.2022 04:00","23196","22864"
"01.09.2022 04:00 - 01.09.2022 04:15","23125","22844"
"01.09.2022 04:15 - 01.09.2022 04:30","23084","22888"
"01.09.2022 04:30 - 01.09.2022 04:45","23051","22784"
"01.09.2022 04:45 - 01.09.2022 05:00","23056","22720"
"01.09.2022 05:00 - 01.09.2022 05:15","22911","22900"
"01.09.2022 05:15 - 01.09.2022 05:30","23098","22980"
"01.09.2022 05:30 - 01.09.2022 05:45","23417","23116"
"01.09.2022 05:45 - 01.09.2022 06:00","23845","23360"
"01.09.2022 06:00 - 01.09.2022 06:15","24318","24192"
"01.09.2022 06:15 - 01.09.2022 06:30","24855","24752"
"01.09.2022 06:30 - 01.09.2022 06:45","25396","25216"
"01.09.2022 06:45 - 01.09.2022 07:00","25912","25768"
"01.09.2022 07:00 - 01.09.2022 07:15","26552","26680"
"01.09.2022 07:15 - 01.09.2022 07:30","26943","27156"
"01.09.2022 07:30 - 01.09.2022 07:45","27241","27216"
"01.09.2022 07:45 - 01.09.2022 08:00","27472","27376"
"01.09.2022 08:00 - 01.09.2022 08:15","27647","27736"
"01.09.2022 08:15 - 01.09.2022 08:30","27855","28092"
"01.09.2022 08:30 - 01.09.2022 08:45","28097","28248"
"01.09.2022 08:45 - 01.09.2022 09:00","28372","28576"
"01.09.2022 09:00 - 01.09.2022 09:15","28663","28896"
"01.09.2022 09:15 - 01.09.2022 09:30","28970","29312"
"01.09.2022 09:30 - 01.09.2022 09:45","29275","29536"
"01.09.2022 09:45 - 01.09.2022 10:00","29567","29704"
"01.09.2022 10:00 - 01.09.2022 10:15","29918","30120"
"01.09.2022 10:15 - 01.09.2022 10:30","30143","30340"
"01.09.2022 10:30 - 01.09.2022 10:45","30320","30428"
"01.09.2022 10:45 - 01.09.2022 11:00","30464","30584"
"01.09.2022 11:00 - 01.09.2022 11:15","30568","30752"
"01.09.2022 11:15 - 01.09.2022 11:30","30713","30744"
"01.09.2022 11:30 - 01.09.2022 11:45","30885","31052"
"01.09.2022 11:45 - 01.09.2022 12:00","31080","31104"
"01.09.2022 12:00 - 01.09.2022 12:15","31295","31380"
"01.09.2022 12:15 - 01.09.2022 12:30","31504","31668"
"01.09.2022 12:30 - 01.09.2022 12:45","31703","32024"
"01.09.2022 12:45 - 01.09.2022 13:00","31883","32248"
"01.09.2022 13:00 - 01.09.2022 13:15","32121","32388"
"01.09.2022 13:15 - 01.09.2022 13:30","32232","32612"
"01.09.2022 13:30 - 01.09.2022 13:45","32295","32572"
"01.09.2022 13:45 - 01.09.2022 14:00","32309","32744"
"01.09.2022 14:00 - 01.09.2022 14:15","32356","32496"
"01.09.2022 14:15 - 01.09.2022 14:30","32278","32576"
"01.09.2022 14:30 - 01.09.2022 14:45","32161","32488"
"01.09.2022 14:45 - 01.09.2022 15:00","32026","32220"
"01.09.2022 15:00 - 01.09.2022 15:15","31823","31856"
"01.09.2022 15:15 - 01.09.2022 15:30","31731","31848"
"01.09.2022 15:30 - 01.09.2022 15:45","31693","31724"
"01.09.2022 15:45 - 01.09.2022 16:00","31698","31732"
"01.09.2022 16:00 - 01.09.2022 16:15","31724","31680"
"01.09.2022 16:15 - 01.09.2022 16:30","31761","31776"
"01.09.2022 16:30 - 01.09.2022 16:45","31790","31916"
"01.09.2022 16:45 - 01.09.2022 17:00","31803","31736"
"01.09.2022 17:00 - 01.09.2022 17:15","31852","31664"
"01.09.2022 17:15 - 01.09.2022 17:30","31816","31656"
"01.09.2022 17:30 - 01.09.2022 17:45","31750","31548"
"01.09.2022 17:45 - 01.09.2022 18:00","31656","31608"
"01.09.2022 18:00 - 01.09.2022 18:15","31565","31400"
"01.09.2022 18:15 - 01.09.2022 18:30","31436","31224"
"01.09.2022 18:30 - 01.09.2022 18:45","31298","31152"
"01.09.2022 18:45 - 01.09.2022 19:00","31162","31116"
"01.09.2022 19:00 - 01.09.2022 19:15","30984","30992"
"01.09.2022 19:15 - 01.09.2022 19:30","30879","30812"
"01.09.2022 19:30 - 01.09.2022 19:45","30806","30752"
"01.09.2022 19:45 - 01.09.2022 20:00","30782","30692"
"01.09.2022 20:00 - 01.09.2022 20:15","30680","30720"
