"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Intraday / Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Intraday / Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Intraday / Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"03.01.2022 01:30 - 03.01.2022 01:45","0","0","n/e","6375","6308","n/e","30335","28832","n/e"
"03.01.2022 01:45 - 03.01.2022 02:00","0","0","n/e","6396","6220","n/e","30558","28660","n/e"
"03.01.2022 02:00 - 03.01.2022 02:15","0","0","n/e","6412","6194","n/e","30773","28456","n/e"
"03.01.2022 02:15 - 03.01.2022 02:30","0","0","n/e","6427","6060","n/e","31006","29328","n/e"
"03.01.2022 02:30 - 03.01.2022 02:45","0","0","n/e","6430","6006","n/e","31234","29591","n/e"
"03.01.2022 02:45 - 03.01.2022 03:00","0","0","n/e","6436","5932","n/e","31466","29099","n/e"
"03.01.2022 03:00 - 03.01.2022 03:15","0","0","n/e","6439","5791","n/e","31679","29074","n/e"
"03.01.2022 03:15 - 03.01.2022 03:30","0","0","n/e","6431","5798","n/e","31829","28784","n/e"
"03.01.2022 03:30 - 03.01.2022 03:45","0","0","n/e","6426","5773","n/e","32012","28258","n/e"
"03.01.2022 03:45 - 03.01.2022 04:00","0","0","n/e","6417","5880","n/e","32176","28060","n/e"
"03.01.2022 04:00 - 03.01.2022 04:15","0","0","n/e","6405","5769","n/e","32324","27744","n/e"
"03.01.2022 04:15 - 03.01.2022 04:30","0","0","n/e","6411","5766","n/e","32440","28094","n/e"
"03.01.2022 04:30 - 03.01.2022 04:45","0","0","n/e","6415","5669","n/e","32545","28773","n/e"
"03.01.2022 04:45 - 03.01.2022 05:00","0","0","n/e","6346","5670","n/e","32793","29463","n/e"
"03.01.2022 05:00 - 03.01.2022 05:15","0","0","n/e","6268","5783","n/e","33051","29747","n/e"
"03.01.2022 05:15 - 03.01.2022 05:30","0","0","n/e","6275","5988","n/e","33233","29998","n/e"
"03.01.2022 05:30 - 03.01.2022 05:45","0","0","n/e","6285","6158","n/e","33366","30674","n/e"
"03.01.2022 05:45 - 03.01.2022 06:00","0","0","n/e","6159","6246","n/e","33497","31709","n/e"
"03.01.2022 06:00 - 03.01.2022 06:15","0","0","n/e","6146","6052","n/e","34186","33154","n/e"
"03.01.2022 06:15 - 03.01.2022 06:30","0","0","n/e","6155","6007","n/e","34422","33374","n/e"
"03.01.2022 06:30 - 03.01.2022 06:45","0","0","n/e","6161","6001","n/e","34592","34883","n/e"
"03.01.2022 06:45 - 03.01.2022 07:00","0","0","n/e","6169","6020","n/e","34626","35467","n/e"
"03.01.2022 07:00 - 03.01.2022 07:15","0","0","n/e","6179","6106","n/e","34672","35839","n/e"
"03.01.2022 07:15 - 03.01.2022 07:30","0","0","n/e","6186","6113","n/e","34675","36142","n/e"
