MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,N/A,n/e,n/e,476,476,476
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,N/A,n/e,n/e,476,476,476
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,N/A,n/e,n/e,479,479,479
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,N/A,n/e,n/e,473,473,473
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,N/A,n/e,n/e,473,473,473
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,N/A,n/e,n/e,459,459,459
06.01.2022 07:00 - 06.01.2022 08:00,47,47,47,N/A,n/e,n/e,452,452,452
06.01.2022 08:00 - 06.01.2022 09:00,188,188,188,N/A,n/e,n/e,432,432,432
06.01.2022 09:00 - 06.01.2022 10:00,320,320,320,N/A,n/e,n/e,402,402,402
06.01.2022 10:00 - 06.01.2022 11:00,410,410,410,N/A,n/e,n/e,346,346,346
06.01.2022 11:00 - 06.01.2022 12:00,432,432,432,N/A,n/e,n/e,257,257,257
06.01.2022 12:00 - 06.01.2022 13:00,394,394,394,N/A,n/e,n/e,237,237,237
06.01.2022 13:00 - 06.01.2022 14:00,300,300,300,N/A,n/e,n/e,243,243,243
06.01.2022 14:00 - 06.01.2022 15:00,162,162,162,N/A,n/e,n/e,199,199,199
06.01.2022 15:00 - 06.01.2022 16:00,24,24,24,N/A,n/e,n/e,169,169,169
06.01.2022 16:00 - 06.01.2022 17:00,0,0,0,N/A,n/e,n/e,144,144,144
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,N/A,n/e,n/e,113,113,113
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,N/A,n/e,n/e,112,112,112
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,N/A,n/e,n/e,172,172,172
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,N/A,n/e,n/e,361,361,361
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,N/A,n/e,n/e,422,422,422
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,N/A,n/e,n/e,374,374,374
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,N/A,n/e,n/e,137,137,137
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,N/A,n/e,n/e,175,175,175
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,N/A,n/e,n/e,239,239,239
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,N/A,n/e,n/e,207,207,207
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,N/A,n/e,n/e,214,214,214
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,N/A,n/e,n/e,232,232,232
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,N/A,n/e,n/e,194,194,194
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,N/A,n/e,n/e,110,110,110
07.01.2022 07:00 - 07.01.2022 08:00,8,8,8,N/A,n/e,n/e,100,100,100
07.01.2022 08:00 - 07.01.2022 09:00,54,54,54,N/A,n/e,n/e,99,99,99
07.01.2022 09:00 - 07.01.2022 10:00,114,114,114,N/A,n/e,n/e,105,105,105
07.01.2022 10:00 - 07.01.2022 11:00,158,158,158,N/A,n/e,n/e,247,247,247
07.01.2022 11:00 - 07.01.2022 12:00,169,169,169,N/A,n/e,n/e,309,309,309
07.01.2022 12:00 - 07.01.2022 13:00,140,140,140,N/A,n/e,n/e,297,297,297
07.01.2022 13:00 - 07.01.2022 14:00,89,89,89,N/A,n/e,n/e,310,310,310
07.01.2022 14:00 - 07.01.2022 15:00,39,39,39,N/A,n/e,n/e,328,328,328
07.01.2022 15:00 - 07.01.2022 16:00,5,5,5,N/A,n/e,n/e,307,307,307
07.01.2022 16:00 - 07.01.2022 17:00,0,0,0,N/A,n/e,n/e,304,304,304
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,N/A,n/e,n/e,297,297,297
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,N/A,n/e,n/e,314,314,314
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,N/A,n/e,n/e,326,326,326
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,N/A,n/e,n/e,326,326,326
