MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
11.07.2022 07:00 - 11.07.2022 08:00,416,416,416,N/A,n/e,n/e,369,369,369
11.07.2022 08:00 - 11.07.2022 09:00,623,623,623,N/A,n/e,n/e,297,297,297
11.07.2022 09:00 - 11.07.2022 10:00,815,815,815,N/A,n/e,n/e,277,277,277
11.07.2022 10:00 - 11.07.2022 11:00,984,984,984,N/A,n/e,n/e,227,227,227
11.07.2022 11:00 - 11.07.2022 12:00,1046,1046,1046,N/A,n/e,n/e,181,181,181
11.07.2022 12:00 - 11.07.2022 13:00,1010,1010,1010,N/A,n/e,n/e,112,112,112
11.07.2022 13:00 - 11.07.2022 14:00,935,935,935,N/A,n/e,n/e,64,64,64
11.07.2022 14:00 - 11.07.2022 15:00,840,840,840,N/A,n/e,n/e,35,35,35
11.07.2022 15:00 - 11.07.2022 16:00,726,726,726,N/A,n/e,n/e,31,31,31
11.07.2022 16:00 - 11.07.2022 17:00,569,569,569,N/A,n/e,n/e,56,56,56
11.07.2022 17:00 - 11.07.2022 18:00,342,342,342,N/A,n/e,n/e,40,40,40
11.07.2022 18:00 - 11.07.2022 19:00,155,155,155,N/A,n/e,n/e,44,44,44
11.07.2022 19:00 - 11.07.2022 20:00,15,15,15,N/A,n/e,n/e,46,46,46
11.07.2022 20:00 - 11.07.2022 21:00,0,0,0,N/A,n/e,n/e,43,43,43
11.07.2022 21:00 - 11.07.2022 22:00,0,0,0,N/A,n/e,n/e,46,46,46
11.07.2022 22:00 - 11.07.2022 23:00,0,0,0,N/A,n/e,n/e,50,50,50
11.07.2022 23:00 - 12.07.2022 00:00,0,0,0,N/A,n/e,n/e,83,83,83
12.07.2022 00:00 - 12.07.2022 01:00,0,0,0,N/A,n/e,n/e,106,106,106
12.07.2022 01:00 - 12.07.2022 02:00,0,0,0,N/A,n/e,n/e,88,88,88
12.07.2022 02:00 - 12.07.2022 03:00,0,0,0,N/A,n/e,n/e,53,53,53
12.07.2022 03:00 - 12.07.2022 04:00,0,0,0,N/A,n/e,n/e,74,74,74
12.07.2022 04:00 - 12.07.2022 05:00,0,0,0,N/A,n/e,n/e,147,147,147
12.07.2022 05:00 - 12.07.2022 06:00,37,37,37,N/A,n/e,n/e,137,137,137
12.07.2022 06:00 - 12.07.2022 07:00,222,222,222,N/A,n/e,n/e,187,187,187
12.07.2022 07:00 - 12.07.2022 08:00,452,452,452,N/A,n/e,n/e,111,111,111
12.07.2022 08:00 - 12.07.2022 09:00,688,688,688,N/A,n/e,n/e,61,61,61
12.07.2022 09:00 - 12.07.2022 10:00,907,907,907,N/A,n/e,n/e,29,29,29
12.07.2022 10:00 - 12.07.2022 11:00,1077,1077,1077,N/A,n/e,n/e,23,23,23
12.07.2022 11:00 - 12.07.2022 12:00,1162,1162,1162,N/A,n/e,n/e,24,24,24
12.07.2022 12:00 - 12.07.2022 13:00,1157,1157,1157,N/A,n/e,n/e,27,27,27
12.07.2022 13:00 - 12.07.2022 14:00,1108,1108,1108,N/A,n/e,n/e,26,26,26
12.07.2022 14:00 - 12.07.2022 15:00,1009,1009,1009,N/A,n/e,n/e,28,28,28
12.07.2022 15:00 - 12.07.2022 16:00,831,831,831,N/A,n/e,n/e,42,42,42
12.07.2022 16:00 - 12.07.2022 17:00,630,630,630,N/A,n/e,n/e,20,20,20
12.07.2022 17:00 - 12.07.2022 18:00,402,402,402,N/A,n/e,n/e,22,22,22
12.07.2022 18:00 - 12.07.2022 19:00,174,174,174,N/A,n/e,n/e,34,34,34
12.07.2022 19:00 - 12.07.2022 20:00,16,16,16,N/A,n/e,n/e,43,43,43
12.07.2022 20:00 - 12.07.2022 21:00,0,0,0,N/A,n/e,n/e,45,45,45
12.07.2022 21:00 - 12.07.2022 22:00,0,0,0,N/A,n/e,n/e,35,35,35
12.07.2022 22:00 - 12.07.2022 23:00,0,0,0,N/A,n/e,n/e,42,42,42
12.07.2022 23:00 - 13.07.2022 00:00,0,0,0,N/A,n/e,n/e,41,41,41
13.07.2022 00:00 - 13.07.2022 01:00,0,0,0,N/A,n/e,n/e,45,45,45
13.07.2022 01:00 - 13.07.2022 02:00,0,0,0,N/A,n/e,n/e,35,35,35
13.07.2022 02:00 - 13.07.2022 03:00,0,0,0,N/A,n/e,n/e,44,44,44
13.07.2022 03:00 - 13.07.2022 04:00,0,0,0,N/A,n/e,n/e,56,56,56
13.07.2022 04:00 - 13.07.2022 05:00,0,0,0,N/A,n/e,n/e,119,119,119
13.07.2022 05:00 - 13.07.2022 06:00,33,33,33,N/A,n/e,n/e,224,224,224
13.07.2022 06:00 - 13.07.2022 07:00,205,205,205,N/A,n/e,n/e,263,263,263
13.07.2022 07:00 - 13.07.2022 08:00,430,430,430,N/A,n/e,n/e,172,172,172
13.07.2022 08:00 - 13.07.2022 09:00,653,653,653,N/A,n/e,n/e,121,121,121
13.07.2022 09:00 - 13.07.2022 10:00,845,845,845,N/A,n/e,n/e,118,118,118
13.07.2022 10:00 - 13.07.2022 11:00,964,964,964,N/A,n/e,n/e,123,123,123
13.07.2022 11:00 - 13.07.2022 12:00,1009,1009,1009,N/A,n/e,n/e,110,110,110
13.07.2022 12:00 - 13.07.2022 13:00,1051,1051,1051,N/A,n/e,n/e,80,80,80
13.07.2022 13:00 - 13.07.2022 14:00,1011,1011,1011,N/A,n/e,n/e,57,57,57
13.07.2022 14:00 - 13.07.2022 15:00,894,894,894,N/A,n/e,n/e,36,36,36
13.07.2022 15:00 - 13.07.2022 16:00,758,758,758,N/A,n/e,n/e,26,26,26
13.07.2022 16:00 - 13.07.2022 17:00,572,572,572,N/A,n/e,n/e,28,28,28
13.07.2022 17:00 - 13.07.2022 18:00,354,354,354,N/A,n/e,n/e,32,32,32
13.07.2022 18:00 - 13.07.2022 19:00,152,152,152,N/A,n/e,n/e,74,74,74
13.07.2022 19:00 - 13.07.2022 20:00,14,14,14,N/A,n/e,n/e,124,124,124
13.07.2022 20:00 - 13.07.2022 21:00,0,0,0,N/A,n/e,n/e,101,101,101
13.07.2022 21:00 - 13.07.2022 22:00,0,0,0,N/A,n/e,n/e,99,99,99
13.07.2022 22:00 - 13.07.2022 23:00,0,0,0,N/A,n/e,n/e,112,112,112
13.07.2022 23:00 - 14.07.2022 00:00,0,0,0,N/A,n/e,n/e,99,99,99
14.07.2022 00:00 - 14.07.2022 01:00,0,0,0,N/A,n/e,n/e,74,74,74
14.07.2022 01:00 - 14.07.2022 02:00,0,0,0,N/A,n/e,n/e,79,79,79
14.07.2022 02:00 - 14.07.2022 03:00,0,0,0,N/A,n/e,n/e,41,41,41
14.07.2022 03:00 - 14.07.2022 04:00,0,0,0,N/A,n/e,n/e,41,41,41
14.07.2022 04:00 - 14.07.2022 05:00,0,0,0,N/A,n/e,n/e,40,40,40
14.07.2022 05:00 - 14.07.2022 06:00,33,33,33,N/A,n/e,n/e,33,33,33
14.07.2022 06:00 - 14.07.2022 07:00,210,210,210,N/A,n/e,n/e,28,28,28
14.07.2022 07:00 - 14.07.2022 08:00,436,436,436,N/A,n/e,n/e,31,31,31
14.07.2022 08:00 - 14.07.2022 09:00,655,655,655,N/A,n/e,n/e,89,89,89
14.07.2022 09:00 - 14.07.2022 10:00,845,845,845,N/A,n/e,n/e,82,82,82
14.07.2022 10:00 - 14.07.2022 11:00,988,988,988,N/A,n/e,n/e,38,38,38
14.07.2022 11:00 - 14.07.2022 12:00,1075,1075,1075,N/A,n/e,n/e,11,11,11
14.07.2022 12:00 - 14.07.2022 13:00,1092,1092,1092,N/A,n/e,n/e,12,12,12
14.07.2022 13:00 - 14.07.2022 14:00,1047,1047,1047,N/A,n/e,n/e,11,11,11
14.07.2022 14:00 - 14.07.2022 15:00,943,943,943,N/A,n/e,n/e,9,9,9
14.07.2022 15:00 - 14.07.2022 16:00,782,782,782,N/A,n/e,n/e,12,12,12
14.07.2022 16:00 - 14.07.2022 17:00,586,586,586,N/A,n/e,n/e,4,4,4
14.07.2022 17:00 - 14.07.2022 18:00,370,370,370,N/A,n/e,n/e,11,11,11
14.07.2022 18:00 - 14.07.2022 19:00,157,157,157,N/A,n/e,n/e,19,19,19
14.07.2022 19:00 - 14.07.2022 20:00,13,13,13,N/A,n/e,n/e,20,20,20
14.07.2022 20:00 - 14.07.2022 21:00,0,0,0,N/A,n/e,n/e,28,28,28
14.07.2022 21:00 - 14.07.2022 22:00,0,0,0,N/A,n/e,n/e,33,33,33
14.07.2022 22:00 - 14.07.2022 23:00,0,0,0,N/A,n/e,n/e,27,27,27
14.07.2022 23:00 - 15.07.2022 00:00,0,0,0,N/A,n/e,n/e,54,54,54
15.07.2022 00:00 - 15.07.2022 01:00,0,0,0,N/A,n/e,n/e,52,52,52
15.07.2022 01:00 - 15.07.2022 02:00,0,0,0,N/A,n/e,n/e,47,47,47
15.07.2022 02:00 - 15.07.2022 03:00,0,0,0,N/A,n/e,n/e,40,40,40
15.07.2022 03:00 - 15.07.2022 04:00,0,0,0,N/A,n/e,n/e,31,31,31
15.07.2022 04:00 - 15.07.2022 05:00,0,0,0,N/A,n/e,n/e,2,2,2
15.07.2022 05:00 - 15.07.2022 06:00,31,31,31,N/A,n/e,n/e,2,2,2
15.07.2022 06:00 - 15.07.2022 07:00,203,203,203,N/A,n/e,n/e,1,1,1
15.07.2022 07:00 - 15.07.2022 08:00,425,425,425,N/A,n/e,n/e,0,0,0
15.07.2022 08:00 - 15.07.2022 09:00,640,640,640,N/A,n/e,n/e,0,0,0
15.07.2022 09:00 - 15.07.2022 10:00,824,824,824,N/A,n/e,n/e,0,0,0
15.07.2022 10:00 - 15.07.2022 11:00,967,967,967,N/A,n/e,n/e,0,0,0
15.07.2022 11:00 - 15.07.2022 12:00,1052,1052,1052,N/A,n/e,n/e,3,3,3
15.07.2022 12:00 - 15.07.2022 13:00,1051,1051,1051,N/A,n/e,n/e,18,18,18
15.07.2022 13:00 - 15.07.2022 14:00,983,983,983,N/A,n/e,n/e,23,23,23
15.07.2022 14:00 - 15.07.2022 15:00,860,860,860,N/A,n/e,n/e,22,22,22
15.07.2022 15:00 - 15.07.2022 16:00,717,717,717,N/A,n/e,n/e,16,16,16
15.07.2022 16:00 - 15.07.2022 17:00,547,547,547,N/A,n/e,n/e,20,20,20
15.07.2022 17:00 - 15.07.2022 18:00,338,338,338,N/A,n/e,n/e,18,18,18
15.07.2022 18:00 - 15.07.2022 19:00,142,142,142,N/A,n/e,n/e,25,25,25
15.07.2022 19:00 - 15.07.2022 20:00,12,12,12,N/A,n/e,n/e,29,29,29
15.07.2022 20:00 - 15.07.2022 21:00,0,0,0,N/A,n/e,n/e,18,18,18
15.07.2022 21:00 - 15.07.2022 22:00,0,0,0,N/A,n/e,n/e,23,23,23
15.07.2022 22:00 - 15.07.2022 23:00,0,0,0,N/A,n/e,n/e,30,30,30
15.07.2022 23:00 - 16.07.2022 00:00,0,0,0,N/A,n/e,n/e,71,71,71
16.07.2022 00:00 - 16.07.2022 01:00,0,0,0,N/A,n/e,n/e,57,57,57
16.07.2022 01:00 - 16.07.2022 02:00,0,0,0,N/A,n/e,n/e,57,57,57
16.07.2022 02:00 - 16.07.2022 03:00,0,0,0,N/A,n/e,n/e,59,59,59
16.07.2022 03:00 - 16.07.2022 04:00,0,0,0,N/A,n/e,n/e,51,51,51
16.07.2022 04:00 - 16.07.2022 05:00,0,0,0,N/A,n/e,n/e,37,37,37
16.07.2022 05:00 - 16.07.2022 06:00,29,29,29,N/A,n/e,n/e,28,28,28
16.07.2022 06:00 - 16.07.2022 07:00,198,198,198,N/A,n/e,n/e,17,17,17
16.07.2022 07:00 - 16.07.2022 08:00,416,416,416,N/A,n/e,n/e,13,13,13
16.07.2022 08:00 - 16.07.2022 09:00,628,628,628,N/A,n/e,n/e,10,10,10
16.07.2022 09:00 - 16.07.2022 10:00,812,812,812,N/A,n/e,n/e,8,8,8
16.07.2022 10:00 - 16.07.2022 11:00,952,952,952,N/A,n/e,n/e,9,9,9
16.07.2022 11:00 - 16.07.2022 12:00,1037,1037,1037,N/A,n/e,n/e,10,10,10
16.07.2022 12:00 - 16.07.2022 13:00,1051,1051,1051,N/A,n/e,n/e,10,10,10
16.07.2022 13:00 - 16.07.2022 14:00,975,975,975,N/A,n/e,n/e,15,15,15
16.07.2022 14:00 - 16.07.2022 15:00,843,843,843,N/A,n/e,n/e,21,21,21
16.07.2022 15:00 - 16.07.2022 16:00,722,722,722,N/A,n/e,n/e,32,32,32
16.07.2022 16:00 - 16.07.2022 17:00,534,534,534,N/A,n/e,n/e,33,33,33
16.07.2022 17:00 - 16.07.2022 18:00,330,330,330,N/A,n/e,n/e,50,50,50
16.07.2022 18:00 - 16.07.2022 19:00,138,138,138,N/A,n/e,n/e,71,71,71
16.07.2022 19:00 - 16.07.2022 20:00,10,10,10,N/A,n/e,n/e,93,93,93
16.07.2022 20:00 - 16.07.2022 21:00,0,0,0,N/A,n/e,n/e,109,109,109
16.07.2022 21:00 - 16.07.2022 22:00,0,0,0,N/A,n/e,n/e,131,131,131
16.07.2022 22:00 - 16.07.2022 23:00,0,0,0,N/A,n/e,n/e,149,149,149
16.07.2022 23:00 - 17.07.2022 00:00,0,0,0,N/A,n/e,n/e,201,201,201
17.07.2022 00:00 - 17.07.2022 01:00,0,0,0,N/A,n/e,n/e,203,203,203
17.07.2022 01:00 - 17.07.2022 02:00,0,0,0,N/A,n/e,n/e,198,198,198
17.07.2022 02:00 - 17.07.2022 03:00,0,0,0,N/A,n/e,n/e,171,171,171
17.07.2022 03:00 - 17.07.2022 04:00,0,0,0,N/A,n/e,n/e,50,50,50
17.07.2022 04:00 - 17.07.2022 05:00,0,0,0,N/A,n/e,n/e,41,41,41
17.07.2022 05:00 - 17.07.2022 06:00,27,27,27,N/A,n/e,n/e,54,54,54
17.07.2022 06:00 - 17.07.2022 07:00,197,197,197,N/A,n/e,n/e,69,69,69
17.07.2022 07:00 - 17.07.2022 08:00,417,417,417,N/A,n/e,n/e,89,89,89
17.07.2022 08:00 - 17.07.2022 09:00,633,633,633,N/A,n/e,n/e,166,166,166
17.07.2022 09:00 - 17.07.2022 10:00,823,823,823,N/A,n/e,n/e,294,294,294
17.07.2022 10:00 - 17.07.2022 11:00,966,966,966,N/A,n/e,n/e,294,294,294
17.07.2022 11:00 - 17.07.2022 12:00,1053,1053,1053,N/A,n/e,n/e,174,174,174
17.07.2022 12:00 - 17.07.2022 13:00,1070,1070,1070,N/A,n/e,n/e,129,129,129
17.07.2022 13:00 - 17.07.2022 14:00,1024,1024,1024,N/A,n/e,n/e,108,108,108
17.07.2022 14:00 - 17.07.2022 15:00,907,907,907,N/A,n/e,n/e,76,76,76
17.07.2022 15:00 - 17.07.2022 16:00,744,744,744,N/A,n/e,n/e,67,67,67
17.07.2022 16:00 - 17.07.2022 17:00,542,542,542,N/A,n/e,n/e,77,77,77
17.07.2022 17:00 - 17.07.2022 18:00,344,344,344,N/A,n/e,n/e,65,65,65
17.07.2022 18:00 - 17.07.2022 19:00,142,142,142,N/A,n/e,n/e,58,58,58
17.07.2022 19:00 - 17.07.2022 20:00,11,11,11,N/A,n/e,n/e,97,97,97
17.07.2022 20:00 - 17.07.2022 21:00,0,0,0,N/A,n/e,n/e,100,100,100
17.07.2022 21:00 - 17.07.2022 22:00,0,0,0,N/A,n/e,n/e,78,78,78
17.07.2022 22:00 - 17.07.2022 23:00,0,0,0,N/A,n/e,n/e,74,74,74
17.07.2022 23:00 - 18.07.2022 00:00,0,0,0,N/A,n/e,n/e,75,75,75
18.07.2022 00:00 - 18.07.2022 01:00,0,0,0,N/A,n/e,n/e,92,92,92
18.07.2022 01:00 - 18.07.2022 02:00,0,0,0,N/A,n/e,n/e,126,126,126
18.07.2022 02:00 - 18.07.2022 03:00,0,0,0,N/A,n/e,n/e,417,417,417
18.07.2022 03:00 - 18.07.2022 04:00,0,0,0,N/A,n/e,n/e,428,428,428
18.07.2022 04:00 - 18.07.2022 05:00,0,0,0,N/A,n/e,n/e,425,425,425
18.07.2022 05:00 - 18.07.2022 06:00,25,25,25,N/A,n/e,n/e,347,347,347
18.07.2022 06:00 - 18.07.2022 07:00,184,184,184,N/A,n/e,n/e,276,276,276
18.07.2022 07:00 - 18.07.2022 08:00,397,397,397,N/A,n/e,n/e,230,230,230
18.07.2022 08:00 - 18.07.2022 09:00,N/A,N/A,N/A,N/A,n/e,n/e,270,270,270
18.07.2022 09:00 - 18.07.2022 10:00,N/A,N/A,N/A,N/A,n/e,n/e,199,199,199
18.07.2022 10:00 - 18.07.2022 11:00,N/A,N/A,N/A,N/A,n/e,n/e,144,144,144
18.07.2022 11:00 - 18.07.2022 12:00,N/A,N/A,N/A,N/A,n/e,n/e,109,109,109
18.07.2022 12:00 - 18.07.2022 13:00,N/A,N/A,N/A,N/A,n/e,n/e,88,88,88
18.07.2022 13:00 - 18.07.2022 14:00,N/A,N/A,N/A,N/A,n/e,n/e,68,68,68
18.07.2022 14:00 - 18.07.2022 15:00,N/A,N/A,N/A,N/A,n/e,n/e,28,28,28
18.07.2022 15:00 - 18.07.2022 16:00,N/A,N/A,N/A,N/A,n/e,n/e,12,12,12
18.07.2022 16:00 - 18.07.2022 17:00,N/A,N/A,N/A,N/A,n/e,n/e,10,10,10
18.07.2022 17:00 - 18.07.2022 18:00,N/A,N/A,N/A,N/A,n/e,n/e,7,7,7
18.07.2022 18:00 - 18.07.2022 19:00,N/A,N/A,N/A,N/A,n/e,n/e,19,19,19
18.07.2022 19:00 - 18.07.2022 20:00,N/A,N/A,N/A,N/A,n/e,n/e,18,18,18
18.07.2022 20:00 - 18.07.2022 21:00,N/A,N/A,N/A,N/A,n/e,n/e,16,16,16
18.07.2022 21:00 - 18.07.2022 22:00,N/A,N/A,N/A,N/A,n/e,n/e,4,4,4
18.07.2022 22:00 - 18.07.2022 23:00,N/A,N/A,N/A,N/A,n/e,n/e,1,1,1
18.07.2022 23:00 - 19.07.2022 00:00,0,0,0,N/A,n/e,n/e,2,2,2
19.07.2022 00:00 - 19.07.2022 01:00,0,0,0,N/A,n/e,n/e,1,1,1
19.07.2022 01:00 - 19.07.2022 02:00,0,0,0,N/A,n/e,n/e,0,0,0
19.07.2022 02:00 - 19.07.2022 03:00,0,0,0,N/A,n/e,n/e,1,1,1
19.07.2022 03:00 - 19.07.2022 04:00,0,0,0,N/A,n/e,n/e,18,18,18
19.07.2022 04:00 - 19.07.2022 05:00,0,0,0,N/A,n/e,n/e,45,45,45
19.07.2022 05:00 - 19.07.2022 06:00,26,26,26,N/A,n/e,n/e,76,76,76
19.07.2022 06:00 - 19.07.2022 07:00,195,195,195,N/A,n/e,n/e,96,96,96
19.07.2022 07:00 - 19.07.2022 08:00,417,417,417,N/A,n/e,n/e,86,86,86
19.07.2022 08:00 - 19.07.2022 09:00,637,637,637,N/A,n/e,n/e,52,52,52
19.07.2022 09:00 - 19.07.2022 10:00,824,824,824,N/A,n/e,n/e,51,51,51
19.07.2022 10:00 - 19.07.2022 11:00,966,966,966,N/A,n/e,n/e,59,59,59
19.07.2022 11:00 - 19.07.2022 12:00,1055,1055,1055,N/A,n/e,n/e,68,68,68
19.07.2022 12:00 - 19.07.2022 13:00,1076,1076,1076,N/A,n/e,n/e,69,69,69
19.07.2022 13:00 - 19.07.2022 14:00,1029,1029,1029,N/A,n/e,n/e,70,70,70
19.07.2022 14:00 - 19.07.2022 15:00,924,924,924,N/A,n/e,n/e,62,62,62
19.07.2022 15:00 - 19.07.2022 16:00,767,767,767,N/A,n/e,n/e,55,55,55
19.07.2022 16:00 - 19.07.2022 17:00,579,579,579,N/A,n/e,n/e,36,36,36
19.07.2022 17:00 - 19.07.2022 18:00,364,364,364,N/A,n/e,n/e,19,19,19
19.07.2022 18:00 - 19.07.2022 19:00,150,150,150,N/A,n/e,n/e,16,16,16
19.07.2022 19:00 - 19.07.2022 20:00,10,10,10,N/A,n/e,n/e,9,9,9
19.07.2022 20:00 - 19.07.2022 21:00,0,0,0,N/A,n/e,n/e,6,6,6
19.07.2022 21:00 - 19.07.2022 22:00,0,0,0,N/A,n/e,n/e,3,3,3
19.07.2022 22:00 - 19.07.2022 23:00,0,0,0,N/A,n/e,n/e,1,1,1
19.07.2022 23:00 - 20.07.2022 00:00,0,0,0,N/A,n/e,n/e,2,2,2
20.07.2022 00:00 - 20.07.2022 01:00,0,0,0,N/A,n/e,n/e,3,3,3
20.07.2022 01:00 - 20.07.2022 02:00,0,0,0,N/A,n/e,n/e,2,2,2
20.07.2022 02:00 - 20.07.2022 03:00,0,0,0,N/A,n/e,n/e,2,2,2
20.07.2022 03:00 - 20.07.2022 04:00,0,0,0,N/A,n/e,n/e,22,22,22
20.07.2022 04:00 - 20.07.2022 05:00,0,0,0,N/A,n/e,n/e,46,46,46
20.07.2022 05:00 - 20.07.2022 06:00,24,24,24,N/A,n/e,n/e,45,45,45
20.07.2022 06:00 - 20.07.2022 07:00,191,191,191,N/A,n/e,n/e,44,44,44
20.07.2022 07:00 - 20.07.2022 08:00,412,412,412,N/A,n/e,n/e,39,39,39
20.07.2022 08:00 - 20.07.2022 09:00,628,628,628,N/A,n/e,n/e,23,23,23
20.07.2022 09:00 - 20.07.2022 10:00,815,815,815,N/A,n/e,n/e,32,32,32
20.07.2022 10:00 - 20.07.2022 11:00,957,957,957,N/A,n/e,n/e,31,31,31
20.07.2022 11:00 - 20.07.2022 12:00,1044,1044,1044,N/A,n/e,n/e,26,26,26
20.07.2022 12:00 - 20.07.2022 13:00,1068,1068,1068,N/A,n/e,n/e,24,24,24
20.07.2022 13:00 - 20.07.2022 14:00,1022,1022,1022,N/A,n/e,n/e,13,13,13
20.07.2022 14:00 - 20.07.2022 15:00,912,912,912,N/A,n/e,n/e,11,11,11
20.07.2022 15:00 - 20.07.2022 16:00,753,753,753,N/A,n/e,n/e,17,17,17
20.07.2022 16:00 - 20.07.2022 17:00,561,561,561,N/A,n/e,n/e,20,20,20
20.07.2022 17:00 - 20.07.2022 18:00,349,349,349,N/A,n/e,n/e,28,28,28
20.07.2022 18:00 - 20.07.2022 19:00,139,139,139,N/A,n/e,n/e,57,57,57
20.07.2022 19:00 - 20.07.2022 20:00,9,9,9,N/A,n/e,n/e,80,80,80
20.07.2022 20:00 - 20.07.2022 21:00,0,0,0,N/A,n/e,n/e,112,112,112
20.07.2022 21:00 - 20.07.2022 22:00,0,0,0,N/A,n/e,n/e,131,131,131
20.07.2022 22:00 - 20.07.2022 23:00,0,0,0,N/A,n/e,n/e,144,144,144
20.07.2022 23:00 - 21.07.2022 00:00,0,0,0,N/A,n/e,n/e,216,216,216
21.07.2022 00:00 - 21.07.2022 01:00,0,0,0,N/A,n/e,n/e,236,236,236
21.07.2022 01:00 - 21.07.2022 02:00,0,0,0,N/A,n/e,n/e,198,198,198
21.07.2022 02:00 - 21.07.2022 03:00,0,0,0,N/A,n/e,n/e,238,238,238
21.07.2022 03:00 - 21.07.2022 04:00,0,0,0,N/A,n/e,n/e,187,187,187
21.07.2022 04:00 - 21.07.2022 05:00,0,0,0,N/A,n/e,n/e,329,329,329
21.07.2022 05:00 - 21.07.2022 06:00,22,22,22,N/A,n/e,n/e,447,447,447
21.07.2022 06:00 - 21.07.2022 07:00,186,186,186,N/A,n/e,n/e,458,458,458
21.07.2022 07:00 - 21.07.2022 08:00,405,405,405,N/A,n/e,n/e,306,306,306
21.07.2022 08:00 - 21.07.2022 09:00,619,619,619,N/A,n/e,n/e,213,213,213
21.07.2022 09:00 - 21.07.2022 10:00,800,800,800,N/A,n/e,n/e,189,189,189
21.07.2022 10:00 - 21.07.2022 11:00,940,940,940,N/A,n/e,n/e,204,204,204
21.07.2022 11:00 - 21.07.2022 12:00,1026,1026,1026,N/A,n/e,n/e,157,157,157
21.07.2022 12:00 - 21.07.2022 13:00,1047,1047,1047,N/A,n/e,n/e,97,97,97
21.07.2022 13:00 - 21.07.2022 14:00,1005,1005,1005,N/A,n/e,n/e,53,53,53
21.07.2022 14:00 - 21.07.2022 15:00,898,898,898,N/A,n/e,n/e,36,36,36
21.07.2022 15:00 - 21.07.2022 16:00,747,747,747,N/A,n/e,n/e,39,39,39
21.07.2022 16:00 - 21.07.2022 17:00,556,556,556,N/A,n/e,n/e,40,40,40
21.07.2022 17:00 - 21.07.2022 18:00,339,339,339,N/A,n/e,n/e,39,39,39
21.07.2022 18:00 - 21.07.2022 19:00,138,138,138,N/A,n/e,n/e,20,20,20
21.07.2022 19:00 - 21.07.2022 20:00,8,8,8,N/A,n/e,n/e,19,19,19
21.07.2022 20:00 - 21.07.2022 21:00,0,0,0,N/A,n/e,n/e,14,14,14
21.07.2022 21:00 - 21.07.2022 22:00,0,0,0,N/A,n/e,n/e,21,21,21
21.07.2022 22:00 - 21.07.2022 23:00,0,0,0,N/A,n/e,n/e,43,43,43
21.07.2022 23:00 - 22.07.2022 00:00,0,0,0,N/A,n/e,n/e,49,49,49
22.07.2022 00:00 - 22.07.2022 01:00,0,0,0,N/A,n/e,n/e,70,70,70
22.07.2022 01:00 - 22.07.2022 02:00,0,0,0,N/A,n/e,n/e,69,69,69
22.07.2022 02:00 - 22.07.2022 03:00,0,0,0,N/A,n/e,n/e,75,75,75
22.07.2022 03:00 - 22.07.2022 04:00,0,0,0,N/A,n/e,n/e,84,84,84
22.07.2022 04:00 - 22.07.2022 05:00,0,0,0,N/A,n/e,n/e,89,89,89
22.07.2022 05:00 - 22.07.2022 06:00,21,21,21,N/A,n/e,n/e,63,63,63
22.07.2022 06:00 - 22.07.2022 07:00,182,182,182,N/A,n/e,n/e,100,100,100
22.07.2022 07:00 - 22.07.2022 08:00,399,399,399,N/A,n/e,n/e,102,102,102
22.07.2022 08:00 - 22.07.2022 09:00,612,612,612,N/A,n/e,n/e,63,63,63
22.07.2022 09:00 - 22.07.2022 10:00,796,796,796,N/A,n/e,n/e,64,64,64
22.07.2022 10:00 - 22.07.2022 11:00,937,937,937,N/A,n/e,n/e,59,59,59
22.07.2022 11:00 - 22.07.2022 12:00,1024,1024,1024,N/A,n/e,n/e,55,55,55
22.07.2022 12:00 - 22.07.2022 13:00,1051,1051,1051,N/A,n/e,n/e,74,74,74
22.07.2022 13:00 - 22.07.2022 14:00,1008,1008,1008,N/A,n/e,n/e,59,59,59
22.07.2022 14:00 - 22.07.2022 15:00,906,906,906,N/A,n/e,n/e,21,21,21
22.07.2022 15:00 - 22.07.2022 16:00,753,753,753,N/A,n/e,n/e,9,9,9
22.07.2022 16:00 - 22.07.2022 17:00,558,558,558,N/A,n/e,n/e,8,8,8
22.07.2022 17:00 - 22.07.2022 18:00,351,351,351,N/A,n/e,n/e,82,82,82
22.07.2022 18:00 - 22.07.2022 19:00,140,140,140,N/A,n/e,n/e,133,133,133
22.07.2022 19:00 - 22.07.2022 20:00,8,8,8,N/A,n/e,n/e,267,267,267
22.07.2022 20:00 - 22.07.2022 21:00,0,0,0,N/A,n/e,n/e,178,178,178
22.07.2022 21:00 - 22.07.2022 22:00,0,0,0,N/A,n/e,n/e,69,69,69
22.07.2022 22:00 - 22.07.2022 23:00,0,0,0,N/A,n/e,n/e,106,106,106
22.07.2022 23:00 - 23.07.2022 00:00,0,0,0,N/A,n/e,n/e,64,64,64
