MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
13.07.2022 12:00 - 13.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 13:00 - 13.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 14:00 - 13.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 15:00 - 13.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 16:00 - 13.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 17:00 - 13.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 18:00 - 13.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 19:00 - 13.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 20:00 - 13.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 21:00 - 13.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 22:00 - 13.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
13.07.2022 23:00 - 14.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 00:00 - 14.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 01:00 - 14.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 02:00 - 14.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 03:00 - 14.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 04:00 - 14.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 05:00 - 14.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 06:00 - 14.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 07:00 - 14.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 08:00 - 14.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 09:00 - 14.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 10:00 - 14.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 11:00 - 14.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 12:00 - 14.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 13:00 - 14.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 14:00 - 14.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 15:00 - 14.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 16:00 - 14.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 17:00 - 14.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 18:00 - 14.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 19:00 - 14.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 20:00 - 14.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 21:00 - 14.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 22:00 - 14.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
14.07.2022 23:00 - 15.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 00:00 - 15.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 01:00 - 15.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 02:00 - 15.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 03:00 - 15.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 04:00 - 15.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 05:00 - 15.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 06:00 - 15.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 07:00 - 15.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 08:00 - 15.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 09:00 - 15.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 10:00 - 15.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 11:00 - 15.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 12:00 - 15.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 13:00 - 15.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 14:00 - 15.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 15:00 - 15.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 16:00 - 15.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 17:00 - 15.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 18:00 - 15.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 19:00 - 15.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 20:00 - 15.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 21:00 - 15.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 22:00 - 15.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
15.07.2022 23:00 - 16.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 00:00 - 16.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 01:00 - 16.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 02:00 - 16.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 03:00 - 16.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 04:00 - 16.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 05:00 - 16.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 06:00 - 16.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 07:00 - 16.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 08:00 - 16.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 09:00 - 16.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 10:00 - 16.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 11:00 - 16.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 12:00 - 16.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 13:00 - 16.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 14:00 - 16.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 15:00 - 16.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 16:00 - 16.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 17:00 - 16.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 18:00 - 16.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 19:00 - 16.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 20:00 - 16.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 21:00 - 16.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 22:00 - 16.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
16.07.2022 23:00 - 17.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 00:00 - 17.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 01:00 - 17.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 02:00 - 17.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 03:00 - 17.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 04:00 - 17.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 05:00 - 17.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 06:00 - 17.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 07:00 - 17.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 08:00 - 17.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 09:00 - 17.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 10:00 - 17.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 11:00 - 17.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 12:00 - 17.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 13:00 - 17.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 14:00 - 17.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 15:00 - 17.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 16:00 - 17.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 17:00 - 17.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 18:00 - 17.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 19:00 - 17.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 20:00 - 17.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 21:00 - 17.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 22:00 - 17.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
17.07.2022 23:00 - 18.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 00:00 - 18.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 01:00 - 18.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 02:00 - 18.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 03:00 - 18.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 04:00 - 18.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 05:00 - 18.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 06:00 - 18.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 07:00 - 18.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 08:00 - 18.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 09:00 - 18.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 10:00 - 18.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 11:00 - 18.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 12:00 - 18.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 13:00 - 18.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 14:00 - 18.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 15:00 - 18.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 16:00 - 18.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 17:00 - 18.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 18:00 - 18.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 19:00 - 18.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 20:00 - 18.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 21:00 - 18.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 22:00 - 18.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
18.07.2022 23:00 - 19.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 00:00 - 19.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 01:00 - 19.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 02:00 - 19.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 03:00 - 19.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 04:00 - 19.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 05:00 - 19.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 06:00 - 19.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 07:00 - 19.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 08:00 - 19.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 09:00 - 19.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 10:00 - 19.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 11:00 - 19.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 12:00 - 19.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 13:00 - 19.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 14:00 - 19.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 15:00 - 19.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 16:00 - 19.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 17:00 - 19.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 18:00 - 19.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 19:00 - 19.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 20:00 - 19.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 21:00 - 19.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 22:00 - 19.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
19.07.2022 23:00 - 20.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 00:00 - 20.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 01:00 - 20.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 02:00 - 20.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 03:00 - 20.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 04:00 - 20.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 05:00 - 20.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 06:00 - 20.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 07:00 - 20.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 08:00 - 20.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 09:00 - 20.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 10:00 - 20.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 11:00 - 20.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 12:00 - 20.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 13:00 - 20.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 14:00 - 20.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 15:00 - 20.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 16:00 - 20.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 17:00 - 20.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 18:00 - 20.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 19:00 - 20.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 20:00 - 20.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 21:00 - 20.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 22:00 - 20.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
20.07.2022 23:00 - 21.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 00:00 - 21.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 01:00 - 21.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 02:00 - 21.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 03:00 - 21.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 04:00 - 21.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 05:00 - 21.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 06:00 - 21.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 07:00 - 21.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 08:00 - 21.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 09:00 - 21.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 10:00 - 21.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 11:00 - 21.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 12:00 - 21.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 13:00 - 21.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 14:00 - 21.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 15:00 - 21.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 16:00 - 21.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 17:00 - 21.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 18:00 - 21.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 19:00 - 21.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 20:00 - 21.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 21:00 - 21.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 22:00 - 21.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
21.07.2022 23:00 - 22.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 00:00 - 22.07.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 01:00 - 22.07.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 02:00 - 22.07.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 03:00 - 22.07.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 04:00 - 22.07.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 05:00 - 22.07.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 06:00 - 22.07.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 07:00 - 22.07.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 08:00 - 22.07.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 09:00 - 22.07.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 10:00 - 22.07.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 11:00 - 22.07.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 12:00 - 22.07.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 13:00 - 22.07.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 14:00 - 22.07.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 15:00 - 22.07.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 16:00 - 22.07.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 17:00 - 22.07.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 18:00 - 22.07.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 19:00 - 22.07.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 20:00 - 22.07.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 21:00 - 22.07.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 22:00 - 22.07.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
22.07.2022 23:00 - 23.07.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
