MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
02.01.2022 01:00 - 02.01.2022 01:15,0,0,0,6168,6708,6168,17642,18411,17642
02.01.2022 01:15 - 02.01.2022 01:30,0,0,0,6151,6685,6151,17695,18249,17695
02.01.2022 01:30 - 02.01.2022 01:45,0,0,0,6134,6665,6134,17737,18118,17737
02.01.2022 01:45 - 02.01.2022 02:00,0,0,0,6111,6582,6111,17772,18558,17772
02.01.2022 02:00 - 02.01.2022 02:15,0,0,0,6091,6582,6091,17807,18705,17807
02.01.2022 02:15 - 02.01.2022 02:30,0,0,0,6073,6606,6073,17862,18181,17862
02.01.2022 02:30 - 02.01.2022 02:45,0,0,0,6047,6599,6047,17908,17567,17908
02.01.2022 02:45 - 02.01.2022 03:00,0,0,0,6023,6572,6023,17956,17975,17956
02.01.2022 03:00 - 02.01.2022 03:15,0,0,0,5989,6538,5989,17995,17876,17995
02.01.2022 03:15 - 02.01.2022 03:30,0,0,0,5953,6540,5953,18030,17938,18030
02.01.2022 03:30 - 02.01.2022 03:45,0,0,0,5914,6504,5914,18076,18021,18076
02.01.2022 03:45 - 02.01.2022 04:00,0,0,0,5871,6408,5871,18118,18370,18118
02.01.2022 04:00 - 02.01.2022 04:15,0,0,0,5826,6096,5826,18155,18672,18155
02.01.2022 04:15 - 02.01.2022 04:30,0,0,0,5783,6084,5783,18126,18537,18126
02.01.2022 04:30 - 02.01.2022 04:45,0,0,0,5738,6054,5738,18101,18044,18101
02.01.2022 04:45 - 02.01.2022 05:00,0,0,0,5689,6068,5689,18080,18063,18080
02.01.2022 05:00 - 02.01.2022 05:15,0,0,0,5641,5969,5641,18064,17871,18064
02.01.2022 05:15 - 02.01.2022 05:30,0,0,0,5607,5912,5607,18093,18033,18093
02.01.2022 05:30 - 02.01.2022 05:45,0,0,0,5568,5892,5568,18125,18140,18125
