Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
03.01.2022 04:00 - 03.01.2022 04:30,0,0,0,0,0,0,4459,4459,4459
03.01.2022 04:30 - 03.01.2022 05:00,0,0,0,0,0,0,4476,4476,4476
03.01.2022 05:00 - 03.01.2022 05:30,0,0,0,0,0,0,4430,4430,4430
03.01.2022 05:30 - 03.01.2022 06:00,0,0,0,0,0,0,4352,4352,4352
03.01.2022 06:00 - 03.01.2022 06:30,0,0,0,0,0,0,4380,4380,4380
03.01.2022 06:30 - 03.01.2022 07:00,0,0,0,0,0,0,4372,4372,4372
03.01.2022 07:00 - 03.01.2022 07:30,0,0,0,0,0,0,4315,4315,4315
03.01.2022 07:30 - 03.01.2022 08:00,0,0,0,0,0,0,4236,4236,4236
03.01.2022 08:00 - 03.01.2022 08:30,1,1,1,0,0,0,4157,4157,4157
03.01.2022 08:30 - 03.01.2022 09:00,109,109,109,0,0,0,4037,4037,4037
03.01.2022 09:00 - 03.01.2022 09:30,480,480,480,0,0,0,3967,3967,3967
03.01.2022 09:30 - 03.01.2022 10:00,906,906,906,0,0,0,3870,3870,3870
03.01.2022 10:00 - 03.01.2022 10:30,1236,1236,1236,0,0,0,3781,3781,3781
03.01.2022 10:30 - 03.01.2022 11:00,1389,1389,1389,0,0,0,3650,3650,3650
03.01.2022 11:00 - 03.01.2022 11:30,1954,1954,1954,0,0,0,3593,3593,3593
03.01.2022 11:30 - 03.01.2022 12:00,1875,1875,1875,0,0,0,3513,3513,3513
03.01.2022 12:00 - 03.01.2022 12:30,1500,1500,1500,0,0,0,3480,3480,3480
03.01.2022 12:30 - 03.01.2022 13:00,1195,1195,1195,0,0,0,3452,3452,3452
03.01.2022 13:00 - 03.01.2022 13:30,1003,1003,1003,0,0,0,3307,3307,3307
03.01.2022 13:30 - 03.01.2022 14:00,793,793,793,0,0,0,3145,3145,3145
03.01.2022 14:00 - 03.01.2022 14:30,662,662,662,0,0,0,3023,3023,3023
03.01.2022 14:30 - 03.01.2022 15:00,471,471,471,0,0,0,2903,2903,2903
03.01.2022 15:00 - 03.01.2022 15:30,197,197,197,0,0,0,2620,2620,2620
03.01.2022 15:30 - 03.01.2022 16:00,26,26,26,0,0,0,2365,2365,2365
03.01.2022 16:00 - 03.01.2022 16:30,0,0,0,0,0,0,2218,2218,2218
03.01.2022 16:30 - 03.01.2022 17:00,0,0,0,0,0,0,2133,2133,2133
03.01.2022 17:00 - 03.01.2022 17:30,0,0,0,0,0,0,2134,2134,2134
03.01.2022 17:30 - 03.01.2022 18:00,0,0,0,0,0,0,2190,2190,2190
03.01.2022 18:00 - 03.01.2022 18:30,0,0,0,0,0,0,2130,2130,2130
03.01.2022 18:30 - 03.01.2022 19:00,0,0,0,0,0,0,2092,2092,2092
03.01.2022 19:00 - 03.01.2022 19:30,0,0,0,0,0,0,2032,2032,2032
03.01.2022 19:30 - 03.01.2022 20:00,0,0,0,0,0,0,1994,1994,1994
03.01.2022 20:00 - 03.01.2022 20:30,0,0,0,0,0,0,1853,1853,1853
03.01.2022 20:30 - 03.01.2022 21:00,0,0,0,0,0,0,1751,1751,1751
03.01.2022 21:00 - 03.01.2022 21:30,0,0,0,0,0,0,1718,1718,1718
03.01.2022 21:30 - 03.01.2022 22:00,0,0,0,0,0,0,1728,1728,1728
03.01.2022 22:00 - 03.01.2022 22:30,0,0,0,0,0,0,1709,1709,1709
03.01.2022 22:30 - 03.01.2022 23:00,0,0,0,0,0,0,1721,1721,1721
03.01.2022 23:00 - 03.01.2022 23:30,0,0,0,0,0,0,1714,1714,1714
03.01.2022 23:30 - 04.01.2022 00:00,0,0,0,0,0,0,1738,1738,1738
04.01.2022 00:00 - 04.01.2022 00:30,0,0,0,0,0,0,1710,1710,1710
04.01.2022 00:30 - 04.01.2022 01:00,0,0,0,0,0,0,1722,1722,1722
04.01.2022 01:00 - 04.01.2022 01:30,0,0,0,0,0,0,1718,1718,1718
04.01.2022 01:30 - 04.01.2022 02:00,0,0,0,0,0,0,1785,1785,1785
04.01.2022 02:00 - 04.01.2022 02:30,0,0,0,0,0,0,1774,1774,1774
04.01.2022 02:30 - 04.01.2022 03:00,0,0,0,0,0,0,1825,1825,1825
04.01.2022 03:00 - 04.01.2022 03:30,0,0,0,0,0,0,1891,1891,1891
04.01.2022 03:30 - 04.01.2022 04:00,0,0,0,0,0,0,2023,2023,2023
04.01.2022 04:00 - 04.01.2022 04:30,0,0,0,0,0,0,1991,1991,1991
04.01.2022 04:30 - 04.01.2022 05:00,0,0,0,0,0,0,2007,2007,2007
04.01.2022 05:00 - 04.01.2022 05:30,0,0,0,0,0,0,2079,2079,2079
04.01.2022 05:30 - 04.01.2022 06:00,0,0,0,0,0,0,2181,2181,2181
04.01.2022 06:00 - 04.01.2022 06:30,0,0,0,0,0,0,2245,2245,2245
04.01.2022 06:30 - 04.01.2022 07:00,0,0,0,0,0,0,2390,2390,2390
04.01.2022 07:00 - 04.01.2022 07:30,0,0,0,0,0,0,2431,2431,2431
04.01.2022 07:30 - 04.01.2022 08:00,0,0,0,0,0,0,2506,2506,2506
04.01.2022 08:00 - 04.01.2022 08:30,0,0,0,0,0,0,2477,2477,2477
04.01.2022 08:30 - 04.01.2022 09:00,44,44,44,0,0,0,2481,2481,2481
04.01.2022 09:00 - 04.01.2022 09:30,387,387,387,0,0,0,2480,2480,2480
04.01.2022 09:30 - 04.01.2022 10:00,837,837,837,0,0,0,2495,2495,2495
04.01.2022 10:00 - 04.01.2022 10:30,1249,1249,1249,0,0,0,2593,2593,2593
04.01.2022 10:30 - 04.01.2022 11:00,1720,1720,1720,0,0,0,2734,2734,2734
04.01.2022 11:00 - 04.01.2022 11:30,2156,2156,2156,0,0,0,2869,2869,2869
04.01.2022 11:30 - 04.01.2022 12:00,2428,2428,2428,0,0,0,3027,3027,3027
04.01.2022 12:00 - 04.01.2022 12:30,2891,2891,2891,0,0,0,3144,3144,3144
04.01.2022 12:30 - 04.01.2022 13:00,3196,3196,3196,0,0,0,3270,3270,3270
04.01.2022 13:00 - 04.01.2022 13:30,3243,3243,3243,0,0,0,3257,3257,3257
04.01.2022 13:30 - 04.01.2022 14:00,2967,2967,2967,0,0,0,3230,3230,3230
04.01.2022 14:00 - 04.01.2022 14:30,2205,2205,2205,0,0,0,3195,3195,3195
04.01.2022 14:30 - 04.01.2022 15:00,1259,1259,1259,0,0,0,3159,3159,3159
04.01.2022 15:00 - 04.01.2022 15:30,588,588,588,0,0,0,3201,3201,3201
04.01.2022 15:30 - 04.01.2022 16:00,123,123,123,0,0,0,3254,3254,3254
04.01.2022 16:00 - 04.01.2022 16:30,0,0,0,0,0,0,3282,3282,3282
04.01.2022 16:30 - 04.01.2022 17:00,0,0,0,0,0,0,3278,3278,3278
04.01.2022 17:00 - 04.01.2022 17:30,0,0,0,0,0,0,3436,3436,3436
04.01.2022 17:30 - 04.01.2022 18:00,0,0,0,0,0,0,3560,3560,3560
04.01.2022 18:00 - 04.01.2022 18:30,0,0,0,0,0,0,3620,3620,3620
04.01.2022 18:30 - 04.01.2022 19:00,0,0,0,0,0,0,3650,3650,3650
04.01.2022 19:00 - 04.01.2022 19:30,0,0,0,0,0,0,3710,3710,3710
04.01.2022 19:30 - 04.01.2022 20:00,0,0,0,0,0,0,3747,3747,3747
04.01.2022 20:00 - 04.01.2022 20:30,0,0,0,0,0,0,3853,3853,3853
04.01.2022 20:30 - 04.01.2022 21:00,0,0,0,0,0,0,3943,3943,3943
04.01.2022 21:00 - 04.01.2022 21:30,0,0,0,0,0,0,3949,3949,3949
04.01.2022 21:30 - 04.01.2022 22:00,0,0,0,0,0,0,3937,3937,3937
04.01.2022 22:00 - 04.01.2022 22:30,0,0,0,0,0,0,3940,3940,3940
04.01.2022 22:30 - 04.01.2022 23:00,0,0,0,0,0,0,3915,3915,3915
04.01.2022 23:00 - 04.01.2022 23:30,0,0,0,0,0,0,3989,3989,3989
04.01.2022 23:30 - 05.01.2022 00:00,0,0,0,0,0,0,4054,4054,4054
05.01.2022 00:00 - 05.01.2022 00:30,0,0,0,0,0,0,3964,3964,3964
05.01.2022 00:30 - 05.01.2022 01:00,0,0,0,0,0,0,3861,3861,3861
05.01.2022 01:00 - 05.01.2022 01:30,0,0,0,0,0,0,3844,3844,3844
05.01.2022 01:30 - 05.01.2022 02:00,0,0,0,0,0,0,3829,3829,3829
05.01.2022 02:00 - 05.01.2022 02:30,0,0,0,0,0,0,3732,3732,3732
05.01.2022 02:30 - 05.01.2022 03:00,0,0,0,0,0,0,3643,3643,3643
05.01.2022 03:00 - 05.01.2022 03:30,0,0,0,0,0,0,3591,3591,3591
05.01.2022 03:30 - 05.01.2022 04:00,0,0,0,0,0,0,3508,3508,3508
05.01.2022 04:00 - 05.01.2022 04:30,0,0,0,0,0,0,3458,3458,3458
