Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
17.06.2022 09:00 - 17.06.2022 09:30,6669,6669,6669,0,0,0,2740,2740,2740
17.06.2022 09:30 - 17.06.2022 10:00,7613,7613,7613,0,0,0,2942,2942,2942
17.06.2022 10:00 - 17.06.2022 10:30,8298,8298,8298,0,0,0,3008,3008,3008
17.06.2022 10:30 - 17.06.2022 11:00,8814,8814,8814,0,0,0,3068,3068,3068
17.06.2022 11:00 - 17.06.2022 11:30,9017,9017,9017,0,0,0,3314,3314,3314
17.06.2022 11:30 - 17.06.2022 12:00,9009,9009,9009,0,0,0,3538,3538,3538
17.06.2022 12:00 - 17.06.2022 12:30,9265,9265,9265,0,0,0,3600,3600,3600
17.06.2022 12:30 - 17.06.2022 13:00,9277,9277,9277,0,0,0,3632,3632,3632
17.06.2022 13:00 - 17.06.2022 13:30,8977,8977,8977,0,0,0,3636,3636,3636
17.06.2022 13:30 - 17.06.2022 14:00,8479,8479,8479,0,0,0,3628,3628,3628
17.06.2022 14:00 - 17.06.2022 14:30,7880,7880,7880,0,0,0,3552,3552,3552
17.06.2022 14:30 - 17.06.2022 15:00,7225,7225,7225,0,0,0,3449,3449,3449
17.06.2022 15:00 - 17.06.2022 15:30,6460,6460,6460,0,0,0,3390,3390,3390
17.06.2022 15:30 - 17.06.2022 16:00,5497,5497,5497,0,0,0,3311,3311,3311
17.06.2022 16:00 - 17.06.2022 16:30,4485,4485,4485,0,0,0,3230,3230,3230
17.06.2022 16:30 - 17.06.2022 17:00,3584,3584,3584,0,0,0,3126,3126,3126
17.06.2022 17:00 - 17.06.2022 17:30,2704,2704,2704,0,0,0,3017,3017,3017
17.06.2022 17:30 - 17.06.2022 18:00,1983,1983,1983,0,0,0,2918,2918,2918
17.06.2022 18:00 - 17.06.2022 18:30,1385,1385,1385,0,0,0,2626,2626,2626
17.06.2022 18:30 - 17.06.2022 19:00,869,869,869,0,0,0,2344,2344,2344
17.06.2022 19:00 - 17.06.2022 19:30,449,449,449,0,0,0,2204,2204,2204
17.06.2022 19:30 - 17.06.2022 20:00,159,159,159,0,0,0,2093,2093,2093
17.06.2022 20:00 - 17.06.2022 20:30,13,13,13,0,0,0,2004,2004,2004
17.06.2022 20:30 - 17.06.2022 21:00,0,0,0,0,0,0,1935,1935,1935
17.06.2022 21:00 - 17.06.2022 21:30,0,0,0,0,0,0,1809,1809,1809
17.06.2022 21:30 - 17.06.2022 22:00,0,0,0,0,0,0,1730,1730,1730
17.06.2022 22:00 - 17.06.2022 22:30,0,0,0,0,0,0,1543,1543,1543
17.06.2022 22:30 - 17.06.2022 23:00,0,0,0,0,0,0,1399,1399,1399
17.06.2022 23:00 - 17.06.2022 23:30,0,0,0,0,0,0,1369,1369,1369
17.06.2022 23:30 - 18.06.2022 00:00,0,0,0,0,0,0,1376,1376,1376
18.06.2022 00:00 - 18.06.2022 00:30,0,0,0,0,0,0,1298,1298,1298
18.06.2022 00:30 - 18.06.2022 01:00,0,0,0,0,0,0,1259,1259,1259
18.06.2022 01:00 - 18.06.2022 01:30,0,0,0,0,0,0,1303,1303,1303
18.06.2022 01:30 - 18.06.2022 02:00,0,0,0,0,0,0,1373,1373,1373
18.06.2022 02:00 - 18.06.2022 02:30,0,0,0,0,0,0,1379,1379,1379
18.06.2022 02:30 - 18.06.2022 03:00,0,0,0,0,0,0,1414,1414,1414
18.06.2022 03:00 - 18.06.2022 03:30,0,0,0,0,0,0,1354,1354,1354
18.06.2022 03:30 - 18.06.2022 04:00,0,0,0,0,0,0,1315,1315,1315
18.06.2022 04:00 - 18.06.2022 04:30,46,46,46,0,0,0,1265,1265,1265
18.06.2022 04:30 - 18.06.2022 05:00,250,250,250,0,0,0,1247,1247,1247
18.06.2022 05:00 - 18.06.2022 05:30,564,564,564,0,0,0,1288,1288,1288
18.06.2022 05:30 - 18.06.2022 06:00,914,914,914,0,0,0,1359,1359,1359
18.06.2022 06:00 - 18.06.2022 06:30,1335,1335,1335,0,0,0,1458,1458,1458
18.06.2022 06:30 - 18.06.2022 07:00,1714,1714,1714,0,0,0,1586,1586,1586
18.06.2022 07:00 - 18.06.2022 07:30,2297,2297,2297,0,0,0,1730,1730,1730
18.06.2022 07:30 - 18.06.2022 08:00,2806,2806,2806,0,0,0,1923,1923,1923
18.06.2022 08:00 - 18.06.2022 08:30,3132,3132,3132,0,0,0,2016,2016,2016
18.06.2022 08:30 - 18.06.2022 09:00,3634,3634,3634,0,0,0,2132,2132,2132
18.06.2022 09:00 - 18.06.2022 09:30,3958,3958,3958,0,0,0,2231,2231,2231
18.06.2022 09:30 - 18.06.2022 10:00,4343,4343,4343,0,0,0,2360,2360,2360
18.06.2022 10:00 - 18.06.2022 10:30,4044,4044,4044,0,0,0,2255,2255,2255
18.06.2022 10:30 - 18.06.2022 11:00,3420,3420,3420,0,0,0,2206,2206,2206
18.06.2022 11:00 - 18.06.2022 11:30,3452,3452,3452,0,0,0,2314,2314,2314
18.06.2022 11:30 - 18.06.2022 12:00,2926,2926,2926,0,0,0,2448,2448,2448
18.06.2022 12:00 - 18.06.2022 12:30,3023,3023,3023,0,0,0,2604,2604,2604
18.06.2022 12:30 - 18.06.2022 13:00,2880,2880,2880,0,0,0,2775,2775,2775
18.06.2022 13:00 - 18.06.2022 13:30,2653,2653,2653,0,0,0,2796,2796,2796
18.06.2022 13:30 - 18.06.2022 14:00,2904,2904,2904,0,0,0,2825,2825,2825
18.06.2022 14:00 - 18.06.2022 14:30,2670,2670,2670,0,0,0,2930,2930,2930
18.06.2022 14:30 - 18.06.2022 15:00,2223,2223,2223,0,0,0,3015,3015,3015
18.06.2022 15:00 - 18.06.2022 15:30,1724,1724,1724,0,0,0,2951,2951,2951
18.06.2022 15:30 - 18.06.2022 16:00,1311,1311,1311,0,0,0,2900,2900,2900
18.06.2022 16:00 - 18.06.2022 16:30,1071,1071,1071,0,0,0,2797,2797,2797
18.06.2022 16:30 - 18.06.2022 17:00,947,947,947,0,0,0,2769,2769,2769
18.06.2022 17:00 - 18.06.2022 17:30,816,816,816,0,0,0,2624,2624,2624
18.06.2022 17:30 - 18.06.2022 18:00,755,755,755,0,0,0,2516,2516,2516
18.06.2022 18:00 - 18.06.2022 18:30,624,624,624,0,0,0,2407,2407,2407
18.06.2022 18:30 - 18.06.2022 19:00,513,513,513,0,0,0,2337,2337,2337
18.06.2022 19:00 - 18.06.2022 19:30,257,257,257,0,0,0,2266,2266,2266
18.06.2022 19:30 - 18.06.2022 20:00,166,166,166,0,0,0,2204,2204,2204
18.06.2022 20:00 - 18.06.2022 20:30,41,41,41,0,0,0,2182,2182,2182
18.06.2022 20:30 - 18.06.2022 21:00,0,0,0,0,0,0,2212,2212,2212
18.06.2022 21:00 - 18.06.2022 21:30,0,0,0,0,0,0,2182,2182,2182
18.06.2022 21:30 - 18.06.2022 22:00,0,0,0,0,0,0,2195,2195,2195
18.06.2022 22:00 - 18.06.2022 22:30,0,0,0,0,0,0,2082,2082,2082
18.06.2022 22:30 - 18.06.2022 23:00,0,0,0,0,0,0,1993,1993,1993
18.06.2022 23:00 - 18.06.2022 23:30,0,0,0,0,0,0,2010,2010,2010
18.06.2022 23:30 - 19.06.2022 00:00,0,0,0,0,0,0,2047,2047,2047
19.06.2022 00:00 - 19.06.2022 00:30,0,0,0,0,0,0,2010,2010,2010
19.06.2022 00:30 - 19.06.2022 01:00,0,0,0,0,0,0,1971,1971,1971
19.06.2022 01:00 - 19.06.2022 01:30,0,0,0,0,0,0,1944,1944,1944
19.06.2022 01:30 - 19.06.2022 02:00,0,0,0,0,0,0,1940,1940,1940
19.06.2022 02:00 - 19.06.2022 02:30,0,0,0,0,0,0,1962,1962,1962
19.06.2022 02:30 - 19.06.2022 03:00,0,0,0,0,0,0,1999,1999,1999
19.06.2022 03:00 - 19.06.2022 03:30,0,0,0,0,0,0,1975,1975,1975
19.06.2022 03:30 - 19.06.2022 04:00,0,0,0,0,0,0,1970,1970,1970
19.06.2022 04:00 - 19.06.2022 04:30,70,70,70,0,0,0,1856,1856,1856
19.06.2022 04:30 - 19.06.2022 05:00,348,348,348,0,0,0,1769,1769,1769
19.06.2022 05:00 - 19.06.2022 05:30,690,690,690,0,0,0,1801,1801,1801
19.06.2022 05:30 - 19.06.2022 06:00,1178,1178,1178,0,0,0,1873,1873,1873
19.06.2022 06:00 - 19.06.2022 06:30,1816,1816,1816,0,0,0,1950,1950,1950
19.06.2022 06:30 - 19.06.2022 07:00,2358,2358,2358,0,0,0,2057,2057,2057
19.06.2022 07:00 - 19.06.2022 07:30,3010,3010,3010,0,0,0,2133,2133,2133
19.06.2022 07:30 - 19.06.2022 08:00,3898,3898,3898,0,0,0,2234,2234,2234
19.06.2022 08:00 - 19.06.2022 08:30,4680,4680,4680,0,0,0,2224,2224,2224
19.06.2022 08:30 - 19.06.2022 09:00,5097,5097,5097,0,0,0,2267,2267,2267
19.06.2022 09:00 - 19.06.2022 09:30,5000,5000,5000,0,0,0,2134,2134,2134
19.06.2022 09:30 - 19.06.2022 10:00,5139,5139,5139,0,0,0,2048,2048,2048
19.06.2022 10:00 - 19.06.2022 10:30,5100,5100,5100,0,0,0,2009,2009,2009
19.06.2022 10:30 - 19.06.2022 11:00,5118,5118,5118,0,0,0,2014,2014,2014
19.06.2022 11:00 - 19.06.2022 11:30,5164,5164,5164,0,0,0,1913,1913,1913
19.06.2022 11:30 - 19.06.2022 12:00,5186,5186,5186,0,0,0,1856,1856,1856
19.06.2022 12:00 - 19.06.2022 12:30,5673,5673,5673,0,0,0,1796,1796,1796
19.06.2022 12:30 - 19.06.2022 13:00,5385,5385,5385,0,0,0,1761,1761,1761
19.06.2022 13:00 - 19.06.2022 13:30,4669,4669,4669,0,0,0,1833,1833,1833
19.06.2022 13:30 - 19.06.2022 14:00,4756,4756,4756,0,0,0,1943,1943,1943
19.06.2022 14:00 - 19.06.2022 14:30,3932,3932,3932,0,0,0,1938,1938,1938
19.06.2022 14:30 - 19.06.2022 15:00,3543,3543,3543,0,0,0,1970,1970,1970
19.06.2022 15:00 - 19.06.2022 15:30,3058,3058,3058,0,0,0,1929,1929,1929
19.06.2022 15:30 - 19.06.2022 16:00,2750,2750,2750,0,0,0,1947,1947,1947
19.06.2022 16:00 - 19.06.2022 16:30,2152,2152,2152,0,0,0,1871,1871,1871
19.06.2022 16:30 - 19.06.2022 17:00,1755,1755,1755,0,0,0,1835,1835,1835
19.06.2022 17:00 - 19.06.2022 17:30,1366,1366,1366,0,0,0,1839,1839,1839
19.06.2022 17:30 - 19.06.2022 18:00,878,878,878,0,0,0,1877,1877,1877
19.06.2022 18:00 - 19.06.2022 18:30,650,650,650,0,0,0,1750,1750,1750
19.06.2022 18:30 - 19.06.2022 19:00,427,427,427,0,0,0,1655,1655,1655
19.06.2022 19:00 - 19.06.2022 19:30,260,260,260,0,0,0,1520,1520,1520
19.06.2022 19:30 - 19.06.2022 20:00,116,116,116,0,0,0,1447,1447,1447
19.06.2022 20:00 - 19.06.2022 20:30,27,27,27,0,0,0,1330,1330,1330
19.06.2022 20:30 - 19.06.2022 21:00,0,0,0,0,0,0,1271,1271,1271
19.06.2022 21:00 - 19.06.2022 21:30,0,0,0,0,0,0,1184,1184,1184
19.06.2022 21:30 - 19.06.2022 22:00,0,0,0,0,0,0,1138,1138,1138
19.06.2022 22:00 - 19.06.2022 22:30,0,0,0,0,0,0,1103,1103,1103
19.06.2022 22:30 - 19.06.2022 23:00,0,0,0,0,0,0,1124,1124,1124
19.06.2022 23:00 - 19.06.2022 23:30,0,0,0,0,0,0,1103,1103,1103
19.06.2022 23:30 - 20.06.2022 00:00,0,0,0,0,0,0,1119,1119,1119
20.06.2022 00:00 - 20.06.2022 00:30,0,0,0,0,0,0,1070,1070,1070
20.06.2022 00:30 - 20.06.2022 01:00,0,0,0,0,0,0,1069,1069,1069
20.06.2022 01:00 - 20.06.2022 01:30,0,0,0,0,0,0,945,945,945
20.06.2022 01:30 - 20.06.2022 02:00,0,0,0,0,0,0,843,843,843
20.06.2022 02:00 - 20.06.2022 02:30,0,0,0,0,0,0,840,840,840
20.06.2022 02:30 - 20.06.2022 03:00,0,0,0,0,0,0,866,866,866
20.06.2022 03:00 - 20.06.2022 03:30,0,0,0,0,0,0,783,783,783
20.06.2022 03:30 - 20.06.2022 04:00,0,0,0,0,0,0,738,738,738
20.06.2022 04:00 - 20.06.2022 04:30,74,74,74,0,0,0,648,648,648
20.06.2022 04:30 - 20.06.2022 05:00,419,419,419,0,0,0,592,592,592
20.06.2022 05:00 - 20.06.2022 05:30,852,852,852,0,0,0,582,582,582
20.06.2022 05:30 - 20.06.2022 06:00,1508,1508,1508,0,0,0,609,609,609
20.06.2022 06:00 - 20.06.2022 06:30,2270,2270,2270,0,0,0,645,645,645
20.06.2022 06:30 - 20.06.2022 07:00,3040,3040,3040,0,0,0,723,723,723
20.06.2022 07:00 - 20.06.2022 07:30,3986,3986,3986,0,0,0,761,761,761
20.06.2022 07:30 - 20.06.2022 08:00,4532,4532,4532,0,0,0,847,847,847
20.06.2022 08:00 - 20.06.2022 08:30,5354,5354,5354,0,0,0,883,883,883
20.06.2022 08:30 - 20.06.2022 09:00,6111,6111,6111,0,0,0,966,966,966
20.06.2022 09:00 - 20.06.2022 09:30,6933,6933,6933,0,0,0,973,973,973
20.06.2022 09:30 - 20.06.2022 10:00,7714,7714,7714,0,0,0,1032,1032,1032
20.06.2022 10:00 - 20.06.2022 10:30,8339,8339,8339,0,0,0,1075,1075,1075
20.06.2022 10:30 - 20.06.2022 11:00,8977,8977,8977,0,0,0,1159,1159,1159
20.06.2022 11:00 - 20.06.2022 11:30,9304,9304,9304,0,0,0,1131,1131,1131
20.06.2022 11:30 - 20.06.2022 12:00,9707,9707,9707,0,0,0,1137,1137,1137
20.06.2022 12:00 - 20.06.2022 12:30,9800,9800,9800,0,0,0,1220,1220,1220
20.06.2022 12:30 - 20.06.2022 13:00,9602,9602,9602,0,0,0,1357,1357,1357
20.06.2022 13:00 - 20.06.2022 13:30,9210,9210,9210,0,0,0,1392,1392,1392
20.06.2022 13:30 - 20.06.2022 14:00,8744,8744,8744,0,0,0,1460,1460,1460
20.06.2022 14:00 - 20.06.2022 14:30,8079,8079,8079,0,0,0,1458,1458,1458
20.06.2022 14:30 - 20.06.2022 15:00,7618,7618,7618,0,0,0,1499,1499,1499
20.06.2022 15:00 - 20.06.2022 15:30,6675,6675,6675,0,0,0,1435,1435,1435
20.06.2022 15:30 - 20.06.2022 16:00,6132,6132,6132,0,0,0,1409,1409,1409
20.06.2022 16:00 - 20.06.2022 16:30,5312,5312,5312,0,0,0,1356,1356,1356
20.06.2022 16:30 - 20.06.2022 17:00,4371,4371,4371,0,0,0,1330,1330,1330
20.06.2022 17:00 - 20.06.2022 17:30,3508,3508,3508,0,0,0,1224,1224,1224
20.06.2022 17:30 - 20.06.2022 18:00,2563,2563,2563,0,0,0,1161,1161,1161
20.06.2022 18:00 - 20.06.2022 18:30,1830,1830,1830,0,0,0,1040,1040,1040
20.06.2022 18:30 - 20.06.2022 19:00,1181,1181,1181,0,0,0,992,992,992
20.06.2022 19:00 - 20.06.2022 19:30,634,634,634,0,0,0,1009,1009,1009
20.06.2022 19:30 - 20.06.2022 20:00,193,193,193,0,0,0,1075,1075,1075
20.06.2022 20:00 - 20.06.2022 20:30,23,23,23,0,0,0,1013,1013,1013
20.06.2022 20:30 - 20.06.2022 21:00,0,0,0,0,0,0,992,992,992
20.06.2022 21:00 - 20.06.2022 21:30,0,0,0,0,0,0,999,999,999
20.06.2022 21:30 - 20.06.2022 22:00,0,0,0,0,0,0,1027,1027,1027
20.06.2022 22:00 - 20.06.2022 22:30,0,0,0,0,0,0,953,953,953
20.06.2022 22:30 - 20.06.2022 23:00,0,0,0,0,0,0,908,908,908
20.06.2022 23:00 - 20.06.2022 23:30,0,0,0,0,0,0,815,815,815
20.06.2022 23:30 - 21.06.2022 00:00,0,0,0,0,0,0,764,764,764
21.06.2022 00:00 - 21.06.2022 00:30,0,0,0,0,0,0,767,767,767
21.06.2022 00:30 - 21.06.2022 01:00,0,0,0,0,0,0,798,798,798
21.06.2022 01:00 - 21.06.2022 01:30,0,0,0,0,0,0,749,749,749
21.06.2022 01:30 - 21.06.2022 02:00,0,0,0,0,0,0,729,729,729
21.06.2022 02:00 - 21.06.2022 02:30,0,0,0,0,0,0,729,729,729
21.06.2022 02:30 - 21.06.2022 03:00,0,0,0,0,0,0,749,749,749
21.06.2022 03:00 - 21.06.2022 03:30,0,0,0,0,0,0,691,691,691
21.06.2022 03:30 - 21.06.2022 04:00,0,0,0,0,0,0,657,657,657
21.06.2022 04:00 - 21.06.2022 04:30,97,97,97,0,0,0,640,640,640
21.06.2022 04:30 - 21.06.2022 05:00,387,387,387,0,0,0,643,643,643
21.06.2022 05:00 - 21.06.2022 05:30,877,877,877,0,0,0,609,609,609
21.06.2022 05:30 - 21.06.2022 06:00,1455,1455,1455,0,0,0,606,606,606
21.06.2022 06:00 - 21.06.2022 06:30,2136,2136,2136,0,0,0,545,545,545
21.06.2022 06:30 - 21.06.2022 07:00,3033,3033,3033,0,0,0,514,514,514
21.06.2022 07:00 - 21.06.2022 07:30,3842,3842,3842,0,0,0,507,507,507
21.06.2022 07:30 - 21.06.2022 08:00,4782,4782,4782,0,0,0,525,525,525
21.06.2022 08:00 - 21.06.2022 08:30,5681,5681,5681,0,0,0,520,520,520
21.06.2022 08:30 - 21.06.2022 09:00,6533,6533,6533,0,0,0,539,539,539
21.06.2022 09:00 - 21.06.2022 09:30,7131,7131,7131,0,0,0,521,521,521
21.06.2022 09:30 - 21.06.2022 10:00,7759,7759,7759,0,0,0,526,526,526
21.06.2022 10:00 - 21.06.2022 10:30,8203,8203,8203,0,0,0,489,489,489
21.06.2022 10:30 - 21.06.2022 11:00,8636,8636,8636,0,0,0,485,485,485
21.06.2022 11:00 - 21.06.2022 11:30,8614,8614,8614,0,0,0,453,453,453
21.06.2022 11:30 - 21.06.2022 12:00,9008,9008,9008,0,0,0,448,448,448
21.06.2022 12:00 - 21.06.2022 12:30,9045,9045,9045,0,0,0,462,462,462
21.06.2022 12:30 - 21.06.2022 13:00,8900,8900,8900,0,0,0,520,520,520
21.06.2022 13:00 - 21.06.2022 13:30,8736,8736,8736,0,0,0,506,506,506
21.06.2022 13:30 - 21.06.2022 14:00,8407,8407,8407,0,0,0,525,525,525
21.06.2022 14:00 - 21.06.2022 14:30,7842,7842,7842,0,0,0,544,544,544
21.06.2022 14:30 - 21.06.2022 15:00,7307,7307,7307,0,0,0,620,620,620
21.06.2022 15:00 - 21.06.2022 15:30,6579,6579,6579,0,0,0,628,628,628
21.06.2022 15:30 - 21.06.2022 16:00,5608,5608,5608,0,0,0,671,671,671
21.06.2022 16:00 - 21.06.2022 16:30,4798,4798,4798,0,0,0,646,646,646
21.06.2022 16:30 - 21.06.2022 17:00,3968,3968,3968,0,0,0,652,652,652
21.06.2022 17:00 - 21.06.2022 17:30,3179,3179,3179,0,0,0,656,656,656
21.06.2022 17:30 - 21.06.2022 18:00,2431,2431,2431,0,0,0,701,701,701
21.06.2022 18:00 - 21.06.2022 18:30,1740,1740,1740,0,0,0,642,642,642
21.06.2022 18:30 - 21.06.2022 19:00,1142,1142,1142,0,0,0,624,624,624
21.06.2022 19:00 - 21.06.2022 19:30,628,628,628,0,0,0,570,570,570
21.06.2022 19:30 - 21.06.2022 20:00,224,224,224,0,0,0,555,555,555
21.06.2022 20:00 - 21.06.2022 20:30,26,26,26,0,0,0,495,495,495
21.06.2022 20:30 - 21.06.2022 21:00,0,0,0,0,0,0,469,469,469
21.06.2022 21:00 - 21.06.2022 21:30,0,0,0,0,0,0,457,457,457
21.06.2022 21:30 - 21.06.2022 22:00,0,0,0,0,0,0,478,478,478
21.06.2022 22:00 - 21.06.2022 22:30,0,0,0,0,0,0,465,465,465
21.06.2022 22:30 - 21.06.2022 23:00,0,0,0,0,0,0,486,486,486
21.06.2022 23:00 - 21.06.2022 23:30,0,0,0,0,0,0,452,452,452
21.06.2022 23:30 - 22.06.2022 00:00,0,0,0,0,0,0,450,450,450
22.06.2022 00:00 - 22.06.2022 00:30,0,0,0,0,0,0,463,463,463
22.06.2022 00:30 - 22.06.2022 01:00,0,0,0,0,0,0,502,502,502
22.06.2022 01:00 - 22.06.2022 01:30,0,0,0,0,0,0,493,493,493
22.06.2022 01:30 - 22.06.2022 02:00,0,0,0,0,0,0,508,508,508
22.06.2022 02:00 - 22.06.2022 02:30,0,0,0,0,0,0,490,490,490
22.06.2022 02:30 - 22.06.2022 03:00,0,0,0,0,0,0,494,494,494
22.06.2022 03:00 - 22.06.2022 03:30,0,0,0,0,0,0,505,505,505
22.06.2022 03:30 - 22.06.2022 04:00,0,0,0,0,0,0,533,533,533
22.06.2022 04:00 - 22.06.2022 04:30,72,72,72,0,0,0,559,559,559
22.06.2022 04:30 - 22.06.2022 05:00,349,349,349,0,0,0,613,613,613
22.06.2022 05:00 - 22.06.2022 05:30,783,783,783,0,0,0,589,589,589
22.06.2022 05:30 - 22.06.2022 06:00,1348,1348,1348,0,0,0,601,601,601
22.06.2022 06:00 - 22.06.2022 06:30,2042,2042,2042,0,0,0,611,611,611
22.06.2022 06:30 - 22.06.2022 07:00,2866,2866,2866,0,0,0,645,645,645
22.06.2022 07:00 - 22.06.2022 07:30,3805,3805,3805,0,0,0,697,697,697
22.06.2022 07:30 - 22.06.2022 08:00,4779,4779,4779,0,0,0,790,790,790
22.06.2022 08:00 - 22.06.2022 08:30,5761,5761,5761,0,0,0,902,902,902
22.06.2022 08:30 - 22.06.2022 09:00,6688,6688,6688,0,0,0,1038,1038,1038
22.06.2022 09:00 - 22.06.2022 09:30,7471,7471,7471,0,0,0,1091,1091,1091
22.06.2022 09:30 - 22.06.2022 10:00,8168,8168,8168,0,0,0,1177,1177,1177
22.06.2022 10:00 - 22.06.2022 10:30,8762,8762,8762,0,0,0,1179,1179,1179
22.06.2022 10:30 - 22.06.2022 11:00,9236,9236,9236,0,0,0,1204,1204,1204
22.06.2022 11:00 - 22.06.2022 11:30,9550,9550,9550,0,0,0,1243,1243,1243
22.06.2022 11:30 - 22.06.2022 12:00,9521,9521,9521,0,0,0,1309,1309,1309
22.06.2022 12:00 - 22.06.2022 12:30,9549,9549,9549,0,0,0,1311,1311,1311
22.06.2022 12:30 - 22.06.2022 13:00,9503,9503,9503,0,0,0,1337,1337,1337
22.06.2022 13:00 - 22.06.2022 13:30,9153,9153,9153,0,0,0,1321,1321,1321
22.06.2022 13:30 - 22.06.2022 14:00,8689,8689,8689,0,0,0,1357,1357,1357
22.06.2022 14:00 - 22.06.2022 14:30,8183,8183,8183,0,0,0,1366,1366,1366
22.06.2022 14:30 - 22.06.2022 15:00,7567,7567,7567,0,0,0,1400,1400,1400
22.06.2022 15:00 - 22.06.2022 15:30,6657,6657,6657,0,0,0,1378,1378,1378
22.06.2022 15:30 - 22.06.2022 16:00,5810,5810,5810,0,0,0,1390,1390,1390
22.06.2022 16:00 - 22.06.2022 16:30,4966,4966,4966,0,0,0,1343,1343,1343
22.06.2022 16:30 - 22.06.2022 17:00,3983,3983,3983,0,0,0,1344,1344,1344
22.06.2022 17:00 - 22.06.2022 17:30,3161,3161,3161,0,0,0,1229,1229,1229
22.06.2022 17:30 - 22.06.2022 18:00,2438,2438,2438,0,0,0,1148,1148,1148
22.06.2022 18:00 - 22.06.2022 18:30,1723,1723,1723,0,0,0,1099,1099,1099
22.06.2022 18:30 - 22.06.2022 19:00,1125,1125,1125,0,0,0,1080,1080,1080
22.06.2022 19:00 - 22.06.2022 19:30,615,615,615,0,0,0,990,990,990
22.06.2022 19:30 - 22.06.2022 20:00,220,220,220,0,0,0,941,941,941
22.06.2022 20:00 - 22.06.2022 20:30,24,24,24,0,0,0,894,894,894
22.06.2022 20:30 - 22.06.2022 21:00,0,0,0,0,0,0,882,882,882
22.06.2022 21:00 - 22.06.2022 21:30,0,0,0,0,0,0,829,829,829
22.06.2022 21:30 - 22.06.2022 22:00,0,0,0,0,0,0,817,817,817
22.06.2022 22:00 - 22.06.2022 22:30,0,0,0,0,0,0,772,772,772
22.06.2022 22:30 - 22.06.2022 23:00,0,0,0,0,0,0,759,759,759
22.06.2022 23:00 - 22.06.2022 23:30,0,0,0,0,0,0,687,687,687
22.06.2022 23:30 - 23.06.2022 00:00,0,0,0,0,0,0,645,645,645
23.06.2022 00:00 - 23.06.2022 00:30,0,0,0,0,0,0,617,617,617
23.06.2022 00:30 - 23.06.2022 01:00,0,0,0,0,0,0,616,616,616
23.06.2022 01:00 - 23.06.2022 01:30,0,0,0,0,0,0,602,602,602
23.06.2022 01:30 - 23.06.2022 02:00,0,0,0,0,0,0,608,608,608
23.06.2022 02:00 - 23.06.2022 02:30,0,0,0,0,0,0,572,572,572
23.06.2022 02:30 - 23.06.2022 03:00,0,0,0,0,0,0,559,559,559
23.06.2022 03:00 - 23.06.2022 03:30,0,0,0,0,0,0,528,528,528
23.06.2022 03:30 - 23.06.2022 04:00,0,0,0,0,0,0,524,524,524
23.06.2022 04:00 - 23.06.2022 04:30,73,73,73,0,0,0,495,495,495
23.06.2022 04:30 - 23.06.2022 05:00,342,342,342,0,0,0,493,493,493
23.06.2022 05:00 - 23.06.2022 05:30,764,764,764,0,0,0,460,460,460
23.06.2022 05:30 - 23.06.2022 06:00,1256,1256,1256,0,0,0,455,455,455
23.06.2022 06:00 - 23.06.2022 06:30,1828,1828,1828,0,0,0,460,460,460
23.06.2022 06:30 - 23.06.2022 07:00,2466,2466,2466,0,0,0,491,491,491
23.06.2022 07:00 - 23.06.2022 07:30,3095,3095,3095,0,0,0,520,520,520
23.06.2022 07:30 - 23.06.2022 08:00,3710,3710,3710,0,0,0,571,571,571
23.06.2022 08:00 - 23.06.2022 08:30,4141,4141,4141,0,0,0,605,605,605
23.06.2022 08:30 - 23.06.2022 09:00,4631,4631,4631,0,0,0,666,666,666
23.06.2022 09:00 - 23.06.2022 09:30,4966,4966,4966,0,0,0,705,705,705
23.06.2022 09:30 - 23.06.2022 10:00,5423,5423,5423,0,0,0,792,792,792
23.06.2022 10:00 - 23.06.2022 10:30,5515,5515,5515,0,0,0,764,764,764
23.06.2022 10:30 - 23.06.2022 11:00,5316,5316,5316,0,0,0,783,783,783
23.06.2022 11:00 - 23.06.2022 11:30,5880,5880,5880,0,0,0,828,828,828
23.06.2022 11:30 - 23.06.2022 12:00,6431,6431,6431,0,0,0,933,933,933
23.06.2022 12:00 - 23.06.2022 12:30,6321,6321,6321,0,0,0,1021,1021,1021
23.06.2022 12:30 - 23.06.2022 13:00,5845,5845,5845,0,0,0,1173,1173,1173
23.06.2022 13:00 - 23.06.2022 13:30,5151,5151,5151,0,0,0,1135,1135,1135
23.06.2022 13:30 - 23.06.2022 14:00,4845,4845,4845,0,0,0,1140,1140,1140
23.06.2022 14:00 - 23.06.2022 14:30,4589,4589,4589,0,0,0,1057,1057,1057
23.06.2022 14:30 - 23.06.2022 15:00,4183,4183,4183,0,0,0,1041,1041,1041
23.06.2022 15:00 - 23.06.2022 15:30,3563,3563,3563,0,0,0,997,997,997
