MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Italy (IT),Generation - Solar  [MW] Intraday / Italy (IT),Generation - Solar  [MW] Current / Italy (IT),Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Offshore  [MW] Intraday / Italy (IT),Generation - Wind Offshore  [MW] Current / Italy (IT),Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Onshore  [MW] Intraday / Italy (IT),Generation - Wind Onshore  [MW] Current / Italy (IT)
05.01.2022 12:00 - 05.01.2022 13:00,4675,4675,4676,N/A,n/e,n/e,3753,3742,3753
05.01.2022 13:00 - 05.01.2022 14:00,4294,4294,4292,N/A,n/e,n/e,3858,3837,3858
05.01.2022 14:00 - 05.01.2022 15:00,3304,3304,3303,N/A,n/e,n/e,3895,3939,3895
05.01.2022 15:00 - 05.01.2022 16:00,1774,1774,1773,N/A,n/e,n/e,3843,3875,3843
05.01.2022 16:00 - 05.01.2022 17:00,307,307,307,N/A,n/e,n/e,3892,3849,3892
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,N/A,n/e,n/e,3998,4082,3998
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,N/A,n/e,n/e,4248,4369,4248
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,N/A,n/e,n/e,4518,4665,4518
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,N/A,n/e,n/e,4695,4821,4695
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,N/A,n/e,n/e,4807,4790,4807
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,N/A,n/e,n/e,4792,5022,4792
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,N/A,n/e,n/e,4602,4624,4602
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,N/A,n/e,n/e,5548,5548,5548
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,N/A,n/e,n/e,5463,5463,5463
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,N/A,n/e,n/e,5071,5071,5071
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,N/A,n/e,n/e,4660,4660,4660
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,N/A,n/e,n/e,3944,3944,3944
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,N/A,n/e,n/e,3347,3347,3347
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,N/A,n/e,n/e,2690,2690,2690
06.01.2022 07:00 - 06.01.2022 08:00,15,15,16,N/A,n/e,n/e,2176,2176,2176
06.01.2022 08:00 - 06.01.2022 09:00,648,648,661,N/A,n/e,n/e,1916,1913,1916
06.01.2022 09:00 - 06.01.2022 10:00,2035,2035,2078,N/A,n/e,n/e,1725,1662,1725
06.01.2022 10:00 - 06.01.2022 11:00,3359,3359,3425,N/A,n/e,n/e,1565,1522,1565
06.01.2022 11:00 - 06.01.2022 12:00,4159,4159,4259,N/A,n/e,n/e,1546,1509,1546
06.01.2022 12:00 - 06.01.2022 13:00,4396,4396,4507,N/A,n/e,n/e,1494,1454,1494
06.01.2022 13:00 - 06.01.2022 14:00,4050,4050,4150,N/A,n/e,n/e,1465,1396,1465
06.01.2022 14:00 - 06.01.2022 15:00,3099,3099,3158,N/A,n/e,n/e,1355,1254,1355
06.01.2022 15:00 - 06.01.2022 16:00,1648,1648,1651,N/A,n/e,n/e,1268,1147,1268
06.01.2022 16:00 - 06.01.2022 17:00,310,310,284,N/A,n/e,n/e,1289,1172,1289
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,N/A,n/e,n/e,1264,1174,1264
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,N/A,n/e,n/e,1240,1199,1240
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,N/A,n/e,n/e,1287,1257,1287
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,N/A,n/e,n/e,1148,1144,1148
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,N/A,n/e,n/e,1063,1075,1063
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,N/A,n/e,n/e,1102,1128,1102
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,N/A,n/e,n/e,1252,1262,1252
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,N/A,n/e,n/e,1419,1419,1419
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,N/A,n/e,n/e,1539,1539,1539
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,N/A,n/e,n/e,1660,1660,1660
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,N/A,n/e,n/e,1885,1885,1885
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,N/A,n/e,n/e,2064,2064,2064
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,N/A,n/e,n/e,2209,2209,2209
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,N/A,n/e,n/e,2387,2387,2387
07.01.2022 07:00 - 07.01.2022 08:00,8,8,0,N/A,n/e,n/e,2637,2637,2637
07.01.2022 08:00 - 07.01.2022 09:00,692,692,689,N/A,n/e,n/e,2652,2744,2652
07.01.2022 09:00 - 07.01.2022 10:00,2415,2415,2425,N/A,n/e,n/e,2735,2765,2735
07.01.2022 10:00 - 07.01.2022 11:00,4136,4136,4155,N/A,n/e,n/e,2823,2784,2823
07.01.2022 11:00 - 07.01.2022 12:00,5194,5194,5248,N/A,n/e,n/e,2800,2764,2800
07.01.2022 12:00 - 07.01.2022 13:00,5455,5455,5517,N/A,n/e,n/e,2844,2723,2844
07.01.2022 13:00 - 07.01.2022 14:00,4957,4957,5003,N/A,n/e,n/e,2881,2694,2881
07.01.2022 14:00 - 07.01.2022 15:00,3723,3723,3743,N/A,n/e,n/e,2884,2755,2884
07.01.2022 15:00 - 07.01.2022 16:00,1971,1971,1968,N/A,n/e,n/e,2866,2789,2866
07.01.2022 16:00 - 07.01.2022 17:00,413,413,407,N/A,n/e,n/e,2846,2768,2846
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,N/A,n/e,n/e,2867,2770,2867
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,N/A,n/e,n/e,2857,2769,2857
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,N/A,n/e,n/e,2844,2750,2844
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,N/A,n/e,n/e,2720,2566,2720
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,N/A,n/e,n/e,2666,2418,2666
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,N/A,n/e,n/e,2741,2520,2741
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,N/A,n/e,n/e,2997,2826,2997
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,N/A,n/e,n/e,2328,2328,2328
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,N/A,n/e,n/e,2360,2360,2360
