Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
07.08.2022 22:30 - 07.08.2022 23:00,20699,20699
07.08.2022 23:00 - 07.08.2022 23:30,19881,19881
07.08.2022 23:30 - 08.08.2022 00:00,19460,19460
08.08.2022 00:00 - 08.08.2022 00:30,18916,18916
08.08.2022 00:30 - 08.08.2022 01:00,18700,18700
08.08.2022 01:00 - 08.08.2022 01:30,18512,18512
08.08.2022 01:30 - 08.08.2022 02:00,18225,18225
08.08.2022 02:00 - 08.08.2022 02:30,18063,18063
08.08.2022 02:30 - 08.08.2022 03:00,18006,18006
08.08.2022 03:00 - 08.08.2022 03:30,17794,17794
08.08.2022 03:30 - 08.08.2022 04:00,17914,17914
08.08.2022 04:00 - 08.08.2022 04:30,18608,18608
08.08.2022 04:30 - 08.08.2022 05:00,19059,19059
08.08.2022 05:00 - 08.08.2022 05:30,20623,20623
08.08.2022 05:30 - 08.08.2022 06:00,21899,21899
08.08.2022 06:00 - 08.08.2022 06:30,23391,23391
08.08.2022 06:30 - 08.08.2022 07:00,24261,24261
08.08.2022 07:00 - 08.08.2022 07:30,25527,25527
08.08.2022 07:30 - 08.08.2022 08:00,25730,25730
08.08.2022 08:00 - 08.08.2022 08:30,25594,25594
08.08.2022 08:30 - 08.08.2022 09:00,25252,25252
08.08.2022 09:00 - 08.08.2022 09:30,24852,24852
08.08.2022 09:30 - 08.08.2022 10:00,24405,24405
08.08.2022 10:00 - 08.08.2022 10:30,24277,24277
08.08.2022 10:30 - 08.08.2022 11:00,23947,23947
08.08.2022 11:00 - 08.08.2022 11:30,24155,24155
08.08.2022 11:30 - 08.08.2022 12:00,23928,23928
08.08.2022 12:00 - 08.08.2022 12:30,23664,23664
08.08.2022 12:30 - 08.08.2022 13:00,23520,23520
08.08.2022 13:00 - 08.08.2022 13:30,23481,23481
08.08.2022 13:30 - 08.08.2022 14:00,23626,23626
08.08.2022 14:00 - 08.08.2022 14:30,23984,23984
08.08.2022 14:30 - 08.08.2022 15:00,24321,24321
08.08.2022 15:00 - 08.08.2022 15:30,25110,25110
08.08.2022 15:30 - 08.08.2022 16:00,25912,25912
08.08.2022 16:00 - 08.08.2022 16:30,27154,27154
08.08.2022 16:30 - 08.08.2022 17:00,27916,27916
08.08.2022 17:00 - 08.08.2022 17:30,28421,28421
08.08.2022 17:30 - 08.08.2022 18:00,28779,28779
08.08.2022 18:00 - 08.08.2022 18:30,28963,28963
08.08.2022 18:30 - 08.08.2022 19:00,28981,28981
08.08.2022 19:00 - 08.08.2022 19:30,28473,28473
08.08.2022 19:30 - 08.08.2022 20:00,28342,28342
08.08.2022 20:00 - 08.08.2022 20:30,28361,28361
08.08.2022 20:30 - 08.08.2022 21:00,27547,27547
08.08.2022 21:00 - 08.08.2022 21:30,26148,26148
08.08.2022 21:30 - 08.08.2022 22:00,25041,25041
08.08.2022 22:00 - 08.08.2022 22:30,23605,23605
08.08.2022 22:30 - 08.08.2022 23:00,22539,22539
08.08.2022 23:00 - 08.08.2022 23:30,21327,21327
08.08.2022 23:30 - 09.08.2022 00:00,20845,20845
09.08.2022 00:00 - 09.08.2022 00:30,20313,20313
09.08.2022 00:30 - 09.08.2022 01:00,19940,19940
09.08.2022 01:00 - 09.08.2022 01:30,19705,19705
09.08.2022 01:30 - 09.08.2022 02:00,19284,19284
09.08.2022 02:00 - 09.08.2022 02:30,18994,18994
09.08.2022 02:30 - 09.08.2022 03:00,19093,19093
09.08.2022 03:00 - 09.08.2022 03:30,18974,18974
09.08.2022 03:30 - 09.08.2022 04:00,19081,19081
09.08.2022 04:00 - 09.08.2022 04:30,19668,19668
09.08.2022 04:30 - 09.08.2022 05:00,20174,20174
09.08.2022 05:00 - 09.08.2022 05:30,21656,21656
09.08.2022 05:30 - 09.08.2022 06:00,22435,22435
09.08.2022 06:00 - 09.08.2022 06:30,24211,24211
09.08.2022 06:30 - 09.08.2022 07:00,25082,25082
09.08.2022 07:00 - 09.08.2022 07:30,25872,25872
09.08.2022 07:30 - 09.08.2022 08:00,25995,25995
09.08.2022 08:00 - 09.08.2022 08:30,26291,26291
09.08.2022 08:30 - 09.08.2022 09:00,25812,25812
09.08.2022 09:00 - 09.08.2022 09:30,25320,25320
09.08.2022 09:30 - 09.08.2022 10:00,24914,24914
09.08.2022 10:00 - 09.08.2022 10:30,24466,24466
09.08.2022 10:30 - 09.08.2022 11:00,24193,24193
09.08.2022 11:00 - 09.08.2022 11:30,24376,24376
09.08.2022 11:30 - 09.08.2022 12:00,24305,24305
09.08.2022 12:00 - 09.08.2022 12:30,24179,24179
09.08.2022 12:30 - 09.08.2022 13:00,24141,24141
09.08.2022 13:00 - 09.08.2022 13:30,24037,24037
09.08.2022 13:30 - 09.08.2022 14:00,24337,24337
09.08.2022 14:00 - 09.08.2022 14:30,24412,24412
09.08.2022 14:30 - 09.08.2022 15:00,24911,24911
09.08.2022 15:00 - 09.08.2022 15:30,25702,25702
09.08.2022 15:30 - 09.08.2022 16:00,26480,26480
09.08.2022 16:00 - 09.08.2022 16:30,27345,27345
09.08.2022 16:30 - 09.08.2022 17:00,28320,28320
09.08.2022 17:00 - 09.08.2022 17:30,28836,28836
09.08.2022 17:30 - 09.08.2022 18:00,28960,28960
09.08.2022 18:00 - 09.08.2022 18:30,28914,28914
09.08.2022 18:30 - 09.08.2022 19:00,28847,28847
09.08.2022 19:00 - 09.08.2022 19:30,28654,28654
09.08.2022 19:30 - 09.08.2022 20:00,28734,28734
09.08.2022 20:00 - 09.08.2022 20:30,28716,28716
09.08.2022 20:30 - 09.08.2022 21:00,28041,28041
09.08.2022 21:00 - 09.08.2022 21:30,26734,26734
09.08.2022 21:30 - 09.08.2022 22:00,25571,25571
09.08.2022 22:00 - 09.08.2022 22:30,24059,24059
09.08.2022 22:30 - 09.08.2022 23:00,22889,22889
09.08.2022 23:00 - 09.08.2022 23:30,21811,21811
09.08.2022 23:30 - 10.08.2022 00:00,21241,21241
10.08.2022 00:00 - 10.08.2022 00:30,20857,20857
10.08.2022 00:30 - 10.08.2022 01:00,20448,20448
10.08.2022 01:00 - 10.08.2022 01:30,19845,19845
10.08.2022 01:30 - 10.08.2022 02:00,19734,19734
10.08.2022 02:00 - 10.08.2022 02:30,19587,19587
10.08.2022 02:30 - 10.08.2022 03:00,19359,19359
10.08.2022 03:00 - 10.08.2022 03:30,19428,19428
10.08.2022 03:30 - 10.08.2022 04:00,19413,19413
10.08.2022 04:00 - 10.08.2022 04:30,19982,19982
10.08.2022 04:30 - 10.08.2022 05:00,20505,20505
10.08.2022 05:00 - 10.08.2022 05:30,21912,21912
10.08.2022 05:30 - 10.08.2022 06:00,22814,22814
10.08.2022 06:00 - 10.08.2022 06:30,24197,24197
10.08.2022 06:30 - 10.08.2022 07:00,25345,25345
10.08.2022 07:00 - 10.08.2022 07:30,26495,26495
10.08.2022 07:30 - 10.08.2022 08:00,26697,26697
10.08.2022 08:00 - 10.08.2022 08:30,26730,26730
10.08.2022 08:30 - 10.08.2022 09:00,26286,26286
10.08.2022 09:00 - 10.08.2022 09:30,25604,25604
10.08.2022 09:30 - 10.08.2022 10:00,24993,24993
10.08.2022 10:00 - 10.08.2022 10:30,24709,24709
10.08.2022 10:30 - 10.08.2022 11:00,24473,24473
10.08.2022 11:00 - 10.08.2022 11:30,24375,24375
10.08.2022 11:30 - 10.08.2022 12:00,24206,24206
10.08.2022 12:00 - 10.08.2022 12:30,23999,23999
10.08.2022 12:30 - 10.08.2022 13:00,23794,23794
10.08.2022 13:00 - 10.08.2022 13:30,23851,23851
10.08.2022 13:30 - 10.08.2022 14:00,24284,24284
10.08.2022 14:00 - 10.08.2022 14:30,24595,24595
10.08.2022 14:30 - 10.08.2022 15:00,25064,25064
10.08.2022 15:00 - 10.08.2022 15:30,25692,25692
10.08.2022 15:30 - 10.08.2022 16:00,26475,26475
10.08.2022 16:00 - 10.08.2022 16:30,27531,27531
10.08.2022 16:30 - 10.08.2022 17:00,28183,28183
10.08.2022 17:00 - 10.08.2022 17:30,28755,28755
10.08.2022 17:30 - 10.08.2022 18:00,28991,28991
10.08.2022 18:00 - 10.08.2022 18:30,29270,29270
10.08.2022 18:30 - 10.08.2022 19:00,28892,28892
10.08.2022 19:00 - 10.08.2022 19:30,28536,28536
10.08.2022 19:30 - 10.08.2022 20:00,28097,28097
10.08.2022 20:00 - 10.08.2022 20:30,28302,28302
10.08.2022 20:30 - 10.08.2022 21:00,27554,27554
10.08.2022 21:00 - 10.08.2022 21:30,26505,26505
10.08.2022 21:30 - 10.08.2022 22:00,25573,25573
10.08.2022 22:00 - 10.08.2022 22:30,24421,24421
10.08.2022 22:30 - 10.08.2022 23:00,23221,23221
10.08.2022 23:00 - 10.08.2022 23:30,22161,22161
10.08.2022 23:30 - 11.08.2022 00:00,21731,21731
11.08.2022 00:00 - 11.08.2022 00:30,20956,20956
11.08.2022 00:30 - 11.08.2022 01:00,20573,20573
11.08.2022 01:00 - 11.08.2022 01:30,20445,20445
11.08.2022 01:30 - 11.08.2022 02:00,20199,20199
11.08.2022 02:00 - 11.08.2022 02:30,19912,19912
11.08.2022 02:30 - 11.08.2022 03:00,19901,19901
11.08.2022 03:00 - 11.08.2022 03:30,19812,19812
11.08.2022 03:30 - 11.08.2022 04:00,19861,19861
11.08.2022 04:00 - 11.08.2022 04:30,20279,20279
11.08.2022 04:30 - 11.08.2022 05:00,20672,20672
11.08.2022 05:00 - 11.08.2022 05:30,22076,22076
11.08.2022 05:30 - 11.08.2022 06:00,23131,23131
11.08.2022 06:00 - 11.08.2022 06:30,24361,24361
11.08.2022 06:30 - 11.08.2022 07:00,25149,25149
11.08.2022 07:00 - 11.08.2022 07:30,26034,26034
11.08.2022 07:30 - 11.08.2022 08:00,25975,25975
11.08.2022 08:00 - 11.08.2022 08:30,25907,25907
11.08.2022 08:30 - 11.08.2022 09:00,25483,25483
11.08.2022 09:00 - 11.08.2022 09:30,25213,25213
11.08.2022 09:30 - 11.08.2022 10:00,25018,25018
11.08.2022 10:00 - 11.08.2022 10:30,24973,24973
11.08.2022 10:30 - 11.08.2022 11:00,24913,24913
11.08.2022 11:00 - 11.08.2022 11:30,24971,24971
11.08.2022 11:30 - 11.08.2022 12:00,24717,24717
11.08.2022 12:00 - 11.08.2022 12:30,24624,24624
11.08.2022 12:30 - 11.08.2022 13:00,24430,24430
11.08.2022 13:00 - 11.08.2022 13:30,24350,24350
11.08.2022 13:30 - 11.08.2022 14:00,24360,24360
11.08.2022 14:00 - 11.08.2022 14:30,24584,24584
11.08.2022 14:30 - 11.08.2022 15:00,24885,24885
11.08.2022 15:00 - 11.08.2022 15:30,25554,25554
11.08.2022 15:30 - 11.08.2022 16:00,26191,26191
11.08.2022 16:00 - 11.08.2022 16:30,27170,27170
11.08.2022 16:30 - 11.08.2022 17:00,28106,28106
11.08.2022 17:00 - 11.08.2022 17:30,28751,28751
11.08.2022 17:30 - 11.08.2022 18:00,29347,29347
11.08.2022 18:00 - 11.08.2022 18:30,29554,29554
11.08.2022 18:30 - 11.08.2022 19:00,29282,29282
11.08.2022 19:00 - 11.08.2022 19:30,29087,29087
11.08.2022 19:30 - 11.08.2022 20:00,28886,28886
11.08.2022 20:00 - 11.08.2022 20:30,28752,28752
11.08.2022 20:30 - 11.08.2022 21:00,27900,27900
11.08.2022 21:00 - 11.08.2022 21:30,26707,26707
11.08.2022 21:30 - 11.08.2022 22:00,25652,25652
11.08.2022 22:00 - 11.08.2022 22:30,24754,24754
11.08.2022 22:30 - 11.08.2022 23:00,23684,23684
11.08.2022 23:00 - 11.08.2022 23:30,22516,22516
11.08.2022 23:30 - 12.08.2022 00:00,22033,22033
12.08.2022 00:00 - 12.08.2022 00:30,21444,21444
12.08.2022 00:30 - 12.08.2022 01:00,21140,21140
12.08.2022 01:00 - 12.08.2022 01:30,20761,20761
12.08.2022 01:30 - 12.08.2022 02:00,20534,20534
12.08.2022 02:00 - 12.08.2022 02:30,20249,20249
12.08.2022 02:30 - 12.08.2022 03:00,20051,20051
12.08.2022 03:00 - 12.08.2022 03:30,20065,20065
12.08.2022 03:30 - 12.08.2022 04:00,20135,20135
12.08.2022 04:00 - 12.08.2022 04:30,20381,20381
12.08.2022 04:30 - 12.08.2022 05:00,20796,20796
12.08.2022 05:00 - 12.08.2022 05:30,22341,22341
12.08.2022 05:30 - 12.08.2022 06:00,23356,23356
12.08.2022 06:00 - 12.08.2022 06:30,24981,24981
12.08.2022 06:30 - 12.08.2022 07:00,25908,25908
12.08.2022 07:00 - 12.08.2022 07:30,26898,26898
12.08.2022 07:30 - 12.08.2022 08:00,26893,26893
12.08.2022 08:00 - 12.08.2022 08:30,27063,27063
12.08.2022 08:30 - 12.08.2022 09:00,26773,26773
12.08.2022 09:00 - 12.08.2022 09:30,26093,26093
12.08.2022 09:30 - 12.08.2022 10:00,25689,25689
12.08.2022 10:00 - 12.08.2022 10:30,25591,25591
12.08.2022 10:30 - 12.08.2022 11:00,25441,25441
12.08.2022 11:00 - 12.08.2022 11:30,25321,25321
12.08.2022 11:30 - 12.08.2022 12:00,25202,25202
12.08.2022 12:00 - 12.08.2022 12:30,24905,24905
12.08.2022 12:30 - 12.08.2022 13:00,24670,24670
12.08.2022 13:00 - 12.08.2022 13:30,24549,24549
12.08.2022 13:30 - 12.08.2022 14:00,24582,24582
12.08.2022 14:00 - 12.08.2022 14:30,24695,24695
12.08.2022 14:30 - 12.08.2022 15:00,25024,25024
12.08.2022 15:00 - 12.08.2022 15:30,25404,25404
12.08.2022 15:30 - 12.08.2022 16:00,26180,26180
12.08.2022 16:00 - 12.08.2022 16:30,27164,27164
12.08.2022 16:30 - 12.08.2022 17:00,27770,27770
12.08.2022 17:00 - 12.08.2022 17:30,28199,28199
12.08.2022 17:30 - 12.08.2022 18:00,28657,28657
12.08.2022 18:00 - 12.08.2022 18:30,28753,28753
12.08.2022 18:30 - 12.08.2022 19:00,28472,28472
12.08.2022 19:00 - 12.08.2022 19:30,28332,28332
12.08.2022 19:30 - 12.08.2022 20:00,27990,27990
12.08.2022 20:00 - 12.08.2022 20:30,28357,28357
12.08.2022 20:30 - 12.08.2022 21:00,27716,27716
12.08.2022 21:00 - 12.08.2022 21:30,26579,26579
12.08.2022 21:30 - 12.08.2022 22:00,25581,25581
12.08.2022 22:00 - 12.08.2022 22:30,24239,24239
12.08.2022 22:30 - 12.08.2022 23:00,23130,23130
12.08.2022 23:00 - 12.08.2022 23:30,22074,22074
12.08.2022 23:30 - 13.08.2022 00:00,21569,21569
13.08.2022 00:00 - 13.08.2022 00:30,20976,20976
13.08.2022 00:30 - 13.08.2022 01:00,20618,20618
13.08.2022 01:00 - 13.08.2022 01:30,20092,20092
13.08.2022 01:30 - 13.08.2022 02:00,19707,19707
13.08.2022 02:00 - 13.08.2022 02:30,19472,19472
13.08.2022 02:30 - 13.08.2022 03:00,19275,19275
13.08.2022 03:00 - 13.08.2022 03:30,19157,19157
13.08.2022 03:30 - 13.08.2022 04:00,18992,18992
13.08.2022 04:00 - 13.08.2022 04:30,19118,19118
13.08.2022 04:30 - 13.08.2022 05:00,19184,19184
13.08.2022 05:00 - 13.08.2022 05:30,19931,19931
13.08.2022 05:30 - 13.08.2022 06:00,20348,20348
13.08.2022 06:00 - 13.08.2022 06:30,21305,21305
13.08.2022 06:30 - 13.08.2022 07:00,21688,21688
13.08.2022 07:00 - 13.08.2022 07:30,22377,22377
13.08.2022 07:30 - 13.08.2022 08:00,22367,22367
13.08.2022 08:00 - 13.08.2022 08:30,22381,22381
13.08.2022 08:30 - 13.08.2022 09:00,22142,22142
13.08.2022 09:00 - 13.08.2022 09:30,21791,21791
13.08.2022 09:30 - 13.08.2022 10:00,21233,21233
13.08.2022 10:00 - 13.08.2022 10:30,21045,21045
13.08.2022 10:30 - 13.08.2022 11:00,20843,20843
13.08.2022 11:00 - 13.08.2022 11:30,20668,20668
13.08.2022 11:30 - 13.08.2022 12:00,20471,20471
13.08.2022 12:00 - 13.08.2022 12:30,20316,20316
13.08.2022 12:30 - 13.08.2022 13:00,20112,20112
13.08.2022 13:00 - 13.08.2022 13:30,20051,20051
13.08.2022 13:30 - 13.08.2022 14:00,20157,20157
13.08.2022 14:00 - 13.08.2022 14:30,20465,20465
13.08.2022 14:30 - 13.08.2022 15:00,20961,20961
13.08.2022 15:00 - 13.08.2022 15:30,21539,21539
13.08.2022 15:30 - 13.08.2022 16:00,22260,22260
13.08.2022 16:00 - 13.08.2022 16:30,23990,23990
13.08.2022 16:30 - 13.08.2022 17:00,24678,24678
13.08.2022 17:00 - 13.08.2022 17:30,25277,25277
13.08.2022 17:30 - 13.08.2022 18:00,25845,25845
13.08.2022 18:00 - 13.08.2022 18:30,25966,25966
13.08.2022 18:30 - 13.08.2022 19:00,26150,26150
13.08.2022 19:00 - 13.08.2022 19:30,26282,26282
13.08.2022 19:30 - 13.08.2022 20:00,26258,26258
13.08.2022 20:00 - 13.08.2022 20:30,26359,26359
13.08.2022 20:30 - 13.08.2022 21:00,25996,25996
13.08.2022 21:00 - 13.08.2022 21:30,24962,24962
13.08.2022 21:30 - 13.08.2022 22:00,24248,24248
13.08.2022 22:00 - 13.08.2022 22:30,23423,23423
13.08.2022 22:30 - 13.08.2022 23:00,22460,22460
13.08.2022 23:00 - 13.08.2022 23:30,21642,21642
13.08.2022 23:30 - 14.08.2022 00:00,21091,21091
14.08.2022 00:00 - 14.08.2022 00:30,20531,20531
14.08.2022 00:30 - 14.08.2022 01:00,20164,20164
14.08.2022 01:00 - 14.08.2022 01:30,19778,19778
14.08.2022 01:30 - 14.08.2022 02:00,19430,19430
14.08.2022 02:00 - 14.08.2022 02:30,19305,19305
14.08.2022 02:30 - 14.08.2022 03:00,19032,19032
14.08.2022 03:00 - 14.08.2022 03:30,18892,18892
14.08.2022 03:30 - 14.08.2022 04:00,18815,18815
14.08.2022 04:00 - 14.08.2022 04:30,18899,18899
14.08.2022 04:30 - 14.08.2022 05:00,18698,18698
14.08.2022 05:00 - 14.08.2022 05:30,19063,19063
14.08.2022 05:30 - 14.08.2022 06:00,19332,19332
14.08.2022 06:00 - 14.08.2022 06:30,19867,19867
14.08.2022 06:30 - 14.08.2022 07:00,20161,20161
14.08.2022 07:00 - 14.08.2022 07:30,20646,20646
14.08.2022 07:30 - 14.08.2022 08:00,20871,20871
14.08.2022 08:00 - 14.08.2022 08:30,21521,21521
14.08.2022 08:30 - 14.08.2022 09:00,21257,21257
14.08.2022 09:00 - 14.08.2022 09:30,21143,21143
14.08.2022 09:30 - 14.08.2022 10:00,21069,21069
14.08.2022 10:00 - 14.08.2022 10:30,20946,20946
14.08.2022 10:30 - 14.08.2022 11:00,20903,20903
14.08.2022 11:00 - 14.08.2022 11:30,20999,20999
14.08.2022 11:30 - 14.08.2022 12:00,20794,20794
14.08.2022 12:00 - 14.08.2022 12:30,20894,20894
14.08.2022 12:30 - 14.08.2022 13:00,20932,20932
14.08.2022 13:00 - 14.08.2022 13:30,20927,20927
14.08.2022 13:30 - 14.08.2022 14:00,21250,21250
14.08.2022 14:00 - 14.08.2022 14:30,21665,21665
14.08.2022 14:30 - 14.08.2022 15:00,22315,22315
14.08.2022 15:00 - 14.08.2022 15:30,22980,22980
14.08.2022 15:30 - 14.08.2022 16:00,24231,24231
14.08.2022 16:00 - 14.08.2022 16:30,25147,25147
14.08.2022 16:30 - 14.08.2022 17:00,25799,25799
14.08.2022 17:00 - 14.08.2022 17:30,26117,26117
14.08.2022 17:30 - 14.08.2022 18:00,26780,26780
14.08.2022 18:00 - 14.08.2022 18:30,26678,26678
14.08.2022 18:30 - 14.08.2022 19:00,26683,26683
14.08.2022 19:00 - 14.08.2022 19:30,26942,26942
14.08.2022 19:30 - 14.08.2022 20:00,26898,26898
14.08.2022 20:00 - 14.08.2022 20:30,26947,26947
14.08.2022 20:30 - 14.08.2022 21:00,26265,26265
14.08.2022 21:00 - 14.08.2022 21:30,25615,25615
14.08.2022 21:30 - 14.08.2022 22:00,24616,24616
14.08.2022 22:00 - 14.08.2022 22:30,23635,23635
14.08.2022 22:30 - 14.08.2022 23:00,22886,22886
14.08.2022 23:00 - 14.08.2022 23:30,21695,21695
14.08.2022 23:30 - 15.08.2022 00:00,21141,21141
15.08.2022 00:00 - 15.08.2022 00:30,20446,20446
15.08.2022 00:30 - 15.08.2022 01:00,20174,20174
15.08.2022 01:00 - 15.08.2022 01:30,19960,19960
15.08.2022 01:30 - 15.08.2022 02:00,19681,19681
15.08.2022 02:00 - 15.08.2022 02:30,19327,19327
15.08.2022 02:30 - 15.08.2022 03:00,19475,19475
15.08.2022 03:00 - 15.08.2022 03:30,19427,19427
15.08.2022 03:30 - 15.08.2022 04:00,19494,19494
15.08.2022 04:00 - 15.08.2022 04:30,20114,20114
15.08.2022 04:30 - 15.08.2022 05:00,20840,20840
15.08.2022 05:00 - 15.08.2022 05:30,22601,22601
15.08.2022 05:30 - 15.08.2022 06:00,23960,23960
15.08.2022 06:00 - 15.08.2022 06:30,25582,25582
15.08.2022 06:30 - 15.08.2022 07:00,26618,26618
15.08.2022 07:00 - 15.08.2022 07:30,27798,27798
15.08.2022 07:30 - 15.08.2022 08:00,28052,28052
15.08.2022 08:00 - 15.08.2022 08:30,28496,28496
15.08.2022 08:30 - 15.08.2022 09:00,28439,28439
15.08.2022 09:00 - 15.08.2022 09:30,28487,28487
15.08.2022 09:30 - 15.08.2022 10:00,28792,28792
15.08.2022 10:00 - 15.08.2022 10:30,29018,29018
15.08.2022 10:30 - 15.08.2022 11:00,29179,29179
15.08.2022 11:00 - 15.08.2022 11:30,29157,29157
15.08.2022 11:30 - 15.08.2022 12:00,29229,29229
15.08.2022 12:00 - 15.08.2022 12:30,29097,29097
15.08.2022 12:30 - 15.08.2022 13:00,29073,29073
15.08.2022 13:00 - 15.08.2022 13:30,28847,28847
15.08.2022 13:30 - 15.08.2022 14:00,28745,28745
15.08.2022 14:00 - 15.08.2022 14:30,28896,28896
15.08.2022 14:30 - 15.08.2022 15:00,28989,28989
15.08.2022 15:00 - 15.08.2022 15:30,28933,28933
15.08.2022 15:30 - 15.08.2022 16:00,29440,29440
15.08.2022 16:00 - 15.08.2022 16:30,30210,30210
15.08.2022 16:30 - 15.08.2022 17:00,30429,30429
15.08.2022 17:00 - 15.08.2022 17:30,30418,30418
15.08.2022 17:30 - 15.08.2022 18:00,30030,30030
15.08.2022 18:00 - 15.08.2022 18:30,29561,29561
15.08.2022 18:30 - 15.08.2022 19:00,29351,29351
15.08.2022 19:00 - 15.08.2022 19:30,28832,28832
15.08.2022 19:30 - 15.08.2022 20:00,29259,29259
15.08.2022 20:00 - 15.08.2022 20:30,28357,28357
15.08.2022 20:30 - 15.08.2022 21:00,27454,27454
15.08.2022 21:00 - 15.08.2022 21:30,26424,26424
15.08.2022 21:30 - 15.08.2022 22:00,25300,25300
15.08.2022 22:00 - 15.08.2022 22:30,23902,23902
15.08.2022 22:30 - 15.08.2022 23:00,22891,22891
15.08.2022 23:00 - 15.08.2022 23:30,22204,22204
15.08.2022 23:30 - 16.08.2022 00:00,21631,21631
16.08.2022 00:00 - 16.08.2022 00:30,21005,21005
16.08.2022 00:30 - 16.08.2022 01:00,20618,20618
16.08.2022 01:00 - 16.08.2022 01:30,20346,20346
16.08.2022 01:30 - 16.08.2022 02:00,20150,20150
16.08.2022 02:00 - 16.08.2022 02:30,20096,20096
16.08.2022 02:30 - 16.08.2022 03:00,20000,20000
16.08.2022 03:00 - 16.08.2022 03:30,20059,20059
16.08.2022 03:30 - 16.08.2022 04:00,19879,19879
16.08.2022 04:00 - 16.08.2022 04:30,20485,20485
16.08.2022 04:30 - 16.08.2022 05:00,21022,21022
16.08.2022 05:00 - 16.08.2022 05:30,22767,22767
16.08.2022 05:30 - 16.08.2022 06:00,23990,23990
16.08.2022 06:00 - 16.08.2022 06:30,25845,25845
16.08.2022 06:30 - 16.08.2022 07:00,26517,26517
16.08.2022 07:00 - 16.08.2022 07:30,28050,28050
16.08.2022 07:30 - 16.08.2022 08:00,28478,28478
16.08.2022 08:00 - 16.08.2022 08:30,29178,29178
16.08.2022 08:30 - 16.08.2022 09:00,29346,29346
16.08.2022 09:00 - 16.08.2022 09:30,29101,29101
16.08.2022 09:30 - 16.08.2022 10:00,28947,28947
16.08.2022 10:00 - 16.08.2022 10:30,28794,28794
16.08.2022 10:30 - 16.08.2022 11:00,28663,28663
16.08.2022 11:00 - 16.08.2022 11:30,28773,28773
16.08.2022 11:30 - 16.08.2022 12:00,28554,28554
16.08.2022 12:00 - 16.08.2022 12:30,28313,28313
16.08.2022 12:30 - 16.08.2022 13:00,28366,28366
16.08.2022 13:00 - 16.08.2022 13:30,28086,28086
16.08.2022 13:30 - 16.08.2022 14:00,27981,27981
16.08.2022 14:00 - 16.08.2022 14:30,27993,27993
16.08.2022 14:30 - 16.08.2022 15:00,28218,28218
16.08.2022 15:00 - 16.08.2022 15:30,28291,28291
16.08.2022 15:30 - 16.08.2022 16:00,28926,28926
16.08.2022 16:00 - 16.08.2022 16:30,29393,29393
16.08.2022 16:30 - 16.08.2022 17:00,29986,29986
16.08.2022 17:00 - 16.08.2022 17:30,29810,29810
16.08.2022 17:30 - 16.08.2022 18:00,29676,29676
16.08.2022 18:00 - 16.08.2022 18:30,29299,29299
16.08.2022 18:30 - 16.08.2022 19:00,28569,28569
16.08.2022 19:00 - 16.08.2022 19:30,28088,28088
16.08.2022 19:30 - 16.08.2022 20:00,28168,28168
16.08.2022 20:00 - 16.08.2022 20:30,27839,27839
16.08.2022 20:30 - 16.08.2022 21:00,27017,27017
16.08.2022 21:00 - 16.08.2022 21:30,25571,25571
16.08.2022 21:30 - 16.08.2022 22:00,24396,24396
16.08.2022 22:00 - 16.08.2022 22:30,22933,22933
16.08.2022 22:30 - 16.08.2022 23:00,21873,21873
16.08.2022 23:00 - 16.08.2022 23:30,20885,20885
16.08.2022 23:30 - 17.08.2022 00:00,20465,20465
17.08.2022 00:00 - 17.08.2022 00:30,19835,19835
17.08.2022 00:30 - 17.08.2022 01:00,19553,19553
17.08.2022 01:00 - 17.08.2022 01:30,19251,19251
17.08.2022 01:30 - 17.08.2022 02:00,18859,18859
17.08.2022 02:00 - 17.08.2022 02:30,18687,18687
17.08.2022 02:30 - 17.08.2022 03:00,18596,18596
17.08.2022 03:00 - 17.08.2022 03:30,18537,18537
17.08.2022 03:30 - 17.08.2022 04:00,18651,18651
17.08.2022 04:00 - 17.08.2022 04:30,19261,19261
17.08.2022 04:30 - 17.08.2022 05:00,19852,19852
17.08.2022 05:00 - 17.08.2022 05:30,21529,21529
17.08.2022 05:30 - 17.08.2022 06:00,23026,23026
17.08.2022 06:00 - 17.08.2022 06:30,24892,24892
17.08.2022 06:30 - 17.08.2022 07:00,26158,26158
17.08.2022 07:00 - 17.08.2022 07:30,27377,27377
17.08.2022 07:30 - 17.08.2022 08:00,27730,27730
17.08.2022 08:00 - 17.08.2022 08:30,28314,28314
17.08.2022 08:30 - 17.08.2022 09:00,28273,28273
17.08.2022 09:00 - 17.08.2022 09:30,27726,27726
17.08.2022 09:30 - 17.08.2022 10:00,27282,27282
17.08.2022 10:00 - 17.08.2022 10:30,27280,27280
17.08.2022 10:30 - 17.08.2022 11:00,27262,27262
17.08.2022 11:00 - 17.08.2022 11:30,27177,27177
17.08.2022 11:30 - 17.08.2022 12:00,27076,27076
17.08.2022 12:00 - 17.08.2022 12:30,26783,26783
17.08.2022 12:30 - 17.08.2022 13:00,26464,26464
17.08.2022 13:00 - 17.08.2022 13:30,26585,26585
17.08.2022 13:30 - 17.08.2022 14:00,26601,26601
17.08.2022 14:00 - 17.08.2022 14:30,27028,27028
