Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
04.01.2022 05:00 - 04.01.2022 05:30,21796,21796
04.01.2022 05:30 - 04.01.2022 06:00,22800,22800
04.01.2022 06:00 - 04.01.2022 06:30,24883,24883
04.01.2022 06:30 - 04.01.2022 07:00,26953,26953
04.01.2022 07:00 - 04.01.2022 07:30,29287,29287
04.01.2022 07:30 - 04.01.2022 08:00,31377,31377
04.01.2022 08:00 - 04.01.2022 08:30,33591,33591
04.01.2022 08:30 - 04.01.2022 09:00,34922,34922
04.01.2022 09:00 - 04.01.2022 09:30,35974,35974
04.01.2022 09:30 - 04.01.2022 10:00,36426,36426
04.01.2022 10:00 - 04.01.2022 10:30,36659,36659
04.01.2022 10:30 - 04.01.2022 11:00,36760,36760
04.01.2022 11:00 - 04.01.2022 11:30,36727,36727
04.01.2022 11:30 - 04.01.2022 12:00,36749,36749
04.01.2022 12:00 - 04.01.2022 12:30,36766,36766
04.01.2022 12:30 - 04.01.2022 13:00,36759,36759
04.01.2022 13:00 - 04.01.2022 13:30,36591,36591
04.01.2022 13:30 - 04.01.2022 14:00,36425,36425
04.01.2022 14:00 - 04.01.2022 14:30,36714,36714
04.01.2022 14:30 - 04.01.2022 15:00,37293,37293
04.01.2022 15:00 - 04.01.2022 15:30,37723,37723
04.01.2022 15:30 - 04.01.2022 16:00,38573,38573
04.01.2022 16:00 - 04.01.2022 16:30,40309,40309
04.01.2022 16:30 - 04.01.2022 17:00,41825,41825
04.01.2022 17:00 - 04.01.2022 17:30,42965,42965
04.01.2022 17:30 - 04.01.2022 18:00,43143,43143
04.01.2022 18:00 - 04.01.2022 18:30,42118,42118
04.01.2022 18:30 - 04.01.2022 19:00,41099,41099
04.01.2022 19:00 - 04.01.2022 19:30,40155,40155
04.01.2022 19:30 - 04.01.2022 20:00,38418,38418
04.01.2022 20:00 - 04.01.2022 20:30,36763,36763
04.01.2022 20:30 - 04.01.2022 21:00,35030,35030
04.01.2022 21:00 - 04.01.2022 21:30,33338,33338
04.01.2022 21:30 - 04.01.2022 22:00,31300,31300
04.01.2022 22:00 - 04.01.2022 22:30,29252,29252
04.01.2022 22:30 - 04.01.2022 23:00,27625,27625
04.01.2022 23:00 - 04.01.2022 23:30,25919,25919
04.01.2022 23:30 - 05.01.2022 00:00,24527,24527
05.01.2022 00:00 - 05.01.2022 00:30,24303,24303
05.01.2022 00:30 - 05.01.2022 01:00,24822,24822
05.01.2022 01:00 - 05.01.2022 01:30,24614,24614
05.01.2022 01:30 - 05.01.2022 02:00,24118,24118
05.01.2022 02:00 - 05.01.2022 02:30,23545,23545
05.01.2022 02:30 - 05.01.2022 03:00,23191,23191
05.01.2022 03:00 - 05.01.2022 03:30,22948,22948
