Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
01.01.2022 19:30 - 01.01.2022 20:00,4701,3946
01.01.2022 20:00 - 01.01.2022 20:30,4573,3827
01.01.2022 20:30 - 01.01.2022 21:00,4452,3735
01.01.2022 21:00 - 01.01.2022 21:30,4335,3613
01.01.2022 21:30 - 01.01.2022 22:00,4208,3540
01.01.2022 22:00 - 01.01.2022 22:30,4098,3419
01.01.2022 22:30 - 01.01.2022 23:00,3979,3340
01.01.2022 23:00 - 01.01.2022 23:30,3846,3218
01.01.2022 23:30 - 02.01.2022 00:00,3734,3145
02.01.2022 00:00 - 02.01.2022 00:30,3739,3089
02.01.2022 00:30 - 02.01.2022 01:00,3697,3083
02.01.2022 01:00 - 02.01.2022 01:30,3567,2974
02.01.2022 01:30 - 02.01.2022 02:00,3430,2891
02.01.2022 02:00 - 02.01.2022 02:30,3297,2798
02.01.2022 02:30 - 02.01.2022 03:00,3172,2735
02.01.2022 03:00 - 02.01.2022 03:30,3080,2638
02.01.2022 03:30 - 02.01.2022 04:00,3001,2596
02.01.2022 04:00 - 02.01.2022 04:30,2924,2532
02.01.2022 04:30 - 02.01.2022 05:00,2875,2520
02.01.2022 05:00 - 02.01.2022 05:30,2837,2508
02.01.2022 05:30 - 02.01.2022 06:00,2812,2500
02.01.2022 06:00 - 02.01.2022 06:30,2795,2475
02.01.2022 06:30 - 02.01.2022 07:00,2796,2478
02.01.2022 07:00 - 02.01.2022 07:30,2837,2506
02.01.2022 07:30 - 02.01.2022 08:00,2869,2576
02.01.2022 08:00 - 02.01.2022 08:30,2933,2638
02.01.2022 08:30 - 02.01.2022 09:00,2979,2658
02.01.2022 09:00 - 02.01.2022 09:30,3015,2702
02.01.2022 09:30 - 02.01.2022 10:00,3065,2767
02.01.2022 10:00 - 02.01.2022 10:30,3195,2871
02.01.2022 10:30 - 02.01.2022 11:00,3348,3008
02.01.2022 11:00 - 02.01.2022 11:30,3521,3160
02.01.2022 11:30 - 02.01.2022 12:00,3673,3268
02.01.2022 12:00 - 02.01.2022 12:30,3794,3268
02.01.2022 12:30 - 02.01.2022 13:00,3882,3268
02.01.2022 13:00 - 02.01.2022 13:30,3980,3511
02.01.2022 13:30 - 02.01.2022 14:00,4047,3592
02.01.2022 14:00 - 02.01.2022 14:30,4072,3635
02.01.2022 14:30 - 02.01.2022 15:00,4044,3630
02.01.2022 15:00 - 02.01.2022 15:30,3992,3595
02.01.2022 15:30 - 02.01.2022 16:00,3954,3595
02.01.2022 16:00 - 02.01.2022 16:30,3937,3613
02.01.2022 16:30 - 02.01.2022 17:00,3955,3605
02.01.2022 17:00 - 02.01.2022 17:30,4041,3667
02.01.2022 17:30 - 02.01.2022 18:00,4273,3857
02.01.2022 18:00 - 02.01.2022 18:30,4575,4072
02.01.2022 18:30 - 02.01.2022 19:00,4691,4245
02.01.2022 19:00 - 02.01.2022 19:30,4691,4212
02.01.2022 19:30 - 02.01.2022 20:00,4608,4140
02.01.2022 20:00 - 02.01.2022 20:30,4511,4010
02.01.2022 20:30 - 02.01.2022 21:00,4408,3865
02.01.2022 21:00 - 02.01.2022 21:30,4329,3766
02.01.2022 21:30 - 02.01.2022 22:00,4215,3663
02.01.2022 22:00 - 02.01.2022 22:30,4105,3576
02.01.2022 22:30 - 02.01.2022 23:00,3948,3484
02.01.2022 23:00 - 02.01.2022 23:30,3763,3359
02.01.2022 23:30 - 03.01.2022 00:00,3609,3263
03.01.2022 00:00 - 03.01.2022 00:30,3597,3201
03.01.2022 00:30 - 03.01.2022 01:00,3517,3173
03.01.2022 01:00 - 03.01.2022 01:30,3507,3043
03.01.2022 01:30 - 03.01.2022 02:00,3424,2960
03.01.2022 02:00 - 03.01.2022 02:30,3300,2868
03.01.2022 02:30 - 03.01.2022 03:00,3168,2759
03.01.2022 03:00 - 03.01.2022 03:30,3060,2682
03.01.2022 03:30 - 03.01.2022 04:00,2953,2651
03.01.2022 04:00 - 03.01.2022 04:30,2873,2588
03.01.2022 04:30 - 03.01.2022 05:00,2808,2585
03.01.2022 05:00 - 03.01.2022 05:30,2777,2572
03.01.2022 05:30 - 03.01.2022 06:00,2722,2569
03.01.2022 06:00 - 03.01.2022 06:30,2707,2584
03.01.2022 06:30 - 03.01.2022 07:00,2699,2579
03.01.2022 07:00 - 03.01.2022 07:30,2732,2658
03.01.2022 07:30 - 03.01.2022 08:00,2758,2759
03.01.2022 08:00 - 03.01.2022 08:30,2777,2837
03.01.2022 08:30 - 03.01.2022 09:00,2803,2944
03.01.2022 09:00 - 03.01.2022 09:30,2812,2990
03.01.2022 09:30 - 03.01.2022 10:00,2810,3028
03.01.2022 10:00 - 03.01.2022 10:30,2897,3104
03.01.2022 10:30 - 03.01.2022 11:00,3044,3217
03.01.2022 11:00 - 03.01.2022 11:30,3226,3359
03.01.2022 11:30 - 03.01.2022 12:00,3385,3466
03.01.2022 12:00 - 03.01.2022 12:30,3545,3566
03.01.2022 12:30 - 03.01.2022 13:00,3667,3609
03.01.2022 13:00 - 03.01.2022 13:30,3784,3678
03.01.2022 13:30 - 03.01.2022 14:00,3889,3734
03.01.2022 14:00 - 03.01.2022 14:30,3927,3828
03.01.2022 14:30 - 03.01.2022 15:00,3916,3820
03.01.2022 15:00 - 03.01.2022 15:30,3866,3788
03.01.2022 15:30 - 03.01.2022 16:00,3832,3770
03.01.2022 16:00 - 03.01.2022 16:30,3814,3773
03.01.2022 16:30 - 03.01.2022 17:00,3836,3793
03.01.2022 17:00 - 03.01.2022 17:30,3914,3883
03.01.2022 17:30 - 03.01.2022 18:00,4129,4103
03.01.2022 18:00 - 03.01.2022 18:30,4323,4394
03.01.2022 18:30 - 03.01.2022 19:00,4389,4482
03.01.2022 19:00 - 03.01.2022 19:30,4350,4476
03.01.2022 19:30 - 03.01.2022 20:00,4260,4417
03.01.2022 20:00 - 03.01.2022 20:30,4171,4245
03.01.2022 20:30 - 03.01.2022 21:00,4080,4168
03.01.2022 21:00 - 03.01.2022 21:30,4004,4071
03.01.2022 21:30 - 03.01.2022 22:00,3907,3921
03.01.2022 22:00 - 03.01.2022 22:30,3846,3852
03.01.2022 22:30 - 03.01.2022 23:00,3725,3751
03.01.2022 23:00 - 03.01.2022 23:30,3604,3595
03.01.2022 23:30 - 04.01.2022 00:00,3493,3476
04.01.2022 00:00 - 04.01.2022 00:30,3505,3409
04.01.2022 00:30 - 04.01.2022 01:00,3454,3353
04.01.2022 01:00 - 04.01.2022 01:30,3591,3228
04.01.2022 01:30 - 04.01.2022 02:00,3438,3126
04.01.2022 02:00 - 04.01.2022 02:30,3327,3047
04.01.2022 02:30 - 04.01.2022 03:00,3225,2997
04.01.2022 03:00 - 04.01.2022 03:30,3146,2909
04.01.2022 03:30 - 04.01.2022 04:00,3086,2853
04.01.2022 04:00 - 04.01.2022 04:30,3054,2793
04.01.2022 04:30 - 04.01.2022 05:00,3038,2835
04.01.2022 05:00 - 04.01.2022 05:30,3035,2810
04.01.2022 05:30 - 04.01.2022 06:00,3016,2800
04.01.2022 06:00 - 04.01.2022 06:30,3040,2797
04.01.2022 06:30 - 04.01.2022 07:00,3091,2888
04.01.2022 07:00 - 04.01.2022 07:30,3268,2981
04.01.2022 07:30 - 04.01.2022 08:00,3493,3159
04.01.2022 08:00 - 04.01.2022 08:30,3864,3350
04.01.2022 08:30 - 04.01.2022 09:00,4181,3561
04.01.2022 09:00 - 04.01.2022 09:30,4367,3729
04.01.2022 09:30 - 04.01.2022 10:00,4414,3890
04.01.2022 10:00 - 04.01.2022 10:30,4469,4073
04.01.2022 10:30 - 04.01.2022 11:00,4553,4170
04.01.2022 11:00 - 04.01.2022 11:30,4586,4276
04.01.2022 11:30 - 04.01.2022 12:00,4616,4318
04.01.2022 12:00 - 04.01.2022 12:30,4640,4385
04.01.2022 12:30 - 04.01.2022 13:00,4662,4401
04.01.2022 13:00 - 04.01.2022 13:30,4685,4417
04.01.2022 13:30 - 04.01.2022 14:00,4706,4438
04.01.2022 14:00 - 04.01.2022 14:30,4694,4496
04.01.2022 14:30 - 04.01.2022 15:00,4622,4466
04.01.2022 15:00 - 04.01.2022 15:30,4620,4466
04.01.2022 15:30 - 04.01.2022 16:00,4616,4466
04.01.2022 16:00 - 04.01.2022 16:30,4633,4417
04.01.2022 16:30 - 04.01.2022 17:00,4681,4401
04.01.2022 17:00 - 04.01.2022 17:30,4777,4489
04.01.2022 17:30 - 04.01.2022 18:00,5015,4633
04.01.2022 18:00 - 04.01.2022 18:30,5262,4943
04.01.2022 18:30 - 04.01.2022 19:00,5380,5097
04.01.2022 19:00 - 04.01.2022 19:30,5342,5071
04.01.2022 19:30 - 04.01.2022 20:00,5223,4957
04.01.2022 20:00 - 04.01.2022 20:30,5089,4791
04.01.2022 20:30 - 04.01.2022 21:00,4961,4673
04.01.2022 21:00 - 04.01.2022 21:30,4825,4539
04.01.2022 21:30 - 04.01.2022 22:00,4688,4428
04.01.2022 22:00 - 04.01.2022 22:30,4551,4303
04.01.2022 22:30 - 04.01.2022 23:00,4339,4154
04.01.2022 23:00 - 04.01.2022 23:30,4135,4154
04.01.2022 23:30 - 05.01.2022 00:00,3910,4154
05.01.2022 00:00 - 05.01.2022 00:30,3832,3728
05.01.2022 00:30 - 05.01.2022 01:00,3722,3660
05.01.2022 01:00 - 05.01.2022 01:30,3584,3523
05.01.2022 01:30 - 05.01.2022 02:00,3449,3426
05.01.2022 02:00 - 05.01.2022 02:30,3329,3309
05.01.2022 02:30 - 05.01.2022 03:00,3225,3236
05.01.2022 03:00 - 05.01.2022 03:30,3151,3190
05.01.2022 03:30 - 05.01.2022 04:00,3096,3133
05.01.2022 04:00 - 05.01.2022 04:30,3057,3083
05.01.2022 04:30 - 05.01.2022 05:00,3038,3075
05.01.2022 05:00 - 05.01.2022 05:30,3034,3055
05.01.2022 05:30 - 05.01.2022 06:00,3025,3056
05.01.2022 06:00 - 05.01.2022 06:30,3054,3067
05.01.2022 06:30 - 05.01.2022 07:00,3120,3123
05.01.2022 07:00 - 05.01.2022 07:30,3309,3219
05.01.2022 07:30 - 05.01.2022 08:00,3545,3376
05.01.2022 08:00 - 05.01.2022 08:30,3922,3376
05.01.2022 08:30 - 05.01.2022 09:00,4276,3376
05.01.2022 09:00 - 05.01.2022 09:30,4469,3981
05.01.2022 09:30 - 05.01.2022 10:00,4453,4139
05.01.2022 10:00 - 05.01.2022 10:30,4501,4311
05.01.2022 10:30 - 05.01.2022 11:00,4558,4438
05.01.2022 11:00 - 05.01.2022 11:30,4571,4511
05.01.2022 11:30 - 05.01.2022 12:00,4597,4563
05.01.2022 12:00 - 05.01.2022 12:30,4606,4604
05.01.2022 12:30 - 05.01.2022 13:00,4605,4618
05.01.2022 13:00 - 05.01.2022 13:30,4625,4628
05.01.2022 13:30 - 05.01.2022 14:00,4656,4659
05.01.2022 14:00 - 05.01.2022 14:30,4655,4686
05.01.2022 14:30 - 05.01.2022 15:00,4608,4618
05.01.2022 15:00 - 05.01.2022 15:30,4622,4618
05.01.2022 15:30 - 05.01.2022 16:00,4633,4618
05.01.2022 16:00 - 05.01.2022 16:30,4685,4546
05.01.2022 16:30 - 05.01.2022 17:00,4764,4570
05.01.2022 17:00 - 05.01.2022 17:30,4887,4620
05.01.2022 17:30 - 05.01.2022 18:00,5125,4788
05.01.2022 18:00 - 05.01.2022 18:30,5363,4788
05.01.2022 18:30 - 05.01.2022 19:00,5450,4788
05.01.2022 19:00 - 05.01.2022 19:30,5406,5215
05.01.2022 19:30 - 05.01.2022 20:00,5280,5076
05.01.2022 20:00 - 05.01.2022 20:30,5152,4949
05.01.2022 20:30 - 05.01.2022 21:00,5033,4818
05.01.2022 21:00 - 05.01.2022 21:30,4890,4685
05.01.2022 21:30 - 05.01.2022 22:00,4759,4537
05.01.2022 22:00 - 05.01.2022 22:30,4598,4397
05.01.2022 22:30 - 05.01.2022 23:00,4404,4235
05.01.2022 23:00 - 05.01.2022 23:30,4192,4066
05.01.2022 23:30 - 06.01.2022 00:00,3993,3905
06.01.2022 00:00 - 06.01.2022 00:30,3922,3787
06.01.2022 00:30 - 06.01.2022 01:00,3827,3683
06.01.2022 01:00 - 06.01.2022 01:30,3674,3528
06.01.2022 01:30 - 06.01.2022 02:00,3522,3435
06.01.2022 02:00 - 06.01.2022 02:30,3394,3392
06.01.2022 02:30 - 06.01.2022 03:00,3285,3294
06.01.2022 03:00 - 06.01.2022 03:30,3199,3294
06.01.2022 03:30 - 06.01.2022 04:00,3147,3294
06.01.2022 04:00 - 06.01.2022 04:30,3096,3126
06.01.2022 04:30 - 06.01.2022 05:00,3067,3106
06.01.2022 05:00 - 06.01.2022 05:30,3077,3097
06.01.2022 05:30 - 06.01.2022 06:00,3061,3074
06.01.2022 06:00 - 06.01.2022 06:30,3104,3107
06.01.2022 06:30 - 06.01.2022 07:00,3174,3165
06.01.2022 07:00 - 06.01.2022 07:30,3346,3297
06.01.2022 07:30 - 06.01.2022 08:00,3582,3486
06.01.2022 08:00 - 06.01.2022 08:30,3971,3717
06.01.2022 08:30 - 06.01.2022 09:00,4314,4018
06.01.2022 09:00 - 06.01.2022 09:30,4516,4218
06.01.2022 09:30 - 06.01.2022 10:00,4512,4358
06.01.2022 10:00 - 06.01.2022 10:30,4545,4451
06.01.2022 10:30 - 06.01.2022 11:00,4626,4540
06.01.2022 11:00 - 06.01.2022 11:30,4649,4540
06.01.2022 11:30 - 06.01.2022 12:00,4657,4540
06.01.2022 12:00 - 06.01.2022 12:30,4675,4633
06.01.2022 12:30 - 06.01.2022 13:00,4678,4608
06.01.2022 13:00 - 06.01.2022 13:30,4681,4634
06.01.2022 13:30 - 06.01.2022 14:00,4706,4633
06.01.2022 14:00 - 06.01.2022 14:30,4690,4633
06.01.2022 14:30 - 06.01.2022 15:00,4615,4633
06.01.2022 15:00 - 06.01.2022 15:30,4609,4570
06.01.2022 15:30 - 06.01.2022 16:00,4622,4515
06.01.2022 16:00 - 06.01.2022 16:30,4669,4613
06.01.2022 16:30 - 06.01.2022 17:00,4722,4614
06.01.2022 17:00 - 06.01.2022 17:30,4822,4659
06.01.2022 17:30 - 06.01.2022 18:00,5051,4882
06.01.2022 18:00 - 06.01.2022 18:30,5326,5051
06.01.2022 18:30 - 06.01.2022 19:00,5438,5200
06.01.2022 19:00 - 06.01.2022 19:30,5403,5199
06.01.2022 19:30 - 06.01.2022 20:00,5300,5033
06.01.2022 20:00 - 06.01.2022 20:30,5180,5033
06.01.2022 20:30 - 06.01.2022 21:00,5072,5033
06.01.2022 21:00 - 06.01.2022 21:30,4924,5033
06.01.2022 21:30 - 06.01.2022 22:00,4794,5033
06.01.2022 22:00 - 06.01.2022 22:30,4638,4424
06.01.2022 22:30 - 06.01.2022 23:00,4430,4238
06.01.2022 23:00 - 06.01.2022 23:30,4214,4046
06.01.2022 23:30 - 07.01.2022 00:00,4014,3844
07.01.2022 00:00 - 07.01.2022 00:30,3952,3765
07.01.2022 00:30 - 07.01.2022 01:00,3858,3663
07.01.2022 01:00 - 07.01.2022 01:30,3701,3532
07.01.2022 01:30 - 07.01.2022 02:00,3551,3452
07.01.2022 02:00 - 07.01.2022 02:30,3429,3352
07.01.2022 02:30 - 07.01.2022 03:00,3331,3307
07.01.2022 03:00 - 07.01.2022 03:30,3261,3206
07.01.2022 03:30 - 07.01.2022 04:00,3198,3178
07.01.2022 04:00 - 07.01.2022 04:30,3156,3135
07.01.2022 04:30 - 07.01.2022 05:00,3124,3165
07.01.2022 05:00 - 07.01.2022 05:30,3108,3162
07.01.2022 05:30 - 07.01.2022 06:00,3094,3131
07.01.2022 06:00 - 07.01.2022 06:30,3124,3169
07.01.2022 06:30 - 07.01.2022 07:00,3174,3204
07.01.2022 07:00 - 07.01.2022 07:30,3365,3291
07.01.2022 07:30 - 07.01.2022 08:00,3607,3492
07.01.2022 08:00 - 07.01.2022 08:30,3984,3695
07.01.2022 08:30 - 07.01.2022 09:00,4333,3990
07.01.2022 09:00 - 07.01.2022 09:30,4527,3990
07.01.2022 09:30 - 07.01.2022 10:00,4522,3990
07.01.2022 10:00 - 07.01.2022 10:30,4567,4463
07.01.2022 10:30 - 07.01.2022 11:00,4640,4566
07.01.2022 11:00 - 07.01.2022 11:30,4654,4632
07.01.2022 11:30 - 07.01.2022 12:00,4657,4696
07.01.2022 12:00 - 07.01.2022 12:30,4663,4742
07.01.2022 12:30 - 07.01.2022 13:00,4677,4788
07.01.2022 13:00 - 07.01.2022 13:30,4680,4814
07.01.2022 13:30 - 07.01.2022 14:00,4688,4809
07.01.2022 14:00 - 07.01.2022 14:30,4657,4809
07.01.2022 14:30 - 07.01.2022 15:00,4583,4809
07.01.2022 15:00 - 07.01.2022 15:30,4581,4646
07.01.2022 15:30 - 07.01.2022 16:00,4591,4638
07.01.2022 16:00 - 07.01.2022 16:30,4624,4633
07.01.2022 16:30 - 07.01.2022 17:00,4668,4621
07.01.2022 17:00 - 07.01.2022 17:30,4752,4641
07.01.2022 17:30 - 07.01.2022 18:00,4947,4747
07.01.2022 18:00 - 07.01.2022 18:30,5182,4992
07.01.2022 18:30 - 07.01.2022 19:00,5284,5088
07.01.2022 19:00 - 07.01.2022 19:30,5249,5029
07.01.2022 19:30 - 07.01.2022 20:00,5153,4912
07.01.2022 20:00 - 07.01.2022 20:30,5038,4795
07.01.2022 20:30 - 07.01.2022 21:00,4907,4640
07.01.2022 21:00 - 07.01.2022 21:30,4759,4481
07.01.2022 21:30 - 07.01.2022 22:00,4613,4354
07.01.2022 22:00 - 07.01.2022 22:30,4476,4196
07.01.2022 22:30 - 07.01.2022 23:00,4297,4063
07.01.2022 23:00 - 07.01.2022 23:30,4123,3926
07.01.2022 23:30 - 08.01.2022 00:00,3969,3802
08.01.2022 00:00 - 08.01.2022 00:30,3961,3731
08.01.2022 00:30 - 08.01.2022 01:00,3908,3693
08.01.2022 01:00 - 08.01.2022 01:30,N/A,3520
08.01.2022 01:30 - 08.01.2022 02:00,N/A,3432
08.01.2022 02:00 - 08.01.2022 02:30,N/A,3319
08.01.2022 02:30 - 08.01.2022 03:00,N/A,3205
08.01.2022 03:00 - 08.01.2022 03:30,N/A,3124
08.01.2022 03:30 - 08.01.2022 04:00,N/A,3098
08.01.2022 04:00 - 08.01.2022 04:30,N/A,3030
08.01.2022 04:30 - 08.01.2022 05:00,N/A,2987
08.01.2022 05:00 - 08.01.2022 05:30,N/A,2979
08.01.2022 05:30 - 08.01.2022 06:00,N/A,2947
08.01.2022 06:00 - 08.01.2022 06:30,N/A,2939
08.01.2022 06:30 - 08.01.2022 07:00,N/A,2964
08.01.2022 07:00 - 08.01.2022 07:30,N/A,3027
08.01.2022 07:30 - 08.01.2022 08:00,N/A,3123
08.01.2022 08:00 - 08.01.2022 08:30,N/A,3202
08.01.2022 08:30 - 08.01.2022 09:00,N/A,3292
08.01.2022 09:00 - 08.01.2022 09:30,N/A,3386
08.01.2022 09:30 - 08.01.2022 10:00,N/A,3426
08.01.2022 10:00 - 08.01.2022 10:30,N/A,3547
08.01.2022 10:30 - 08.01.2022 11:00,N/A,3749
08.01.2022 11:00 - 08.01.2022 11:30,N/A,N/A
08.01.2022 11:30 - 08.01.2022 12:00,N/A,N/A
08.01.2022 12:00 - 08.01.2022 12:30,N/A,4018
08.01.2022 12:30 - 08.01.2022 13:00,N/A,4062
08.01.2022 13:00 - 08.01.2022 13:30,N/A,4101
08.01.2022 13:30 - 08.01.2022 14:00,N/A,4127
08.01.2022 14:00 - 08.01.2022 14:30,N/A,N/A
08.01.2022 14:30 - 08.01.2022 15:00,N/A,N/A
08.01.2022 15:00 - 08.01.2022 15:30,N/A,4088
08.01.2022 15:30 - 08.01.2022 16:00,N/A,4091
08.01.2022 16:00 - 08.01.2022 16:30,N/A,4096
08.01.2022 16:30 - 08.01.2022 17:00,N/A,4082
08.01.2022 17:00 - 08.01.2022 17:30,N/A,4146
08.01.2022 17:30 - 08.01.2022 18:00,N/A,4289
08.01.2022 18:00 - 08.01.2022 18:30,N/A,4554
08.01.2022 18:30 - 08.01.2022 19:00,N/A,4695
08.01.2022 19:00 - 08.01.2022 19:30,N/A,4644
08.01.2022 19:30 - 08.01.2022 20:00,N/A,4564
08.01.2022 20:00 - 08.01.2022 20:30,N/A,4423
08.01.2022 20:30 - 08.01.2022 21:00,N/A,4338
08.01.2022 21:00 - 08.01.2022 21:30,N/A,N/A
08.01.2022 21:30 - 08.01.2022 22:00,N/A,N/A
08.01.2022 22:00 - 08.01.2022 22:30,N/A,3989
08.01.2022 22:30 - 08.01.2022 23:00,N/A,3863
08.01.2022 23:00 - 08.01.2022 23:30,N/A,3766
08.01.2022 23:30 - 09.01.2022 00:00,N/A,3627
09.01.2022 00:00 - 09.01.2022 00:30,N/A,3562
09.01.2022 00:30 - 09.01.2022 01:00,N/A,3521
09.01.2022 01:00 - 09.01.2022 01:30,3593,3452
09.01.2022 01:30 - 09.01.2022 02:00,3450,3365
09.01.2022 02:00 - 09.01.2022 02:30,3321,3281
09.01.2022 02:30 - 09.01.2022 03:00,3193,3161
09.01.2022 03:00 - 09.01.2022 03:30,3098,3069
09.01.2022 03:30 - 09.01.2022 04:00,3009,3038
09.01.2022 04:00 - 09.01.2022 04:30,2940,2970
09.01.2022 04:30 - 09.01.2022 05:00,2914,2942
09.01.2022 05:00 - 09.01.2022 05:30,2904,2961
09.01.2022 05:30 - 09.01.2022 06:00,2877,2912
09.01.2022 06:00 - 09.01.2022 06:30,2869,2893
09.01.2022 06:30 - 09.01.2022 07:00,2855,2923
09.01.2022 07:00 - 09.01.2022 07:30,2891,2969
09.01.2022 07:30 - 09.01.2022 08:00,2930,3013
09.01.2022 08:00 - 09.01.2022 08:30,3002,3076
09.01.2022 08:30 - 09.01.2022 09:00,3065,3107
09.01.2022 09:00 - 09.01.2022 09:30,3117,N/A
09.01.2022 09:30 - 09.01.2022 10:00,3173,N/A
09.01.2022 10:00 - 09.01.2022 10:30,3346,3343
09.01.2022 10:30 - 09.01.2022 11:00,3527,3520
09.01.2022 11:00 - 09.01.2022 11:30,3703,3663
09.01.2022 11:30 - 09.01.2022 12:00,3848,3781
09.01.2022 12:00 - 09.01.2022 12:30,3962,3891
09.01.2022 12:30 - 09.01.2022 13:00,4040,3950
09.01.2022 13:00 - 09.01.2022 13:30,4117,4015
09.01.2022 13:30 - 09.01.2022 14:00,4193,4106
09.01.2022 14:00 - 09.01.2022 14:30,4209,4154
09.01.2022 14:30 - 09.01.2022 15:00,4162,4119
09.01.2022 15:00 - 09.01.2022 15:30,4104,4064
09.01.2022 15:30 - 09.01.2022 16:00,4067,4038
09.01.2022 16:00 - 09.01.2022 16:30,4057,4027
09.01.2022 16:30 - 09.01.2022 17:00,4089,4051
09.01.2022 17:00 - 09.01.2022 17:30,4164,4136
09.01.2022 17:30 - 09.01.2022 18:00,4335,4293
09.01.2022 18:00 - 09.01.2022 18:30,4617,N/A
09.01.2022 18:30 - 09.01.2022 19:00,4756,N/A
09.01.2022 19:00 - 09.01.2022 19:30,4773,4628
09.01.2022 19:30 - 09.01.2022 20:00,4714,4528
09.01.2022 20:00 - 09.01.2022 20:30,4607,4412
09.01.2022 20:30 - 09.01.2022 21:00,4489,4321
09.01.2022 21:00 - 09.01.2022 21:30,4406,4192
09.01.2022 21:30 - 09.01.2022 22:00,4296,4085
09.01.2022 22:00 - 09.01.2022 22:30,4173,N/A
09.01.2022 22:30 - 09.01.2022 23:00,4002,N/A
09.01.2022 23:00 - 09.01.2022 23:30,3805,3653
09.01.2022 23:30 - 10.01.2022 00:00,3654,3504
10.01.2022 00:00 - 10.01.2022 00:30,3627,3424
10.01.2022 00:30 - 10.01.2022 01:00,3556,3395
10.01.2022 01:00 - 10.01.2022 01:30,3414,3270
10.01.2022 01:30 - 10.01.2022 02:00,3288,3168
10.01.2022 02:00 - 10.01.2022 02:30,3179,3099
10.01.2022 02:30 - 10.01.2022 03:00,3099,3017
10.01.2022 03:00 - 10.01.2022 03:30,3019,2934
10.01.2022 03:30 - 10.01.2022 04:00,2946,2884
10.01.2022 04:00 - 10.01.2022 04:30,2908,2831
10.01.2022 04:30 - 10.01.2022 05:00,2891,2828
10.01.2022 05:00 - 10.01.2022 05:30,2894,2806
10.01.2022 05:30 - 10.01.2022 06:00,2897,2814
10.01.2022 06:00 - 10.01.2022 06:30,2944,2853
10.01.2022 06:30 - 10.01.2022 07:00,3013,2928
10.01.2022 07:00 - 10.01.2022 07:30,3206,3068
10.01.2022 07:30 - 10.01.2022 08:00,3457,3265
10.01.2022 08:00 - 10.01.2022 08:30,3850,3522
10.01.2022 08:30 - 10.01.2022 09:00,4214,3859
10.01.2022 09:00 - 10.01.2022 09:30,4407,4067
10.01.2022 09:30 - 10.01.2022 10:00,4422,4141
10.01.2022 10:00 - 10.01.2022 10:30,4471,4210
10.01.2022 10:30 - 10.01.2022 11:00,4554,4317
10.01.2022 11:00 - 10.01.2022 11:30,4575,4340
10.01.2022 11:30 - 10.01.2022 12:00,4616,4376
10.01.2022 12:00 - 10.01.2022 12:30,4642,4430
10.01.2022 12:30 - 10.01.2022 13:00,4656,4416
10.01.2022 13:00 - 10.01.2022 13:30,4682,4419
10.01.2022 13:30 - 10.01.2022 14:00,4701,4456
