MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Greece (GR),Generation - Solar  [MW] Intraday / Greece (GR),Generation - Solar  [MW] Day Ahead/ Greece (GR),Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR),Generation - Wind Offshore  [MW] Intraday / Greece (GR),Generation - Wind Offshore  [MW] Current / Greece (GR),Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR),Generation - Wind Onshore  [MW] Intraday / Greece (GR),Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)
13.07.2022 21:00 - 13.07.2022 22:00,0,0,0,n/e,n/e,n/e,1189,1309,1189
13.07.2022 22:00 - 13.07.2022 23:00,0,0,0,n/e,n/e,n/e,1189,1355,1189
13.07.2022 23:00 - 14.07.2022 00:00,0,0,0,n/e,n/e,n/e,1428,1428,1428
14.07.2022 00:00 - 14.07.2022 01:00,0,0,0,n/e,n/e,n/e,1595,1595,1595
14.07.2022 01:00 - 14.07.2022 02:00,0,0,0,n/e,n/e,n/e,1693,1693,1693
14.07.2022 02:00 - 14.07.2022 03:00,0,0,0,n/e,n/e,n/e,1788,1788,1788
14.07.2022 03:00 - 14.07.2022 04:00,0,0,0,n/e,n/e,n/e,1869,1869,1869
14.07.2022 04:00 - 14.07.2022 05:00,0,0,0,n/e,n/e,n/e,1944,1944,1944
14.07.2022 05:00 - 14.07.2022 06:00,32,32,32,n/e,n/e,n/e,2037,2037,2037
14.07.2022 06:00 - 14.07.2022 07:00,250,250,250,n/e,n/e,n/e,2128,2128,2128
14.07.2022 07:00 - 14.07.2022 08:00,843,843,843,n/e,n/e,n/e,2201,2201,2201
14.07.2022 08:00 - 14.07.2022 09:00,1560,1560,1560,n/e,n/e,n/e,2285,2285,2285
14.07.2022 09:00 - 14.07.2022 10:00,2160,2160,2160,n/e,n/e,n/e,2366,2366,2366
14.07.2022 10:00 - 14.07.2022 11:00,2569,2569,2569,n/e,n/e,n/e,2386,2386,2386
14.07.2022 11:00 - 14.07.2022 12:00,2809,2809,2809,n/e,n/e,n/e,2367,2367,2367
14.07.2022 12:00 - 14.07.2022 13:00,2885,2880,2885,n/e,n/e,n/e,2333,2358,2333
14.07.2022 13:00 - 14.07.2022 14:00,2822,2819,2822,n/e,n/e,n/e,2307,2340,2307
14.07.2022 14:00 - 14.07.2022 15:00,2601,2600,2601,n/e,n/e,n/e,2308,2335,2308
14.07.2022 15:00 - 14.07.2022 16:00,2211,2215,2211,n/e,n/e,n/e,2324,2342,2324
14.07.2022 16:00 - 14.07.2022 17:00,1642,1645,1642,n/e,n/e,n/e,2343,2350,2343
14.07.2022 17:00 - 14.07.2022 18:00,941,947,941,n/e,n/e,n/e,2349,2358,2349
14.07.2022 18:00 - 14.07.2022 19:00,327,329,327,n/e,n/e,n/e,2329,2337,2329
14.07.2022 19:00 - 14.07.2022 20:00,49,49,49,n/e,n/e,n/e,2294,2296,2294
14.07.2022 20:00 - 14.07.2022 21:00,0,0,0,n/e,n/e,n/e,2255,2256,2255
14.07.2022 21:00 - 14.07.2022 22:00,0,0,0,n/e,n/e,n/e,2249,2244,2249
14.07.2022 22:00 - 14.07.2022 23:00,0,0,0,n/e,n/e,n/e,2260,2268,2260
14.07.2022 23:00 - 15.07.2022 00:00,0,0,0,n/e,n/e,n/e,2300,2300,2300
15.07.2022 00:00 - 15.07.2022 01:00,0,0,0,n/e,n/e,n/e,2311,2311,2311
15.07.2022 01:00 - 15.07.2022 02:00,0,0,0,n/e,n/e,n/e,2327,2327,2327
15.07.2022 02:00 - 15.07.2022 03:00,0,0,0,n/e,n/e,n/e,2348,2348,2348
15.07.2022 03:00 - 15.07.2022 04:00,0,0,0,n/e,n/e,n/e,2351,2351,2351
15.07.2022 04:00 - 15.07.2022 05:00,0,0,0,n/e,n/e,n/e,2337,2337,2337
15.07.2022 05:00 - 15.07.2022 06:00,30,30,30,n/e,n/e,n/e,2321,2321,2321
15.07.2022 06:00 - 15.07.2022 07:00,246,246,246,n/e,n/e,n/e,2298,2298,2298
15.07.2022 07:00 - 15.07.2022 08:00,840,840,840,n/e,n/e,n/e,2265,2265,2265
15.07.2022 08:00 - 15.07.2022 09:00,1559,1559,1559,n/e,n/e,n/e,2257,2257,2257
15.07.2022 09:00 - 15.07.2022 10:00,2160,2160,2160,n/e,n/e,n/e,2257,2257,2257
15.07.2022 10:00 - 15.07.2022 11:00,2565,2565,2565,n/e,n/e,n/e,2228,2228,2228
15.07.2022 11:00 - 15.07.2022 12:00,2796,2796,2796,n/e,n/e,n/e,2186,2186,2186
15.07.2022 12:00 - 15.07.2022 13:00,2859,2864,2859,n/e,n/e,n/e,2140,2040,2140
15.07.2022 13:00 - 15.07.2022 14:00,2775,2785,2775,n/e,n/e,n/e,2101,1991,2101
15.07.2022 14:00 - 15.07.2022 15:00,2541,2553,2541,n/e,n/e,n/e,2077,1958,2077
15.07.2022 15:00 - 15.07.2022 16:00,2148,2160,2148,n/e,n/e,n/e,2054,1934,2054
15.07.2022 16:00 - 15.07.2022 17:00,1586,1593,1586,n/e,n/e,n/e,2002,1880,2002
15.07.2022 17:00 - 15.07.2022 18:00,907,915,907,n/e,n/e,n/e,1897,1773,1897
15.07.2022 18:00 - 15.07.2022 19:00,314,318,314,n/e,n/e,n/e,1739,1610,1739
15.07.2022 19:00 - 15.07.2022 20:00,47,46,47,n/e,n/e,n/e,1561,1431,1561
15.07.2022 20:00 - 15.07.2022 21:00,0,0,0,n/e,n/e,n/e,1420,1293,1420
15.07.2022 21:00 - 15.07.2022 22:00,0,0,0,n/e,n/e,n/e,1293,1166,1293
15.07.2022 22:00 - 15.07.2022 23:00,0,0,0,n/e,n/e,n/e,1201,1085,1201
15.07.2022 23:00 - 16.07.2022 00:00,0,0,0,n/e,n/e,n/e,1044,1044,1044
16.07.2022 00:00 - 16.07.2022 01:00,0,0,0,n/e,n/e,n/e,1016,1016,1016
16.07.2022 01:00 - 16.07.2022 02:00,0,0,0,n/e,n/e,n/e,1014,1014,1014
16.07.2022 02:00 - 16.07.2022 03:00,0,0,0,n/e,n/e,n/e,1024,1024,1024
16.07.2022 03:00 - 16.07.2022 04:00,0,0,0,n/e,n/e,n/e,1043,1043,1043
16.07.2022 04:00 - 16.07.2022 05:00,0,0,0,n/e,n/e,n/e,1065,1065,1065
16.07.2022 05:00 - 16.07.2022 06:00,29,29,29,n/e,n/e,n/e,1083,1083,1083
16.07.2022 06:00 - 16.07.2022 07:00,243,243,243,n/e,n/e,n/e,1094,1094,1094
16.07.2022 07:00 - 16.07.2022 08:00,841,841,841,n/e,n/e,n/e,1091,1091,1091
16.07.2022 08:00 - 16.07.2022 09:00,1565,1565,1565,n/e,n/e,n/e,1143,1143,1143
16.07.2022 09:00 - 16.07.2022 10:00,2169,2169,2169,n/e,n/e,n/e,1243,1243,1243
16.07.2022 10:00 - 16.07.2022 11:00,2578,2578,2578,n/e,n/e,n/e,1331,1331,1331
16.07.2022 11:00 - 16.07.2022 12:00,2810,2810,2810,n/e,n/e,n/e,1402,1402,1402
16.07.2022 12:00 - 16.07.2022 13:00,2873,2872,2873,n/e,n/e,n/e,1442,1237,1442
16.07.2022 13:00 - 16.07.2022 14:00,2796,2795,2796,n/e,n/e,n/e,1455,1261,1455
16.07.2022 14:00 - 16.07.2022 15:00,2566,2570,2566,n/e,n/e,n/e,1471,1291,1471
16.07.2022 15:00 - 16.07.2022 16:00,2174,2182,2174,n/e,n/e,n/e,1475,1328,1475
16.07.2022 16:00 - 16.07.2022 17:00,1610,1617,1610,n/e,n/e,n/e,1453,1321,1453
16.07.2022 17:00 - 16.07.2022 18:00,921,930,921,n/e,n/e,n/e,1391,1255,1391
16.07.2022 18:00 - 16.07.2022 19:00,316,320,316,n/e,n/e,n/e,1275,1139,1275
16.07.2022 19:00 - 16.07.2022 20:00,46,47,46,n/e,n/e,n/e,1153,1026,1153
16.07.2022 20:00 - 16.07.2022 21:00,0,0,0,n/e,n/e,n/e,1059,936,1059
16.07.2022 21:00 - 16.07.2022 22:00,0,0,0,n/e,n/e,n/e,987,850,987
16.07.2022 22:00 - 16.07.2022 23:00,0,0,0,n/e,n/e,n/e,949,803,949
16.07.2022 23:00 - 17.07.2022 00:00,0,0,0,n/e,n/e,n/e,802,802,802
17.07.2022 00:00 - 17.07.2022 01:00,0,0,0,n/e,n/e,n/e,833,833,833
17.07.2022 01:00 - 17.07.2022 02:00,0,0,0,n/e,n/e,n/e,857,857,857
17.07.2022 02:00 - 17.07.2022 03:00,0,0,0,n/e,n/e,n/e,906,906,906
17.07.2022 03:00 - 17.07.2022 04:00,0,0,0,n/e,n/e,n/e,976,976,976
17.07.2022 04:00 - 17.07.2022 05:00,0,0,0,n/e,n/e,n/e,1050,1050,1050
17.07.2022 05:00 - 17.07.2022 06:00,28,28,28,n/e,n/e,n/e,1118,1118,1118
17.07.2022 06:00 - 17.07.2022 07:00,238,238,238,n/e,n/e,n/e,1175,1175,1175
17.07.2022 07:00 - 17.07.2022 08:00,830,830,830,n/e,n/e,n/e,1204,1204,1204
17.07.2022 08:00 - 17.07.2022 09:00,1545,1545,1545,n/e,n/e,n/e,1256,1256,1256
17.07.2022 09:00 - 17.07.2022 10:00,2138,2138,2138,n/e,n/e,n/e,1349,1349,1349
17.07.2022 10:00 - 17.07.2022 11:00,2524,2524,2524,n/e,n/e,n/e,1440,1440,1440
17.07.2022 11:00 - 17.07.2022 12:00,2721,2721,2721,n/e,n/e,n/e,1517,1517,1517
17.07.2022 12:00 - 17.07.2022 13:00,2746,2758,2746,n/e,n/e,n/e,1598,1768,1598
17.07.2022 13:00 - 17.07.2022 14:00,2620,2638,2620,n/e,n/e,n/e,1670,1834,1670
17.07.2022 14:00 - 17.07.2022 15:00,2361,2387,2361,n/e,n/e,n/e,1715,1872,1715
17.07.2022 15:00 - 17.07.2022 16:00,1959,1995,1959,n/e,n/e,n/e,1733,1882,1733
17.07.2022 16:00 - 17.07.2022 17:00,1425,1464,1425,n/e,n/e,n/e,1690,1860,1690
17.07.2022 17:00 - 17.07.2022 18:00,815,844,815,n/e,n/e,n/e,1620,1802,1620
17.07.2022 18:00 - 17.07.2022 19:00,285,293,285,n/e,n/e,n/e,1542,1704,1542
17.07.2022 19:00 - 17.07.2022 20:00,41,43,41,n/e,n/e,n/e,1492,1621,1492
17.07.2022 20:00 - 17.07.2022 21:00,0,0,0,n/e,n/e,n/e,1476,1572,1476
17.07.2022 21:00 - 17.07.2022 22:00,0,0,0,n/e,n/e,n/e,1464,1534,1464
17.07.2022 22:00 - 17.07.2022 23:00,0,0,0,n/e,n/e,n/e,1462,1539,1462
17.07.2022 23:00 - 18.07.2022 00:00,0,0,0,n/e,n/e,n/e,1582,1582,1582
18.07.2022 00:00 - 18.07.2022 01:00,0,0,0,n/e,n/e,n/e,1699,1699,1699
18.07.2022 01:00 - 18.07.2022 02:00,0,0,0,n/e,n/e,n/e,1745,1745,1745
18.07.2022 02:00 - 18.07.2022 03:00,0,0,0,n/e,n/e,n/e,1804,1804,1804
18.07.2022 03:00 - 18.07.2022 04:00,0,0,0,n/e,n/e,n/e,1885,1885,1885
18.07.2022 04:00 - 18.07.2022 05:00,0,0,0,n/e,n/e,n/e,1969,1969,1969
18.07.2022 05:00 - 18.07.2022 06:00,27,27,27,n/e,n/e,n/e,2046,2046,2046
18.07.2022 06:00 - 18.07.2022 07:00,231,231,231,n/e,n/e,n/e,2107,2107,2107
18.07.2022 07:00 - 18.07.2022 08:00,801,801,801,n/e,n/e,n/e,2163,2163,2163
18.07.2022 08:00 - 18.07.2022 09:00,1495,1495,1495,n/e,n/e,n/e,2248,2248,2248
18.07.2022 09:00 - 18.07.2022 10:00,2072,2072,2072,n/e,n/e,n/e,2318,2318,2318
18.07.2022 10:00 - 18.07.2022 11:00,2459,2459,2459,n/e,n/e,n/e,2341,2341,2341
18.07.2022 11:00 - 18.07.2022 12:00,2672,2672,2672,n/e,n/e,n/e,2345,2345,2345
18.07.2022 12:00 - 18.07.2022 13:00,2724,2691,2724,n/e,n/e,n/e,2347,2346,2347
18.07.2022 13:00 - 18.07.2022 14:00,2644,2613,2644,n/e,n/e,n/e,2349,2342,2349
18.07.2022 14:00 - 18.07.2022 15:00,2417,2395,2417,n/e,n/e,n/e,2349,2349,2349
18.07.2022 15:00 - 18.07.2022 16:00,2041,2027,2041,n/e,n/e,n/e,2352,2359,2352
18.07.2022 16:00 - 18.07.2022 17:00,1508,1505,1508,n/e,n/e,n/e,2348,2366,2348
18.07.2022 17:00 - 18.07.2022 18:00,865,874,865,n/e,n/e,n/e,2339,2376,2339
18.07.2022 18:00 - 18.07.2022 19:00,301,305,301,n/e,n/e,n/e,2331,2355,2331
18.07.2022 19:00 - 18.07.2022 20:00,44,44,44,n/e,n/e,n/e,2299,2323,2299
18.07.2022 20:00 - 18.07.2022 21:00,0,0,0,n/e,n/e,n/e,2269,2302,2269
18.07.2022 21:00 - 18.07.2022 22:00,0,0,0,n/e,n/e,n/e,2255,2302,2255
18.07.2022 22:00 - 18.07.2022 23:00,0,0,0,n/e,n/e,n/e,2266,2335,2266
18.07.2022 23:00 - 19.07.2022 00:00,0,0,0,n/e,n/e,n/e,2365,2365,2365
19.07.2022 00:00 - 19.07.2022 01:00,0,0,0,n/e,n/e,n/e,2403,2403,2403
19.07.2022 01:00 - 19.07.2022 02:00,0,0,0,n/e,n/e,n/e,2440,2440,2440
19.07.2022 02:00 - 19.07.2022 03:00,0,0,0,n/e,n/e,n/e,2485,2485,2485
19.07.2022 03:00 - 19.07.2022 04:00,0,0,0,n/e,n/e,n/e,2520,2520,2520
19.07.2022 04:00 - 19.07.2022 05:00,0,0,0,n/e,n/e,n/e,2546,2546,2546
19.07.2022 05:00 - 19.07.2022 06:00,26,26,26,n/e,n/e,n/e,2574,2574,2574
19.07.2022 06:00 - 19.07.2022 07:00,227,227,227,n/e,n/e,n/e,2588,2588,2588
19.07.2022 07:00 - 19.07.2022 08:00,782,782,782,n/e,n/e,n/e,2617,2617,2617
19.07.2022 08:00 - 19.07.2022 09:00,1460,1460,1460,n/e,n/e,n/e,2669,2669,2669
19.07.2022 09:00 - 19.07.2022 10:00,2037,2037,2037,n/e,n/e,n/e,2688,2688,2688
19.07.2022 10:00 - 19.07.2022 11:00,2435,2435,2435,n/e,n/e,n/e,2679,2679,2679
19.07.2022 11:00 - 19.07.2022 12:00,2669,2669,2669,n/e,n/e,n/e,2652,2652,2652
19.07.2022 12:00 - 19.07.2022 13:00,2745,2740,2745,n/e,n/e,n/e,2620,2598,2620
19.07.2022 13:00 - 19.07.2022 14:00,2683,2687,2683,n/e,n/e,n/e,2597,2578,2597
19.07.2022 14:00 - 19.07.2022 15:00,2474,2487,2474,n/e,n/e,n/e,2583,2580,2583
19.07.2022 15:00 - 19.07.2022 16:00,2105,2122,2105,n/e,n/e,n/e,2573,2585,2573
19.07.2022 16:00 - 19.07.2022 17:00,1561,1574,1561,n/e,n/e,n/e,2564,2578,2564
19.07.2022 17:00 - 19.07.2022 18:00,893,905,893,n/e,n/e,n/e,2532,2559,2532
19.07.2022 18:00 - 19.07.2022 19:00,305,311,305,n/e,n/e,n/e,2454,2505,2454
19.07.2022 19:00 - 19.07.2022 20:00,43,44,43,n/e,n/e,n/e,2362,2437,2362
19.07.2022 20:00 - 19.07.2022 21:00,0,0,0,n/e,n/e,n/e,2314,2392,2314
19.07.2022 21:00 - 19.07.2022 22:00,0,0,0,n/e,n/e,n/e,2310,2371,2310
19.07.2022 22:00 - 19.07.2022 23:00,0,0,0,n/e,n/e,n/e,2327,2392,2327
19.07.2022 23:00 - 20.07.2022 00:00,0,0,0,n/e,n/e,n/e,2422,2422,2422
20.07.2022 00:00 - 20.07.2022 01:00,0,0,0,n/e,n/e,n/e,2468,2468,2468
20.07.2022 01:00 - 20.07.2022 02:00,0,0,0,n/e,n/e,n/e,2517,2517,2517
20.07.2022 02:00 - 20.07.2022 03:00,0,0,0,n/e,n/e,n/e,2559,2559,2559
20.07.2022 03:00 - 20.07.2022 04:00,0,0,0,n/e,n/e,n/e,2597,2597,2597
20.07.2022 04:00 - 20.07.2022 05:00,0,0,0,n/e,n/e,n/e,2625,2625,2625
20.07.2022 05:00 - 20.07.2022 06:00,26,26,26,n/e,n/e,n/e,2633,2633,2633
20.07.2022 06:00 - 20.07.2022 07:00,231,231,231,n/e,n/e,n/e,2616,2616,2616
20.07.2022 07:00 - 20.07.2022 08:00,816,816,816,n/e,n/e,n/e,2614,2614,2614
20.07.2022 08:00 - 20.07.2022 09:00,1536,1536,1536,n/e,n/e,n/e,2649,2649,2649
20.07.2022 09:00 - 20.07.2022 10:00,2135,2135,2135,n/e,n/e,n/e,2675,2675,2675
20.07.2022 10:00 - 20.07.2022 11:00,2538,2538,2538,n/e,n/e,n/e,2679,2679,2679
20.07.2022 11:00 - 20.07.2022 12:00,2762,2762,2762,n/e,n/e,n/e,2666,2666,2666
20.07.2022 12:00 - 20.07.2022 13:00,2827,2839,2827,n/e,n/e,n/e,2642,2624,2642
20.07.2022 13:00 - 20.07.2022 14:00,2764,2776,2764,n/e,n/e,n/e,2612,2586,2612
20.07.2022 14:00 - 20.07.2022 15:00,2543,2556,2543,n/e,n/e,n/e,2590,2567,2590
20.07.2022 15:00 - 20.07.2022 16:00,2156,2168,2156,n/e,n/e,n/e,2563,2546,2563
20.07.2022 16:00 - 20.07.2022 17:00,1596,1602,1596,n/e,n/e,n/e,2523,2511,2523
20.07.2022 17:00 - 20.07.2022 18:00,911,917,911,n/e,n/e,n/e,2463,2439,2463
20.07.2022 18:00 - 20.07.2022 19:00,309,310,309,n/e,n/e,n/e,2344,2319,2344
20.07.2022 19:00 - 20.07.2022 20:00,42,42,42,n/e,n/e,n/e,2197,2181,2197
20.07.2022 20:00 - 20.07.2022 21:00,0,0,0,n/e,n/e,n/e,2081,2082,2081
20.07.2022 21:00 - 20.07.2022 22:00,0,0,0,n/e,n/e,n/e,2002,2018,2002
20.07.2022 22:00 - 20.07.2022 23:00,0,0,0,n/e,n/e,n/e,1959,1981,1959
20.07.2022 23:00 - 21.07.2022 00:00,0,0,0,n/e,n/e,n/e,1950,1950,1950
21.07.2022 00:00 - 21.07.2022 01:00,0,0,0,n/e,n/e,n/e,1923,1923,1923
21.07.2022 01:00 - 21.07.2022 02:00,0,0,0,n/e,n/e,n/e,1914,1914,1914
21.07.2022 02:00 - 21.07.2022 03:00,0,0,0,n/e,n/e,n/e,1919,1919,1919
21.07.2022 03:00 - 21.07.2022 04:00,0,0,0,n/e,n/e,n/e,1927,1927,1927
21.07.2022 04:00 - 21.07.2022 05:00,0,0,0,n/e,n/e,n/e,1926,1926,1926
21.07.2022 05:00 - 21.07.2022 06:00,24,24,24,n/e,n/e,n/e,1910,1910,1910
21.07.2022 06:00 - 21.07.2022 07:00,229,229,229,n/e,n/e,n/e,1878,1878,1878
21.07.2022 07:00 - 21.07.2022 08:00,824,824,824,n/e,n/e,n/e,1843,1843,1843
21.07.2022 08:00 - 21.07.2022 09:00,1560,1560,1560,n/e,n/e,n/e,1855,1855,1855
21.07.2022 09:00 - 21.07.2022 10:00,2175,2175,2175,n/e,n/e,n/e,1908,1908,1908
21.07.2022 10:00 - 21.07.2022 11:00,2589,2589,2589,n/e,n/e,n/e,1947,1947,1947
21.07.2022 11:00 - 21.07.2022 12:00,2825,2825,2825,n/e,n/e,n/e,1958,1958,1958
21.07.2022 12:00 - 21.07.2022 13:00,2896,2899,2896,n/e,n/e,n/e,1931,1731,1931
21.07.2022 13:00 - 21.07.2022 14:00,2832,2836,2832,n/e,n/e,n/e,1892,1677,1892
21.07.2022 14:00 - 21.07.2022 15:00,2612,2620,2612,n/e,n/e,n/e,1850,1629,1850
21.07.2022 15:00 - 21.07.2022 16:00,2221,2235,2221,n/e,n/e,n/e,1794,1577,1794
21.07.2022 16:00 - 21.07.2022 17:00,1646,1659,1646,n/e,n/e,n/e,1719,1507,1719
21.07.2022 17:00 - 21.07.2022 18:00,935,946,935,n/e,n/e,n/e,1604,1410,1604
21.07.2022 18:00 - 21.07.2022 19:00,310,315,310,n/e,n/e,n/e,1459,1278,1459
21.07.2022 19:00 - 21.07.2022 20:00,40,42,40,n/e,n/e,n/e,1324,1164,1324
21.07.2022 20:00 - 21.07.2022 21:00,0,0,0,n/e,n/e,n/e,1203,1077,1203
21.07.2022 21:00 - 21.07.2022 22:00,0,0,0,n/e,n/e,n/e,1085,974,1085
21.07.2022 22:00 - 21.07.2022 23:00,0,0,0,n/e,n/e,n/e,982,886,982
21.07.2022 23:00 - 22.07.2022 00:00,0,0,0,n/e,n/e,n/e,838,838,838
22.07.2022 00:00 - 22.07.2022 01:00,0,0,0,n/e,n/e,n/e,848,848,848
22.07.2022 01:00 - 22.07.2022 02:00,0,0,0,n/e,n/e,n/e,824,824,824
22.07.2022 02:00 - 22.07.2022 03:00,0,0,0,n/e,n/e,n/e,796,796,796
22.07.2022 03:00 - 22.07.2022 04:00,0,0,0,n/e,n/e,n/e,748,748,748
22.07.2022 04:00 - 22.07.2022 05:00,0,0,0,n/e,n/e,n/e,699,699,699
22.07.2022 05:00 - 22.07.2022 06:00,23,23,23,n/e,n/e,n/e,654,654,654
22.07.2022 06:00 - 22.07.2022 07:00,224,224,224,n/e,n/e,n/e,600,600,600
22.07.2022 07:00 - 22.07.2022 08:00,815,815,815,n/e,n/e,n/e,535,535,535
22.07.2022 08:00 - 22.07.2022 09:00,1544,1544,1544,n/e,n/e,n/e,502,502,502
22.07.2022 09:00 - 22.07.2022 10:00,2154,2154,2154,n/e,n/e,n/e,523,523,523
22.07.2022 10:00 - 22.07.2022 11:00,2565,2611,2565,n/e,n/e,n/e,587,371,587
22.07.2022 11:00 - 22.07.2022 12:00,2800,2847,2800,n/e,n/e,n/e,664,437,664
22.07.2022 12:00 - 22.07.2022 13:00,2871,2915,2871,n/e,n/e,n/e,750,502,750
22.07.2022 13:00 - 22.07.2022 14:00,2804,2850,2804,n/e,n/e,n/e,835,565,835
22.07.2022 14:00 - 22.07.2022 15:00,2582,2627,2582,n/e,n/e,n/e,892,603,892
22.07.2022 15:00 - 22.07.2022 16:00,2191,2233,2191,n/e,n/e,n/e,909,619,909
22.07.2022 16:00 - 22.07.2022 17:00,1615,1645,1615,n/e,n/e,n/e,894,613,894
22.07.2022 17:00 - 22.07.2022 18:00,912,928,912,n/e,n/e,n/e,836,558,836
22.07.2022 18:00 - 22.07.2022 19:00,301,305,301,n/e,n/e,n/e,743,485,743
22.07.2022 19:00 - 22.07.2022 20:00,38,38,38,n/e,n/e,n/e,659,398,659
22.07.2022 20:00 - 22.07.2022 21:00,0,0,0,n/e,n/e,n/e,596,350,596
22.07.2022 21:00 - 22.07.2022 22:00,0,0,0,n/e,n/e,n/e,553,324,553
22.07.2022 22:00 - 22.07.2022 23:00,0,0,0,n/e,n/e,n/e,521,315,521
22.07.2022 23:00 - 23.07.2022 00:00,0,0,0,n/e,n/e,n/e,324,324,324
23.07.2022 00:00 - 23.07.2022 01:00,0,0,0,n/e,n/e,n/e,472,472,472
23.07.2022 01:00 - 23.07.2022 02:00,0,0,0,n/e,n/e,n/e,531,531,531
23.07.2022 02:00 - 23.07.2022 03:00,0,0,0,n/e,n/e,n/e,585,585,585
23.07.2022 03:00 - 23.07.2022 04:00,0,0,0,n/e,n/e,n/e,632,632,632
23.07.2022 04:00 - 23.07.2022 05:00,0,0,0,n/e,n/e,n/e,671,671,671
23.07.2022 05:00 - 23.07.2022 06:00,22,22,22,n/e,n/e,n/e,713,713,713
23.07.2022 06:00 - 23.07.2022 07:00,223,223,223,n/e,n/e,n/e,764,764,764
23.07.2022 07:00 - 23.07.2022 08:00,818,818,818,n/e,n/e,n/e,811,811,811
23.07.2022 08:00 - 23.07.2022 09:00,1555,1555,1555,n/e,n/e,n/e,878,878,878
23.07.2022 09:00 - 23.07.2022 10:00,2172,2172,2172,n/e,n/e,n/e,983,983,983
23.07.2022 10:00 - 23.07.2022 11:00,2586,2586,2586,n/e,n/e,n/e,1078,1078,1078
23.07.2022 11:00 - 23.07.2022 12:00,2824,2824,2824,n/e,n/e,n/e,1155,1155,1155
23.07.2022 12:00 - 23.07.2022 13:00,2890,2881,2890,n/e,n/e,n/e,1204,1266,1204
23.07.2022 13:00 - 23.07.2022 14:00,2813,2801,2813,n/e,n/e,n/e,1233,1316,1233
23.07.2022 14:00 - 23.07.2022 15:00,2580,2572,2580,n/e,n/e,n/e,1243,1333,1243
23.07.2022 15:00 - 23.07.2022 16:00,2183,2180,2183,n/e,n/e,n/e,1237,1336,1237
23.07.2022 16:00 - 23.07.2022 17:00,1609,1614,1609,n/e,n/e,n/e,1212,1304,1212
23.07.2022 17:00 - 23.07.2022 18:00,909,921,909,n/e,n/e,n/e,1140,1216,1140
23.07.2022 18:00 - 23.07.2022 19:00,297,303,297,n/e,n/e,n/e,1024,1077,1024
23.07.2022 19:00 - 23.07.2022 20:00,37,38,37,n/e,n/e,n/e,896,943,896
23.07.2022 20:00 - 23.07.2022 21:00,0,0,0,n/e,n/e,n/e,802,835,802
23.07.2022 21:00 - 23.07.2022 22:00,0,0,0,n/e,n/e,n/e,707,730,707
23.07.2022 22:00 - 23.07.2022 23:00,0,0,0,n/e,n/e,n/e,657,666,657
23.07.2022 23:00 - 24.07.2022 00:00,0,0,0,n/e,n/e,n/e,642,642,642
24.07.2022 00:00 - 24.07.2022 01:00,0,0,0,n/e,n/e,n/e,703,703,703
24.07.2022 01:00 - 24.07.2022 02:00,0,0,0,n/e,n/e,n/e,679,679,679
24.07.2022 02:00 - 24.07.2022 03:00,0,0,0,n/e,n/e,n/e,652,652,652
24.07.2022 03:00 - 24.07.2022 04:00,0,0,0,n/e,n/e,n/e,625,625,625
24.07.2022 04:00 - 24.07.2022 05:00,0,0,0,n/e,n/e,n/e,597,597,597
24.07.2022 05:00 - 24.07.2022 06:00,22,22,22,n/e,n/e,n/e,561,561,561
24.07.2022 06:00 - 24.07.2022 07:00,222,222,222,n/e,n/e,n/e,531,531,531
24.07.2022 07:00 - 24.07.2022 08:00,820,820,820,n/e,n/e,n/e,508,508,508
24.07.2022 08:00 - 24.07.2022 09:00,1564,1564,1564,n/e,n/e,n/e,501,501,501
24.07.2022 09:00 - 24.07.2022 10:00,2184,2184,2184,n/e,n/e,n/e,534,534,534
24.07.2022 10:00 - 24.07.2022 11:00,2598,2598,2598,n/e,n/e,n/e,598,598,598
24.07.2022 11:00 - 24.07.2022 12:00,2827,2827,2827,n/e,n/e,n/e,662,662,662
24.07.2022 12:00 - 24.07.2022 13:00,2885,2892,2885,n/e,n/e,n/e,750,635,750
24.07.2022 13:00 - 24.07.2022 14:00,2802,2806,2802,n/e,n/e,n/e,834,761,834
24.07.2022 14:00 - 24.07.2022 15:00,2563,2566,2563,n/e,n/e,n/e,910,841,910
24.07.2022 15:00 - 24.07.2022 16:00,2156,2156,2156,n/e,n/e,n/e,949,872,949
24.07.2022 16:00 - 24.07.2022 17:00,1583,1578,1583,n/e,n/e,n/e,939,857,939
24.07.2022 17:00 - 24.07.2022 18:00,891,891,891,n/e,n/e,n/e,873,798,873
24.07.2022 18:00 - 24.07.2022 19:00,291,289,291,n/e,n/e,n/e,776,706,776
24.07.2022 19:00 - 24.07.2022 20:00,36,36,36,n/e,n/e,n/e,693,638,693
24.07.2022 20:00 - 24.07.2022 21:00,0,0,0,n/e,n/e,n/e,629,572,629
24.07.2022 21:00 - 24.07.2022 22:00,0,0,0,n/e,n/e,n/e,548,490,548
24.07.2022 22:00 - 24.07.2022 23:00,0,0,0,n/e,n/e,n/e,469,442,469
24.07.2022 23:00 - 25.07.2022 00:00,0,0,0,n/e,n/e,n/e,409,409,409
