MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Current / France (FR),Generation - Wind Offshore  [MW] Day Ahead/ France (FR),Generation - Wind Offshore  [MW] Intraday / France (FR),Generation - Wind Offshore  [MW] Current / France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Current / France (FR)
04.01.2022 17:00 - 04.01.2022 18:00,39,39,41,n/e,n/e,n/e,4780,4780,5798
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,n/e,n/e,n/e,4820,4820,6238
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,n/e,n/e,n/e,4861,4861,6678
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,n/e,n/e,n/e,5321,5321,7041
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,n/e,n/e,n/e,5782,5782,7403
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,n/e,n/e,n/e,6243,6243,7765
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,n/e,n/e,n/e,6433,6433,7602
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,n/e,n/e,n/e,8633,8633,8636
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,n/e,n/e,n/e,8650,8650,8536
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,n/e,n/e,n/e,8178,8178,8168
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,n/e,n/e,n/e,7706,7706,7802
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,n/e,n/e,n/e,7233,7233,7434
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,n/e,n/e,n/e,6983,6983,7158
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,n/e,n/e,n/e,6732,6732,6881
05.01.2022 07:00 - 05.01.2022 08:00,0,0,0,n/e,n/e,n/e,6481,6481,6235
05.01.2022 08:00 - 05.01.2022 09:00,0,0,0,n/e,n/e,n/e,6266,6266,6156
05.01.2022 09:00 - 05.01.2022 10:00,252,252,242,n/e,n/e,n/e,6050,6050,6111
05.01.2022 10:00 - 05.01.2022 11:00,1530,1530,1613,n/e,n/e,n/e,5834,5834,6042
05.01.2022 11:00 - 05.01.2022 12:00,3000,3000,3172,n/e,n/e,n/e,5915,5915,6093
05.01.2022 12:00 - 05.01.2022 13:00,3853,3853,4128,n/e,n/e,n/e,5995,5995,6158
05.01.2022 13:00 - 05.01.2022 14:00,4056,4056,4304,n/e,n/e,n/e,6075,6075,6228
05.01.2022 14:00 - 05.01.2022 15:00,3640,3640,3717,n/e,n/e,n/e,5657,5657,5787
05.01.2022 15:00 - 05.01.2022 16:00,2522,2522,2619,n/e,n/e,n/e,5239,5239,5351
05.01.2022 16:00 - 05.01.2022 17:00,1014,1014,1057,n/e,n/e,n/e,4823,4823,4920
05.01.2022 17:00 - 05.01.2022 18:00,69,69,72,n/e,n/e,n/e,4771,4771,4688
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,n/e,n/e,n/e,4719,4719,4457
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,n/e,n/e,n/e,4666,4666,4227
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,n/e,n/e,n/e,4707,4707,4286
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,n/e,n/e,n/e,4748,4748,4346
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,n/e,n/e,n/e,4788,4788,4405
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,n/e,n/e,n/e,4670,4670,4231
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,n/e,n/e,n/e,3969,3969,3873
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,n/e,n/e,n/e,3913,3913,3814
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,n/e,n/e,n/e,3564,3564,3499
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,n/e,n/e,n/e,3216,3216,3185
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,n/e,n/e,n/e,2869,2869,2865
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,n/e,n/e,n/e,2657,2657,2593
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,n/e,n/e,n/e,2444,2444,2321
06.01.2022 07:00 - 06.01.2022 08:00,0,0,0,n/e,n/e,n/e,2232,2232,2032
06.01.2022 08:00 - 06.01.2022 09:00,0,0,0,n/e,n/e,n/e,2154,2154,1996
06.01.2022 09:00 - 06.01.2022 10:00,277,277,279,n/e,n/e,n/e,2078,2078,1959
06.01.2022 10:00 - 06.01.2022 11:00,1648,1648,1673,n/e,n/e,n/e,2006,2006,1909
06.01.2022 11:00 - 06.01.2022 12:00,3222,3222,3241,n/e,n/e,n/e,2245,2245,2089
06.01.2022 12:00 - 06.01.2022 13:00,4145,4145,4195,n/e,n/e,n/e,2487,2487,2281
06.01.2022 13:00 - 06.01.2022 14:00,4442,4442,4503,n/e,n/e,n/e,2731,2731,2474
06.01.2022 14:00 - 06.01.2022 15:00,3997,3997,3971,n/e,n/e,n/e,2900,2900,2687
06.01.2022 15:00 - 06.01.2022 16:00,2791,2791,2795,n/e,n/e,n/e,3069,3069,2898
06.01.2022 16:00 - 06.01.2022 17:00,1144,1144,1147,n/e,n/e,n/e,3240,3240,3110
06.01.2022 17:00 - 06.01.2022 18:00,79,79,78,n/e,n/e,n/e,3743,3743,3875
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,n/e,n/e,n/e,4246,4246,4640
