"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"14.07.2022 22:00 - 14.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","2260","2268","n/e"
"14.07.2022 23:00 - 15.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","2300","2300","n/e"
"15.07.2022 00:00 - 15.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","2311","2311","n/e"
"15.07.2022 01:00 - 15.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","2327","2327","n/e"
"15.07.2022 02:00 - 15.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","2348","2348","n/e"
"15.07.2022 03:00 - 15.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","2351","2351","n/e"
"15.07.2022 04:00 - 15.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","2337","2337","n/e"
"15.07.2022 05:00 - 15.07.2022 06:00","30","30","n/e","n/e","n/e","n/e","2321","2321","n/e"
"15.07.2022 06:00 - 15.07.2022 07:00","246","246","n/e","n/e","n/e","n/e","2298","2298","n/e"
"15.07.2022 07:00 - 15.07.2022 08:00","840","840","n/e","n/e","n/e","n/e","2265","2265","n/e"
"15.07.2022 08:00 - 15.07.2022 09:00","1559","1559","n/e","n/e","n/e","n/e","2257","2257","n/e"
"15.07.2022 09:00 - 15.07.2022 10:00","2160","2160","n/e","n/e","n/e","n/e","2257","2257","n/e"
"15.07.2022 10:00 - 15.07.2022 11:00","2565","2565","n/e","n/e","n/e","n/e","2228","2228","n/e"
"15.07.2022 11:00 - 15.07.2022 12:00","2796","2796","n/e","n/e","n/e","n/e","2186","2186","n/e"
"15.07.2022 12:00 - 15.07.2022 13:00","2859","2864","n/e","n/e","n/e","n/e","2140","2040","n/e"
"15.07.2022 13:00 - 15.07.2022 14:00","2775","2785","n/e","n/e","n/e","n/e","2101","1991","n/e"
"15.07.2022 14:00 - 15.07.2022 15:00","2541","2553","n/e","n/e","n/e","n/e","2077","1958","n/e"
"15.07.2022 15:00 - 15.07.2022 16:00","2148","2160","n/e","n/e","n/e","n/e","2054","1934","n/e"
"15.07.2022 16:00 - 15.07.2022 17:00","1586","1593","n/e","n/e","n/e","n/e","2002","1880","n/e"
"15.07.2022 17:00 - 15.07.2022 18:00","907","915","n/e","n/e","n/e","n/e","1897","1773","n/e"
"15.07.2022 18:00 - 15.07.2022 19:00","314","318","n/e","n/e","n/e","n/e","1739","1610","n/e"
"15.07.2022 19:00 - 15.07.2022 20:00","47","46","n/e","n/e","n/e","n/e","1561","1431","n/e"
"15.07.2022 20:00 - 15.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","1420","1293","n/e"
"15.07.2022 21:00 - 15.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","1293","1166","n/e"
"15.07.2022 22:00 - 15.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","1201","1085","n/e"
"15.07.2022 23:00 - 16.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","1044","1044","n/e"
"16.07.2022 00:00 - 16.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","1016","1016","n/e"
"16.07.2022 01:00 - 16.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","1014","1014","n/e"
"16.07.2022 02:00 - 16.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","1024","1024","n/e"
"16.07.2022 03:00 - 16.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","1043","1043","n/e"
"16.07.2022 04:00 - 16.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","1065","1065","n/e"
"16.07.2022 05:00 - 16.07.2022 06:00","29","29","n/e","n/e","n/e","n/e","1083","1083","n/e"
"16.07.2022 06:00 - 16.07.2022 07:00","243","243","n/e","n/e","n/e","n/e","1094","1094","n/e"
"16.07.2022 07:00 - 16.07.2022 08:00","841","841","n/e","n/e","n/e","n/e","1091","1091","n/e"
"16.07.2022 08:00 - 16.07.2022 09:00","1565","1565","n/e","n/e","n/e","n/e","1143","1143","n/e"
"16.07.2022 09:00 - 16.07.2022 10:00","2169","2169","n/e","n/e","n/e","n/e","1243","1243","n/e"
"16.07.2022 10:00 - 16.07.2022 11:00","2578","2578","n/e","n/e","n/e","n/e","1331","1331","n/e"
"16.07.2022 11:00 - 16.07.2022 12:00","2810","2810","n/e","n/e","n/e","n/e","1402","1402","n/e"
"16.07.2022 12:00 - 16.07.2022 13:00","2873","2872","n/e","n/e","n/e","n/e","1442","1237","n/e"
"16.07.2022 13:00 - 16.07.2022 14:00","2796","2795","n/e","n/e","n/e","n/e","1455","1261","n/e"
"16.07.2022 14:00 - 16.07.2022 15:00","2566","2570","n/e","n/e","n/e","n/e","1471","1291","n/e"
"16.07.2022 15:00 - 16.07.2022 16:00","2174","2182","n/e","n/e","n/e","n/e","1475","1328","n/e"
"16.07.2022 16:00 - 16.07.2022 17:00","1610","1617","n/e","n/e","n/e","n/e","1453","1321","n/e"
"16.07.2022 17:00 - 16.07.2022 18:00","921","930","n/e","n/e","n/e","n/e","1391","1255","n/e"
"16.07.2022 18:00 - 16.07.2022 19:00","316","320","n/e","n/e","n/e","n/e","1275","1139","n/e"
"16.07.2022 19:00 - 16.07.2022 20:00","46","47","n/e","n/e","n/e","n/e","1153","1026","n/e"
"16.07.2022 20:00 - 16.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","1059","936","n/e"
"16.07.2022 21:00 - 16.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","987","850","n/e"
"16.07.2022 22:00 - 16.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","949","803","n/e"
"16.07.2022 23:00 - 17.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","802","802","n/e"
"17.07.2022 00:00 - 17.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","833","833","n/e"
"17.07.2022 01:00 - 17.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","857","857","n/e"
"17.07.2022 02:00 - 17.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","906","906","n/e"
"17.07.2022 03:00 - 17.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","976","976","n/e"
"17.07.2022 04:00 - 17.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","1050","1050","n/e"
"17.07.2022 05:00 - 17.07.2022 06:00","28","28","n/e","n/e","n/e","n/e","1118","1118","n/e"
"17.07.2022 06:00 - 17.07.2022 07:00","238","238","n/e","n/e","n/e","n/e","1175","1175","n/e"
"17.07.2022 07:00 - 17.07.2022 08:00","830","830","n/e","n/e","n/e","n/e","1204","1204","n/e"
"17.07.2022 08:00 - 17.07.2022 09:00","1545","1545","n/e","n/e","n/e","n/e","1256","1256","n/e"
"17.07.2022 09:00 - 17.07.2022 10:00","2138","2138","n/e","n/e","n/e","n/e","1349","1349","n/e"
"17.07.2022 10:00 - 17.07.2022 11:00","2524","2524","n/e","n/e","n/e","n/e","1440","1440","n/e"
"17.07.2022 11:00 - 17.07.2022 12:00","2721","2721","n/e","n/e","n/e","n/e","1517","1517","n/e"
"17.07.2022 12:00 - 17.07.2022 13:00","2746","2758","n/e","n/e","n/e","n/e","1598","1768","n/e"
"17.07.2022 13:00 - 17.07.2022 14:00","2620","2638","n/e","n/e","n/e","n/e","1670","1834","n/e"
"17.07.2022 14:00 - 17.07.2022 15:00","2361","2387","n/e","n/e","n/e","n/e","1715","1872","n/e"
"17.07.2022 15:00 - 17.07.2022 16:00","1959","1995","n/e","n/e","n/e","n/e","1733","1882","n/e"
"17.07.2022 16:00 - 17.07.2022 17:00","1425","1464","n/e","n/e","n/e","n/e","1690","1860","n/e"
"17.07.2022 17:00 - 17.07.2022 18:00","815","844","n/e","n/e","n/e","n/e","1620","1802","n/e"
"17.07.2022 18:00 - 17.07.2022 19:00","285","293","n/e","n/e","n/e","n/e","1542","1704","n/e"
"17.07.2022 19:00 - 17.07.2022 20:00","41","43","n/e","n/e","n/e","n/e","1492","1621","n/e"
"17.07.2022 20:00 - 17.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","1476","1572","n/e"
"17.07.2022 21:00 - 17.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","1464","1534","n/e"
"17.07.2022 22:00 - 17.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","1462","1539","n/e"
"17.07.2022 23:00 - 18.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","1582","1582","n/e"
"18.07.2022 00:00 - 18.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","1699","1699","n/e"
"18.07.2022 01:00 - 18.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","1745","1745","n/e"
"18.07.2022 02:00 - 18.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","1804","1804","n/e"
"18.07.2022 03:00 - 18.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","1885","1885","n/e"
"18.07.2022 04:00 - 18.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","1969","1969","n/e"
"18.07.2022 05:00 - 18.07.2022 06:00","27","27","n/e","n/e","n/e","n/e","2046","2046","n/e"
"18.07.2022 06:00 - 18.07.2022 07:00","231","231","n/e","n/e","n/e","n/e","2107","2107","n/e"
"18.07.2022 07:00 - 18.07.2022 08:00","801","801","n/e","n/e","n/e","n/e","2163","2163","n/e"
"18.07.2022 08:00 - 18.07.2022 09:00","1495","1495","n/e","n/e","n/e","n/e","2248","2248","n/e"
"18.07.2022 09:00 - 18.07.2022 10:00","2072","2072","n/e","n/e","n/e","n/e","2318","2318","n/e"
"18.07.2022 10:00 - 18.07.2022 11:00","2459","2459","n/e","n/e","n/e","n/e","2341","2341","n/e"
"18.07.2022 11:00 - 18.07.2022 12:00","2672","2672","n/e","n/e","n/e","n/e","2345","2345","n/e"
"18.07.2022 12:00 - 18.07.2022 13:00","2724","2691","n/e","n/e","n/e","n/e","2347","2346","n/e"
"18.07.2022 13:00 - 18.07.2022 14:00","2644","2613","n/e","n/e","n/e","n/e","2349","2342","n/e"
"18.07.2022 14:00 - 18.07.2022 15:00","2417","2395","n/e","n/e","n/e","n/e","2349","2349","n/e"
"18.07.2022 15:00 - 18.07.2022 16:00","2041","2027","n/e","n/e","n/e","n/e","2352","2359","n/e"
"18.07.2022 16:00 - 18.07.2022 17:00","1508","1505","n/e","n/e","n/e","n/e","2348","2366","n/e"
"18.07.2022 17:00 - 18.07.2022 18:00","865","874","n/e","n/e","n/e","n/e","2339","2376","n/e"
"18.07.2022 18:00 - 18.07.2022 19:00","301","305","n/e","n/e","n/e","n/e","2331","2355","n/e"
"18.07.2022 19:00 - 18.07.2022 20:00","44","44","n/e","n/e","n/e","n/e","2299","2323","n/e"
"18.07.2022 20:00 - 18.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","2269","2302","n/e"
"18.07.2022 21:00 - 18.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","2255","2302","n/e"
"18.07.2022 22:00 - 18.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","2266","2335","n/e"
"18.07.2022 23:00 - 19.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","2365","2365","n/e"
"19.07.2022 00:00 - 19.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","2403","2403","n/e"
"19.07.2022 01:00 - 19.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","2440","2440","n/e"
"19.07.2022 02:00 - 19.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","2485","2485","n/e"
"19.07.2022 03:00 - 19.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","2520","2520","n/e"
"19.07.2022 04:00 - 19.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","2546","2546","n/e"
"19.07.2022 05:00 - 19.07.2022 06:00","26","26","n/e","n/e","n/e","n/e","2574","2574","n/e"
"19.07.2022 06:00 - 19.07.2022 07:00","227","227","n/e","n/e","n/e","n/e","2588","2588","n/e"
"19.07.2022 07:00 - 19.07.2022 08:00","782","782","n/e","n/e","n/e","n/e","2617","2617","n/e"
"19.07.2022 08:00 - 19.07.2022 09:00","1460","1460","n/e","n/e","n/e","n/e","2669","2669","n/e"
"19.07.2022 09:00 - 19.07.2022 10:00","2037","2037","n/e","n/e","n/e","n/e","2688","2688","n/e"
"19.07.2022 10:00 - 19.07.2022 11:00","2435","2435","n/e","n/e","n/e","n/e","2679","2679","n/e"
"19.07.2022 11:00 - 19.07.2022 12:00","2669","2669","n/e","n/e","n/e","n/e","2652","2652","n/e"
"19.07.2022 12:00 - 19.07.2022 13:00","2745","2740","n/e","n/e","n/e","n/e","2620","2598","n/e"
"19.07.2022 13:00 - 19.07.2022 14:00","2683","2687","n/e","n/e","n/e","n/e","2597","2578","n/e"
"19.07.2022 14:00 - 19.07.2022 15:00","2474","2487","n/e","n/e","n/e","n/e","2583","2580","n/e"
"19.07.2022 15:00 - 19.07.2022 16:00","2105","2122","n/e","n/e","n/e","n/e","2573","2585","n/e"
"19.07.2022 16:00 - 19.07.2022 17:00","1561","1574","n/e","n/e","n/e","n/e","2564","2578","n/e"
"19.07.2022 17:00 - 19.07.2022 18:00","893","905","n/e","n/e","n/e","n/e","2532","2559","n/e"
"19.07.2022 18:00 - 19.07.2022 19:00","305","311","n/e","n/e","n/e","n/e","2454","2505","n/e"
"19.07.2022 19:00 - 19.07.2022 20:00","43","44","n/e","n/e","n/e","n/e","2362","2437","n/e"
"19.07.2022 20:00 - 19.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","2314","2392","n/e"
"19.07.2022 21:00 - 19.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","2310","2371","n/e"
"19.07.2022 22:00 - 19.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","2327","2392","n/e"
"19.07.2022 23:00 - 20.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","2422","2422","n/e"
"20.07.2022 00:00 - 20.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","2468","2468","n/e"
"20.07.2022 01:00 - 20.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","2517","2517","n/e"
"20.07.2022 02:00 - 20.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","2559","2559","n/e"
"20.07.2022 03:00 - 20.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","2597","2597","n/e"
"20.07.2022 04:00 - 20.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","2625","2625","n/e"
"20.07.2022 05:00 - 20.07.2022 06:00","26","26","n/e","n/e","n/e","n/e","2633","2633","n/e"
"20.07.2022 06:00 - 20.07.2022 07:00","231","231","n/e","n/e","n/e","n/e","2616","2616","n/e"
"20.07.2022 07:00 - 20.07.2022 08:00","816","816","n/e","n/e","n/e","n/e","2614","2614","n/e"
"20.07.2022 08:00 - 20.07.2022 09:00","1536","1536","n/e","n/e","n/e","n/e","2649","2649","n/e"
"20.07.2022 09:00 - 20.07.2022 10:00","2135","2135","n/e","n/e","n/e","n/e","2675","2675","n/e"
"20.07.2022 10:00 - 20.07.2022 11:00","2538","2538","n/e","n/e","n/e","n/e","2679","2679","n/e"
"20.07.2022 11:00 - 20.07.2022 12:00","2762","2762","n/e","n/e","n/e","n/e","2666","2666","n/e"
"20.07.2022 12:00 - 20.07.2022 13:00","2827","2839","n/e","n/e","n/e","n/e","2642","2624","n/e"
"20.07.2022 13:00 - 20.07.2022 14:00","2764","2776","n/e","n/e","n/e","n/e","2612","2586","n/e"
"20.07.2022 14:00 - 20.07.2022 15:00","2543","2556","n/e","n/e","n/e","n/e","2590","2567","n/e"
"20.07.2022 15:00 - 20.07.2022 16:00","2156","2168","n/e","n/e","n/e","n/e","2563","2546","n/e"
"20.07.2022 16:00 - 20.07.2022 17:00","1596","1602","n/e","n/e","n/e","n/e","2523","2511","n/e"
"20.07.2022 17:00 - 20.07.2022 18:00","911","917","n/e","n/e","n/e","n/e","2463","2439","n/e"
"20.07.2022 18:00 - 20.07.2022 19:00","309","310","n/e","n/e","n/e","n/e","2344","2319","n/e"
"20.07.2022 19:00 - 20.07.2022 20:00","42","42","n/e","n/e","n/e","n/e","2197","2181","n/e"
"20.07.2022 20:00 - 20.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","2081","2082","n/e"
"20.07.2022 21:00 - 20.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","2002","2018","n/e"
"20.07.2022 22:00 - 20.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","1959","1981","n/e"
"20.07.2022 23:00 - 21.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","1950","1950","n/e"
"21.07.2022 00:00 - 21.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","1923","1923","n/e"
"21.07.2022 01:00 - 21.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","1914","1914","n/e"
"21.07.2022 02:00 - 21.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","1919","1919","n/e"
"21.07.2022 03:00 - 21.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","1927","1927","n/e"
"21.07.2022 04:00 - 21.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","1926","1926","n/e"
"21.07.2022 05:00 - 21.07.2022 06:00","24","24","n/e","n/e","n/e","n/e","1910","1910","n/e"
"21.07.2022 06:00 - 21.07.2022 07:00","229","229","n/e","n/e","n/e","n/e","1878","1878","n/e"
"21.07.2022 07:00 - 21.07.2022 08:00","824","824","n/e","n/e","n/e","n/e","1843","1843","n/e"
"21.07.2022 08:00 - 21.07.2022 09:00","1560","1560","n/e","n/e","n/e","n/e","1855","1855","n/e"
"21.07.2022 09:00 - 21.07.2022 10:00","2175","2175","n/e","n/e","n/e","n/e","1908","1908","n/e"
"21.07.2022 10:00 - 21.07.2022 11:00","2589","2589","n/e","n/e","n/e","n/e","1947","1947","n/e"
"21.07.2022 11:00 - 21.07.2022 12:00","2825","2825","n/e","n/e","n/e","n/e","1958","1958","n/e"
"21.07.2022 12:00 - 21.07.2022 13:00","2896","2899","n/e","n/e","n/e","n/e","1931","1731","n/e"
"21.07.2022 13:00 - 21.07.2022 14:00","2832","2836","n/e","n/e","n/e","n/e","1892","1677","n/e"
"21.07.2022 14:00 - 21.07.2022 15:00","2612","2620","n/e","n/e","n/e","n/e","1850","1629","n/e"
"21.07.2022 15:00 - 21.07.2022 16:00","2221","2235","n/e","n/e","n/e","n/e","1794","1577","n/e"
"21.07.2022 16:00 - 21.07.2022 17:00","1646","1659","n/e","n/e","n/e","n/e","1719","1507","n/e"
"21.07.2022 17:00 - 21.07.2022 18:00","935","946","n/e","n/e","n/e","n/e","1604","1410","n/e"
"21.07.2022 18:00 - 21.07.2022 19:00","310","315","n/e","n/e","n/e","n/e","1459","1278","n/e"
"21.07.2022 19:00 - 21.07.2022 20:00","40","42","n/e","n/e","n/e","n/e","1324","1164","n/e"
"21.07.2022 20:00 - 21.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","1203","1077","n/e"
"21.07.2022 21:00 - 21.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","1085","974","n/e"
"21.07.2022 22:00 - 21.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","982","886","n/e"
"21.07.2022 23:00 - 22.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","838","838","n/e"
"22.07.2022 00:00 - 22.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","848","848","n/e"
"22.07.2022 01:00 - 22.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","824","824","n/e"
"22.07.2022 02:00 - 22.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","796","796","n/e"
"22.07.2022 03:00 - 22.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","748","748","n/e"
"22.07.2022 04:00 - 22.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","699","699","n/e"
"22.07.2022 05:00 - 22.07.2022 06:00","23","23","n/e","n/e","n/e","n/e","654","654","n/e"
"22.07.2022 06:00 - 22.07.2022 07:00","224","224","n/e","n/e","n/e","n/e","600","600","n/e"
"22.07.2022 07:00 - 22.07.2022 08:00","815","815","n/e","n/e","n/e","n/e","535","535","n/e"
"22.07.2022 08:00 - 22.07.2022 09:00","1544","1544","n/e","n/e","n/e","n/e","502","502","n/e"
"22.07.2022 09:00 - 22.07.2022 10:00","2154","2154","n/e","n/e","n/e","n/e","523","523","n/e"
"22.07.2022 10:00 - 22.07.2022 11:00","2565","2611","n/e","n/e","n/e","n/e","587","371","n/e"
"22.07.2022 11:00 - 22.07.2022 12:00","2800","2847","n/e","n/e","n/e","n/e","664","437","n/e"
"22.07.2022 12:00 - 22.07.2022 13:00","2871","2915","n/e","n/e","n/e","n/e","750","502","n/e"
"22.07.2022 13:00 - 22.07.2022 14:00","2804","2850","n/e","n/e","n/e","n/e","835","565","n/e"
"22.07.2022 14:00 - 22.07.2022 15:00","2582","2627","n/e","n/e","n/e","n/e","892","603","n/e"
"22.07.2022 15:00 - 22.07.2022 16:00","2191","2233","n/e","n/e","n/e","n/e","909","619","n/e"
"22.07.2022 16:00 - 22.07.2022 17:00","1615","1645","n/e","n/e","n/e","n/e","894","613","n/e"
"22.07.2022 17:00 - 22.07.2022 18:00","912","928","n/e","n/e","n/e","n/e","836","558","n/e"
"22.07.2022 18:00 - 22.07.2022 19:00","301","305","n/e","n/e","n/e","n/e","743","485","n/e"
"22.07.2022 19:00 - 22.07.2022 20:00","38","38","n/e","n/e","n/e","n/e","659","398","n/e"
"22.07.2022 20:00 - 22.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","596","350","n/e"
"22.07.2022 21:00 - 22.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","553","324","n/e"
"22.07.2022 22:00 - 22.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","521","315","n/e"
"22.07.2022 23:00 - 23.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","324","324","n/e"
"23.07.2022 00:00 - 23.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","472","472","n/e"
"23.07.2022 01:00 - 23.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","531","531","n/e"
"23.07.2022 02:00 - 23.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","585","585","n/e"
"23.07.2022 03:00 - 23.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","632","632","n/e"
"23.07.2022 04:00 - 23.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","671","671","n/e"
"23.07.2022 05:00 - 23.07.2022 06:00","22","22","n/e","n/e","n/e","n/e","713","713","n/e"
"23.07.2022 06:00 - 23.07.2022 07:00","223","223","n/e","n/e","n/e","n/e","764","764","n/e"
"23.07.2022 07:00 - 23.07.2022 08:00","818","818","n/e","n/e","n/e","n/e","811","811","n/e"
"23.07.2022 08:00 - 23.07.2022 09:00","1555","1555","n/e","n/e","n/e","n/e","878","878","n/e"
"23.07.2022 09:00 - 23.07.2022 10:00","2172","2172","n/e","n/e","n/e","n/e","983","983","n/e"
"23.07.2022 10:00 - 23.07.2022 11:00","2586","2586","n/e","n/e","n/e","n/e","1078","1078","n/e"
"23.07.2022 11:00 - 23.07.2022 12:00","2824","2824","n/e","n/e","n/e","n/e","1155","1155","n/e"
"23.07.2022 12:00 - 23.07.2022 13:00","2890","2881","n/e","n/e","n/e","n/e","1204","1266","n/e"
"23.07.2022 13:00 - 23.07.2022 14:00","2813","2801","n/e","n/e","n/e","n/e","1233","1316","n/e"
"23.07.2022 14:00 - 23.07.2022 15:00","2580","2572","n/e","n/e","n/e","n/e","1243","1333","n/e"
"23.07.2022 15:00 - 23.07.2022 16:00","2183","2180","n/e","n/e","n/e","n/e","1237","1336","n/e"
"23.07.2022 16:00 - 23.07.2022 17:00","1609","1614","n/e","n/e","n/e","n/e","1212","1304","n/e"
"23.07.2022 17:00 - 23.07.2022 18:00","909","921","n/e","n/e","n/e","n/e","1140","1216","n/e"
"23.07.2022 18:00 - 23.07.2022 19:00","297","303","n/e","n/e","n/e","n/e","1024","1077","n/e"
"23.07.2022 19:00 - 23.07.2022 20:00","37","38","n/e","n/e","n/e","n/e","896","943","n/e"
"23.07.2022 20:00 - 23.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","802","835","n/e"
"23.07.2022 21:00 - 23.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","707","730","n/e"
"23.07.2022 22:00 - 23.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","657","666","n/e"
"23.07.2022 23:00 - 24.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","642","642","n/e"
"24.07.2022 00:00 - 24.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","703","703","n/e"
"24.07.2022 01:00 - 24.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","679","679","n/e"
"24.07.2022 02:00 - 24.07.2022 03:00","0","0","n/e","n/e","n/e","n/e","652","652","n/e"
"24.07.2022 03:00 - 24.07.2022 04:00","0","0","n/e","n/e","n/e","n/e","625","625","n/e"
"24.07.2022 04:00 - 24.07.2022 05:00","0","0","n/e","n/e","n/e","n/e","597","597","n/e"
"24.07.2022 05:00 - 24.07.2022 06:00","22","22","n/e","n/e","n/e","n/e","561","561","n/e"
"24.07.2022 06:00 - 24.07.2022 07:00","222","222","n/e","n/e","n/e","n/e","531","531","n/e"
"24.07.2022 07:00 - 24.07.2022 08:00","820","820","n/e","n/e","n/e","n/e","508","508","n/e"
"24.07.2022 08:00 - 24.07.2022 09:00","1564","1564","n/e","n/e","n/e","n/e","501","501","n/e"
"24.07.2022 09:00 - 24.07.2022 10:00","2184","2184","n/e","n/e","n/e","n/e","534","534","n/e"
"24.07.2022 10:00 - 24.07.2022 11:00","2598","2598","n/e","n/e","n/e","n/e","598","598","n/e"
"24.07.2022 11:00 - 24.07.2022 12:00","2827","2827","n/e","n/e","n/e","n/e","662","662","n/e"
"24.07.2022 12:00 - 24.07.2022 13:00","2885","2892","n/e","n/e","n/e","n/e","750","635","n/e"
"24.07.2022 13:00 - 24.07.2022 14:00","2802","2806","n/e","n/e","n/e","n/e","834","761","n/e"
"24.07.2022 14:00 - 24.07.2022 15:00","2563","2566","n/e","n/e","n/e","n/e","910","841","n/e"
"24.07.2022 15:00 - 24.07.2022 16:00","2156","2156","n/e","n/e","n/e","n/e","949","872","n/e"
"24.07.2022 16:00 - 24.07.2022 17:00","1583","1578","n/e","n/e","n/e","n/e","939","857","n/e"
"24.07.2022 17:00 - 24.07.2022 18:00","891","891","n/e","n/e","n/e","n/e","873","798","n/e"
"24.07.2022 18:00 - 24.07.2022 19:00","291","289","n/e","n/e","n/e","n/e","776","706","n/e"
"24.07.2022 19:00 - 24.07.2022 20:00","36","36","n/e","n/e","n/e","n/e","693","638","n/e"
"24.07.2022 20:00 - 24.07.2022 21:00","0","0","n/e","n/e","n/e","n/e","629","572","n/e"
"24.07.2022 21:00 - 24.07.2022 22:00","0","0","n/e","n/e","n/e","n/e","548","490","n/e"
"24.07.2022 22:00 - 24.07.2022 23:00","0","0","n/e","n/e","n/e","n/e","469","442","n/e"
"24.07.2022 23:00 - 25.07.2022 00:00","0","0","n/e","n/e","n/e","n/e","409","409","n/e"
"25.07.2022 00:00 - 25.07.2022 01:00","0","0","n/e","n/e","n/e","n/e","439","439","n/e"
"25.07.2022 01:00 - 25.07.2022 02:00","0","0","n/e","n/e","n/e","n/e","463","463","n/e"
