"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"27.02.2022 18:00 - 27.02.2022 19:00","0","n/e","n/e","548","n/e","n/e","652","n/e","n/e"
"27.02.2022 19:00 - 27.02.2022 20:00","0","n/e","n/e","614","n/e","n/e","818","n/e","n/e"
"27.02.2022 20:00 - 27.02.2022 21:00","0","n/e","n/e","787","n/e","n/e","999","n/e","n/e"
"27.02.2022 21:00 - 27.02.2022 22:00","0","n/e","n/e","923","n/e","n/e","1131","n/e","n/e"
"27.02.2022 22:00 - 27.02.2022 23:00","0","n/e","n/e","963","n/e","n/e","1197","n/e","n/e"
"27.02.2022 23:00 - 28.02.2022 00:00","0","n/e","n/e","1019","n/e","n/e","1216","n/e","n/e"
"28.02.2022 00:00 - 28.02.2022 01:00","0","n/e","n/e","930","n/e","n/e","1352","n/e","n/e"
"28.02.2022 01:00 - 28.02.2022 02:00","0","n/e","n/e","943","n/e","n/e","1271","n/e","n/e"
"28.02.2022 02:00 - 28.02.2022 03:00","0","n/e","n/e","938","n/e","n/e","1128","n/e","n/e"
"28.02.2022 03:00 - 28.02.2022 04:00","0","n/e","n/e","937","n/e","n/e","1096","n/e","n/e"
"28.02.2022 04:00 - 28.02.2022 05:00","0","n/e","n/e","955","n/e","n/e","1113","n/e","n/e"
"28.02.2022 05:00 - 28.02.2022 06:00","0","n/e","n/e","951","n/e","n/e","1137","n/e","n/e"
"28.02.2022 06:00 - 28.02.2022 07:00","0","n/e","n/e","967","n/e","n/e","1161","n/e","n/e"
"28.02.2022 07:00 - 28.02.2022 08:00","27","n/e","n/e","965","n/e","n/e","1159","n/e","n/e"
"28.02.2022 08:00 - 28.02.2022 09:00","181","n/e","n/e","972","n/e","n/e","1094","n/e","n/e"
"28.02.2022 09:00 - 28.02.2022 10:00","374","n/e","n/e","995","n/e","n/e","1058","n/e","n/e"
"28.02.2022 10:00 - 28.02.2022 11:00","561","n/e","n/e","1030","n/e","n/e","1153","n/e","n/e"
"28.02.2022 11:00 - 28.02.2022 12:00","739","n/e","n/e","1057","n/e","n/e","1221","n/e","n/e"
"28.02.2022 12:00 - 28.02.2022 13:00","826","n/e","n/e","1063","n/e","n/e","1358","n/e","n/e"
"28.02.2022 13:00 - 28.02.2022 14:00","780","n/e","n/e","1052","n/e","n/e","1526","n/e","n/e"
"28.02.2022 14:00 - 28.02.2022 15:00","650","n/e","n/e","1064","n/e","n/e","1655","n/e","n/e"
"28.02.2022 15:00 - 28.02.2022 16:00","447","n/e","n/e","1125","n/e","n/e","1687","n/e","n/e"
"28.02.2022 16:00 - 28.02.2022 17:00","221","n/e","n/e","1151","n/e","n/e","1569","n/e","n/e"
"28.02.2022 17:00 - 28.02.2022 18:00","35","n/e","n/e","1171","n/e","n/e","1575","n/e","n/e"
"28.02.2022 18:00 - 28.02.2022 19:00","0","n/e","n/e","1198","n/e","n/e","1660","n/e","n/e"
"28.02.2022 19:00 - 28.02.2022 20:00","0","n/e","n/e","1265","n/e","n/e","1829","n/e","n/e"
"28.02.2022 20:00 - 28.02.2022 21:00","0","n/e","n/e","1317","n/e","n/e","2038","n/e","n/e"
"28.02.2022 21:00 - 28.02.2022 22:00","0","n/e","n/e","1332","n/e","n/e","2218","n/e","n/e"
"28.02.2022 22:00 - 28.02.2022 23:00","0","n/e","n/e","1335","n/e","n/e","2306","n/e","n/e"
"28.02.2022 23:00 - 01.03.2022 00:00","0","n/e","n/e","1349","n/e","n/e","2317","n/e","n/e"
"01.03.2022 00:00 - 01.03.2022 01:00","0","n/e","n/e","1293","n/e","n/e","2191","n/e","n/e"
"01.03.2022 01:00 - 01.03.2022 02:00","0","n/e","n/e","1295","n/e","n/e","2105","n/e","n/e"
"01.03.2022 02:00 - 01.03.2022 03:00","0","n/e","n/e","1276","n/e","n/e","1940","n/e","n/e"
"01.03.2022 03:00 - 01.03.2022 04:00","0","n/e","n/e","1242","n/e","n/e","1882","n/e","n/e"
"01.03.2022 04:00 - 01.03.2022 05:00","0","n/e","n/e","1218","n/e","n/e","1806","n/e","n/e"
"01.03.2022 05:00 - 01.03.2022 06:00","0","n/e","n/e","1168","n/e","n/e","1654","n/e","n/e"
"01.03.2022 06:00 - 01.03.2022 07:00","0","n/e","n/e","1120","n/e","n/e","1513","n/e","n/e"
"01.03.2022 07:00 - 01.03.2022 08:00","24","n/e","n/e","1053","n/e","n/e","1376","n/e","n/e"
"01.03.2022 08:00 - 01.03.2022 09:00","127","n/e","n/e","933","n/e","n/e","1220","n/e","n/e"
"01.03.2022 09:00 - 01.03.2022 10:00","252","n/e","n/e","781","n/e","n/e","1023","n/e","n/e"
"01.03.2022 10:00 - 01.03.2022 11:00","333","n/e","n/e","703","n/e","n/e","855","n/e","n/e"
"01.03.2022 11:00 - 01.03.2022 12:00","355","n/e","n/e","565","n/e","n/e","663","n/e","n/e"
"01.03.2022 12:00 - 01.03.2022 13:00","342","n/e","n/e","412","n/e","n/e","509","n/e","n/e"
"01.03.2022 13:00 - 01.03.2022 14:00","317","n/e","n/e","238","n/e","n/e","393","n/e","n/e"
"01.03.2022 14:00 - 01.03.2022 15:00","283","n/e","n/e","174","n/e","n/e","296","n/e","n/e"
"01.03.2022 15:00 - 01.03.2022 16:00","216","n/e","n/e","145","n/e","n/e","222","n/e","n/e"
"01.03.2022 16:00 - 01.03.2022 17:00","132","n/e","n/e","134","n/e","n/e","168","n/e","n/e"
"01.03.2022 17:00 - 01.03.2022 18:00","27","n/e","n/e","121","n/e","n/e","144","n/e","n/e"
"01.03.2022 18:00 - 01.03.2022 19:00","0","n/e","n/e","123","n/e","n/e","141","n/e","n/e"
"01.03.2022 19:00 - 01.03.2022 20:00","0","n/e","n/e","101","n/e","n/e","146","n/e","n/e"
"01.03.2022 20:00 - 01.03.2022 21:00","0","n/e","n/e","102","n/e","n/e","152","n/e","n/e"
"01.03.2022 21:00 - 01.03.2022 22:00","0","n/e","n/e","102","n/e","n/e","156","n/e","n/e"
"01.03.2022 22:00 - 01.03.2022 23:00","0","n/e","n/e","82","n/e","n/e","150","n/e","n/e"
"01.03.2022 23:00 - 02.03.2022 00:00","0","n/e","n/e","73","n/e","n/e","133","n/e","n/e"
"02.03.2022 00:00 - 02.03.2022 01:00","0","n/e","n/e","55","n/e","n/e","223","n/e","n/e"
"02.03.2022 01:00 - 02.03.2022 02:00","0","n/e","n/e","60","n/e","n/e","220","n/e","n/e"
"02.03.2022 02:00 - 02.03.2022 03:00","0","n/e","n/e","64","n/e","n/e","212","n/e","n/e"
"02.03.2022 03:00 - 02.03.2022 04:00","0","n/e","n/e","64","n/e","n/e","214","n/e","n/e"
"02.03.2022 04:00 - 02.03.2022 05:00","0","n/e","n/e","77","n/e","n/e","209","n/e","n/e"
"02.03.2022 05:00 - 02.03.2022 06:00","0","n/e","n/e","94","n/e","n/e","202","n/e","n/e"
"02.03.2022 06:00 - 02.03.2022 07:00","0","n/e","n/e","111","n/e","n/e","202","n/e","n/e"
"02.03.2022 07:00 - 02.03.2022 08:00","27","n/e","n/e","94","n/e","n/e","196","n/e","n/e"
"02.03.2022 08:00 - 02.03.2022 09:00","150","n/e","n/e","87","n/e","n/e","183","n/e","n/e"
"02.03.2022 09:00 - 02.03.2022 10:00","307","n/e","n/e","95","n/e","n/e","170","n/e","n/e"
"02.03.2022 10:00 - 02.03.2022 11:00","454","n/e","n/e","96","n/e","n/e","168","n/e","n/e"
"02.03.2022 11:00 - 02.03.2022 12:00","567","n/e","n/e","87","n/e","n/e","161","n/e","n/e"
"02.03.2022 12:00 - 02.03.2022 13:00","625","n/e","n/e","88","n/e","n/e","164","n/e","n/e"
"02.03.2022 13:00 - 02.03.2022 14:00","654","n/e","n/e","98","n/e","n/e","176","n/e","n/e"
"02.03.2022 14:00 - 02.03.2022 15:00","605","n/e","n/e","96","n/e","n/e","189","n/e","n/e"
"02.03.2022 15:00 - 02.03.2022 16:00","456","n/e","n/e","91","n/e","n/e","203","n/e","n/e"
"02.03.2022 16:00 - 02.03.2022 17:00","241","n/e","n/e","81","n/e","n/e","214","n/e","n/e"
"02.03.2022 17:00 - 02.03.2022 18:00","49","n/e","n/e","81","n/e","n/e","242","n/e","n/e"
"02.03.2022 18:00 - 02.03.2022 19:00","0","n/e","n/e","104","n/e","n/e","286","n/e","n/e"
"02.03.2022 19:00 - 02.03.2022 20:00","0","n/e","n/e","136","n/e","n/e","284","n/e","n/e"
"02.03.2022 20:00 - 02.03.2022 21:00","0","n/e","n/e","131","n/e","n/e","237","n/e","n/e"
"02.03.2022 21:00 - 02.03.2022 22:00","0","n/e","n/e","109","n/e","n/e","186","n/e","n/e"
"02.03.2022 22:00 - 02.03.2022 23:00","0","n/e","n/e","83","n/e","n/e","146","n/e","n/e"
"02.03.2022 23:00 - 03.03.2022 00:00","0","n/e","n/e","71","n/e","n/e","116","n/e","n/e"
"03.03.2022 00:00 - 03.03.2022 01:00","0","n/e","n/e","72","n/e","n/e","130","n/e","n/e"
"03.03.2022 01:00 - 03.03.2022 02:00","0","n/e","n/e","51","n/e","n/e","133","n/e","n/e"
"03.03.2022 02:00 - 03.03.2022 03:00","0","n/e","n/e","42","n/e","n/e","137","n/e","n/e"
"03.03.2022 03:00 - 03.03.2022 04:00","0","n/e","n/e","91","n/e","n/e","152","n/e","n/e"
"03.03.2022 04:00 - 03.03.2022 05:00","0","n/e","n/e","140","n/e","n/e","176","n/e","n/e"
"03.03.2022 05:00 - 03.03.2022 06:00","0","n/e","n/e","148","n/e","n/e","191","n/e","n/e"
"03.03.2022 06:00 - 03.03.2022 07:00","0","n/e","n/e","145","n/e","n/e","210","n/e","n/e"
"03.03.2022 07:00 - 03.03.2022 08:00","22","n/e","n/e","107","n/e","n/e","229","n/e","n/e"
"03.03.2022 08:00 - 03.03.2022 09:00","131","n/e","n/e","67","n/e","n/e","258","n/e","n/e"
"03.03.2022 09:00 - 03.03.2022 10:00","290","n/e","n/e","98","n/e","n/e","266","n/e","n/e"
"03.03.2022 10:00 - 03.03.2022 11:00","461","n/e","n/e","132","n/e","n/e","265","n/e","n/e"
"03.03.2022 11:00 - 03.03.2022 12:00","641","n/e","n/e","131","n/e","n/e","249","n/e","n/e"
"03.03.2022 12:00 - 03.03.2022 13:00","795","n/e","n/e","129","n/e","n/e","272","n/e","n/e"
"03.03.2022 13:00 - 03.03.2022 14:00","812","n/e","n/e","113","n/e","n/e","312","n/e","n/e"
"03.03.2022 14:00 - 03.03.2022 15:00","698","n/e","n/e","83","n/e","n/e","341","n/e","n/e"
"03.03.2022 15:00 - 03.03.2022 16:00","503","n/e","n/e","94","n/e","n/e","348","n/e","n/e"
"03.03.2022 16:00 - 03.03.2022 17:00","267","n/e","n/e","86","n/e","n/e","297","n/e","n/e"
"03.03.2022 17:00 - 03.03.2022 18:00","53","n/e","n/e","109","n/e","n/e","285","n/e","n/e"
"03.03.2022 18:00 - 03.03.2022 19:00","0","n/e","n/e","146","n/e","n/e","344","n/e","n/e"
"03.03.2022 19:00 - 03.03.2022 20:00","0","n/e","n/e","242","n/e","n/e","394","n/e","n/e"
"03.03.2022 20:00 - 03.03.2022 21:00","0","n/e","n/e","345","n/e","n/e","479","n/e","n/e"
"03.03.2022 21:00 - 03.03.2022 22:00","0","n/e","n/e","406","n/e","n/e","542","n/e","n/e"
"03.03.2022 22:00 - 03.03.2022 23:00","0","n/e","n/e","441","n/e","n/e","556","n/e","n/e"
"03.03.2022 23:00 - 04.03.2022 00:00","0","n/e","n/e","437","n/e","n/e","523","n/e","n/e"
"04.03.2022 00:00 - 04.03.2022 01:00","0","n/e","n/e","257","n/e","n/e","441","n/e","n/e"
"04.03.2022 01:00 - 04.03.2022 02:00","0","n/e","n/e","246","n/e","n/e","356","n/e","n/e"
"04.03.2022 02:00 - 04.03.2022 03:00","0","n/e","n/e","206","n/e","n/e","259","n/e","n/e"
"04.03.2022 03:00 - 04.03.2022 04:00","0","n/e","n/e","165","n/e","n/e","200","n/e","n/e"
"04.03.2022 04:00 - 04.03.2022 05:00","0","n/e","n/e","138","n/e","n/e","176","n/e","n/e"
"04.03.2022 05:00 - 04.03.2022 06:00","0","n/e","n/e","120","n/e","n/e","161","n/e","n/e"
"04.03.2022 06:00 - 04.03.2022 07:00","0","n/e","n/e","104","n/e","n/e","151","n/e","n/e"
"04.03.2022 07:00 - 04.03.2022 08:00","32","n/e","n/e","94","n/e","n/e","150","n/e","n/e"
"04.03.2022 08:00 - 04.03.2022 09:00","163","n/e","n/e","107","n/e","n/e","155","n/e","n/e"
"04.03.2022 09:00 - 04.03.2022 10:00","324","n/e","n/e","129","n/e","n/e","180","n/e","n/e"
"04.03.2022 10:00 - 04.03.2022 11:00","475","n/e","n/e","144","n/e","n/e","228","n/e","n/e"
"04.03.2022 11:00 - 04.03.2022 12:00","597","n/e","n/e","154","n/e","n/e","262","n/e","n/e"
"04.03.2022 12:00 - 04.03.2022 13:00","619","n/e","n/e","146","n/e","n/e","324","n/e","n/e"
"04.03.2022 13:00 - 04.03.2022 14:00","564","n/e","n/e","149","n/e","n/e","368","n/e","n/e"
"04.03.2022 14:00 - 04.03.2022 15:00","472","n/e","n/e","144","n/e","n/e","356","n/e","n/e"
"04.03.2022 15:00 - 04.03.2022 16:00","340","n/e","n/e","145","n/e","n/e","309","n/e","n/e"
"04.03.2022 16:00 - 04.03.2022 17:00","180","n/e","n/e","169","n/e","n/e","262","n/e","n/e"
"04.03.2022 17:00 - 04.03.2022 18:00","42","n/e","n/e","196","n/e","n/e","243","n/e","n/e"
"04.03.2022 18:00 - 04.03.2022 19:00","0","n/e","n/e","228","n/e","n/e","281","n/e","n/e"
"04.03.2022 19:00 - 04.03.2022 20:00","0","n/e","n/e","247","n/e","n/e","314","n/e","n/e"
"04.03.2022 20:00 - 04.03.2022 21:00","0","n/e","n/e","284","n/e","n/e","321","n/e","n/e"
"04.03.2022 21:00 - 04.03.2022 22:00","0","n/e","n/e","334","n/e","n/e","332","n/e","n/e"
"04.03.2022 22:00 - 04.03.2022 23:00","0","n/e","n/e","358","n/e","n/e","329","n/e","n/e"
"04.03.2022 23:00 - 05.03.2022 00:00","0","n/e","n/e","411","n/e","n/e","323","n/e","n/e"
"05.03.2022 00:00 - 05.03.2022 01:00","0","n/e","n/e","491","n/e","n/e","421","n/e","n/e"
"05.03.2022 01:00 - 05.03.2022 02:00","0","n/e","n/e","454","n/e","n/e","421","n/e","n/e"
"05.03.2022 02:00 - 05.03.2022 03:00","0","n/e","n/e","393","n/e","n/e","424","n/e","n/e"
"05.03.2022 03:00 - 05.03.2022 04:00","0","n/e","n/e","349","n/e","n/e","427","n/e","n/e"
"05.03.2022 04:00 - 05.03.2022 05:00","0","n/e","n/e","307","n/e","n/e","398","n/e","n/e"
"05.03.2022 05:00 - 05.03.2022 06:00","0","n/e","n/e","282","n/e","n/e","351","n/e","n/e"
"05.03.2022 06:00 - 05.03.2022 07:00","0","n/e","n/e","268","n/e","n/e","312","n/e","n/e"
"05.03.2022 07:00 - 05.03.2022 08:00","52","n/e","n/e","253","n/e","n/e","270","n/e","n/e"
"05.03.2022 08:00 - 05.03.2022 09:00","231","n/e","n/e","231","n/e","n/e","224","n/e","n/e"
"05.03.2022 09:00 - 05.03.2022 10:00","449","n/e","n/e","197","n/e","n/e","190","n/e","n/e"
"05.03.2022 10:00 - 05.03.2022 11:00","626","n/e","n/e","167","n/e","n/e","180","n/e","n/e"
"05.03.2022 11:00 - 05.03.2022 12:00","745","n/e","n/e","134","n/e","n/e","146","n/e","n/e"
"05.03.2022 12:00 - 05.03.2022 13:00","770","n/e","n/e","86","n/e","n/e","94","n/e","n/e"
"05.03.2022 13:00 - 05.03.2022 14:00","689","n/e","n/e","39","n/e","n/e","72","n/e","n/e"
"05.03.2022 14:00 - 05.03.2022 15:00","556","n/e","n/e","17","n/e","n/e","60","n/e","n/e"
"05.03.2022 15:00 - 05.03.2022 16:00","402","n/e","n/e","18","n/e","n/e","56","n/e","n/e"
"05.03.2022 16:00 - 05.03.2022 17:00","216","n/e","n/e","29","n/e","n/e","58","n/e","n/e"
"05.03.2022 17:00 - 05.03.2022 18:00","54","n/e","n/e","33","n/e","n/e","60","n/e","n/e"
"05.03.2022 18:00 - 05.03.2022 19:00","0","n/e","n/e","38","n/e","n/e","77","n/e","n/e"
"05.03.2022 19:00 - 05.03.2022 20:00","0","n/e","n/e","50","n/e","n/e","92","n/e","n/e"
"05.03.2022 20:00 - 05.03.2022 21:00","0","n/e","n/e","69","n/e","n/e","105","n/e","n/e"
"05.03.2022 21:00 - 05.03.2022 22:00","0","n/e","n/e","97","n/e","n/e","117","n/e","n/e"
"05.03.2022 22:00 - 05.03.2022 23:00","0","n/e","n/e","98","n/e","n/e","126","n/e","n/e"
"05.03.2022 23:00 - 06.03.2022 00:00","0","n/e","n/e","75","n/e","n/e","135","n/e","n/e"
"06.03.2022 00:00 - 06.03.2022 01:00","0","n/e","n/e","110","n/e","n/e","143","n/e","n/e"
"06.03.2022 01:00 - 06.03.2022 02:00","0","n/e","n/e","106","n/e","n/e","158","n/e","n/e"
"06.03.2022 02:00 - 06.03.2022 03:00","0","n/e","n/e","90","n/e","n/e","166","n/e","n/e"
"06.03.2022 03:00 - 06.03.2022 04:00","0","n/e","n/e","87","n/e","n/e","180","n/e","n/e"
"06.03.2022 04:00 - 06.03.2022 05:00","0","n/e","n/e","95","n/e","n/e","190","n/e","n/e"
"06.03.2022 05:00 - 06.03.2022 06:00","0","n/e","n/e","98","n/e","n/e","199","n/e","n/e"
"06.03.2022 06:00 - 06.03.2022 07:00","0","n/e","n/e","121","n/e","n/e","204","n/e","n/e"
"06.03.2022 07:00 - 06.03.2022 08:00","54","n/e","n/e","148","n/e","n/e","185","n/e","n/e"
"06.03.2022 08:00 - 06.03.2022 09:00","226","n/e","n/e","157","n/e","n/e","179","n/e","n/e"
"06.03.2022 09:00 - 06.03.2022 10:00","425","n/e","n/e","151","n/e","n/e","198","n/e","n/e"
"06.03.2022 10:00 - 06.03.2022 11:00","596","n/e","n/e","150","n/e","n/e","262","n/e","n/e"
"06.03.2022 11:00 - 06.03.2022 12:00","753","n/e","n/e","189","n/e","n/e","303","n/e","n/e"
"06.03.2022 12:00 - 06.03.2022 13:00","847","n/e","n/e","234","n/e","n/e","336","n/e","n/e"
"06.03.2022 13:00 - 06.03.2022 14:00","821","n/e","n/e","284","n/e","n/e","367","n/e","n/e"
"06.03.2022 14:00 - 06.03.2022 15:00","704","n/e","n/e","297","n/e","n/e","340","n/e","n/e"
"06.03.2022 15:00 - 06.03.2022 16:00","522","n/e","n/e","322","n/e","n/e","336","n/e","n/e"
"06.03.2022 16:00 - 06.03.2022 17:00","287","n/e","n/e","331","n/e","n/e","302","n/e","n/e"
"06.03.2022 17:00 - 06.03.2022 18:00","68","n/e","n/e","361","n/e","n/e","300","n/e","n/e"
"06.03.2022 18:00 - 06.03.2022 19:00","0","n/e","n/e","356","n/e","n/e","328","n/e","n/e"
"06.03.2022 19:00 - 06.03.2022 20:00","0","n/e","n/e","357","n/e","n/e","334","n/e","n/e"
"06.03.2022 20:00 - 06.03.2022 21:00","0","n/e","n/e","326","n/e","n/e","323","n/e","n/e"
"06.03.2022 21:00 - 06.03.2022 22:00","0","n/e","n/e","258","n/e","n/e","295","n/e","n/e"
"06.03.2022 22:00 - 06.03.2022 23:00","0","n/e","n/e","254","n/e","n/e","255","n/e","n/e"
"06.03.2022 23:00 - 07.03.2022 00:00","0","n/e","n/e","231","n/e","n/e","211","n/e","n/e"
"07.03.2022 00:00 - 07.03.2022 01:00","0","n/e","n/e","99","n/e","n/e","134","n/e","n/e"
"07.03.2022 01:00 - 07.03.2022 02:00","0","n/e","n/e","88","n/e","n/e","124","n/e","n/e"
"07.03.2022 02:00 - 07.03.2022 03:00","0","n/e","n/e","77","n/e","n/e","126","n/e","n/e"
"07.03.2022 03:00 - 07.03.2022 04:00","0","n/e","n/e","75","n/e","n/e","148","n/e","n/e"
"07.03.2022 04:00 - 07.03.2022 05:00","0","n/e","n/e","83","n/e","n/e","160","n/e","n/e"
"07.03.2022 05:00 - 07.03.2022 06:00","0","n/e","n/e","91","n/e","n/e","168","n/e","n/e"
"07.03.2022 06:00 - 07.03.2022 07:00","1","n/e","n/e","98","n/e","n/e","187","n/e","n/e"
"07.03.2022 07:00 - 07.03.2022 08:00","64","n/e","n/e","98","n/e","n/e","196","n/e","n/e"
"07.03.2022 08:00 - 07.03.2022 09:00","255","n/e","n/e","102","n/e","n/e","177","n/e","n/e"
"07.03.2022 09:00 - 07.03.2022 10:00","480","n/e","n/e","100","n/e","n/e","139","n/e","n/e"
"07.03.2022 10:00 - 07.03.2022 11:00","679","n/e","n/e","82","n/e","n/e","123","n/e","n/e"
"07.03.2022 11:00 - 07.03.2022 12:00","837","n/e","n/e","69","n/e","n/e","132","n/e","n/e"
"07.03.2022 12:00 - 07.03.2022 13:00","907","n/e","n/e","75","n/e","n/e","149","n/e","n/e"
"07.03.2022 13:00 - 07.03.2022 14:00","875","n/e","n/e","111","n/e","n/e","155","n/e","n/e"
"07.03.2022 14:00 - 07.03.2022 15:00","751","n/e","n/e","99","n/e","n/e","155","n/e","n/e"
"07.03.2022 15:00 - 07.03.2022 16:00","539","n/e","n/e","93","n/e","n/e","150","n/e","n/e"
"07.03.2022 16:00 - 07.03.2022 17:00","290","n/e","n/e","95","n/e","n/e","136","n/e","n/e"
"07.03.2022 17:00 - 07.03.2022 18:00","76","n/e","n/e","90","n/e","n/e","125","n/e","n/e"
"07.03.2022 18:00 - 07.03.2022 19:00","0","n/e","n/e","99","n/e","n/e","126","n/e","n/e"
"07.03.2022 19:00 - 07.03.2022 20:00","0","n/e","n/e","98","n/e","n/e","117","n/e","n/e"
"07.03.2022 20:00 - 07.03.2022 21:00","0","n/e","n/e","90","n/e","n/e","111","n/e","n/e"
"07.03.2022 21:00 - 07.03.2022 22:00","0","n/e","n/e","72","n/e","n/e","108","n/e","n/e"
"07.03.2022 22:00 - 07.03.2022 23:00","0","n/e","n/e","45","n/e","n/e","102","n/e","n/e"
"07.03.2022 23:00 - 08.03.2022 00:00","0","n/e","n/e","36","n/e","n/e","98","n/e","n/e"
"08.03.2022 00:00 - 08.03.2022 01:00","0","n/e","n/e","15","n/e","n/e","161","n/e","n/e"
"08.03.2022 01:00 - 08.03.2022 02:00","0","n/e","n/e","24","n/e","n/e","154","n/e","n/e"
"08.03.2022 02:00 - 08.03.2022 03:00","0","n/e","n/e","31","n/e","n/e","159","n/e","n/e"
"08.03.2022 03:00 - 08.03.2022 04:00","0","n/e","n/e","34","n/e","n/e","178","n/e","n/e"
"08.03.2022 04:00 - 08.03.2022 05:00","0","n/e","n/e","48","n/e","n/e","191","n/e","n/e"
"08.03.2022 05:00 - 08.03.2022 06:00","0","n/e","n/e","43","n/e","n/e","188","n/e","n/e"
"08.03.2022 06:00 - 08.03.2022 07:00","0","n/e","n/e","46","n/e","n/e","183","n/e","n/e"
"08.03.2022 07:00 - 08.03.2022 08:00","42","n/e","n/e","56","n/e","n/e","181","n/e","n/e"
"08.03.2022 08:00 - 08.03.2022 09:00","174","n/e","n/e","65","n/e","n/e","184","n/e","n/e"
"08.03.2022 09:00 - 08.03.2022 10:00","342","n/e","n/e","70","n/e","n/e","186","n/e","n/e"
"08.03.2022 10:00 - 08.03.2022 11:00","518","n/e","n/e","72","n/e","n/e","180","n/e","n/e"
"08.03.2022 11:00 - 08.03.2022 12:00","692","n/e","n/e","92","n/e","n/e","173","n/e","n/e"
"08.03.2022 12:00 - 08.03.2022 13:00","806","n/e","n/e","110","n/e","n/e","157","n/e","n/e"
"08.03.2022 13:00 - 08.03.2022 14:00","816","n/e","n/e","114","n/e","n/e","131","n/e","n/e"
"08.03.2022 14:00 - 08.03.2022 15:00","721","n/e","n/e","111","n/e","n/e","98","n/e","n/e"
"08.03.2022 15:00 - 08.03.2022 16:00","533","n/e","n/e","93","n/e","n/e","65","n/e","n/e"
"08.03.2022 16:00 - 08.03.2022 17:00","293","n/e","n/e","88","n/e","n/e","51","n/e","n/e"
"08.03.2022 17:00 - 08.03.2022 18:00","79","n/e","n/e","120","n/e","n/e","45","n/e","n/e"
"08.03.2022 18:00 - 08.03.2022 19:00","0","n/e","n/e","214","n/e","n/e","54","n/e","n/e"
"08.03.2022 19:00 - 08.03.2022 20:00","0","n/e","n/e","274","n/e","n/e","79","n/e","n/e"
"08.03.2022 20:00 - 08.03.2022 21:00","0","n/e","n/e","389","n/e","n/e","137","n/e","n/e"
"08.03.2022 21:00 - 08.03.2022 22:00","0","n/e","n/e","493","n/e","n/e","228","n/e","n/e"
"08.03.2022 22:00 - 08.03.2022 23:00","0","n/e","n/e","548","n/e","n/e","308","n/e","n/e"
"08.03.2022 23:00 - 09.03.2022 00:00","0","n/e","n/e","562","n/e","n/e","362","n/e","n/e"
"09.03.2022 00:00 - 09.03.2022 01:00","0","n/e","n/e","471","n/e","n/e","337","n/e","n/e"
"09.03.2022 01:00 - 09.03.2022 02:00","0","n/e","n/e","444","n/e","n/e","344","n/e","n/e"
"09.03.2022 02:00 - 09.03.2022 03:00","0","n/e","n/e","414","n/e","n/e","325","n/e","n/e"
"09.03.2022 03:00 - 09.03.2022 04:00","0","n/e","n/e","390","n/e","n/e","324","n/e","n/e"
"09.03.2022 04:00 - 09.03.2022 05:00","0","n/e","n/e","384","n/e","n/e","324","n/e","n/e"
"09.03.2022 05:00 - 09.03.2022 06:00","0","n/e","n/e","366","n/e","n/e","342","n/e","n/e"
"09.03.2022 06:00 - 09.03.2022 07:00","1","n/e","n/e","400","n/e","n/e","401","n/e","n/e"
"09.03.2022 07:00 - 09.03.2022 08:00","59","n/e","n/e","425","n/e","n/e","438","n/e","n/e"
"09.03.2022 08:00 - 09.03.2022 09:00","226","n/e","n/e","409","n/e","n/e","415","n/e","n/e"
"09.03.2022 09:00 - 09.03.2022 10:00","436","n/e","n/e","407","n/e","n/e","340","n/e","n/e"
"09.03.2022 10:00 - 09.03.2022 11:00","633","n/e","n/e","422","n/e","n/e","343","n/e","n/e"
"09.03.2022 11:00 - 09.03.2022 12:00","793","n/e","n/e","458","n/e","n/e","408","n/e","n/e"
"09.03.2022 12:00 - 09.03.2022 13:00","881","n/e","n/e","491","n/e","n/e","537","n/e","n/e"
"09.03.2022 13:00 - 09.03.2022 14:00","865","n/e","n/e","545","n/e","n/e","618","n/e","n/e"
"09.03.2022 14:00 - 09.03.2022 15:00","753","n/e","n/e","549","n/e","n/e","663","n/e","n/e"
"09.03.2022 15:00 - 09.03.2022 16:00","554","n/e","n/e","509","n/e","n/e","668","n/e","n/e"
"09.03.2022 16:00 - 09.03.2022 17:00","308","n/e","n/e","487","n/e","n/e","634","n/e","n/e"
"09.03.2022 17:00 - 09.03.2022 18:00","85","n/e","n/e","537","n/e","n/e","665","n/e","n/e"
"09.03.2022 18:00 - 09.03.2022 19:00","0","n/e","n/e","648","n/e","n/e","779","n/e","n/e"
"09.03.2022 19:00 - 09.03.2022 20:00","0","n/e","n/e","669","n/e","n/e","868","n/e","n/e"
"09.03.2022 20:00 - 09.03.2022 21:00","0","n/e","n/e","741","n/e","n/e","923","n/e","n/e"
"09.03.2022 21:00 - 09.03.2022 22:00","0","n/e","n/e","803","n/e","n/e","992","n/e","n/e"
