"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"05.01.2022 08:00 - 05.01.2022 09:00","0","n/e","n/e","1291","n/e","n/e","1904","n/e","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","20","n/e","n/e","1202","n/e","n/e","1845","n/e","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","63","n/e","n/e","1191","n/e","n/e","1863","n/e","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","102","n/e","n/e","1251","n/e","n/e","1959","n/e","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","109","n/e","n/e","1338","n/e","n/e","1975","n/e","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","85","n/e","n/e","1371","n/e","n/e","1799","n/e","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","51","n/e","n/e","1247","n/e","n/e","1654","n/e","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","16","n/e","n/e","1236","n/e","n/e","1576","n/e","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","0","n/e","n/e","1315","n/e","n/e","1626","n/e","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","0","n/e","n/e","1377","n/e","n/e","1685","n/e","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","0","n/e","n/e","1348","n/e","n/e","1621","n/e","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","0","n/e","n/e","1200","n/e","n/e","1486","n/e","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","0","n/e","n/e","966","n/e","n/e","1608","n/e","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","0","n/e","n/e","823","n/e","n/e","1681","n/e","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","0","n/e","n/e","826","n/e","n/e","1692","n/e","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","0","n/e","n/e","902","n/e","n/e","1576","n/e","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","0","n/e","n/e","1210","n/e","n/e","1523","n/e","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","0","n/e","n/e","1208","n/e","n/e","1338","n/e","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","0","n/e","n/e","1215","n/e","n/e","1157","n/e","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","0","n/e","n/e","1113","n/e","n/e","955","n/e","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","0","n/e","n/e","982","n/e","n/e","807","n/e","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","0","n/e","n/e","771","n/e","n/e","653","n/e","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","0","n/e","n/e","594","n/e","n/e","525","n/e","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","0","n/e","n/e","401","n/e","n/e","414","n/e","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","0","n/e","n/e","296","n/e","n/e","342","n/e","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","34","n/e","n/e","220","n/e","n/e","271","n/e","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","107","n/e","n/e","197","n/e","n/e","203","n/e","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","165","n/e","n/e","145","n/e","n/e","186","n/e","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","180","n/e","n/e","120","n/e","n/e","192","n/e","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","152","n/e","n/e","118","n/e","n/e","187","n/e","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","91","n/e","n/e","106","n/e","n/e","190","n/e","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","24","n/e","n/e","139","n/e","n/e","213","n/e","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","0","n/e","n/e","200","n/e","n/e","228","n/e","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","0","n/e","n/e","299","n/e","n/e","264","n/e","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","0","n/e","n/e","396","n/e","n/e","342","n/e","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","0","n/e","n/e","520","n/e","n/e","457","n/e","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","0","n/e","n/e","634","n/e","n/e","563","n/e","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","0","n/e","n/e","759","n/e","n/e","726","n/e","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","0","n/e","n/e","837","n/e","n/e","938","n/e","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","0","n/e","n/e","951","n/e","n/e","1159","n/e","n/e"
