"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Poland (PL)","Generation - Solar  [MW] Intraday / Poland (PL)","Generation - Solar  [MW] Current / Poland (PL)","Generation - Wind Offshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Offshore  [MW] Intraday / Poland (PL)","Generation - Wind Offshore  [MW] Current / Poland (PL)","Generation - Wind Onshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Onshore  [MW] Intraday / Poland (PL)","Generation - Wind Onshore  [MW] Current / Poland (PL)"
"05.01.2022 09:00 - 05.01.2022 10:00","258","255","207","n/e","n/e","n/e","2123","2333","2314"
"05.01.2022 10:00 - 05.01.2022 11:00","488","430","234","n/e","n/e","n/e","2344","2239","2479"
"05.01.2022 11:00 - 05.01.2022 12:00","637","539","271","n/e","n/e","n/e","2649","2516","2801"
"05.01.2022 12:00 - 05.01.2022 13:00","647","547","263","n/e","n/e","n/e","2970","2821","2948"
"05.01.2022 13:00 - 05.01.2022 14:00","521","451","224","n/e","n/e","n/e","3137","2964","2810"
"05.01.2022 14:00 - 05.01.2022 15:00","270","245","117","n/e","n/e","n/e","3295","3094","2920"
"05.01.2022 15:00 - 05.01.2022 16:00","53","52","31","n/e","n/e","n/e","3522","3218","3285"
"05.01.2022 16:00 - 05.01.2022 17:00","0","0","0","n/e","n/e","n/e","3755","3336","3511"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","0","n/e","n/e","n/e","4063","3504","3712"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","0","n/e","n/e","n/e","4348","3689","3882"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","0","n/e","n/e","n/e","4561","3821","3882"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","0","n/e","n/e","n/e","4693","3891","3815"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","0","n/e","n/e","n/e","4698","3920","3894"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","0","n/e","n/e","n/e","4563","3918","3861"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","0","n/e","n/e","n/e","4372","3917","3896"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","0","n/e","n/e","n/e","3818","3860","3860"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","0","n/e","n/e","n/e","3765","3863","3863"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","0","n/e","n/e","n/e","3670","3858","3858"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","0","n/e","n/e","n/e","3638","3875","3875"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","0","n/e","n/e","n/e","3657","3935","3935"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","0","n/e","n/e","n/e","3626","4039","4039"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","0","n/e","n/e","n/e","3533","4004","4004"
"06.01.2022 07:00 - 06.01.2022 08:00","1","0","0","n/e","n/e","n/e","3422","3441","3387"
"06.01.2022 08:00 - 06.01.2022 09:00","128","124","138","n/e","n/e","n/e","3355","3266","3186"
"06.01.2022 09:00 - 06.01.2022 10:00","488","488","450","n/e","n/e","n/e","3352","3401","3303"
"06.01.2022 10:00 - 06.01.2022 11:00","834","852","670","n/e","n/e","n/e","3489","3590","3854"
"06.01.2022 11:00 - 06.01.2022 12:00","985","1013","736","n/e","n/e","n/e","3806","3889","4276"
"06.01.2022 12:00 - 06.01.2022 13:00","950","949","635","n/e","n/e","n/e","4031","4162","4611"
"06.01.2022 13:00 - 06.01.2022 14:00","748","742","497","n/e","n/e","n/e","3971","4132","4647"
"06.01.2022 14:00 - 06.01.2022 15:00","397","404","276","n/e","n/e","n/e","3684","3806","4287"
"06.01.2022 15:00 - 06.01.2022 16:00","83","82","90","n/e","n/e","n/e","3303","3448","3663"
"06.01.2022 16:00 - 06.01.2022 17:00","0","0","0","n/e","n/e","n/e","3003","3231","3374"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","0","n/e","n/e","n/e","2816","3113","3464"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","0","n/e","n/e","n/e","2658","2970","3310"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","0","n/e","n/e","n/e","2477","2756","2793"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","0","n/e","n/e","n/e","2268","2506","2562"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","0","n/e","n/e","n/e","2091","2305","2450"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","0","n/e","n/e","n/e","2014","2223","2545"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","0","n/e","n/e","n/e","2018","2212","2561"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","0","n/e","n/e","n/e","2189","2644","2644"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","0","n/e","n/e","n/e","2143","2665","2665"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","0","n/e","n/e","n/e","2119","2536","2536"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","0","n/e","n/e","n/e","2127","2621","2621"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","0","n/e","n/e","n/e","2166","2684","2684"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","0","n/e","n/e","n/e","2236","2794","2794"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","0","n/e","n/e","n/e","2316","2673","2673"
"07.01.2022 07:00 - 07.01.2022 08:00","1","1","1","n/e","n/e","n/e","2399","3014","3028"
"07.01.2022 08:00 - 07.01.2022 09:00","239","238","245","n/e","n/e","n/e","2497","3057","3165"
"07.01.2022 09:00 - 07.01.2022 10:00","860","866","848","n/e","n/e","n/e","2737","3278","3304"
"07.01.2022 10:00 - 07.01.2022 11:00","1435","1458","1402","n/e","n/e","n/e","2555","2544","3011"
"07.01.2022 11:00 - 07.01.2022 12:00","1683","1720","1204","n/e","n/e","n/e","2092","2089","2493"
"07.01.2022 12:00 - 07.01.2022 13:00","1598","1642","1332","n/e","n/e","n/e","1971","1899","2429"
"07.01.2022 13:00 - 07.01.2022 14:00","1199","1239","1027","n/e","n/e","n/e","1986","1934","2452"
"07.01.2022 14:00 - 07.01.2022 15:00","574","595","475","n/e","n/e","n/e","2299","2237","2672"
"07.01.2022 15:00 - 07.01.2022 16:00","99","102","94","n/e","n/e","n/e","2605","2520","2778"
"07.01.2022 16:00 - 07.01.2022 17:00","0","0","0","n/e","n/e","n/e","2717","2700","3125"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","0","n/e","n/e","n/e","2868","2898","3437"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","0","n/e","n/e","n/e","2962","3025","3513"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","0","n/e","n/e","n/e","2957","3072","3529"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","0","n/e","n/e","n/e","2890","3036","3109"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","0","n/e","n/e","n/e","2772","2929","3131"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","0","n/e","n/e","n/e","2618","2772","2934"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","0","n/e","n/e","n/e","2471","2605","2676"
"08.01.2022 00:00 - 08.01.2022 01:00","0","0","0","n/e","n/e","n/e","2416","2266","2266"
"08.01.2022 01:00 - 08.01.2022 02:00","0","0","0","n/e","n/e","n/e","2290","2098","2098"
"08.01.2022 02:00 - 08.01.2022 03:00","0","0","0","n/e","n/e","n/e","2190","2040","2040"
"08.01.2022 03:00 - 08.01.2022 04:00","0","0","0","n/e","n/e","n/e","2087","1994","1994"
"08.01.2022 04:00 - 08.01.2022 05:00","0","0","0","n/e","n/e","n/e","1975","1993","1993"
"08.01.2022 05:00 - 08.01.2022 06:00","0","0","0","n/e","n/e","n/e","1895","2056","2056"
"08.01.2022 06:00 - 08.01.2022 07:00","0","0","0","n/e","n/e","n/e","1877","2051","2051"
"08.01.2022 07:00 - 08.01.2022 08:00","2","1","1","n/e","n/e","n/e","1877","2106","2091"
"08.01.2022 08:00 - 08.01.2022 09:00","183","184","189","n/e","n/e","n/e","1879","2178","2151"
"08.01.2022 09:00 - 08.01.2022 10:00","652","660","612","n/e","n/e","n/e","1848","2068","2076"
"08.01.2022 10:00 - 08.01.2022 11:00","1069","1099","820","n/e","n/e","n/e","1679","1840","1904"
"08.01.2022 11:00 - 08.01.2022 12:00","1238","1291","965","n/e","n/e","n/e","1511","1691","1858"
"08.01.2022 12:00 - 08.01.2022 13:00","1156","1220","843","n/e","n/e","n/e","1435","1596","1714"
"08.01.2022 13:00 - 08.01.2022 14:00","857","903","589","n/e","n/e","n/e","1345","1516","1701"
"08.01.2022 14:00 - 08.01.2022 15:00","428","447","292","n/e","n/e","n/e","1270","1437","1685"
"08.01.2022 15:00 - 08.01.2022 16:00","83","87","102","n/e","n/e","n/e","1266","1453","1742"
"08.01.2022 16:00 - 08.01.2022 17:00","0","0","0","n/e","n/e","n/e","1353","1565","1896"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","0","n/e","n/e","n/e","1461","1691","2024"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","0","n/e","n/e","n/e","1521","1759","2061"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","0","n/e","n/e","n/e","1508","1734","1985"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","0","n/e","n/e","n/e","1428","1614","1587"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","0","n/e","n/e","n/e","1320","1460","1385"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","0","n/e","n/e","n/e","1219","1350","1256"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","0","n/e","n/e","n/e","1162","1317","1327"
"09.01.2022 00:00 - 09.01.2022 01:00","0","0","0","n/e","n/e","n/e","1339","1552","1552"
"09.01.2022 01:00 - 09.01.2022 02:00","0","0","0","n/e","n/e","n/e","1376","1602","1602"
"09.01.2022 02:00 - 09.01.2022 03:00","0","0","0","n/e","n/e","n/e","1458","1604","1604"
"09.01.2022 03:00 - 09.01.2022 04:00","0","0","0","n/e","n/e","n/e","1569","1840","1840"
"09.01.2022 04:00 - 09.01.2022 05:00","0","0","0","n/e","n/e","n/e","1709","1943","1943"
"09.01.2022 05:00 - 09.01.2022 06:00","0","0","0","n/e","n/e","n/e","1850","2312","2312"
"09.01.2022 06:00 - 09.01.2022 07:00","0","0","0","n/e","n/e","n/e","1967","2552","2552"
"09.01.2022 07:00 - 09.01.2022 08:00","2","1","1","n/e","n/e","n/e","2051","2636","2629"
"09.01.2022 08:00 - 09.01.2022 09:00","237","238","252","n/e","n/e","n/e","2080","2675","2727"
"09.01.2022 09:00 - 09.01.2022 10:00","885","890","817","n/e","n/e","n/e","2158","2516","2716"
"09.01.2022 10:00 - 09.01.2022 11:00","1521","1526","1250","n/e","n/e","n/e","1839","2160","2049"
"09.01.2022 11:00 - 09.01.2022 12:00","1819","1818","1477","n/e","n/e","n/e","1274","1429","1573"
"09.01.2022 12:00 - 09.01.2022 13:00","1760","1755","1422","n/e","n/e","n/e","1050","1230","1439"
"09.01.2022 13:00 - 09.01.2022 14:00","1370","1373","1097","n/e","n/e","n/e","994","1165","1411"
"09.01.2022 14:00 - 09.01.2022 15:00","691","698","525","n/e","n/e","n/e","1133","1321","1469"
"09.01.2022 15:00 - 09.01.2022 16:00","132","134","109","n/e","n/e","n/e","1421","1608","1544"
"09.01.2022 16:00 - 09.01.2022 17:00","0","0","0","n/e","n/e","n/e","1680","1848","1754"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","0","n/e","n/e","n/e","1816","1984","2312"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","0","n/e","n/e","n/e","1827","1971","2399"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","0","n/e","n/e","n/e","1731","1855","2272"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","0","n/e","n/e","n/e","1572","1677","1619"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","0","n/e","n/e","n/e","1424","1494","1524"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","0","n/e","n/e","n/e","1312","1356","1482"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","0","n/e","n/e","n/e","1210","1265","1340"
"10.01.2022 00:00 - 10.01.2022 01:00","0","0","0","n/e","n/e","n/e","1087","1347","1347"
"10.01.2022 01:00 - 10.01.2022 02:00","0","0","0","n/e","n/e","n/e","1018","1324","1324"
"10.01.2022 02:00 - 10.01.2022 03:00","0","0","0","n/e","n/e","n/e","957","1296","1296"
"10.01.2022 03:00 - 10.01.2022 04:00","0","0","0","n/e","n/e","n/e","899","1282","1282"
"10.01.2022 04:00 - 10.01.2022 05:00","0","0","0","n/e","n/e","n/e","874","1260","1260"
"10.01.2022 05:00 - 10.01.2022 06:00","0","0","0","n/e","n/e","n/e","882","1060","1060"
"10.01.2022 06:00 - 10.01.2022 07:00","0","0","0","n/e","n/e","n/e","895","1112","1112"
"10.01.2022 07:00 - 10.01.2022 08:00","2","1","1","n/e","n/e","n/e","909","1127","1130"
"10.01.2022 08:00 - 10.01.2022 09:00","195","185","194","n/e","n/e","n/e","887","1115","1182"
"10.01.2022 09:00 - 10.01.2022 10:00","705","679","550","n/e","n/e","n/e","819","985","1100"
"10.01.2022 10:00 - 10.01.2022 11:00","1220","1182","724","n/e","n/e","n/e","590","716","800"
"10.01.2022 11:00 - 10.01.2022 12:00","1500","1446","782","n/e","n/e","n/e","332","473","543"
"10.01.2022 12:00 - 10.01.2022 13:00","1485","1426","881","n/e","n/e","n/e","252","318","382"
"10.01.2022 13:00 - 10.01.2022 14:00","1196","1136","672","n/e","n/e","n/e","255","336","388"
"10.01.2022 14:00 - 10.01.2022 15:00","641","599","348","n/e","n/e","n/e","332","432","469"
"10.01.2022 15:00 - 10.01.2022 16:00","134","124","114","n/e","n/e","n/e","490","600","594"
"10.01.2022 16:00 - 10.01.2022 17:00","0","0","0","n/e","n/e","n/e","687","803","801"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","0","n/e","n/e","n/e","829","960","1033"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","0","n/e","n/e","n/e","868","985","1250"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","0","n/e","n/e","n/e","849","921","1350"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","0","n/e","n/e","n/e","798","834","1159"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","0","n/e","n/e","n/e","728","748","1108"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","0","n/e","n/e","n/e","642","656","1058"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","0","n/e","n/e","n/e","546","558","987"
"11.01.2022 00:00 - 11.01.2022 01:00","0","0","0","n/e","n/e","n/e","566","876","876"
"11.01.2022 01:00 - 11.01.2022 02:00","0","0","0","n/e","n/e","n/e","471","813","813"
"11.01.2022 02:00 - 11.01.2022 03:00","0","0","0","n/e","n/e","n/e","400","766","766"
"11.01.2022 03:00 - 11.01.2022 04:00","0","0","0","n/e","n/e","n/e","353","657","657"
"11.01.2022 04:00 - 11.01.2022 05:00","0","0","0","n/e","n/e","n/e","316","433","433"
"11.01.2022 05:00 - 11.01.2022 06:00","0","0","0","n/e","n/e","n/e","279","388","388"
"11.01.2022 06:00 - 11.01.2022 07:00","0","0","0","n/e","n/e","n/e","242","330","330"
"11.01.2022 07:00 - 11.01.2022 08:00","2","1","2","n/e","n/e","n/e","208","185","178"
"11.01.2022 08:00 - 11.01.2022 09:00","182","180","197","n/e","n/e","n/e","183","167","148"
"11.01.2022 09:00 - 11.01.2022 10:00","661","658","738","n/e","n/e","n/e","168","143","115"
"11.01.2022 10:00 - 11.01.2022 11:00","1141","1139","1109","n/e","n/e","n/e","148","119","100"
"11.01.2022 11:00 - 11.01.2022 12:00","1383","1382","1239","n/e","n/e","n/e","120","99","79"
"11.01.2022 12:00 - 11.01.2022 13:00","1341","1361","1244","n/e","n/e","n/e","105","92","81"
"11.01.2022 13:00 - 11.01.2022 14:00","1055","1091","892","n/e","n/e","n/e","108","100","85"
"11.01.2022 14:00 - 11.01.2022 15:00","566","586","530","n/e","n/e","n/e","120","117","93"
