"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"04.01.2022 15:00 - 04.01.2022 16:00","1510","n/e","1735","n/e","n/e","n/e","5531","n/e","5168"
"04.01.2022 16:00 - 04.01.2022 17:00","604","n/e","691","n/e","n/e","n/e","4740","n/e","5355"
"04.01.2022 17:00 - 04.01.2022 18:00","39","n/e","41","n/e","n/e","n/e","4780","n/e","5798"
"04.01.2022 18:00 - 04.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","4820","n/e","6238"
"04.01.2022 19:00 - 04.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","4861","n/e","6678"
"04.01.2022 20:00 - 04.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","5321","n/e","7041"
"04.01.2022 21:00 - 04.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","5782","n/e","7403"
"04.01.2022 22:00 - 04.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","6243","n/e","7765"
"04.01.2022 23:00 - 05.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","6433","n/e","7602"
"05.01.2022 00:00 - 05.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","8633","n/e","8636"
"05.01.2022 01:00 - 05.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","8650","n/e","8536"
"05.01.2022 02:00 - 05.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","8178","n/e","8168"
"05.01.2022 03:00 - 05.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","7706","n/e","7802"
"05.01.2022 04:00 - 05.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","7233","n/e","7434"
"05.01.2022 05:00 - 05.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","6983","n/e","7158"
"05.01.2022 06:00 - 05.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","6732","n/e","6881"
"05.01.2022 07:00 - 05.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","6481","n/e","6235"
