"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"17.06.2022 21:00 - 17.06.2022 22:00","331","n/e","327","n/e","n/e","n/e","1225","n/e","1363"
"17.06.2022 22:00 - 17.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","1346","n/e","1504"
"17.06.2022 23:00 - 18.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","1467","n/e","1647"
"18.06.2022 00:00 - 18.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","1827","n/e","1717"
"18.06.2022 01:00 - 18.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","1919","n/e","1849"
"18.06.2022 02:00 - 18.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","2012","n/e","1983"
"18.06.2022 03:00 - 18.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","2086","n/e","2033"
"18.06.2022 04:00 - 18.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","2160","n/e","2083"
"18.06.2022 05:00 - 18.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","2235","n/e","2135"
"18.06.2022 06:00 - 18.06.2022 07:00","13","n/e","13","n/e","n/e","n/e","2198","n/e","2193"
"18.06.2022 07:00 - 18.06.2022 08:00","688","n/e","702","n/e","n/e","n/e","2163","n/e","1919"
"18.06.2022 08:00 - 18.06.2022 09:00","2122","n/e","2156","n/e","n/e","n/e","2128","n/e","1895"
"18.06.2022 09:00 - 18.06.2022 10:00","4335","n/e","4382","n/e","n/e","n/e","1848","n/e","1692"
"18.06.2022 10:00 - 18.06.2022 11:00","6554","n/e","6753","n/e","n/e","n/e","1568","n/e","1434"
"18.06.2022 11:00 - 18.06.2022 12:00","8183","n/e","8289","n/e","n/e","n/e","1289","n/e","1214"
"18.06.2022 12:00 - 18.06.2022 13:00","9198","n/e","9331","n/e","n/e","n/e","1555","n/e","1443"
"18.06.2022 13:00 - 18.06.2022 14:00","9702","n/e","9754","n/e","n/e","n/e","1822","n/e","1700"
"18.06.2022 14:00 - 18.06.2022 15:00","9759","n/e","9795","n/e","n/e","n/e","2089","n/e","1959"
"18.06.2022 15:00 - 18.06.2022 16:00","9432","n/e","9485","n/e","n/e","n/e","2415","n/e","2172"
"18.06.2022 16:00 - 18.06.2022 17:00","8635","n/e","8713","n/e","n/e","n/e","2742","n/e","2385"
"18.06.2022 17:00 - 18.06.2022 18:00","7357","n/e","7432","n/e","n/e","n/e","3068","n/e","2598"
"18.06.2022 18:00 - 18.06.2022 19:00","5628","n/e","5601","n/e","n/e","n/e","3461","n/e","3120"
"18.06.2022 19:00 - 18.06.2022 20:00","3403","n/e","3356","n/e","n/e","n/e","3854","n/e","3643"
"18.06.2022 20:00 - 18.06.2022 21:00","1485","n/e","1452","n/e","n/e","n/e","4247","n/e","4167"
"18.06.2022 21:00 - 18.06.2022 22:00","324","n/e","312","n/e","n/e","n/e","5448","n/e","5470"
"18.06.2022 22:00 - 18.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","6649","n/e","6774"
"18.06.2022 23:00 - 19.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","7850","n/e","8078"
"19.06.2022 00:00 - 19.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","8009","n/e","8160"
"19.06.2022 01:00 - 19.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","8421","n/e","8716"
"19.06.2022 02:00 - 19.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","8834","n/e","9272"
"19.06.2022 03:00 - 19.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","8892","n/e","9370"
"19.06.2022 04:00 - 19.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","8950","n/e","9468"
"19.06.2022 05:00 - 19.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","9009","n/e","9566"
"19.06.2022 06:00 - 19.06.2022 07:00","12","n/e","12","n/e","n/e","n/e","8798","n/e","9073"
"19.06.2022 07:00 - 19.06.2022 08:00","635","n/e","632","n/e","n/e","n/e","8587","n/e","7653"
"19.06.2022 08:00 - 19.06.2022 09:00","1953","n/e","1943","n/e","n/e","n/e","8376","n/e","7046"
"19.06.2022 09:00 - 19.06.2022 10:00","3994","n/e","3959","n/e","n/e","n/e","7828","n/e","6690"
"19.06.2022 10:00 - 19.06.2022 11:00","6087","n/e","5887","n/e","n/e","n/e","7281","n/e","5690"
"19.06.2022 11:00 - 19.06.2022 12:00","7634","n/e","7554","n/e","n/e","n/e","6734","n/e","5655"
"19.06.2022 12:00 - 19.06.2022 13:00","8765","n/e","8724","n/e","n/e","n/e","6170","n/e","5499"
"19.06.2022 13:00 - 19.06.2022 14:00","9301","n/e","9336","n/e","n/e","n/e","5606","n/e","5341"
"19.06.2022 14:00 - 19.06.2022 15:00","9510","n/e","9465","n/e","n/e","n/e","5042","n/e","5181"
"19.06.2022 15:00 - 19.06.2022 16:00","9223","n/e","9193","n/e","n/e","n/e","4890","n/e","4924"
"19.06.2022 16:00 - 19.06.2022 17:00","8404","n/e","8498","n/e","n/e","n/e","4738","n/e","4665"
"19.06.2022 17:00 - 19.06.2022 18:00","7170","n/e","7169","n/e","n/e","n/e","4585","n/e","4406"
"19.06.2022 18:00 - 19.06.2022 19:00","5418","n/e","5395","n/e","n/e","n/e","4733","n/e","4716"
"19.06.2022 19:00 - 19.06.2022 20:00","3313","n/e","3216","n/e","n/e","n/e","4882","n/e","5034"
"19.06.2022 20:00 - 19.06.2022 21:00","1458","n/e","1376","n/e","n/e","n/e","5031","n/e","5355"
"19.06.2022 21:00 - 19.06.2022 22:00","323","n/e","297","n/e","n/e","n/e","5662","n/e","5731"
"19.06.2022 22:00 - 19.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","6292","n/e","6106"
"19.06.2022 23:00 - 20.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","6923","n/e","6482"
"20.06.2022 00:00 - 20.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","6206","n/e","5926"
"20.06.2022 01:00 - 20.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","5701","n/e","5485"
"20.06.2022 02:00 - 20.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","5204","n/e","5046"
"20.06.2022 03:00 - 20.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","4862","n/e","4695"
"20.06.2022 04:00 - 20.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","4523","n/e","4349"
"20.06.2022 05:00 - 20.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","4190","n/e","4007"
"20.06.2022 06:00 - 20.06.2022 07:00","10","n/e","10","n/e","n/e","n/e","3943","n/e","3647"
"20.06.2022 07:00 - 20.06.2022 08:00","529","n/e","538","n/e","n/e","n/e","3697","n/e","2862"
"20.06.2022 08:00 - 20.06.2022 09:00","1612","n/e","1633","n/e","n/e","n/e","3448","n/e","2823"
"20.06.2022 09:00 - 20.06.2022 10:00","3370","n/e","3364","n/e","n/e","n/e","3362","n/e","2855"
"20.06.2022 10:00 - 20.06.2022 11:00","5099","n/e","4727","n/e","n/e","n/e","3281","n/e","3057"
"20.06.2022 11:00 - 20.06.2022 12:00","6586","n/e","6100","n/e","n/e","n/e","3206","n/e","3047"
"20.06.2022 12:00 - 20.06.2022 13:00","7600","n/e","7225","n/e","n/e","n/e","3212","n/e","3022"
"20.06.2022 13:00 - 20.06.2022 14:00","8067","n/e","7982","n/e","n/e","n/e","3219","n/e","3004"
"20.06.2022 14:00 - 20.06.2022 15:00","8187","n/e","8125","n/e","n/e","n/e","3226","n/e","2992"
"20.06.2022 15:00 - 20.06.2022 16:00","8104","n/e","8011","n/e","n/e","n/e","3273","n/e","3049"
"20.06.2022 16:00 - 20.06.2022 17:00","7475","n/e","7360","n/e","n/e","n/e","3319","n/e","3110"
"20.06.2022 17:00 - 20.06.2022 18:00","6416","n/e","6391","n/e","n/e","n/e","3364","n/e","3175"
"20.06.2022 18:00 - 20.06.2022 19:00","4842","n/e","4811","n/e","n/e","n/e","3491","n/e","3294"
"20.06.2022 19:00 - 20.06.2022 20:00","2948","n/e","2880","n/e","n/e","n/e","3619","n/e","3416"
"20.06.2022 20:00 - 20.06.2022 21:00","1288","n/e","1283","n/e","n/e","n/e","3747","n/e","3538"
"20.06.2022 21:00 - 20.06.2022 22:00","285","n/e","279","n/e","n/e","n/e","3866","n/e","3694"
"20.06.2022 22:00 - 20.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","3984","n/e","3851"
"20.06.2022 23:00 - 21.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","4105","n/e","4008"
"21.06.2022 00:00 - 21.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","3696","n/e","3902"
"21.06.2022 01:00 - 21.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","3671","n/e","3904"
"21.06.2022 02:00 - 21.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","3645","n/e","3907"
"21.06.2022 03:00 - 21.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","3437","n/e","3664"
"21.06.2022 04:00 - 21.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","3230","n/e","3422"
"21.06.2022 05:00 - 21.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","3022","n/e","3181"
"21.06.2022 06:00 - 21.06.2022 07:00","9","n/e","9","n/e","n/e","n/e","2780","n/e","3043"
"21.06.2022 07:00 - 21.06.2022 08:00","495","n/e","524","n/e","n/e","n/e","2539","n/e","2668"
"21.06.2022 08:00 - 21.06.2022 09:00","1517","n/e","1637","n/e","n/e","n/e","2297","n/e","2293"
"21.06.2022 09:00 - 21.06.2022 10:00","3164","n/e","3390","n/e","n/e","n/e","1988","n/e","2016"
"21.06.2022 10:00 - 21.06.2022 11:00","4858","n/e","4794","n/e","n/e","n/e","1679","n/e","1721"
"21.06.2022 11:00 - 21.06.2022 12:00","5981","n/e","6002","n/e","n/e","n/e","1371","n/e","1648"
"21.06.2022 12:00 - 21.06.2022 13:00","6567","n/e","6827","n/e","n/e","n/e","1428","n/e","1700"
"21.06.2022 13:00 - 21.06.2022 14:00","6771","n/e","6878","n/e","n/e","n/e","1485","n/e","1759"
"21.06.2022 14:00 - 21.06.2022 15:00","6587","n/e","6533","n/e","n/e","n/e","1542","n/e","1825"
"21.06.2022 15:00 - 21.06.2022 16:00","6216","n/e","6348","n/e","n/e","n/e","1517","n/e","1753"
"21.06.2022 16:00 - 21.06.2022 17:00","5637","n/e","6047","n/e","n/e","n/e","1493","n/e","1684"
"21.06.2022 17:00 - 21.06.2022 18:00","5047","n/e","5180","n/e","n/e","n/e","1470","n/e","1620"
"21.06.2022 18:00 - 21.06.2022 19:00","3998","n/e","4147","n/e","n/e","n/e","1504","n/e","1542"
"21.06.2022 19:00 - 21.06.2022 20:00","2538","n/e","2522","n/e","n/e","n/e","1539","n/e","1467"
"21.06.2022 20:00 - 21.06.2022 21:00","1171","n/e","1137","n/e","n/e","n/e","1574","n/e","1393"
"21.06.2022 21:00 - 21.06.2022 22:00","274","n/e","274","n/e","n/e","n/e","1828","n/e","1804"
"21.06.2022 22:00 - 21.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","2082","n/e","2217"
"21.06.2022 23:00 - 22.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","2337","n/e","2630"
"22.06.2022 00:00 - 22.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","2303","n/e","2222"
"22.06.2022 01:00 - 22.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","2489","n/e","2294"
"22.06.2022 02:00 - 22.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","2676","n/e","2369"
"22.06.2022 03:00 - 22.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","2841","n/e","2753"
"22.06.2022 04:00 - 22.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","3005","n/e","3140"
"22.06.2022 05:00 - 22.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","3169","n/e","3528"
"22.06.2022 06:00 - 22.06.2022 07:00","10","n/e","10","n/e","n/e","n/e","2865","n/e","3327"
"22.06.2022 07:00 - 22.06.2022 08:00","459","n/e","407","n/e","n/e","n/e","2560","n/e","3049"
"22.06.2022 08:00 - 22.06.2022 09:00","1391","n/e","1325","n/e","n/e","n/e","2255","n/e","2855"
"22.06.2022 09:00 - 22.06.2022 10:00","2908","n/e","2786","n/e","n/e","n/e","2052","n/e","2691"
"22.06.2022 10:00 - 22.06.2022 11:00","4229","n/e","4098","n/e","n/e","n/e","1848","n/e","2250"
"22.06.2022 11:00 - 22.06.2022 12:00","5239","n/e","5281","n/e","n/e","n/e","1644","n/e","2050"
"22.06.2022 12:00 - 22.06.2022 13:00","6010","n/e","6057","n/e","n/e","n/e","1813","n/e","2011"
"22.06.2022 13:00 - 22.06.2022 14:00","6289","n/e","6250","n/e","n/e","n/e","1981","n/e","1976"
"22.06.2022 14:00 - 22.06.2022 15:00","6441","n/e","6101","n/e","n/e","n/e","2150","n/e","1957"
"22.06.2022 15:00 - 22.06.2022 16:00","6269","n/e","6127","n/e","n/e","n/e","2083","n/e","1866"
"22.06.2022 16:00 - 22.06.2022 17:00","5867","n/e","5766","n/e","n/e","n/e","2017","n/e","1778"
"22.06.2022 17:00 - 22.06.2022 18:00","5033","n/e","5071","n/e","n/e","n/e","1950","n/e","1695"
"22.06.2022 18:00 - 22.06.2022 19:00","3768","n/e","4102","n/e","n/e","n/e","1960","n/e","1664"
"22.06.2022 19:00 - 22.06.2022 20:00","2431","n/e","2626","n/e","n/e","n/e","1969","n/e","1639"
"22.06.2022 20:00 - 22.06.2022 21:00","1112","n/e","1237","n/e","n/e","n/e","1979","n/e","1618"
"22.06.2022 21:00 - 22.06.2022 22:00","255","n/e","293","n/e","n/e","n/e","2020","n/e","1665"
"22.06.2022 22:00 - 22.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","2061","n/e","1714"
"22.06.2022 23:00 - 23.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","2102","n/e","1763"
"23.06.2022 00:00 - 23.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","1474","n/e","1474"
"23.06.2022 01:00 - 23.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","1489","n/e","1489"
"23.06.2022 02:00 - 23.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","1504","n/e","1504"
"23.06.2022 03:00 - 23.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","1365","n/e","1365"
"23.06.2022 04:00 - 23.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","1228","n/e","1228"
"23.06.2022 05:00 - 23.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","1094","n/e","1094"
"23.06.2022 06:00 - 23.06.2022 07:00","10","n/e","10","n/e","n/e","n/e","1022","n/e","1022"
"23.06.2022 07:00 - 23.06.2022 08:00","513","n/e","513","n/e","n/e","n/e","951","n/e","951"
"23.06.2022 08:00 - 23.06.2022 09:00","1547","n/e","1547","n/e","n/e","n/e","881","n/e","881"
"23.06.2022 09:00 - 23.06.2022 10:00","3120","n/e","3120","n/e","n/e","n/e","815","n/e","815"
"23.06.2022 10:00 - 23.06.2022 11:00","4692","n/e","4692","n/e","n/e","n/e","753","n/e","753"
"23.06.2022 11:00 - 23.06.2022 12:00","5998","n/e","5998","n/e","n/e","n/e","692","n/e","692"
"23.06.2022 12:00 - 23.06.2022 13:00","7114","n/e","7114","n/e","n/e","n/e","824","n/e","824"
"23.06.2022 13:00 - 23.06.2022 14:00","7519","n/e","7519","n/e","n/e","n/e","957","n/e","957"
"23.06.2022 14:00 - 23.06.2022 15:00","7784","n/e","7784","n/e","n/e","n/e","1089","n/e","1089"
"23.06.2022 15:00 - 23.06.2022 16:00","7517","n/e","7517","n/e","n/e","n/e","1221","n/e","1221"
"23.06.2022 16:00 - 23.06.2022 17:00","6510","n/e","6510","n/e","n/e","n/e","1352","n/e","1352"
"23.06.2022 17:00 - 23.06.2022 18:00","5509","n/e","5509","n/e","n/e","n/e","1483","n/e","1483"
"23.06.2022 18:00 - 23.06.2022 19:00","4079","n/e","4079","n/e","n/e","n/e","1402","n/e","1402"
"23.06.2022 19:00 - 23.06.2022 20:00","2503","n/e","2503","n/e","n/e","n/e","1321","n/e","1321"
"23.06.2022 20:00 - 23.06.2022 21:00","1108","n/e","1108","n/e","n/e","n/e","1240","n/e","1240"
"23.06.2022 21:00 - 23.06.2022 22:00","252","n/e","252","n/e","n/e","n/e","1232","n/e","1232"
"23.06.2022 22:00 - 23.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","1225","n/e","1225"
"23.06.2022 23:00 - 24.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","1217","n/e","1217"
"24.06.2022 00:00 - 24.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","1238","n/e","1202"
"24.06.2022 01:00 - 24.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","1230","n/e","1198"
"24.06.2022 02:00 - 24.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","1226","n/e","1197"
"24.06.2022 03:00 - 24.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","1370","n/e","1283"
"24.06.2022 04:00 - 24.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","1519","n/e","1373"
"24.06.2022 05:00 - 24.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","1669","n/e","1464"
"24.06.2022 06:00 - 24.06.2022 07:00","8","n/e","8","n/e","n/e","n/e","1584","n/e","1489"
"24.06.2022 07:00 - 24.06.2022 08:00","445","n/e","492","n/e","n/e","n/e","1499","n/e","1895"
"24.06.2022 08:00 - 24.06.2022 09:00","1286","n/e","1483","n/e","n/e","n/e","1414","n/e","1850"
"24.06.2022 09:00 - 24.06.2022 10:00","2705","n/e","2917","n/e","n/e","n/e","1674","n/e","2279"
"24.06.2022 10:00 - 24.06.2022 11:00","4201","n/e","4030","n/e","n/e","n/e","1935","n/e","3129"
"24.06.2022 11:00 - 24.06.2022 12:00","5298","n/e","5121","n/e","n/e","n/e","2195","n/e","3554"
"24.06.2022 12:00 - 24.06.2022 13:00","5897","n/e","6053","n/e","n/e","n/e","2690","n/e","4008"
"24.06.2022 13:00 - 24.06.2022 14:00","6597","n/e","6573","n/e","n/e","n/e","3185","n/e","4476"
"24.06.2022 14:00 - 24.06.2022 15:00","6693","n/e","6876","n/e","n/e","n/e","3681","n/e","4952"
"24.06.2022 15:00 - 24.06.2022 16:00","6774","n/e","7155","n/e","n/e","n/e","3983","n/e","5082"
"24.06.2022 16:00 - 24.06.2022 17:00","6484","n/e","6742","n/e","n/e","n/e","4285","n/e","5217"
"24.06.2022 17:00 - 24.06.2022 18:00","5793","n/e","5916","n/e","n/e","n/e","4587","n/e","5354"
"24.06.2022 18:00 - 24.06.2022 19:00","4521","n/e","4667","n/e","n/e","n/e","4420","n/e","5056"
"24.06.2022 19:00 - 24.06.2022 20:00","2871","n/e","2909","n/e","n/e","n/e","4253","n/e","4761"
"24.06.2022 20:00 - 24.06.2022 21:00","1285","n/e","1321","n/e","n/e","n/e","4086","n/e","4468"
"24.06.2022 21:00 - 24.06.2022 22:00","284","n/e","288","n/e","n/e","n/e","3850","n/e","4494"
"24.06.2022 22:00 - 24.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","3613","n/e","4520"
"24.06.2022 23:00 - 25.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","3377","n/e","4546"
"25.06.2022 00:00 - 25.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","4892","n/e","4293"
"25.06.2022 01:00 - 25.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","4865","n/e","4216"
"25.06.2022 02:00 - 25.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","4837","n/e","4145"
"25.06.2022 03:00 - 25.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","4273","n/e","3985"
"25.06.2022 04:00 - 25.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","3710","n/e","3831"
"25.06.2022 05:00 - 25.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","3149","n/e","3682"
"25.06.2022 06:00 - 25.06.2022 07:00","11","n/e","11","n/e","n/e","n/e","2650","n/e","3139"
"25.06.2022 07:00 - 25.06.2022 08:00","569","n/e","581","n/e","n/e","n/e","2153","n/e","2297"
"25.06.2022 08:00 - 25.06.2022 09:00","1680","n/e","1739","n/e","n/e","n/e","1657","n/e","1954"
"25.06.2022 09:00 - 25.06.2022 10:00","3419","n/e","3531","n/e","n/e","n/e","1560","n/e","1774"
"25.06.2022 10:00 - 25.06.2022 11:00","5232","n/e","5266","n/e","n/e","n/e","1464","n/e","1420"
"25.06.2022 11:00 - 25.06.2022 12:00","6599","n/e","6461","n/e","n/e","n/e","1371","n/e","1306"
"25.06.2022 12:00 - 25.06.2022 13:00","7364","n/e","7196","n/e","n/e","n/e","1591","n/e","1494"
"25.06.2022 13:00 - 25.06.2022 14:00","7708","n/e","7184","n/e","n/e","n/e","1813","n/e","1697"
"25.06.2022 14:00 - 25.06.2022 15:00","7507","n/e","6970","n/e","n/e","n/e","2037","n/e","1902"
"25.06.2022 15:00 - 25.06.2022 16:00","7136","n/e","6861","n/e","n/e","n/e","2168","n/e","1925"
"25.06.2022 16:00 - 25.06.2022 17:00","6264","n/e","6234","n/e","n/e","n/e","2302","n/e","1949"
"25.06.2022 17:00 - 25.06.2022 18:00","5100","n/e","5361","n/e","n/e","n/e","2436","n/e","1974"
"25.06.2022 18:00 - 25.06.2022 19:00","3680","n/e","3869","n/e","n/e","n/e","2293","n/e","1978"
"25.06.2022 19:00 - 25.06.2022 20:00","2222","n/e","2362","n/e","n/e","n/e","2151","n/e","1983"
"25.06.2022 20:00 - 25.06.2022 21:00","978","n/e","993","n/e","n/e","n/e","2011","n/e","1990"
"25.06.2022 21:00 - 25.06.2022 22:00","222","n/e","224","n/e","n/e","n/e","2130","n/e","1920"
"25.06.2022 22:00 - 25.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","2251","n/e","1854"
"25.06.2022 23:00 - 26.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","2372","n/e","1788"
"26.06.2022 00:00 - 26.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","2117","n/e","1954"
"26.06.2022 01:00 - 26.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","2284","n/e","2002"
"26.06.2022 02:00 - 26.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","2452","n/e","2052"
"26.06.2022 03:00 - 26.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","2358","n/e","2016"
"26.06.2022 04:00 - 26.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","2266","n/e","1980"
"26.06.2022 05:00 - 26.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","2173","n/e","1947"
"26.06.2022 06:00 - 26.06.2022 07:00","8","n/e","8","n/e","n/e","n/e","1934","n/e","1708"
"26.06.2022 07:00 - 26.06.2022 08:00","451","n/e","445","n/e","n/e","n/e","1696","n/e","1391"
"26.06.2022 08:00 - 26.06.2022 09:00","1420","n/e","1364","n/e","n/e","n/e","1457","n/e","1201"
"26.06.2022 09:00 - 26.06.2022 10:00","2926","n/e","2893","n/e","n/e","n/e","1316","n/e","1088"
"26.06.2022 10:00 - 26.06.2022 11:00","4419","n/e","4164","n/e","n/e","n/e","1174","n/e","1036"
"26.06.2022 11:00 - 26.06.2022 12:00","5507","n/e","5325","n/e","n/e","n/e","1034","n/e","924"
"26.06.2022 12:00 - 26.06.2022 13:00","6410","n/e","6068","n/e","n/e","n/e","1168","n/e","988"
"26.06.2022 13:00 - 26.06.2022 14:00","6680","n/e","6620","n/e","n/e","n/e","1302","n/e","1063"
"26.06.2022 14:00 - 26.06.2022 15:00","6895","n/e","6830","n/e","n/e","n/e","1437","n/e","1146"
"26.06.2022 15:00 - 26.06.2022 16:00","6484","n/e","6485","n/e","n/e","n/e","1421","n/e","1166"
"26.06.2022 16:00 - 26.06.2022 17:00","5845","n/e","5864","n/e","n/e","n/e","1406","n/e","1193"
"26.06.2022 17:00 - 26.06.2022 18:00","4992","n/e","4876","n/e","n/e","n/e","1392","n/e","1222"
"26.06.2022 18:00 - 26.06.2022 19:00","3804","n/e","3590","n/e","n/e","n/e","1320","n/e","1299"
"26.06.2022 19:00 - 26.06.2022 20:00","2340","n/e","2246","n/e","n/e","n/e","1249","n/e","1379"
"26.06.2022 20:00 - 26.06.2022 21:00","1101","n/e","1041","n/e","n/e","n/e","1179","n/e","1460"
"26.06.2022 21:00 - 26.06.2022 22:00","257","n/e","241","n/e","n/e","n/e","1360","n/e","1534"
"26.06.2022 22:00 - 26.06.2022 23:00","0","n/e","0","n/e","n/e","n/e","1541","n/e","1607"
"26.06.2022 23:00 - 27.06.2022 00:00","0","n/e","0","n/e","n/e","n/e","1722","n/e","1681"
"27.06.2022 00:00 - 27.06.2022 01:00","0","n/e","0","n/e","n/e","n/e","1399","n/e","1456"
"27.06.2022 01:00 - 27.06.2022 02:00","0","n/e","0","n/e","n/e","n/e","1486","n/e","1491"
"27.06.2022 02:00 - 27.06.2022 03:00","0","n/e","0","n/e","n/e","n/e","1572","n/e","1527"
"27.06.2022 03:00 - 27.06.2022 04:00","0","n/e","0","n/e","n/e","n/e","1645","n/e","1623"
"27.06.2022 04:00 - 27.06.2022 05:00","0","n/e","0","n/e","n/e","n/e","1717","n/e","1720"
"27.06.2022 05:00 - 27.06.2022 06:00","0","n/e","0","n/e","n/e","n/e","1790","n/e","1817"
"27.06.2022 06:00 - 27.06.2022 07:00","7","n/e","7","n/e","n/e","n/e","1760","n/e","1824"
"27.06.2022 07:00 - 27.06.2022 08:00","531","n/e","521","n/e","n/e","n/e","1732","n/e","1590"
"27.06.2022 08:00 - 27.06.2022 09:00","1640","n/e","1648","n/e","n/e","n/e","1703","n/e","1596"
"27.06.2022 09:00 - 27.06.2022 10:00","3379","n/e","3385","n/e","n/e","n/e","1663","n/e","1666"
"27.06.2022 10:00 - 27.06.2022 11:00","5125","n/e","5147","n/e","n/e","n/e","1623","n/e","1808"
"27.06.2022 11:00 - 27.06.2022 12:00","6444","n/e","6608","n/e","n/e","n/e","1582","n/e","1991"
"27.06.2022 12:00 - 27.06.2022 13:00","7356","n/e","7529","n/e","n/e","n/e","1866","n/e","2204"
"27.06.2022 13:00 - 27.06.2022 14:00","7877","n/e","7982","n/e","n/e","n/e","2149","n/e","2416"
"27.06.2022 14:00 - 27.06.2022 15:00","8013","n/e","7869","n/e","n/e","n/e","2433","n/e","2626"
"27.06.2022 15:00 - 27.06.2022 16:00","7444","n/e","7591","n/e","n/e","n/e","2614","n/e","2757"
"27.06.2022 16:00 - 27.06.2022 17:00","6641","n/e","6598","n/e","n/e","n/e","2795","n/e","2887"
"27.06.2022 17:00 - 27.06.2022 18:00","5542","n/e","5645","n/e","n/e","n/e","2975","n/e","3016"
"27.06.2022 18:00 - 27.06.2022 19:00","4284","n/e","4325","n/e","n/e","n/e","2894","n/e","2796"
"27.06.2022 19:00 - 27.06.2022 20:00","2763","n/e","2780","n/e","n/e","n/e","2812","n/e","2575"
"27.06.2022 20:00 - 27.06.2022 21:00","1261","n/e","1308","n/e","n/e","n/e","2731","n/e","2355"
"27.06.2022 21:00 - 27.06.2022 22:00","300","n/e","309","n/e","n/e","n/e","2602","n/e","2275"
