"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"01.01.2022 07:30 - 01.01.2022 07:45","7542","7195"
"01.01.2022 07:45 - 01.01.2022 08:00","7525","7177"
"01.01.2022 08:00 - 01.01.2022 08:15","7514","7254"
"01.01.2022 08:15 - 01.01.2022 08:30","7495","7386"
"01.01.2022 08:30 - 01.01.2022 08:45","7548","7323"
"01.01.2022 08:45 - 01.01.2022 09:00","7580","7330"
"01.01.2022 09:00 - 01.01.2022 09:15","7620","7430"
"01.01.2022 09:15 - 01.01.2022 09:30","7681","7538"
"01.01.2022 09:30 - 01.01.2022 09:45","7735","7643"
"01.01.2022 09:45 - 01.01.2022 10:00","7851","7715"
"01.01.2022 10:00 - 01.01.2022 10:15","7951","7878"
"01.01.2022 10:15 - 01.01.2022 10:30","8059","7962"
"01.01.2022 10:30 - 01.01.2022 10:45","8096","7965"
"01.01.2022 10:45 - 01.01.2022 11:00","8222","7967"
"01.01.2022 11:00 - 01.01.2022 11:15","8341","7958"
"01.01.2022 11:15 - 01.01.2022 11:30","8470","8021"
"01.01.2022 11:30 - 01.01.2022 11:45","8498","8020"
"01.01.2022 11:45 - 01.01.2022 12:00","8621","8054"
"01.01.2022 12:00 - 01.01.2022 12:15","8706","7959"
"01.01.2022 12:15 - 01.01.2022 12:30","8788","7842"
"01.01.2022 12:30 - 01.01.2022 12:45","8758","7879"
"01.01.2022 12:45 - 01.01.2022 13:00","8810","7900"
"01.01.2022 13:00 - 01.01.2022 13:15","8847","7908"
"01.01.2022 13:15 - 01.01.2022 13:30","8887","7809"
"01.01.2022 13:30 - 01.01.2022 13:45","8840","7772"
"01.01.2022 13:45 - 01.01.2022 14:00","8771","7693"
"01.01.2022 14:00 - 01.01.2022 14:15","8718","7668"
"01.01.2022 14:15 - 01.01.2022 14:30","8687","7661"
"01.01.2022 14:30 - 01.01.2022 14:45","8685","7650"
"01.01.2022 14:45 - 01.01.2022 15:00","8680","7644"
"01.01.2022 15:00 - 01.01.2022 15:15","8685","7705"
"01.01.2022 15:15 - 01.01.2022 15:30","8703","7695"
"01.01.2022 15:30 - 01.01.2022 15:45","8713","7764"
"01.01.2022 15:45 - 01.01.2022 16:00","8721","7795"
"01.01.2022 16:00 - 01.01.2022 16:15","8741","7863"
"01.01.2022 16:15 - 01.01.2022 16:30","8775","7938"
"01.01.2022 16:30 - 01.01.2022 16:45","8847","8054"
"01.01.2022 16:45 - 01.01.2022 17:00","8932","8240"
"01.01.2022 17:00 - 01.01.2022 17:15","9054","8514"
"01.01.2022 17:15 - 01.01.2022 17:30","9177","8658"
"01.01.2022 17:30 - 01.01.2022 17:45","9291","8739"
"01.01.2022 17:45 - 01.01.2022 18:00","9339","8809"
"01.01.2022 18:00 - 01.01.2022 18:15","9342","8785"
"01.01.2022 18:15 - 01.01.2022 18:30","9321","8749"
"01.01.2022 18:30 - 01.01.2022 18:45","9283","8791"
"01.01.2022 18:45 - 01.01.2022 19:00","9230","8852"
"01.01.2022 19:00 - 01.01.2022 19:15","9162","8839"
"01.01.2022 19:15 - 01.01.2022 19:30","9103","8747"
"01.01.2022 19:30 - 01.01.2022 19:45","9034","8691"
"01.01.2022 19:45 - 01.01.2022 20:00","8963","8649"
"01.01.2022 20:00 - 01.01.2022 20:15","8889","8497"
"01.01.2022 20:15 - 01.01.2022 20:30","8816","8470"
"01.01.2022 20:30 - 01.01.2022 20:45","8739","8412"
"01.01.2022 20:45 - 01.01.2022 21:00","8695","8296"
"01.01.2022 21:00 - 01.01.2022 21:15","8655","8228"
"01.01.2022 21:15 - 01.01.2022 21:30","8607","8205"
"01.01.2022 21:30 - 01.01.2022 21:45","8524","8183"
"01.01.2022 21:45 - 01.01.2022 22:00","8622","8136"
"01.01.2022 22:00 - 01.01.2022 22:15","8773","8211"
"01.01.2022 22:15 - 01.01.2022 22:30","8951","8312"
"01.01.2022 22:30 - 01.01.2022 22:45","8952","8292"
"01.01.2022 22:45 - 01.01.2022 23:00","9020","8222"
"01.01.2022 23:00 - 01.01.2022 23:15","9063","8249"
"01.01.2022 23:15 - 01.01.2022 23:30","9084","8181"
"01.01.2022 23:30 - 01.01.2022 23:45","8984","8031"
"01.01.2022 23:45 - 02.01.2022 00:00","8832","7884"
"02.01.2022 00:00 - 02.01.2022 00:15","8694","7780"
"02.01.2022 00:15 - 02.01.2022 00:30","8542","7674"
"02.01.2022 00:30 - 02.01.2022 00:45","8433","7519"
"02.01.2022 00:45 - 02.01.2022 01:00","8359","7432"
"02.01.2022 01:00 - 02.01.2022 01:15","8600","7405"
"02.01.2022 01:15 - 02.01.2022 01:30","8523","7245"
"02.01.2022 01:30 - 02.01.2022 01:45","8390","7083"
"02.01.2022 01:45 - 02.01.2022 02:00","8223","6972"
"02.01.2022 02:00 - 02.01.2022 02:15","8115","6911"
"02.01.2022 02:15 - 02.01.2022 02:30","8100","6882"
"02.01.2022 02:30 - 02.01.2022 02:45","8032","6897"
"02.01.2022 02:45 - 02.01.2022 03:00","7962","6853"
"02.01.2022 03:00 - 02.01.2022 03:15","7868","6787"
"02.01.2022 03:15 - 02.01.2022 03:30","7860","6727"
"02.01.2022 03:30 - 02.01.2022 03:45","7825","6676"
"02.01.2022 03:45 - 02.01.2022 04:00","7765","6693"
"02.01.2022 04:00 - 02.01.2022 04:15","7732","6719"
"02.01.2022 04:15 - 02.01.2022 04:30","7702","6707"
"02.01.2022 04:30 - 02.01.2022 04:45","7718","6660"
"02.01.2022 04:45 - 02.01.2022 05:00","7692","6682"
"02.01.2022 05:00 - 02.01.2022 05:15","7735","6764"
"02.01.2022 05:15 - 02.01.2022 05:30","7712","6835"
"02.01.2022 05:30 - 02.01.2022 05:45","7771","6897"
"02.01.2022 05:45 - 02.01.2022 06:00","7768","6996"
"02.01.2022 06:00 - 02.01.2022 06:15","7933","7145"
"02.01.2022 06:15 - 02.01.2022 06:30","7987","7266"
"02.01.2022 06:30 - 02.01.2022 06:45","8013","7356"
"02.01.2022 06:45 - 02.01.2022 07:00","8060","7343"
"02.01.2022 07:00 - 02.01.2022 07:15","7924","7437"
"02.01.2022 07:15 - 02.01.2022 07:30","8052","7466"
"02.01.2022 07:30 - 02.01.2022 07:45","8157","7493"
"02.01.2022 07:45 - 02.01.2022 08:00","8224","7581"
"02.01.2022 08:00 - 02.01.2022 08:15","8333","7786"
"02.01.2022 08:15 - 02.01.2022 08:30","8387","7811"
"02.01.2022 08:30 - 02.01.2022 08:45","8510","7814"
"02.01.2022 08:45 - 02.01.2022 09:00","8649","7789"
"02.01.2022 09:00 - 02.01.2022 09:15","8408","8018"
"02.01.2022 09:15 - 02.01.2022 09:30","8564","8031"
"02.01.2022 09:30 - 02.01.2022 09:45","8717","8172"
"02.01.2022 09:45 - 02.01.2022 10:00","8845","8258"
"02.01.2022 10:00 - 02.01.2022 10:15","8903","8246"
"02.01.2022 10:15 - 02.01.2022 10:30","8988","8358"
"02.01.2022 10:30 - 02.01.2022 10:45","9094","8436"
"02.01.2022 10:45 - 02.01.2022 11:00","9101","8413"
"02.01.2022 11:00 - 02.01.2022 11:15","9439","8460"
"02.01.2022 11:15 - 02.01.2022 11:30","9531","8531"
"02.01.2022 11:30 - 02.01.2022 11:45","9617","8679"
"02.01.2022 11:45 - 02.01.2022 12:00","9725","8787"
"02.01.2022 12:00 - 02.01.2022 12:15","9983","8876"
"02.01.2022 12:15 - 02.01.2022 12:30","9974","8982"
"02.01.2022 12:30 - 02.01.2022 12:45","9962","8894"
"02.01.2022 12:45 - 02.01.2022 13:00","9891","8868"
"02.01.2022 13:00 - 02.01.2022 13:15","9889","8897"
"02.01.2022 13:15 - 02.01.2022 13:30","9825","8820"
"02.01.2022 13:30 - 02.01.2022 13:45","9784","8690"
"02.01.2022 13:45 - 02.01.2022 14:00","9731","8694"
"02.01.2022 14:00 - 02.01.2022 14:15","9565","8677"
"02.01.2022 14:15 - 02.01.2022 14:30","9549","8703"
"02.01.2022 14:30 - 02.01.2022 14:45","9497","8694"
"02.01.2022 14:45 - 02.01.2022 15:00","9469","8577"
"02.01.2022 15:00 - 02.01.2022 15:15","9379","8607"
"02.01.2022 15:15 - 02.01.2022 15:30","9351","8638"
"02.01.2022 15:30 - 02.01.2022 15:45","9398","8732"
"02.01.2022 15:45 - 02.01.2022 16:00","9377","8825"
"02.01.2022 16:00 - 02.01.2022 16:15","9121","8866"
"02.01.2022 16:15 - 02.01.2022 16:30","9173","8964"
"02.01.2022 16:30 - 02.01.2022 16:45","9298","8919"
"02.01.2022 16:45 - 02.01.2022 17:00","9530","9149"
"02.01.2022 17:00 - 02.01.2022 17:15","9824","9454"
"02.01.2022 17:15 - 02.01.2022 17:30","9876","9582"
"02.01.2022 17:30 - 02.01.2022 17:45","9980","9768"
"02.01.2022 17:45 - 02.01.2022 18:00","10084","9896"
"02.01.2022 18:00 - 02.01.2022 18:15","10044","9916"
"02.01.2022 18:15 - 02.01.2022 18:30","10047","9937"
"02.01.2022 18:30 - 02.01.2022 18:45","9975","9929"
"02.01.2022 18:45 - 02.01.2022 19:00","9991","9957"
"02.01.2022 19:00 - 02.01.2022 19:15","9833","9849"
"02.01.2022 19:15 - 02.01.2022 19:30","9840","9723"
"02.01.2022 19:30 - 02.01.2022 19:45","9758","9677"
"02.01.2022 19:45 - 02.01.2022 20:00","9666","9447"
"02.01.2022 20:00 - 02.01.2022 20:15","9304","9284"
"02.01.2022 20:15 - 02.01.2022 20:30","9227","9224"
"02.01.2022 20:30 - 02.01.2022 20:45","9146","9161"
"02.01.2022 20:45 - 02.01.2022 21:00","9045","9067"
"02.01.2022 21:00 - 02.01.2022 21:15","8942","8937"
"02.01.2022 21:15 - 02.01.2022 21:30","8850","8860"
"02.01.2022 21:30 - 02.01.2022 21:45","8776","8746"
"02.01.2022 21:45 - 02.01.2022 22:00","8594","8661"
"02.01.2022 22:00 - 02.01.2022 22:15","8738","8715"
"02.01.2022 22:15 - 02.01.2022 22:30","8847","8791"
"02.01.2022 22:30 - 02.01.2022 22:45","8782","8723"
"02.01.2022 22:45 - 02.01.2022 23:00","8694","8691"
"02.01.2022 23:00 - 02.01.2022 23:15","8819","8738"
"02.01.2022 23:15 - 02.01.2022 23:30","8715","8705"
"02.01.2022 23:30 - 02.01.2022 23:45","8679","8532"
"02.01.2022 23:45 - 03.01.2022 00:00","8531","8360"
"03.01.2022 00:00 - 03.01.2022 00:15","8592","8208"
"03.01.2022 00:15 - 03.01.2022 00:30","8504","8196"
"03.01.2022 00:30 - 03.01.2022 00:45","8418","8053"
"03.01.2022 00:45 - 03.01.2022 01:00","8221","7946"
"03.01.2022 01:00 - 03.01.2022 01:15","8483","8017"
"03.01.2022 01:15 - 03.01.2022 01:30","8339","7858"
"03.01.2022 01:30 - 03.01.2022 01:45","8281","7694"
"03.01.2022 01:45 - 03.01.2022 02:00","8104","7539"
"03.01.2022 02:00 - 03.01.2022 02:15","8057","7429"
"03.01.2022 02:15 - 03.01.2022 02:30","7985","7420"
"03.01.2022 02:30 - 03.01.2022 02:45","7878","7500"
"03.01.2022 02:45 - 03.01.2022 03:00","7871","7397"
"03.01.2022 03:00 - 03.01.2022 03:15","7808","7454"
"03.01.2022 03:15 - 03.01.2022 03:30","7818","7410"
"03.01.2022 03:30 - 03.01.2022 03:45","7765","7412"
"03.01.2022 03:45 - 03.01.2022 04:00","7820","7414"
"03.01.2022 04:00 - 03.01.2022 04:15","7811","7486"
"03.01.2022 04:15 - 03.01.2022 04:30","7878","7465"
"03.01.2022 04:30 - 03.01.2022 04:45","7903","7482"
"03.01.2022 04:45 - 03.01.2022 05:00","7910","7510"
"03.01.2022 05:00 - 03.01.2022 05:15","8193","7637"
"03.01.2022 05:15 - 03.01.2022 05:30","8290","7810"
"03.01.2022 05:30 - 03.01.2022 05:45","8376","7999"
"03.01.2022 05:45 - 03.01.2022 06:00","8524","8150"
"03.01.2022 06:00 - 03.01.2022 06:15","9086","8338"
"03.01.2022 06:15 - 03.01.2022 06:30","9330","8566"
"03.01.2022 06:30 - 03.01.2022 06:45","9551","8782"
"03.01.2022 06:45 - 03.01.2022 07:00","9781","8816"
"03.01.2022 07:00 - 03.01.2022 07:15","10093","9003"
"03.01.2022 07:15 - 03.01.2022 07:30","10260","9129"
"03.01.2022 07:30 - 03.01.2022 07:45","10467","9198"
"03.01.2022 07:45 - 03.01.2022 08:00","10546","9600"
"03.01.2022 08:00 - 03.01.2022 08:15","10722","9739"
"03.01.2022 08:15 - 03.01.2022 08:30","10909","10032"
"03.01.2022 08:30 - 03.01.2022 08:45","10932","10026"
"03.01.2022 08:45 - 03.01.2022 09:00","10988","9894"
"03.01.2022 09:00 - 03.01.2022 09:15","10505","10102"
"03.01.2022 09:15 - 03.01.2022 09:30","10578","10267"
"03.01.2022 09:30 - 03.01.2022 09:45","10641","10327"
"03.01.2022 09:45 - 03.01.2022 10:00","10685","10387"
"03.01.2022 10:00 - 03.01.2022 10:15","10277","10287"
"03.01.2022 10:15 - 03.01.2022 10:30","10295","10393"
"03.01.2022 10:30 - 03.01.2022 10:45","10274","10519"
"03.01.2022 10:45 - 03.01.2022 11:00","10273","10499"
"03.01.2022 11:00 - 03.01.2022 11:15","10358","10439"
"03.01.2022 11:15 - 03.01.2022 11:30","10379","10628"
"03.01.2022 11:30 - 03.01.2022 11:45","10467","10669"
"03.01.2022 11:45 - 03.01.2022 12:00","10458","10793"
"03.01.2022 12:00 - 03.01.2022 12:15","10449","10711"
"03.01.2022 12:15 - 03.01.2022 12:30","10350","10706"
"03.01.2022 12:30 - 03.01.2022 12:45","10308","10683"
"03.01.2022 12:45 - 03.01.2022 13:00","10289","10666"
"03.01.2022 13:00 - 03.01.2022 13:15","10374","10710"
"03.01.2022 13:15 - 03.01.2022 13:30","10362","10780"
"03.01.2022 13:30 - 03.01.2022 13:45","10385","10756"
"03.01.2022 13:45 - 03.01.2022 14:00","10323","10879"
"03.01.2022 14:00 - 03.01.2022 14:15","10335","10868"
"03.01.2022 14:15 - 03.01.2022 14:30","10324","10928"
"03.01.2022 14:30 - 03.01.2022 14:45","10320","10990"
"03.01.2022 14:45 - 03.01.2022 15:00","10295","10937"
"03.01.2022 15:00 - 03.01.2022 15:15","10428","10909"
"03.01.2022 15:15 - 03.01.2022 15:30","10360","10982"
"03.01.2022 15:30 - 03.01.2022 15:45","10357","10860"
"03.01.2022 15:45 - 03.01.2022 16:00","10338","10819"
"03.01.2022 16:00 - 03.01.2022 16:15","10426","10865"
"03.01.2022 16:15 - 03.01.2022 16:30","10505","10831"
"03.01.2022 16:30 - 03.01.2022 16:45","10643","10860"
"03.01.2022 16:45 - 03.01.2022 17:00","10868","10961"
"03.01.2022 17:00 - 03.01.2022 17:15","11288","11311"
"03.01.2022 17:15 - 03.01.2022 17:30","11362","11524"
"03.01.2022 17:30 - 03.01.2022 17:45","11475","11567"
"03.01.2022 17:45 - 03.01.2022 18:00","11509","11791"
"03.01.2022 18:00 - 03.01.2022 18:15","11574","11718"
"03.01.2022 18:15 - 03.01.2022 18:30","11552","11632"
"03.01.2022 18:30 - 03.01.2022 18:45","11426","11435"
"03.01.2022 18:45 - 03.01.2022 19:00","11322","11285"
"03.01.2022 19:00 - 03.01.2022 19:15","11060","11228"
"03.01.2022 19:15 - 03.01.2022 19:30","10930","11108"
"03.01.2022 19:30 - 03.01.2022 19:45","10812","10887"
"03.01.2022 19:45 - 03.01.2022 20:00","10664","10708"
"03.01.2022 20:00 - 03.01.2022 20:15","10264","10520"
"03.01.2022 20:15 - 03.01.2022 20:30","10173","10343"
"03.01.2022 20:30 - 03.01.2022 20:45","10102","10109"
"03.01.2022 20:45 - 03.01.2022 21:00","9983","9808"
"03.01.2022 21:00 - 03.01.2022 21:15","9600","9867"
"03.01.2022 21:15 - 03.01.2022 21:30","9551","9776"
"03.01.2022 21:30 - 03.01.2022 21:45","9411","9534"
"03.01.2022 21:45 - 03.01.2022 22:00","9310","9352"
"03.01.2022 22:00 - 03.01.2022 22:15","9489","9537"
"03.01.2022 22:15 - 03.01.2022 22:30","9576","9612"
"03.01.2022 22:30 - 03.01.2022 22:45","9576","9611"
"03.01.2022 22:45 - 03.01.2022 23:00","9476","9578"
"03.01.2022 23:00 - 03.01.2022 23:15","9685","9718"
"03.01.2022 23:15 - 03.01.2022 23:30","9611","9625"
"03.01.2022 23:30 - 03.01.2022 23:45","9467","9590"
"03.01.2022 23:45 - 04.01.2022 00:00","9287","9388"
"04.01.2022 00:00 - 04.01.2022 00:15","9597","9304"
"04.01.2022 00:15 - 04.01.2022 00:30","9418","9178"
"04.01.2022 00:30 - 04.01.2022 00:45","9203","8984"
"04.01.2022 00:45 - 04.01.2022 01:00","9032","8968"
"04.01.2022 01:00 - 04.01.2022 01:15","9128","8891"
"04.01.2022 01:15 - 04.01.2022 01:30","8989","8769"
"04.01.2022 01:30 - 04.01.2022 01:45","8862","8561"
"04.01.2022 01:45 - 04.01.2022 02:00","8706","8528"
"04.01.2022 02:00 - 04.01.2022 02:15","8704","8358"
"04.01.2022 02:15 - 04.01.2022 02:30","8645","8313"
"04.01.2022 02:30 - 04.01.2022 02:45","8576","8397"
"04.01.2022 02:45 - 04.01.2022 03:00","8530","8323"
"04.01.2022 03:00 - 04.01.2022 03:15","8423","8165"
"04.01.2022 03:15 - 04.01.2022 03:30","8418","8217"
"04.01.2022 03:30 - 04.01.2022 03:45","8394","8346"
"04.01.2022 03:45 - 04.01.2022 04:00","8367","8297"
"04.01.2022 04:00 - 04.01.2022 04:15","8477","8365"
"04.01.2022 04:15 - 04.01.2022 04:30","8471","8445"
"04.01.2022 04:30 - 04.01.2022 04:45","8525","8456"
"04.01.2022 04:45 - 04.01.2022 05:00","8600","8424"
"04.01.2022 05:00 - 04.01.2022 05:15","8732","8551"
"04.01.2022 05:15 - 04.01.2022 05:30","8808","8673"
"04.01.2022 05:30 - 04.01.2022 05:45","8909","8766"
"04.01.2022 05:45 - 04.01.2022 06:00","9048","8972"
"04.01.2022 06:00 - 04.01.2022 06:15","9341","9310"
"04.01.2022 06:15 - 04.01.2022 06:30","9531","9473"
"04.01.2022 06:30 - 04.01.2022 06:45","9744","9710"
"04.01.2022 06:45 - 04.01.2022 07:00","9920","9871"
"04.01.2022 07:00 - 04.01.2022 07:15","10051","9896"
"04.01.2022 07:15 - 04.01.2022 07:30","10273","10073"
"04.01.2022 07:30 - 04.01.2022 07:45","10464","10324"
"04.01.2022 07:45 - 04.01.2022 08:00","10584","10437"
"04.01.2022 08:00 - 04.01.2022 08:15","10940","10785"
"04.01.2022 08:15 - 04.01.2022 08:30","11062","10892"
"04.01.2022 08:30 - 04.01.2022 08:45","11141","10947"
"04.01.2022 08:45 - 04.01.2022 09:00","11170","11011"
"04.01.2022 09:00 - 04.01.2022 09:15","11324","11144"
"04.01.2022 09:15 - 04.01.2022 09:30","11394","11297"
"04.01.2022 09:30 - 04.01.2022 09:45","11454","11327"
"04.01.2022 09:45 - 04.01.2022 10:00","11444","11312"
"04.01.2022 10:00 - 04.01.2022 10:15","11513","11416"
"04.01.2022 10:15 - 04.01.2022 10:30","11525","11357"
"04.01.2022 10:30 - 04.01.2022 10:45","11539","11472"
"04.01.2022 10:45 - 04.01.2022 11:00","11542","11471"
"04.01.2022 11:00 - 04.01.2022 11:15","11601","11427"
"04.01.2022 11:15 - 04.01.2022 11:30","11615","11605"
"04.01.2022 11:30 - 04.01.2022 11:45","11632","11521"
"04.01.2022 11:45 - 04.01.2022 12:00","11644","11529"
"04.01.2022 12:00 - 04.01.2022 12:15","11603","11544"
"04.01.2022 12:15 - 04.01.2022 12:30","11520","11414"
"04.01.2022 12:30 - 04.01.2022 12:45","11554","11465"
"04.01.2022 12:45 - 04.01.2022 13:00","11505","11512"
"04.01.2022 13:00 - 04.01.2022 13:15","11519","11446"
"04.01.2022 13:15 - 04.01.2022 13:30","11461","11539"
"04.01.2022 13:30 - 04.01.2022 13:45","11459","11561"
"04.01.2022 13:45 - 04.01.2022 14:00","11387","11491"
"04.01.2022 14:00 - 04.01.2022 14:15","11218","11413"
"04.01.2022 14:15 - 04.01.2022 14:30","11213","11500"
"04.01.2022 14:30 - 04.01.2022 14:45","11241","11499"
"04.01.2022 14:45 - 04.01.2022 15:00","11263","11511"
"04.01.2022 15:00 - 04.01.2022 15:15","11231","11522"
"04.01.2022 15:15 - 04.01.2022 15:30","11236","11479"
"04.01.2022 15:30 - 04.01.2022 15:45","11256","11491"
"04.01.2022 15:45 - 04.01.2022 16:00","11245","11527"
"04.01.2022 16:00 - 04.01.2022 16:15","11210","11521"
"04.01.2022 16:15 - 04.01.2022 16:30","11263","11509"
"04.01.2022 16:30 - 04.01.2022 16:45","11349","11563"
"04.01.2022 16:45 - 04.01.2022 17:00","11597","11803"
"04.01.2022 17:00 - 04.01.2022 17:15","11891","11860"
"04.01.2022 17:15 - 04.01.2022 17:30","11950","12010"
"04.01.2022 17:30 - 04.01.2022 17:45","12003","12146"
"04.01.2022 17:45 - 04.01.2022 18:00","12016","12270"
"04.01.2022 18:00 - 04.01.2022 18:15","12083","12243"
"04.01.2022 18:15 - 04.01.2022 18:30","12021","12059"
"04.01.2022 18:30 - 04.01.2022 18:45","11946","11925"
"04.01.2022 18:45 - 04.01.2022 19:00","11867","11815"
"04.01.2022 19:00 - 04.01.2022 19:15","11732","11642"
"04.01.2022 19:15 - 04.01.2022 19:30","11570","11578"
"04.01.2022 19:30 - 04.01.2022 19:45","11449","11491"
"04.01.2022 19:45 - 04.01.2022 20:00","11306","11423"
"04.01.2022 20:00 - 04.01.2022 20:15","11114","11191"
"04.01.2022 20:15 - 04.01.2022 20:30","10961","11026"
"04.01.2022 20:30 - 04.01.2022 20:45","10851","10680"
"04.01.2022 20:45 - 04.01.2022 21:00","10710","10655"
"04.01.2022 21:00 - 04.01.2022 21:15","10550","10690"
"04.01.2022 21:15 - 04.01.2022 21:30","10413","10703"
"04.01.2022 21:30 - 04.01.2022 21:45","10342","10632"
"04.01.2022 21:45 - 04.01.2022 22:00","10201","10440"
"04.01.2022 22:00 - 04.01.2022 22:15","10500","10456"
"04.01.2022 22:15 - 04.01.2022 22:30","10638","10451"
"04.01.2022 22:30 - 04.01.2022 22:45","10636","10406"
"04.01.2022 22:45 - 04.01.2022 23:00","10546","10200"
"04.01.2022 23:00 - 04.01.2022 23:15","10638","10372"
"04.01.2022 23:15 - 04.01.2022 23:30","10516","10407"
"04.01.2022 23:30 - 04.01.2022 23:45","10360","10222"
"04.01.2022 23:45 - 05.01.2022 00:00","10194","10099"
"05.01.2022 00:00 - 05.01.2022 00:15","9875","9859"
"05.01.2022 00:15 - 05.01.2022 00:30","9739","9747"
"05.01.2022 00:30 - 05.01.2022 00:45","9572","9594"
"05.01.2022 00:45 - 05.01.2022 01:00","9386","9468"
"05.01.2022 01:00 - 05.01.2022 01:15","9115","9525"
"05.01.2022 01:15 - 05.01.2022 01:30","8972","9409"
"05.01.2022 01:30 - 05.01.2022 01:45","8844","9258"
"05.01.2022 01:45 - 05.01.2022 02:00","8701","9178"
"05.01.2022 02:00 - 05.01.2022 02:15","8707","9121"
"05.01.2022 02:15 - 05.01.2022 02:30","8645","9074"
"05.01.2022 02:30 - 05.01.2022 02:45","8574","9091"
"05.01.2022 02:45 - 05.01.2022 03:00","8528","8944"
"05.01.2022 03:00 - 05.01.2022 03:15","8409","8804"
"05.01.2022 03:15 - 05.01.2022 03:30","8410","8912"
"05.01.2022 03:30 - 05.01.2022 03:45","8385","8847"
"05.01.2022 03:45 - 05.01.2022 04:00","8352","8821"
"05.01.2022 04:00 - 05.01.2022 04:15","8467","8915"
"05.01.2022 04:15 - 05.01.2022 04:30","8461","8942"
"05.01.2022 04:30 - 05.01.2022 04:45","8515","8927"
"05.01.2022 04:45 - 05.01.2022 05:00","8591","8964"
"05.01.2022 05:00 - 05.01.2022 05:15","8722","9065"
"05.01.2022 05:15 - 05.01.2022 05:30","8822","9148"
"05.01.2022 05:30 - 05.01.2022 05:45","8924","9337"
"05.01.2022 05:45 - 05.01.2022 06:00","9051","9431"
"05.01.2022 06:00 - 05.01.2022 06:15","9340","9623"
"05.01.2022 06:15 - 05.01.2022 06:30","9528","9900"
"05.01.2022 06:30 - 05.01.2022 06:45","9739","10063"
"05.01.2022 06:45 - 05.01.2022 07:00","9924","10238"
"05.01.2022 07:00 - 05.01.2022 07:15","10043","10316"
"05.01.2022 07:15 - 05.01.2022 07:30","10260","10464"
"05.01.2022 07:30 - 05.01.2022 07:45","10455","10741"
"05.01.2022 07:45 - 05.01.2022 08:00","10579","11083"
"05.01.2022 08:00 - 05.01.2022 08:15","10917","11351"
"05.01.2022 08:15 - 05.01.2022 08:30","11039","11404"
"05.01.2022 08:30 - 05.01.2022 08:45","11115","11467"
"05.01.2022 08:45 - 05.01.2022 09:00","11149","11488"
"05.01.2022 09:00 - 05.01.2022 09:15","11303","11564"
"05.01.2022 09:15 - 05.01.2022 09:30","11381","11623"
"05.01.2022 09:30 - 05.01.2022 09:45","11443","11779"
"05.01.2022 09:45 - 05.01.2022 10:00","11432","11814"
"05.01.2022 10:00 - 05.01.2022 10:15","11519","11648"
"05.01.2022 10:15 - 05.01.2022 10:30","11535","11600"
"05.01.2022 10:30 - 05.01.2022 10:45","11548","11755"
"05.01.2022 10:45 - 05.01.2022 11:00","11550","11667"
"05.01.2022 11:00 - 05.01.2022 11:15","11700","11773"
"05.01.2022 11:15 - 05.01.2022 11:30","11708","11809"
"05.01.2022 11:30 - 05.01.2022 11:45","11729","11835"
"05.01.2022 11:45 - 05.01.2022 12:00","11741","11923"
"05.01.2022 12:00 - 05.01.2022 12:15","11690","11673"
