"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"06.01.2022 08:00 - 06.01.2022 09:00","4","2","3","n/e","n/e","n/e","189","136","127"
"06.01.2022 09:00 - 06.01.2022 10:00","12","7","9","n/e","n/e","n/e","176","133","113"
"06.01.2022 10:00 - 06.01.2022 11:00","15","13","15","n/e","n/e","n/e","168","128","110"
"06.01.2022 11:00 - 06.01.2022 12:00","13","24","26","n/e","n/e","n/e","175","130","111"
"06.01.2022 12:00 - 06.01.2022 13:00","8","36","38","n/e","n/e","n/e","195","143","121"
"06.01.2022 13:00 - 06.01.2022 14:00","4","28","29","n/e","n/e","n/e","208","157","135"
"06.01.2022 14:00 - 06.01.2022 15:00","2","9","9","n/e","n/e","n/e","215","163","144"
"06.01.2022 15:00 - 06.01.2022 16:00","0","0","0","n/e","n/e","n/e","214","162","148"
"06.01.2022 16:00 - 06.01.2022 17:00","0","0","0","n/e","n/e","n/e","197","149","142"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","0","n/e","n/e","n/e","183","138","136"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","0","n/e","n/e","n/e","187","136","133"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","0","n/e","n/e","n/e","194","138","130"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","0","n/e","n/e","n/e","200","145","129"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","0","n/e","n/e","n/e","205","154","135"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","0","n/e","n/e","n/e","200","160","139"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","0","n/e","n/e","n/e","195","157","142"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","0","n/e","n/e","n/e","171","161","140"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","0","n/e","n/e","n/e","175","181","155"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","0","n/e","n/e","n/e","183","191","188"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","0","n/e","n/e","n/e","193","223","210"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","0","n/e","n/e","n/e","202","243","215"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","0","n/e","n/e","n/e","204","237","211"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","0","n/e","n/e","n/e","197","218","190"
"07.01.2022 07:00 - 07.01.2022 08:00","0","0","0","n/e","n/e","n/e","181","205","188"
"07.01.2022 08:00 - 07.01.2022 09:00","11","15","14","n/e","n/e","n/e","170","202","173"
"07.01.2022 09:00 - 07.01.2022 10:00","29","40","39","n/e","n/e","n/e","171","187","161"
"07.01.2022 10:00 - 07.01.2022 11:00","38","56","54","n/e","n/e","n/e","145","162","136"
"07.01.2022 11:00 - 07.01.2022 12:00","35","59","56","n/e","n/e","n/e","126","134","113"
"07.01.2022 12:00 - 07.01.2022 13:00","34","47","45","n/e","n/e","n/e","125","123","110"
"07.01.2022 13:00 - 07.01.2022 14:00","24","31","29","n/e","n/e","n/e","130","121","113"
"07.01.2022 14:00 - 07.01.2022 15:00","8","9","9","n/e","n/e","n/e","146","121","114"
"07.01.2022 15:00 - 07.01.2022 16:00","0","0","0","n/e","n/e","n/e","153","135","128"
"07.01.2022 16:00 - 07.01.2022 17:00","0","0","0","n/e","n/e","n/e","159","144","137"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","0","n/e","n/e","n/e","161","147","143"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","0","n/e","n/e","n/e","171","153","149"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","0","n/e","n/e","n/e","177","165","157"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","0","n/e","n/e","n/e","176","172","161"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","0","n/e","n/e","n/e","175","177","166"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","0","n/e","n/e","n/e","171","174","165"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","0","n/e","n/e","n/e","167","167","156"
"08.01.2022 00:00 - 08.01.2022 01:00","0","0","0","n/e","n/e","n/e","170","184","183"
"08.01.2022 01:00 - 08.01.2022 02:00","0","0","0","n/e","n/e","n/e","167","187","180"
"08.01.2022 02:00 - 08.01.2022 03:00","0","0","0","n/e","n/e","n/e","164","182","174"
"08.01.2022 03:00 - 08.01.2022 04:00","0","0","0","n/e","n/e","n/e","165","180","173"
"08.01.2022 04:00 - 08.01.2022 05:00","0","0","0","n/e","n/e","n/e","171","190","192"
"08.01.2022 05:00 - 08.01.2022 06:00","0","0","0","n/e","n/e","n/e","176","207","196"
"08.01.2022 06:00 - 08.01.2022 07:00","0","0","0","n/e","n/e","n/e","175","201","192"
"08.01.2022 07:00 - 08.01.2022 08:00","0","0","0","n/e","n/e","n/e","175","194","178"
"08.01.2022 08:00 - 08.01.2022 09:00","12","15","16","n/e","n/e","n/e","174","180","181"
"08.01.2022 09:00 - 08.01.2022 10:00","31","40","42","n/e","n/e","n/e","168","177","180"
"08.01.2022 10:00 - 08.01.2022 11:00","44","57","59","n/e","n/e","n/e","159","175","177"
"08.01.2022 11:00 - 08.01.2022 12:00","48","67","69","n/e","n/e","n/e","156","174","175"
"08.01.2022 12:00 - 08.01.2022 13:00","43","65","68","n/e","n/e","n/e","153","169","169"
"08.01.2022 13:00 - 08.01.2022 14:00","28","46","48","n/e","n/e","n/e","162","160","160"
"08.01.2022 14:00 - 08.01.2022 15:00","9","15","16","n/e","n/e","n/e","166","159","160"
"08.01.2022 15:00 - 08.01.2022 16:00","0","0","0","n/e","n/e","n/e","172","171","171"
"08.01.2022 16:00 - 08.01.2022 17:00","0","0","0","n/e","n/e","n/e","170","178","178"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","0","n/e","n/e","n/e","176","181","179"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","0","n/e","n/e","n/e","190","185","182"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","0","n/e","n/e","n/e","206","186","182"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","0","n/e","n/e","n/e","209","186","183"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","0","n/e","n/e","n/e","214","194","189"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","0","n/e","n/e","n/e","217","196","187"
