"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"02.01.2022 15:00 - 02.01.2022 15:15","311","495"
"02.01.2022 15:15 - 02.01.2022 15:30","315","496"
"02.01.2022 15:30 - 02.01.2022 15:45","324","490"
"02.01.2022 15:45 - 02.01.2022 16:00","334","491"
"02.01.2022 16:00 - 02.01.2022 16:15","334","491"
"02.01.2022 16:15 - 02.01.2022 16:30","339","495"
"02.01.2022 16:30 - 02.01.2022 16:45","344","498"
"02.01.2022 16:45 - 02.01.2022 17:00","352","507"
"02.01.2022 17:00 - 02.01.2022 17:15","354","524"
"02.01.2022 17:15 - 02.01.2022 17:30","356","536"
"02.01.2022 17:30 - 02.01.2022 17:45","357","538"
"02.01.2022 17:45 - 02.01.2022 18:00","354","547"
"02.01.2022 18:00 - 02.01.2022 18:15","342","549"
"02.01.2022 18:15 - 02.01.2022 18:30","338","552"
"02.01.2022 18:30 - 02.01.2022 18:45","332","553"
"02.01.2022 18:45 - 02.01.2022 19:00","321","554"
"02.01.2022 19:00 - 02.01.2022 19:15","305","552"
"02.01.2022 19:15 - 02.01.2022 19:30","301","547"
"02.01.2022 19:30 - 02.01.2022 19:45","293","543"
"02.01.2022 19:45 - 02.01.2022 20:00","287","537"
"02.01.2022 20:00 - 02.01.2022 20:15","285","532"
"02.01.2022 20:15 - 02.01.2022 20:30","276","526"
"02.01.2022 20:30 - 02.01.2022 20:45","272","515"
"02.01.2022 20:45 - 02.01.2022 21:00","271","511"
"02.01.2022 21:00 - 02.01.2022 21:15","312","504"
"02.01.2022 21:15 - 02.01.2022 21:30","322","497"
"02.01.2022 21:30 - 02.01.2022 21:45","313","487"
"02.01.2022 21:45 - 02.01.2022 22:00","308","481"
"02.01.2022 22:00 - 02.01.2022 22:15","299","494"
"02.01.2022 22:15 - 02.01.2022 22:30","293","496"
"02.01.2022 22:30 - 02.01.2022 22:45","286","489"
"02.01.2022 22:45 - 02.01.2022 23:00","284","484"
