"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"05.07.2022 01:15 - 05.07.2022 01:30","462","463"
"05.07.2022 01:30 - 05.07.2022 01:45","459","459"
"05.07.2022 01:45 - 05.07.2022 02:00","456","455"
"05.07.2022 02:00 - 05.07.2022 02:15","454","452"
"05.07.2022 02:15 - 05.07.2022 02:30","452","450"
"05.07.2022 02:30 - 05.07.2022 02:45","450","449"
"05.07.2022 02:45 - 05.07.2022 03:00","451","450"
"05.07.2022 03:00 - 05.07.2022 03:15","453","453"
"05.07.2022 03:15 - 05.07.2022 03:30","453","452"
"05.07.2022 03:30 - 05.07.2022 03:45","454","454"
"05.07.2022 03:45 - 05.07.2022 04:00","452","454"
"05.07.2022 04:00 - 05.07.2022 04:15","456","457"
"05.07.2022 04:15 - 05.07.2022 04:30","457","460"
"05.07.2022 04:30 - 05.07.2022 04:45","460","458"
"05.07.2022 04:45 - 05.07.2022 05:00","470","472"
"05.07.2022 05:00 - 05.07.2022 05:15","477","479"
"05.07.2022 05:15 - 05.07.2022 05:30","477","476"
"05.07.2022 05:30 - 05.07.2022 05:45","479","475"
"05.07.2022 05:45 - 05.07.2022 06:00","491","487"
"05.07.2022 06:00 - 05.07.2022 06:15","515","510"
"05.07.2022 06:15 - 05.07.2022 06:30","532","530"
"05.07.2022 06:30 - 05.07.2022 06:45","546","541"
"05.07.2022 06:45 - 05.07.2022 07:00","564","559"
"05.07.2022 07:00 - 05.07.2022 07:15","584","578"
"05.07.2022 07:15 - 05.07.2022 07:30","594","591"
"05.07.2022 07:30 - 05.07.2022 07:45","606","602"
"05.07.2022 07:45 - 05.07.2022 08:00","618","610"
"05.07.2022 08:00 - 05.07.2022 08:15","637","624"
"05.07.2022 08:15 - 05.07.2022 08:30","646","638"
"05.07.2022 08:30 - 05.07.2022 08:45","656","647"
"05.07.2022 08:45 - 05.07.2022 09:00","663","656"
"05.07.2022 09:00 - 05.07.2022 09:15","668","661"
"05.07.2022 09:15 - 05.07.2022 09:30","672","666"
"05.07.2022 09:30 - 05.07.2022 09:45","673","670"
"05.07.2022 09:45 - 05.07.2022 10:00","677","676"
"05.07.2022 10:00 - 05.07.2022 10:15","681","680"
"05.07.2022 10:15 - 05.07.2022 10:30","685","682"
"05.07.2022 10:30 - 05.07.2022 10:45","688","686"
"05.07.2022 10:45 - 05.07.2022 11:00","691","690"
"05.07.2022 11:00 - 05.07.2022 11:15","692","691"
"05.07.2022 11:15 - 05.07.2022 11:30","698","697"
"05.07.2022 11:30 - 05.07.2022 11:45","703","697"
"05.07.2022 11:45 - 05.07.2022 12:00","705","705"
"05.07.2022 12:00 - 05.07.2022 12:15","701","700"
"05.07.2022 12:15 - 05.07.2022 12:30","699","699"
"05.07.2022 12:30 - 05.07.2022 12:45","692","694"
"05.07.2022 12:45 - 05.07.2022 13:00","692","695"
"05.07.2022 13:00 - 05.07.2022 13:15","690","693"
"05.07.2022 13:15 - 05.07.2022 13:30","687","690"
"05.07.2022 13:30 - 05.07.2022 13:45","685","687"
"05.07.2022 13:45 - 05.07.2022 14:00","683","680"
"05.07.2022 14:00 - 05.07.2022 14:15","684","676"
"05.07.2022 14:15 - 05.07.2022 14:30","683","675"
"05.07.2022 14:30 - 05.07.2022 14:45","676","670"
"05.07.2022 14:45 - 05.07.2022 15:00","677","668"
"05.07.2022 15:00 - 05.07.2022 15:15","670","666"
"05.07.2022 15:15 - 05.07.2022 15:30","667","661"
"05.07.2022 15:30 - 05.07.2022 15:45","666","659"
"05.07.2022 15:45 - 05.07.2022 16:00","665","656"
"05.07.2022 16:00 - 05.07.2022 16:15","661","654"
"05.07.2022 16:15 - 05.07.2022 16:30","659","652"
"05.07.2022 16:30 - 05.07.2022 16:45","656","650"
"05.07.2022 16:45 - 05.07.2022 17:00","655","648"
"05.07.2022 17:00 - 05.07.2022 17:15","654","646"
"05.07.2022 17:15 - 05.07.2022 17:30","653","643"
"05.07.2022 17:30 - 05.07.2022 17:45","656","644"
"05.07.2022 17:45 - 05.07.2022 18:00","659","649"
"05.07.2022 18:00 - 05.07.2022 18:15","658","649"
"05.07.2022 18:15 - 05.07.2022 18:30","654","647"
"05.07.2022 18:30 - 05.07.2022 18:45","657","650"
"05.07.2022 18:45 - 05.07.2022 19:00","657","649"
"05.07.2022 19:00 - 05.07.2022 19:15","648","640"
"05.07.2022 19:15 - 05.07.2022 19:30","642","635"
"05.07.2022 19:30 - 05.07.2022 19:45","637","631"
"05.07.2022 19:45 - 05.07.2022 20:00","632","629"
"05.07.2022 20:00 - 05.07.2022 20:15","618","619"
"05.07.2022 20:15 - 05.07.2022 20:30","608","608"
"05.07.2022 20:30 - 05.07.2022 20:45","599","592"
"05.07.2022 20:45 - 05.07.2022 21:00","594","586"
"05.07.2022 21:00 - 05.07.2022 21:15","584","573"
"05.07.2022 21:15 - 05.07.2022 21:30","578","566"
"05.07.2022 21:30 - 05.07.2022 21:45","570","560"
"05.07.2022 21:45 - 05.07.2022 22:00","563","554"
"05.07.2022 22:00 - 05.07.2022 22:15","563","561"
"05.07.2022 22:15 - 05.07.2022 22:30","561","559"
"05.07.2022 22:30 - 05.07.2022 22:45","555","551"
"05.07.2022 22:45 - 05.07.2022 23:00","545","543"
"05.07.2022 23:00 - 05.07.2022 23:15","532","534"
"05.07.2022 23:15 - 05.07.2022 23:30","523","527"
"05.07.2022 23:30 - 05.07.2022 23:45","516","519"
"05.07.2022 23:45 - 06.07.2022 00:00","508","512"
"06.07.2022 00:00 - 06.07.2022 00:15","488","501"
"06.07.2022 00:15 - 06.07.2022 00:30","480","491"
"06.07.2022 00:30 - 06.07.2022 00:45","473","484"
"06.07.2022 00:45 - 06.07.2022 01:00","469","481"
"06.07.2022 01:00 - 06.07.2022 01:15","465","475"
"06.07.2022 01:15 - 06.07.2022 01:30","459","472"
"06.07.2022 01:30 - 06.07.2022 01:45","456","469"
"06.07.2022 01:45 - 06.07.2022 02:00","455","464"
"06.07.2022 02:00 - 06.07.2022 02:15","453","462"
"06.07.2022 02:15 - 06.07.2022 02:30","449","458"
"06.07.2022 02:30 - 06.07.2022 02:45","447","458"
"06.07.2022 02:45 - 06.07.2022 03:00","450","457"
"06.07.2022 03:00 - 06.07.2022 03:15","451","457"
"06.07.2022 03:15 - 06.07.2022 03:30","450","457"
"06.07.2022 03:30 - 06.07.2022 03:45","450","459"
"06.07.2022 03:45 - 06.07.2022 04:00","450","456"
"06.07.2022 04:00 - 06.07.2022 04:15","453","456"
"06.07.2022 04:15 - 06.07.2022 04:30","458","456"
"06.07.2022 04:30 - 06.07.2022 04:45","459","466"
"06.07.2022 04:45 - 06.07.2022 05:00","469","472"
"06.07.2022 05:00 - 06.07.2022 05:15","476","480"
"06.07.2022 05:15 - 06.07.2022 05:30","474","479"
"06.07.2022 05:30 - 06.07.2022 05:45","474","478"
"06.07.2022 05:45 - 06.07.2022 06:00","488","490"
"06.07.2022 06:00 - 06.07.2022 06:15","511","516"
"06.07.2022 06:15 - 06.07.2022 06:30","529","531"
"06.07.2022 06:30 - 06.07.2022 06:45","543","542"
"06.07.2022 06:45 - 06.07.2022 07:00","562","564"
"06.07.2022 07:00 - 06.07.2022 07:15","582","584"
"06.07.2022 07:15 - 06.07.2022 07:30","594","596"
"06.07.2022 07:30 - 06.07.2022 07:45","603","604"
"06.07.2022 07:45 - 06.07.2022 08:00","619","616"
"06.07.2022 08:00 - 06.07.2022 08:15","636","625"
"06.07.2022 08:15 - 06.07.2022 08:30","646","627"
"06.07.2022 08:30 - 06.07.2022 08:45","653","635"
"06.07.2022 08:45 - 06.07.2022 09:00","661","641"
"06.07.2022 09:00 - 06.07.2022 09:15","665","642"
"06.07.2022 09:15 - 06.07.2022 09:30","669","647"
"06.07.2022 09:30 - 06.07.2022 09:45","670","652"
"06.07.2022 09:45 - 06.07.2022 10:00","677","652"
"06.07.2022 10:00 - 06.07.2022 10:15","680","663"
"06.07.2022 10:15 - 06.07.2022 10:30","683","669"
"06.07.2022 10:30 - 06.07.2022 10:45","685","668"
"06.07.2022 10:45 - 06.07.2022 11:00","688","675"
"06.07.2022 11:00 - 06.07.2022 11:15","691","677"
"06.07.2022 11:15 - 06.07.2022 11:30","695","675"
"06.07.2022 11:30 - 06.07.2022 11:45","700","677"
"06.07.2022 11:45 - 06.07.2022 12:00","705","687"
"06.07.2022 12:00 - 06.07.2022 12:15","698","685"
"06.07.2022 12:15 - 06.07.2022 12:30","694","681"
"06.07.2022 12:30 - 06.07.2022 12:45","690","679"
"06.07.2022 12:45 - 06.07.2022 13:00","689","676"
"06.07.2022 13:00 - 06.07.2022 13:15","691","678"
"06.07.2022 13:15 - 06.07.2022 13:30","682","674"
"06.07.2022 13:30 - 06.07.2022 13:45","680","665"
"06.07.2022 13:45 - 06.07.2022 14:00","679","662"
"06.07.2022 14:00 - 06.07.2022 14:15","679","657"
"06.07.2022 14:15 - 06.07.2022 14:30","679","657"
"06.07.2022 14:30 - 06.07.2022 14:45","675","656"
"06.07.2022 14:45 - 06.07.2022 15:00","674","653"
"06.07.2022 15:00 - 06.07.2022 15:15","668","650"
"06.07.2022 15:15 - 06.07.2022 15:30","665","649"
"06.07.2022 15:30 - 06.07.2022 15:45","665","642"
"06.07.2022 15:45 - 06.07.2022 16:00","663","637"
"06.07.2022 16:00 - 06.07.2022 16:15","662","636"
"06.07.2022 16:15 - 06.07.2022 16:30","659","633"
"06.07.2022 16:30 - 06.07.2022 16:45","656","629"
"06.07.2022 16:45 - 06.07.2022 17:00","655","631"
"06.07.2022 17:00 - 06.07.2022 17:15","653","631"
"06.07.2022 17:15 - 06.07.2022 17:30","655","626"
"06.07.2022 17:30 - 06.07.2022 17:45","657","633"
"06.07.2022 17:45 - 06.07.2022 18:00","660","636"
"06.07.2022 18:00 - 06.07.2022 18:15","658","640"
"06.07.2022 18:15 - 06.07.2022 18:30","657","638"
"06.07.2022 18:30 - 06.07.2022 18:45","657","640"
"06.07.2022 18:45 - 06.07.2022 19:00","655","637"
"06.07.2022 19:00 - 06.07.2022 19:15","647","631"
"06.07.2022 19:15 - 06.07.2022 19:30","641","628"
"06.07.2022 19:30 - 06.07.2022 19:45","639","622"
"06.07.2022 19:45 - 06.07.2022 20:00","635","620"
"06.07.2022 20:00 - 06.07.2022 20:15","618","608"
"06.07.2022 20:15 - 06.07.2022 20:30","607","599"
"06.07.2022 20:30 - 06.07.2022 20:45","599","590"
"06.07.2022 20:45 - 06.07.2022 21:00","594","580"
"06.07.2022 21:00 - 06.07.2022 21:15","582","570"
"06.07.2022 21:15 - 06.07.2022 21:30","574","562"
"06.07.2022 21:30 - 06.07.2022 21:45","567","553"
"06.07.2022 21:45 - 06.07.2022 22:00","560","548"
"06.07.2022 22:00 - 06.07.2022 22:15","559","550"
"06.07.2022 22:15 - 06.07.2022 22:30","555","545"
"06.07.2022 22:30 - 06.07.2022 22:45","550","538"
"06.07.2022 22:45 - 06.07.2022 23:00","542","529"
"06.07.2022 23:00 - 06.07.2022 23:15","528","520"
"06.07.2022 23:15 - 06.07.2022 23:30","519","512"
"06.07.2022 23:30 - 06.07.2022 23:45","512","504"
"06.07.2022 23:45 - 07.07.2022 00:00","504","499"
"07.07.2022 00:00 - 07.07.2022 00:15","495","494"
"07.07.2022 00:15 - 07.07.2022 00:30","485","486"
"07.07.2022 00:30 - 07.07.2022 00:45","476","478"
"07.07.2022 00:45 - 07.07.2022 01:00","472","469"
"07.07.2022 01:00 - 07.07.2022 01:15","468","466"
"07.07.2022 01:15 - 07.07.2022 01:30","466","461"
"07.07.2022 01:30 - 07.07.2022 01:45","461","458"
"07.07.2022 01:45 - 07.07.2022 02:00","459","455"
"07.07.2022 02:00 - 07.07.2022 02:15","455","453"
"07.07.2022 02:15 - 07.07.2022 02:30","453","453"
"07.07.2022 02:30 - 07.07.2022 02:45","453","451"
"07.07.2022 02:45 - 07.07.2022 03:00","453","450"
"07.07.2022 03:00 - 07.07.2022 03:15","456","448"
"07.07.2022 03:15 - 07.07.2022 03:30","456","449"
"07.07.2022 03:30 - 07.07.2022 03:45","456","450"
"07.07.2022 03:45 - 07.07.2022 04:00","456","452"
"07.07.2022 04:00 - 07.07.2022 04:15","458","454"
"07.07.2022 04:15 - 07.07.2022 04:30","461","456"
"07.07.2022 04:30 - 07.07.2022 04:45","465","458"
"07.07.2022 04:45 - 07.07.2022 05:00","467","467"
"07.07.2022 05:00 - 07.07.2022 05:15","478","477"
"07.07.2022 05:15 - 07.07.2022 05:30","485","484"
"07.07.2022 05:30 - 07.07.2022 05:45","487","483"
"07.07.2022 05:45 - 07.07.2022 06:00","499","494"
"07.07.2022 06:00 - 07.07.2022 06:15","519","518"
"07.07.2022 06:15 - 07.07.2022 06:30","537","537"
"07.07.2022 06:30 - 07.07.2022 06:45","549","551"
"07.07.2022 06:45 - 07.07.2022 07:00","567","566"
"07.07.2022 07:00 - 07.07.2022 07:15","584","592"
"07.07.2022 07:15 - 07.07.2022 07:30","595","611"
"07.07.2022 07:30 - 07.07.2022 07:45","608","616"
"07.07.2022 07:45 - 07.07.2022 08:00","618","623"
"07.07.2022 08:00 - 07.07.2022 08:15","631","640"
"07.07.2022 08:15 - 07.07.2022 08:30","643","647"
"07.07.2022 08:30 - 07.07.2022 08:45","652","661"
"07.07.2022 08:45 - 07.07.2022 09:00","661","665"
"07.07.2022 09:00 - 07.07.2022 09:15","664","673"
"07.07.2022 09:15 - 07.07.2022 09:30","670","679"
"07.07.2022 09:30 - 07.07.2022 09:45","674","683"
"07.07.2022 09:45 - 07.07.2022 10:00","681","683"
"07.07.2022 10:00 - 07.07.2022 10:15","686","688"
"07.07.2022 10:15 - 07.07.2022 10:30","688","688"
"07.07.2022 10:30 - 07.07.2022 10:45","692","691"
"07.07.2022 10:45 - 07.07.2022 11:00","696","697"
"07.07.2022 11:00 - 07.07.2022 11:15","701","699"
"07.07.2022 11:15 - 07.07.2022 11:30","706","706"
"07.07.2022 11:30 - 07.07.2022 11:45","707","706"
"07.07.2022 11:45 - 07.07.2022 12:00","709","712"
"07.07.2022 12:00 - 07.07.2022 12:15","704","708"
"07.07.2022 12:15 - 07.07.2022 12:30","701","701"
"07.07.2022 12:30 - 07.07.2022 12:45","701","697"
"07.07.2022 12:45 - 07.07.2022 13:00","700","698"
"07.07.2022 13:00 - 07.07.2022 13:15","696","696"
"07.07.2022 13:15 - 07.07.2022 13:30","696","694"
"07.07.2022 13:30 - 07.07.2022 13:45","693","691"
"07.07.2022 13:45 - 07.07.2022 14:00","688","683"
"07.07.2022 14:00 - 07.07.2022 14:15","686","677"
"07.07.2022 14:15 - 07.07.2022 14:30","685","673"
"07.07.2022 14:30 - 07.07.2022 14:45","679","671"
"07.07.2022 14:45 - 07.07.2022 15:00","676","667"
"07.07.2022 15:00 - 07.07.2022 15:15","670","667"
"07.07.2022 15:15 - 07.07.2022 15:30","668","664"
"07.07.2022 15:30 - 07.07.2022 15:45","666","656"
"07.07.2022 15:45 - 07.07.2022 16:00","666","653"
"07.07.2022 16:00 - 07.07.2022 16:15","664","655"
"07.07.2022 16:15 - 07.07.2022 16:30","662","649"
"07.07.2022 16:30 - 07.07.2022 16:45","658","644"
"07.07.2022 16:45 - 07.07.2022 17:00","654","644"
"07.07.2022 17:00 - 07.07.2022 17:15","652","638"
"07.07.2022 17:15 - 07.07.2022 17:30","650","640"
"07.07.2022 17:30 - 07.07.2022 17:45","652","646"
"07.07.2022 17:45 - 07.07.2022 18:00","656","652"
"07.07.2022 18:00 - 07.07.2022 18:15","657","647"
"07.07.2022 18:15 - 07.07.2022 18:30","655","649"
"07.07.2022 18:30 - 07.07.2022 18:45","655","646"
"07.07.2022 18:45 - 07.07.2022 19:00","651","645"
"07.07.2022 19:00 - 07.07.2022 19:15","645","639"
"07.07.2022 19:15 - 07.07.2022 19:30","638","630"
"07.07.2022 19:30 - 07.07.2022 19:45","636","624"
"07.07.2022 19:45 - 07.07.2022 20:00","633","620"
"07.07.2022 20:00 - 07.07.2022 20:15","621","607"
"07.07.2022 20:15 - 07.07.2022 20:30","612","598"
"07.07.2022 20:30 - 07.07.2022 20:45","601","589"
"07.07.2022 20:45 - 07.07.2022 21:00","592","582"
"07.07.2022 21:00 - 07.07.2022 21:15","580","573"
"07.07.2022 21:15 - 07.07.2022 21:30","571","567"
"07.07.2022 21:30 - 07.07.2022 21:45","566","560"
"07.07.2022 21:45 - 07.07.2022 22:00","561","556"
"07.07.2022 22:00 - 07.07.2022 22:15","565","556"
"07.07.2022 22:15 - 07.07.2022 22:30","561","554"
"07.07.2022 22:30 - 07.07.2022 22:45","554","542"
"07.07.2022 22:45 - 07.07.2022 23:00","544","532"
"07.07.2022 23:00 - 07.07.2022 23:15","534","522"
"07.07.2022 23:15 - 07.07.2022 23:30","527","516"
"07.07.2022 23:30 - 07.07.2022 23:45","520","506"
"07.07.2022 23:45 - 08.07.2022 00:00","514","499"
"08.07.2022 00:00 - 08.07.2022 00:15","491","491"
"08.07.2022 00:15 - 08.07.2022 00:30","484","484"
"08.07.2022 00:30 - 08.07.2022 00:45","476","477"
"08.07.2022 00:45 - 08.07.2022 01:00","471","472"
"08.07.2022 01:00 - 08.07.2022 01:15","466","465"
"08.07.2022 01:15 - 08.07.2022 01:30","462","463"
"08.07.2022 01:30 - 08.07.2022 01:45","459","460"
"08.07.2022 01:45 - 08.07.2022 02:00","455","460"
"08.07.2022 02:00 - 08.07.2022 02:15","453","460"
"08.07.2022 02:15 - 08.07.2022 02:30","451","456"
"08.07.2022 02:30 - 08.07.2022 02:45","449","455"
"08.07.2022 02:45 - 08.07.2022 03:00","449","453"
"08.07.2022 03:00 - 08.07.2022 03:15","452","455"
"08.07.2022 03:15 - 08.07.2022 03:30","453","451"
"08.07.2022 03:30 - 08.07.2022 03:45","452","456"
"08.07.2022 03:45 - 08.07.2022 04:00","450","455"
"08.07.2022 04:00 - 08.07.2022 04:15","454","458"
"08.07.2022 04:15 - 08.07.2022 04:30","454","461"
"08.07.2022 04:30 - 08.07.2022 04:45","457","465"
"08.07.2022 04:45 - 08.07.2022 05:00","462","473"
"08.07.2022 05:00 - 08.07.2022 05:15","471","478"
"08.07.2022 05:15 - 08.07.2022 05:30","475","485"
"08.07.2022 05:30 - 08.07.2022 05:45","478","480"
"08.07.2022 05:45 - 08.07.2022 06:00","490","490"
"08.07.2022 06:00 - 08.07.2022 06:15","512","513"
"08.07.2022 06:15 - 08.07.2022 06:30","529","530"
"08.07.2022 06:30 - 08.07.2022 06:45","548","541"
"08.07.2022 06:45 - 08.07.2022 07:00","563","560"
"08.07.2022 07:00 - 08.07.2022 07:15","585","579"
"08.07.2022 07:15 - 08.07.2022 07:30","598","593"
"08.07.2022 07:30 - 08.07.2022 07:45","607","601"
"08.07.2022 07:45 - 08.07.2022 08:00","616","610"
"08.07.2022 08:00 - 08.07.2022 08:15","631","623"
"08.07.2022 08:15 - 08.07.2022 08:30","641","632"
"08.07.2022 08:30 - 08.07.2022 08:45","648","640"
"08.07.2022 08:45 - 08.07.2022 09:00","657","646"
"08.07.2022 09:00 - 08.07.2022 09:15","661","652"
"08.07.2022 09:15 - 08.07.2022 09:30","662","655"
"08.07.2022 09:30 - 08.07.2022 09:45","663","660"
"08.07.2022 09:45 - 08.07.2022 10:00","669","666"
"08.07.2022 10:00 - 08.07.2022 10:15","673","672"
"08.07.2022 10:15 - 08.07.2022 10:30","676","671"
"08.07.2022 10:30 - 08.07.2022 10:45","679","673"
"08.07.2022 10:45 - 08.07.2022 11:00","684","675"
"08.07.2022 11:00 - 08.07.2022 11:15","685","679"
"08.07.2022 11:15 - 08.07.2022 11:30","690","684"
"08.07.2022 11:30 - 08.07.2022 11:45","693","686"
"08.07.2022 11:45 - 08.07.2022 12:00","696","689"
"08.07.2022 12:00 - 08.07.2022 12:15","689","684"
"08.07.2022 12:15 - 08.07.2022 12:30","685","684"
"08.07.2022 12:30 - 08.07.2022 12:45","680","676"
"08.07.2022 12:45 - 08.07.2022 13:00","682","675"
"08.07.2022 13:00 - 08.07.2022 13:15","680","671"
"08.07.2022 13:15 - 08.07.2022 13:30","680","667"
"08.07.2022 13:30 - 08.07.2022 13:45","675","663"
"08.07.2022 13:45 - 08.07.2022 14:00","669","660"
"08.07.2022 14:00 - 08.07.2022 14:15","667","657"
"08.07.2022 14:15 - 08.07.2022 14:30","667","655"
"08.07.2022 14:30 - 08.07.2022 14:45","665","651"
"08.07.2022 14:45 - 08.07.2022 15:00","658","653"
"08.07.2022 15:00 - 08.07.2022 15:15","655","645"
"08.07.2022 15:15 - 08.07.2022 15:30","652","645"
"08.07.2022 15:30 - 08.07.2022 15:45","645","640"
"08.07.2022 15:45 - 08.07.2022 16:00","635","641"
"08.07.2022 16:00 - 08.07.2022 16:15","633","635"
"08.07.2022 16:15 - 08.07.2022 16:30","633","638"
"08.07.2022 16:30 - 08.07.2022 16:45","628","637"
"08.07.2022 16:45 - 08.07.2022 17:00","628","638"
"08.07.2022 17:00 - 08.07.2022 17:15","627","636"
"08.07.2022 17:15 - 08.07.2022 17:30","626","636"
"08.07.2022 17:30 - 08.07.2022 17:45","631","642"
"08.07.2022 17:45 - 08.07.2022 18:00","634","642"
"08.07.2022 18:00 - 08.07.2022 18:15","635","640"
"08.07.2022 18:15 - 08.07.2022 18:30","635","639"
"08.07.2022 18:30 - 08.07.2022 18:45","635","636"
"08.07.2022 18:45 - 08.07.2022 19:00","630","636"
"08.07.2022 19:00 - 08.07.2022 19:15","624","627"
"08.07.2022 19:15 - 08.07.2022 19:30","619","620"
"08.07.2022 19:30 - 08.07.2022 19:45","608","616"
"08.07.2022 19:45 - 08.07.2022 20:00","608","614"
"08.07.2022 20:00 - 08.07.2022 20:15","595","603"
"08.07.2022 20:15 - 08.07.2022 20:30","586","595"
"08.07.2022 20:30 - 08.07.2022 20:45","578","591"
"08.07.2022 20:45 - 08.07.2022 21:00","574","580"
"08.07.2022 21:00 - 08.07.2022 21:15","566","569"
"08.07.2022 21:15 - 08.07.2022 21:30","553","562"
"08.07.2022 21:30 - 08.07.2022 21:45","548","558"
"08.07.2022 21:45 - 08.07.2022 22:00","543","551"
"08.07.2022 22:00 - 08.07.2022 22:15","545","556"
"08.07.2022 22:15 - 08.07.2022 22:30","544","550"
"08.07.2022 22:30 - 08.07.2022 22:45","539","543"
"08.07.2022 22:45 - 08.07.2022 23:00","533","533"
"08.07.2022 23:00 - 08.07.2022 23:15","520","522"
"08.07.2022 23:15 - 08.07.2022 23:30","514","516"
"08.07.2022 23:30 - 08.07.2022 23:45","507","506"
"08.07.2022 23:45 - 09.07.2022 00:00","503","502"
"09.07.2022 00:00 - 09.07.2022 00:15","486","494"
"09.07.2022 00:15 - 09.07.2022 00:30","481","489"
"09.07.2022 00:30 - 09.07.2022 00:45","478","480"
"09.07.2022 00:45 - 09.07.2022 01:00","473","472"
"09.07.2022 01:00 - 09.07.2022 01:15","465","468"
"09.07.2022 01:15 - 09.07.2022 01:30","463","462"
"09.07.2022 01:30 - 09.07.2022 01:45","461","459"
"09.07.2022 01:45 - 09.07.2022 02:00","457","455"
"09.07.2022 02:00 - 09.07.2022 02:15","454","449"
"09.07.2022 02:15 - 09.07.2022 02:30","451","447"
"09.07.2022 02:30 - 09.07.2022 02:45","446","442"
"09.07.2022 02:45 - 09.07.2022 03:00","444","439"
"09.07.2022 03:00 - 09.07.2022 03:15","446","441"
"09.07.2022 03:15 - 09.07.2022 03:30","443","440"
"09.07.2022 03:30 - 09.07.2022 03:45","441","438"
"09.07.2022 03:45 - 09.07.2022 04:00","440","438"
"09.07.2022 04:00 - 09.07.2022 04:15","443","440"
"09.07.2022 04:15 - 09.07.2022 04:30","444","439"
"09.07.2022 04:30 - 09.07.2022 04:45","446","439"
"09.07.2022 04:45 - 09.07.2022 05:00","447","444"
"09.07.2022 05:00 - 09.07.2022 05:15","451","444"
"09.07.2022 05:15 - 09.07.2022 05:30","444","441"
"09.07.2022 05:30 - 09.07.2022 05:45","441","432"
"09.07.2022 05:45 - 09.07.2022 06:00","444","434"
"09.07.2022 06:00 - 09.07.2022 06:15","454","446"
"09.07.2022 06:15 - 09.07.2022 06:30","456","450"
"09.07.2022 06:30 - 09.07.2022 06:45","457","452"
"09.07.2022 06:45 - 09.07.2022 07:00","463","457"
"09.07.2022 07:00 - 09.07.2022 07:15","473","465"
"09.07.2022 07:15 - 09.07.2022 07:30","475","470"
"09.07.2022 07:30 - 09.07.2022 07:45","477","478"
"09.07.2022 07:45 - 09.07.2022 08:00","487","486"
"09.07.2022 08:00 - 09.07.2022 08:15","500","496"
"09.07.2022 08:15 - 09.07.2022 08:30","506","503"
"09.07.2022 08:30 - 09.07.2022 08:45","510","507"
"09.07.2022 08:45 - 09.07.2022 09:00","519","520"
"09.07.2022 09:00 - 09.07.2022 09:15","531","530"
"09.07.2022 09:15 - 09.07.2022 09:30","536","535"
"09.07.2022 09:30 - 09.07.2022 09:45","537","540"
"09.07.2022 09:45 - 09.07.2022 10:00","543","546"
"09.07.2022 10:00 - 09.07.2022 10:15","550","554"
"09.07.2022 10:15 - 09.07.2022 10:30","557","558"
"09.07.2022 10:30 - 09.07.2022 10:45","557","559"
"09.07.2022 10:45 - 09.07.2022 11:00","560","564"
"09.07.2022 11:00 - 09.07.2022 11:15","563","570"
"09.07.2022 11:15 - 09.07.2022 11:30","567","574"
"09.07.2022 11:30 - 09.07.2022 11:45","572","575"
"09.07.2022 11:45 - 09.07.2022 12:00","577","581"
"09.07.2022 12:00 - 09.07.2022 12:15","576","580"
"09.07.2022 12:15 - 09.07.2022 12:30","572","580"
"09.07.2022 12:30 - 09.07.2022 12:45","567","575"
"09.07.2022 12:45 - 09.07.2022 13:00","563","577"
"09.07.2022 13:00 - 09.07.2022 13:15","562","570"
"09.07.2022 13:15 - 09.07.2022 13:30","558","566"
"09.07.2022 13:30 - 09.07.2022 13:45","552","556"
"09.07.2022 13:45 - 09.07.2022 14:00","550","552"
"09.07.2022 14:00 - 09.07.2022 14:15","548","549"
"09.07.2022 14:15 - 09.07.2022 14:30","549","547"
"09.07.2022 14:30 - 09.07.2022 14:45","545","541"
"09.07.2022 14:45 - 09.07.2022 15:00","543","540"
"09.07.2022 15:00 - 09.07.2022 15:15","540","536"
"09.07.2022 15:15 - 09.07.2022 15:30","540","538"
"09.07.2022 15:30 - 09.07.2022 15:45","536","533"
"09.07.2022 15:45 - 09.07.2022 16:00","532","535"
"09.07.2022 16:00 - 09.07.2022 16:15","531","531"
"09.07.2022 16:15 - 09.07.2022 16:30","532","529"
"09.07.2022 16:30 - 09.07.2022 16:45","532","528"
"09.07.2022 16:45 - 09.07.2022 17:00","534","531"
"09.07.2022 17:00 - 09.07.2022 17:15","533","531"
"09.07.2022 17:15 - 09.07.2022 17:30","535","534"
"09.07.2022 17:30 - 09.07.2022 17:45","536","537"
"09.07.2022 17:45 - 09.07.2022 18:00","537","542"
"09.07.2022 18:00 - 09.07.2022 18:15","536","539"
"09.07.2022 18:15 - 09.07.2022 18:30","538","541"
"09.07.2022 18:30 - 09.07.2022 18:45","538","540"
"09.07.2022 18:45 - 09.07.2022 19:00","539","539"
"09.07.2022 19:00 - 09.07.2022 19:15","534","534"
"09.07.2022 19:15 - 09.07.2022 19:30","532","527"
"09.07.2022 19:30 - 09.07.2022 19:45","524","527"
"09.07.2022 19:45 - 09.07.2022 20:00","524","530"
"09.07.2022 20:00 - 09.07.2022 20:15","519","523"
"09.07.2022 20:15 - 09.07.2022 20:30","513","516"
"09.07.2022 20:30 - 09.07.2022 20:45","506","508"
"09.07.2022 20:45 - 09.07.2022 21:00","502","504"
"09.07.2022 21:00 - 09.07.2022 21:15","499","497"
