"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"17.05.2022 18:00 - 17.05.2022 18:30","N/A","519"
"17.05.2022 18:30 - 17.05.2022 19:00","N/A","533"
"17.05.2022 19:00 - 17.05.2022 19:30","N/A","547"
"17.05.2022 19:30 - 17.05.2022 20:00","N/A","537"
"17.05.2022 20:00 - 17.05.2022 20:30","N/A","513"
"17.05.2022 20:30 - 17.05.2022 21:00","N/A","488"
"17.05.2022 21:00 - 17.05.2022 21:30","N/A","463"
"17.05.2022 21:30 - 17.05.2022 22:00","N/A","438"
"17.05.2022 22:00 - 17.05.2022 22:30","N/A","412"
"17.05.2022 22:30 - 17.05.2022 23:00","N/A","391"
"17.05.2022 23:00 - 17.05.2022 23:30","N/A","374"
"17.05.2022 23:30 - 18.05.2022 00:00","N/A","359"
"18.05.2022 00:00 - 18.05.2022 00:30","N/A","349"
"18.05.2022 00:30 - 18.05.2022 01:00","N/A","341"
"18.05.2022 01:00 - 18.05.2022 01:30","N/A","335"
"18.05.2022 01:30 - 18.05.2022 02:00","N/A","330"
"18.05.2022 02:00 - 18.05.2022 02:30","N/A","328"
"18.05.2022 02:30 - 18.05.2022 03:00","N/A","326"
"18.05.2022 03:00 - 18.05.2022 03:30","N/A","329"
"18.05.2022 03:30 - 18.05.2022 04:00","N/A","333"
"18.05.2022 04:00 - 18.05.2022 04:30","N/A","347"
"18.05.2022 04:30 - 18.05.2022 05:00","N/A","355"
"18.05.2022 05:00 - 18.05.2022 05:30","N/A","380"
"18.05.2022 05:30 - 18.05.2022 06:00","N/A","397"
"18.05.2022 06:00 - 18.05.2022 06:30","N/A","409"
"18.05.2022 06:30 - 18.05.2022 07:00","N/A","411"
"18.05.2022 07:00 - 18.05.2022 07:30","N/A","417"
"18.05.2022 07:30 - 18.05.2022 08:00","N/A","410"
"18.05.2022 08:00 - 18.05.2022 08:30","N/A","399"
"18.05.2022 08:30 - 18.05.2022 09:00","N/A","388"
"18.05.2022 09:00 - 18.05.2022 09:30","N/A","374"
"18.05.2022 09:30 - 18.05.2022 10:00","N/A","364"
"18.05.2022 10:00 - 18.05.2022 10:30","N/A","359"
"18.05.2022 10:30 - 18.05.2022 11:00","N/A","354"
"18.05.2022 11:00 - 18.05.2022 11:30","N/A","349"
"18.05.2022 11:30 - 18.05.2022 12:00","N/A","350"
"18.05.2022 12:00 - 18.05.2022 12:30","N/A","348"
"18.05.2022 12:30 - 18.05.2022 13:00","N/A","351"
"18.05.2022 13:00 - 18.05.2022 13:30","N/A","367"
"18.05.2022 13:30 - 18.05.2022 14:00","N/A","365"
"18.05.2022 14:00 - 18.05.2022 14:30","N/A","368"
"18.05.2022 14:30 - 18.05.2022 15:00","N/A","377"
"18.05.2022 15:00 - 18.05.2022 15:30","N/A","391"
"18.05.2022 15:30 - 18.05.2022 16:00","N/A","414"
"18.05.2022 16:00 - 18.05.2022 16:30","N/A","436"
"18.05.2022 16:30 - 18.05.2022 17:00","N/A","461"
"18.05.2022 17:00 - 18.05.2022 17:30","N/A","490"
"18.05.2022 17:30 - 18.05.2022 18:00","N/A","510"
"18.05.2022 18:00 - 18.05.2022 18:30","N/A","524"
"18.05.2022 18:30 - 18.05.2022 19:00","N/A","537"
"18.05.2022 19:00 - 18.05.2022 19:30","N/A","547"
"18.05.2022 19:30 - 18.05.2022 20:00","N/A","537"
"18.05.2022 20:00 - 18.05.2022 20:30","N/A","515"
"18.05.2022 20:30 - 18.05.2022 21:00","N/A","489"
"18.05.2022 21:00 - 18.05.2022 21:30","N/A","465"
"18.05.2022 21:30 - 18.05.2022 22:00","N/A","443"
"18.05.2022 22:00 - 18.05.2022 22:30","N/A","420"
"18.05.2022 22:30 - 18.05.2022 23:00","N/A","399"
"18.05.2022 23:00 - 18.05.2022 23:30","N/A","381"
"18.05.2022 23:30 - 19.05.2022 00:00","N/A","368"
"19.05.2022 00:00 - 19.05.2022 00:30","N/A","357"
"19.05.2022 00:30 - 19.05.2022 01:00","N/A","348"
"19.05.2022 01:00 - 19.05.2022 01:30","N/A","340"
"19.05.2022 01:30 - 19.05.2022 02:00","N/A","336"
"19.05.2022 02:00 - 19.05.2022 02:30","N/A","332"
"19.05.2022 02:30 - 19.05.2022 03:00","N/A","330"
"19.05.2022 03:00 - 19.05.2022 03:30","N/A","333"
"19.05.2022 03:30 - 19.05.2022 04:00","N/A","337"
"19.05.2022 04:00 - 19.05.2022 04:30","N/A","351"
"19.05.2022 04:30 - 19.05.2022 05:00","N/A","358"
"19.05.2022 05:00 - 19.05.2022 05:30","N/A","385"
"19.05.2022 05:30 - 19.05.2022 06:00","N/A","402"
"19.05.2022 06:00 - 19.05.2022 06:30","N/A","420"
"19.05.2022 06:30 - 19.05.2022 07:00","N/A","421"
"19.05.2022 07:00 - 19.05.2022 07:30","N/A","427"
"19.05.2022 07:30 - 19.05.2022 08:00","N/A","420"
"19.05.2022 08:00 - 19.05.2022 08:30","N/A","419"
"19.05.2022 08:30 - 19.05.2022 09:00","N/A","406"
"19.05.2022 09:00 - 19.05.2022 09:30","N/A","393"
"19.05.2022 09:30 - 19.05.2022 10:00","N/A","383"
"19.05.2022 10:00 - 19.05.2022 10:30","N/A","383"
"19.05.2022 10:30 - 19.05.2022 11:00","N/A","377"
"19.05.2022 11:00 - 19.05.2022 11:30","N/A","371"
"19.05.2022 11:30 - 19.05.2022 12:00","N/A","363"
"19.05.2022 12:00 - 19.05.2022 12:30","N/A","354"
"19.05.2022 12:30 - 19.05.2022 13:00","N/A","354"
"19.05.2022 13:00 - 19.05.2022 13:30","N/A","356"
"19.05.2022 13:30 - 19.05.2022 14:00","N/A","363"
"19.05.2022 14:00 - 19.05.2022 14:30","N/A","371"
"19.05.2022 14:30 - 19.05.2022 15:00","N/A","382"
"19.05.2022 15:00 - 19.05.2022 15:30","N/A","396"
"19.05.2022 15:30 - 19.05.2022 16:00","N/A","418"
"19.05.2022 16:00 - 19.05.2022 16:30","N/A","445"
"19.05.2022 16:30 - 19.05.2022 17:00","N/A","466"
"19.05.2022 17:00 - 19.05.2022 17:30","N/A","494"
"19.05.2022 17:30 - 19.05.2022 18:00","N/A","514"
"19.05.2022 18:00 - 19.05.2022 18:30","N/A","527"
"19.05.2022 18:30 - 19.05.2022 19:00","N/A","540"
"19.05.2022 19:00 - 19.05.2022 19:30","N/A","552"
"19.05.2022 19:30 - 19.05.2022 20:00","N/A","541"
"19.05.2022 20:00 - 19.05.2022 20:30","N/A","519"
"19.05.2022 20:30 - 19.05.2022 21:00","N/A","494"
"19.05.2022 21:00 - 19.05.2022 21:30","N/A","470"
"19.05.2022 21:30 - 19.05.2022 22:00","N/A","449"
"19.05.2022 22:00 - 19.05.2022 22:30","N/A","424"
"19.05.2022 22:30 - 19.05.2022 23:00","N/A","404"
"19.05.2022 23:00 - 19.05.2022 23:30","N/A","386"
"19.05.2022 23:30 - 20.05.2022 00:00","N/A","372"
"20.05.2022 00:00 - 20.05.2022 00:30","N/A","362"
"20.05.2022 00:30 - 20.05.2022 01:00","N/A","354"
"20.05.2022 01:00 - 20.05.2022 01:30","N/A","347"
"20.05.2022 01:30 - 20.05.2022 02:00","N/A","342"
"20.05.2022 02:00 - 20.05.2022 02:30","N/A","337"
"20.05.2022 02:30 - 20.05.2022 03:00","N/A","336"
"20.05.2022 03:00 - 20.05.2022 03:30","N/A","339"
"20.05.2022 03:30 - 20.05.2022 04:00","N/A","342"
"20.05.2022 04:00 - 20.05.2022 04:30","N/A","357"
"20.05.2022 04:30 - 20.05.2022 05:00","N/A","363"
"20.05.2022 05:00 - 20.05.2022 05:30","N/A","387"
"20.05.2022 05:30 - 20.05.2022 06:00","N/A","401"
"20.05.2022 06:00 - 20.05.2022 06:30","N/A","421"
"20.05.2022 06:30 - 20.05.2022 07:00","N/A","425"
"20.05.2022 07:00 - 20.05.2022 07:30","N/A","437"
"20.05.2022 07:30 - 20.05.2022 08:00","N/A","426"
"20.05.2022 08:00 - 20.05.2022 08:30","N/A","416"
"20.05.2022 08:30 - 20.05.2022 09:00","N/A","406"
"20.05.2022 09:00 - 20.05.2022 09:30","N/A","394"
"20.05.2022 09:30 - 20.05.2022 10:00","N/A","384"
"20.05.2022 10:00 - 20.05.2022 10:30","N/A","373"
"20.05.2022 10:30 - 20.05.2022 11:00","N/A","364"
"20.05.2022 11:00 - 20.05.2022 11:30","N/A","357"
"20.05.2022 11:30 - 20.05.2022 12:00","N/A","359"
"20.05.2022 12:00 - 20.05.2022 12:30","N/A","359"
"20.05.2022 12:30 - 20.05.2022 13:00","N/A","357"
"20.05.2022 13:00 - 20.05.2022 13:30","N/A","368"
"20.05.2022 13:30 - 20.05.2022 14:00","N/A","369"
"20.05.2022 14:00 - 20.05.2022 14:30","N/A","376"
"20.05.2022 14:30 - 20.05.2022 15:00","N/A","380"
"20.05.2022 15:00 - 20.05.2022 15:30","N/A","392"
"20.05.2022 15:30 - 20.05.2022 16:00","N/A","409"
"20.05.2022 16:00 - 20.05.2022 16:30","N/A","435"
"20.05.2022 16:30 - 20.05.2022 17:00","N/A","461"
"20.05.2022 17:00 - 20.05.2022 17:30","N/A","483"
"20.05.2022 17:30 - 20.05.2022 18:00","N/A","503"
"20.05.2022 18:00 - 20.05.2022 18:30","N/A","515"
"20.05.2022 18:30 - 20.05.2022 19:00","N/A","526"
"20.05.2022 19:00 - 20.05.2022 19:30","N/A","538"
"20.05.2022 19:30 - 20.05.2022 20:00","N/A","528"
"20.05.2022 20:00 - 20.05.2022 20:30","N/A","506"
"20.05.2022 20:30 - 20.05.2022 21:00","N/A","485"
"20.05.2022 21:00 - 20.05.2022 21:30","N/A","464"
"20.05.2022 21:30 - 20.05.2022 22:00","N/A","442"
"20.05.2022 22:00 - 20.05.2022 22:30","N/A","420"
"20.05.2022 22:30 - 20.05.2022 23:00","N/A","401"
"20.05.2022 23:00 - 20.05.2022 23:30","N/A","385"
"20.05.2022 23:30 - 21.05.2022 00:00","N/A","368"
"21.05.2022 00:00 - 21.05.2022 00:30","N/A","355"
"21.05.2022 00:30 - 21.05.2022 01:00","N/A","348"
"21.05.2022 01:00 - 21.05.2022 01:30","N/A","344"
"21.05.2022 01:30 - 21.05.2022 02:00","N/A","339"
"21.05.2022 02:00 - 21.05.2022 02:30","N/A","336"
"21.05.2022 02:30 - 21.05.2022 03:00","N/A","333"
"21.05.2022 03:00 - 21.05.2022 03:30","N/A","333"
"21.05.2022 03:30 - 21.05.2022 04:00","N/A","335"
"21.05.2022 04:00 - 21.05.2022 04:30","N/A","342"
"21.05.2022 04:30 - 21.05.2022 05:00","N/A","337"
"21.05.2022 05:00 - 21.05.2022 05:30","N/A","347"
"21.05.2022 05:30 - 21.05.2022 06:00","N/A","351"
"21.05.2022 06:00 - 21.05.2022 06:30","N/A","357"
"21.05.2022 06:30 - 21.05.2022 07:00","N/A","355"
"21.05.2022 07:00 - 21.05.2022 07:30","N/A","353"
"21.05.2022 07:30 - 21.05.2022 08:00","N/A","347"
"21.05.2022 08:00 - 21.05.2022 08:30","N/A","339"
"21.05.2022 08:30 - 21.05.2022 09:00","N/A","329"
"21.05.2022 09:00 - 21.05.2022 09:30","N/A","321"
"21.05.2022 09:30 - 21.05.2022 10:00","N/A","311"
"21.05.2022 10:00 - 21.05.2022 10:30","N/A","305"
"21.05.2022 10:30 - 21.05.2022 11:00","N/A","296"
"21.05.2022 11:00 - 21.05.2022 11:30","N/A","293"
"21.05.2022 11:30 - 21.05.2022 12:00","N/A","292"
"21.05.2022 12:00 - 21.05.2022 12:30","N/A","286"
"21.05.2022 12:30 - 21.05.2022 13:00","N/A","279"
"21.05.2022 13:00 - 21.05.2022 13:30","N/A","282"
"21.05.2022 13:30 - 21.05.2022 14:00","N/A","290"
"21.05.2022 14:00 - 21.05.2022 14:30","N/A","301"
"21.05.2022 14:30 - 21.05.2022 15:00","N/A","313"
"21.05.2022 15:00 - 21.05.2022 15:30","N/A","331"
"21.05.2022 15:30 - 21.05.2022 16:00","N/A","358"
"21.05.2022 16:00 - 21.05.2022 16:30","N/A","388"
"21.05.2022 16:30 - 21.05.2022 17:00","N/A","420"
"21.05.2022 17:00 - 21.05.2022 17:30","N/A","451"
"21.05.2022 17:30 - 21.05.2022 18:00","N/A","471"
"21.05.2022 18:00 - 21.05.2022 18:30","N/A","487"
"21.05.2022 18:30 - 21.05.2022 19:00","N/A","497"
"21.05.2022 19:00 - 21.05.2022 19:30","N/A","510"
"21.05.2022 19:30 - 21.05.2022 20:00","N/A","502"
"21.05.2022 20:00 - 21.05.2022 20:30","N/A","485"
"21.05.2022 20:30 - 21.05.2022 21:00","N/A","467"
"21.05.2022 21:00 - 21.05.2022 21:30","N/A","448"
"21.05.2022 21:30 - 21.05.2022 22:00","N/A","433"
"21.05.2022 22:00 - 21.05.2022 22:30","N/A","418"
"21.05.2022 22:30 - 21.05.2022 23:00","N/A","401"
"21.05.2022 23:00 - 21.05.2022 23:30","N/A","385"
"21.05.2022 23:30 - 22.05.2022 00:00","N/A","373"
"22.05.2022 00:00 - 22.05.2022 00:30","N/A","361"
"22.05.2022 00:30 - 22.05.2022 01:00","N/A","351"
"22.05.2022 01:00 - 22.05.2022 01:30","N/A","344"
"22.05.2022 01:30 - 22.05.2022 02:00","N/A","338"
"22.05.2022 02:00 - 22.05.2022 02:30","N/A","333"
"22.05.2022 02:30 - 22.05.2022 03:00","N/A","330"
"22.05.2022 03:00 - 22.05.2022 03:30","N/A","332"
"22.05.2022 03:30 - 22.05.2022 04:00","N/A","332"
"22.05.2022 04:00 - 22.05.2022 04:30","N/A","337"
"22.05.2022 04:30 - 22.05.2022 05:00","N/A","329"
"22.05.2022 05:00 - 22.05.2022 05:30","N/A","332"
"22.05.2022 05:30 - 22.05.2022 06:00","N/A","328"
"22.05.2022 06:00 - 22.05.2022 06:30","N/A","325"
"22.05.2022 06:30 - 22.05.2022 07:00","N/A","318"
"22.05.2022 07:00 - 22.05.2022 07:30","N/A","309"
"22.05.2022 07:30 - 22.05.2022 08:00","N/A","299"
"22.05.2022 08:00 - 22.05.2022 08:30","N/A","292"
"22.05.2022 08:30 - 22.05.2022 09:00","N/A","286"
"22.05.2022 09:00 - 22.05.2022 09:30","N/A","284"
"22.05.2022 09:30 - 22.05.2022 10:00","N/A","288"
"22.05.2022 10:00 - 22.05.2022 10:30","N/A","302"
"22.05.2022 10:30 - 22.05.2022 11:00","N/A","307"
"22.05.2022 11:00 - 22.05.2022 11:30","N/A","304"
"22.05.2022 11:30 - 22.05.2022 12:00","N/A","302"
"22.05.2022 12:00 - 22.05.2022 12:30","N/A","290"
"22.05.2022 12:30 - 22.05.2022 13:00","N/A","283"
"22.05.2022 13:00 - 22.05.2022 13:30","N/A","287"
"22.05.2022 13:30 - 22.05.2022 14:00","N/A","294"
"22.05.2022 14:00 - 22.05.2022 14:30","N/A","312"
"22.05.2022 14:30 - 22.05.2022 15:00","N/A","319"
"22.05.2022 15:00 - 22.05.2022 15:30","N/A","331"
"22.05.2022 15:30 - 22.05.2022 16:00","N/A","361"
"22.05.2022 16:00 - 22.05.2022 16:30","N/A","390"
"22.05.2022 16:30 - 22.05.2022 17:00","N/A","411"
"22.05.2022 17:00 - 22.05.2022 17:30","N/A","431"
"22.05.2022 17:30 - 22.05.2022 18:00","N/A","451"
"22.05.2022 18:00 - 22.05.2022 18:30","N/A","465"
"22.05.2022 18:30 - 22.05.2022 19:00","N/A","474"
"22.05.2022 19:00 - 22.05.2022 19:30","N/A","492"
"22.05.2022 19:30 - 22.05.2022 20:00","N/A","491"
"22.05.2022 20:00 - 22.05.2022 20:30","N/A","478"
"22.05.2022 20:30 - 22.05.2022 21:00","N/A","460"
"22.05.2022 21:00 - 22.05.2022 21:30","N/A","439"
"22.05.2022 21:30 - 22.05.2022 22:00","N/A","419"
"22.05.2022 22:00 - 22.05.2022 22:30","N/A","399"
"22.05.2022 22:30 - 22.05.2022 23:00","N/A","377"
"22.05.2022 23:00 - 22.05.2022 23:30","N/A","350"
"22.05.2022 23:30 - 23.05.2022 00:00","N/A","336"
"23.05.2022 00:00 - 23.05.2022 00:30","N/A","327"
"23.05.2022 00:30 - 23.05.2022 01:00","N/A","319"
"23.05.2022 01:00 - 23.05.2022 01:30","N/A","315"
"23.05.2022 01:30 - 23.05.2022 02:00","N/A","311"
"23.05.2022 02:00 - 23.05.2022 02:30","N/A","309"
"23.05.2022 02:30 - 23.05.2022 03:00","N/A","306"
"23.05.2022 03:00 - 23.05.2022 03:30","N/A","309"
"23.05.2022 03:30 - 23.05.2022 04:00","N/A","314"
"23.05.2022 04:00 - 23.05.2022 04:30","N/A","329"
"23.05.2022 04:30 - 23.05.2022 05:00","N/A","336"
"23.05.2022 05:00 - 23.05.2022 05:30","N/A","363"
"23.05.2022 05:30 - 23.05.2022 06:00","N/A","379"
"23.05.2022 06:00 - 23.05.2022 06:30","N/A","391"
"23.05.2022 06:30 - 23.05.2022 07:00","N/A","392"
"23.05.2022 07:00 - 23.05.2022 07:30","N/A","395"
"23.05.2022 07:30 - 23.05.2022 08:00","N/A","388"
"23.05.2022 08:00 - 23.05.2022 08:30","N/A","378"
"23.05.2022 08:30 - 23.05.2022 09:00","N/A","365"
"23.05.2022 09:00 - 23.05.2022 09:30","N/A","355"
"23.05.2022 09:30 - 23.05.2022 10:00","N/A","346"
"23.05.2022 10:00 - 23.05.2022 10:30","N/A","340"
"23.05.2022 10:30 - 23.05.2022 11:00","N/A","336"
"23.05.2022 11:00 - 23.05.2022 11:30","N/A","335"
"23.05.2022 11:30 - 23.05.2022 12:00","N/A","335"
"23.05.2022 12:00 - 23.05.2022 12:30","N/A","332"
"23.05.2022 12:30 - 23.05.2022 13:00","N/A","346"
"23.05.2022 13:00 - 23.05.2022 13:30","N/A","370"
"23.05.2022 13:30 - 23.05.2022 14:00","N/A","388"
"23.05.2022 14:00 - 23.05.2022 14:30","N/A","395"
"23.05.2022 14:30 - 23.05.2022 15:00","N/A","393"
"23.05.2022 15:00 - 23.05.2022 15:30","N/A","397"
"23.05.2022 15:30 - 23.05.2022 16:00","N/A","405"
"23.05.2022 16:00 - 23.05.2022 16:30","N/A","421"
"23.05.2022 16:30 - 23.05.2022 17:00","N/A","445"
"23.05.2022 17:00 - 23.05.2022 17:30","N/A","470"
"23.05.2022 17:30 - 23.05.2022 18:00","N/A","493"
"23.05.2022 18:00 - 23.05.2022 18:30","N/A","506"
"23.05.2022 18:30 - 23.05.2022 19:00","N/A","517"
"23.05.2022 19:00 - 23.05.2022 19:30","N/A","530"
"23.05.2022 19:30 - 23.05.2022 20:00","N/A","522"
"23.05.2022 20:00 - 23.05.2022 20:30","N/A","499"
"23.05.2022 20:30 - 23.05.2022 21:00","N/A","474"
"23.05.2022 21:00 - 23.05.2022 21:30","N/A","450"
"23.05.2022 21:30 - 23.05.2022 22:00","N/A","426"
"23.05.2022 22:00 - 23.05.2022 22:30","N/A","404"
"23.05.2022 22:30 - 23.05.2022 23:00","N/A","384"
"23.05.2022 23:00 - 23.05.2022 23:30","N/A","365"
"23.05.2022 23:30 - 24.05.2022 00:00","N/A","350"
"24.05.2022 00:00 - 24.05.2022 00:30","N/A","340"
"24.05.2022 00:30 - 24.05.2022 01:00","N/A","332"
"24.05.2022 01:00 - 24.05.2022 01:30","N/A","327"
"24.05.2022 01:30 - 24.05.2022 02:00","N/A","324"
"24.05.2022 02:00 - 24.05.2022 02:30","N/A","321"
"24.05.2022 02:30 - 24.05.2022 03:00","N/A","318"
"24.05.2022 03:00 - 24.05.2022 03:30","N/A","321"
"24.05.2022 03:30 - 24.05.2022 04:00","N/A","325"
"24.05.2022 04:00 - 24.05.2022 04:30","N/A","339"
"24.05.2022 04:30 - 24.05.2022 05:00","N/A","345"
"24.05.2022 05:00 - 24.05.2022 05:30","N/A","372"
"24.05.2022 05:30 - 24.05.2022 06:00","N/A","386"
"24.05.2022 06:00 - 24.05.2022 06:30","N/A","402"
"24.05.2022 06:30 - 24.05.2022 07:00","N/A","409"
"24.05.2022 07:00 - 24.05.2022 07:30","N/A","414"
"24.05.2022 07:30 - 24.05.2022 08:00","N/A","406"
"24.05.2022 08:00 - 24.05.2022 08:30","N/A","400"
"24.05.2022 08:30 - 24.05.2022 09:00","N/A","393"
"24.05.2022 09:00 - 24.05.2022 09:30","N/A","383"
"24.05.2022 09:30 - 24.05.2022 10:00","N/A","375"
"24.05.2022 10:00 - 24.05.2022 10:30","N/A","368"
"24.05.2022 10:30 - 24.05.2022 11:00","N/A","365"
"24.05.2022 11:00 - 24.05.2022 11:30","N/A","361"
"24.05.2022 11:30 - 24.05.2022 12:00","N/A","365"
"24.05.2022 12:00 - 24.05.2022 12:30","N/A","363"
"24.05.2022 12:30 - 24.05.2022 13:00","N/A","387"
"24.05.2022 13:00 - 24.05.2022 13:30","N/A","395"
"24.05.2022 13:30 - 24.05.2022 14:00","N/A","382"
"24.05.2022 14:00 - 24.05.2022 14:30","N/A","380"
"24.05.2022 14:30 - 24.05.2022 15:00","N/A","389"
"24.05.2022 15:00 - 24.05.2022 15:30","N/A","399"
"24.05.2022 15:30 - 24.05.2022 16:00","N/A","417"
"24.05.2022 16:00 - 24.05.2022 16:30","N/A","436"
"24.05.2022 16:30 - 24.05.2022 17:00","N/A","460"
"24.05.2022 17:00 - 24.05.2022 17:30","N/A","483"
"24.05.2022 17:30 - 24.05.2022 18:00","N/A","504"
"24.05.2022 18:00 - 24.05.2022 18:30","N/A","514"
"24.05.2022 18:30 - 24.05.2022 19:00","N/A","524"
"24.05.2022 19:00 - 24.05.2022 19:30","N/A","536"
"24.05.2022 19:30 - 24.05.2022 20:00","N/A","528"
"24.05.2022 20:00 - 24.05.2022 20:30","N/A","505"
"24.05.2022 20:30 - 24.05.2022 21:00","N/A","482"
"24.05.2022 21:00 - 24.05.2022 21:30","N/A","456"
"24.05.2022 21:30 - 24.05.2022 22:00","N/A","433"
"24.05.2022 22:00 - 24.05.2022 22:30","N/A","410"
"24.05.2022 22:30 - 24.05.2022 23:00","N/A","390"
"24.05.2022 23:00 - 24.05.2022 23:30","N/A","371"
"24.05.2022 23:30 - 25.05.2022 00:00","N/A","371"
"25.05.2022 00:00 - 25.05.2022 00:30","N/A","345"
"25.05.2022 00:30 - 25.05.2022 01:00","N/A","335"
"25.05.2022 01:00 - 25.05.2022 01:30","N/A","329"
"25.05.2022 01:30 - 25.05.2022 02:00","N/A","323"
"25.05.2022 02:00 - 25.05.2022 02:30","N/A","321"
"25.05.2022 02:30 - 25.05.2022 03:00","N/A","319"
"25.05.2022 03:00 - 25.05.2022 03:30","N/A","322"
"25.05.2022 03:30 - 25.05.2022 04:00","N/A","326"
"25.05.2022 04:00 - 25.05.2022 04:30","N/A","340"
"25.05.2022 04:30 - 25.05.2022 05:00","N/A","344"
"25.05.2022 05:00 - 25.05.2022 05:30","N/A","372"
"25.05.2022 05:30 - 25.05.2022 06:00","N/A","387"
"25.05.2022 06:00 - 25.05.2022 06:30","N/A","402"
"25.05.2022 06:30 - 25.05.2022 07:00","N/A","405"
"25.05.2022 07:00 - 25.05.2022 07:30","N/A","409"
"25.05.2022 07:30 - 25.05.2022 08:00","N/A","403"
"25.05.2022 08:00 - 25.05.2022 08:30","N/A","395"
"25.05.2022 08:30 - 25.05.2022 09:00","N/A","389"
"25.05.2022 09:00 - 25.05.2022 09:30","N/A","378"
"25.05.2022 09:30 - 25.05.2022 10:00","N/A","370"
"25.05.2022 10:00 - 25.05.2022 10:30","N/A","365"
"25.05.2022 10:30 - 25.05.2022 11:00","N/A","361"
"25.05.2022 11:00 - 25.05.2022 11:30","N/A","360"
"25.05.2022 11:30 - 25.05.2022 12:00","N/A","360"
"25.05.2022 12:00 - 25.05.2022 12:30","N/A","355"
"25.05.2022 12:30 - 25.05.2022 13:00","N/A","360"
"25.05.2022 13:00 - 25.05.2022 13:30","N/A","365"
"25.05.2022 13:30 - 25.05.2022 14:00","N/A","367"
"25.05.2022 14:00 - 25.05.2022 14:30","N/A","372"
"25.05.2022 14:30 - 25.05.2022 15:00","N/A","382"
"25.05.2022 15:00 - 25.05.2022 15:30","N/A","395"
"25.05.2022 15:30 - 25.05.2022 16:00","N/A","416"
"25.05.2022 16:00 - 25.05.2022 16:30","N/A","439"
"25.05.2022 16:30 - 25.05.2022 17:00","N/A","462"
"25.05.2022 17:00 - 25.05.2022 17:30","N/A","484"
"25.05.2022 17:30 - 25.05.2022 18:00","N/A","505"
"25.05.2022 18:00 - 25.05.2022 18:30","N/A","515"
"25.05.2022 18:30 - 25.05.2022 19:00","N/A","525"
"25.05.2022 19:00 - 25.05.2022 19:30","N/A","535"
"25.05.2022 19:30 - 25.05.2022 20:00","N/A","525"
"25.05.2022 20:00 - 25.05.2022 20:30","N/A","506"
"25.05.2022 20:30 - 25.05.2022 21:00","N/A","481"
"25.05.2022 21:00 - 25.05.2022 21:30","N/A","465"
"25.05.2022 21:30 - 25.05.2022 22:00","N/A","444"
"25.05.2022 22:00 - 25.05.2022 22:30","N/A","422"
"25.05.2022 22:30 - 25.05.2022 23:00","N/A","400"
"25.05.2022 23:00 - 25.05.2022 23:30","N/A","382"
"25.05.2022 23:30 - 26.05.2022 00:00","N/A","367"
"26.05.2022 00:00 - 26.05.2022 00:30","N/A","354"
"26.05.2022 00:30 - 26.05.2022 01:00","N/A","345"
"26.05.2022 01:00 - 26.05.2022 01:30","N/A","339"
"26.05.2022 01:30 - 26.05.2022 02:00","N/A","334"
"26.05.2022 02:00 - 26.05.2022 02:30","N/A","331"
"26.05.2022 02:30 - 26.05.2022 03:00","N/A","329"
"26.05.2022 03:00 - 26.05.2022 03:30","N/A","331"
"26.05.2022 03:30 - 26.05.2022 04:00","N/A","334"
"26.05.2022 04:00 - 26.05.2022 04:30","N/A","347"
"26.05.2022 04:30 - 26.05.2022 05:00","N/A","352"
"26.05.2022 05:00 - 26.05.2022 05:30","N/A","377"
"26.05.2022 05:30 - 26.05.2022 06:00","N/A","393"
"26.05.2022 06:00 - 26.05.2022 06:30","N/A","410"
"26.05.2022 06:30 - 26.05.2022 07:00","N/A","417"
"26.05.2022 07:00 - 26.05.2022 07:30","N/A","424"
"26.05.2022 07:30 - 26.05.2022 08:00","N/A","421"
"26.05.2022 08:00 - 26.05.2022 08:30","N/A","418"
"26.05.2022 08:30 - 26.05.2022 09:00","N/A","413"
"26.05.2022 09:00 - 26.05.2022 09:30","N/A","406"
"26.05.2022 09:30 - 26.05.2022 10:00","N/A","400"
"26.05.2022 10:00 - 26.05.2022 10:30","N/A","396"
"26.05.2022 10:30 - 26.05.2022 11:00","N/A","392"
"26.05.2022 11:00 - 26.05.2022 11:30","N/A","388"
"26.05.2022 11:30 - 26.05.2022 12:00","N/A","386"
"26.05.2022 12:00 - 26.05.2022 12:30","N/A","378"
"26.05.2022 12:30 - 26.05.2022 13:00","N/A","377"
"26.05.2022 13:00 - 26.05.2022 13:30","N/A","382"
"26.05.2022 13:30 - 26.05.2022 14:00","N/A","389"
"26.05.2022 14:00 - 26.05.2022 14:30","N/A","397"
"26.05.2022 14:30 - 26.05.2022 15:00","N/A","409"
"26.05.2022 15:00 - 26.05.2022 15:30","N/A","422"
"26.05.2022 15:30 - 26.05.2022 16:00","N/A","445"
"26.05.2022 16:00 - 26.05.2022 16:30","N/A","468"
"26.05.2022 16:30 - 26.05.2022 17:00","N/A","491"
"26.05.2022 17:00 - 26.05.2022 17:30","N/A","512"
"26.05.2022 17:30 - 26.05.2022 18:00","N/A","530"
"26.05.2022 18:00 - 26.05.2022 18:30","N/A","538"
"26.05.2022 18:30 - 26.05.2022 19:00","N/A","543"
"26.05.2022 19:00 - 26.05.2022 19:30","N/A","553"
