"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"04.01.2022 05:30 - 04.01.2022 06:00","N/A","459"
"04.01.2022 06:00 - 04.01.2022 06:30","N/A","489"
"04.01.2022 06:30 - 04.01.2022 07:00","N/A","510"
"04.01.2022 07:00 - 04.01.2022 07:30","N/A","523"
"04.01.2022 07:30 - 04.01.2022 08:00","N/A","525"
"04.01.2022 08:00 - 04.01.2022 08:30","N/A","521"
"04.01.2022 08:30 - 04.01.2022 09:00","N/A","502"
"04.01.2022 09:00 - 04.01.2022 09:30","N/A","484"
"04.01.2022 09:30 - 04.01.2022 10:00","N/A","463"
"04.01.2022 10:00 - 04.01.2022 10:30","N/A","451"
"04.01.2022 10:30 - 04.01.2022 11:00","N/A","436"
"04.01.2022 11:00 - 04.01.2022 11:30","N/A","442"
"04.01.2022 11:30 - 04.01.2022 12:00","N/A","454"
"04.01.2022 12:00 - 04.01.2022 12:30","N/A","464"
"04.01.2022 12:30 - 04.01.2022 13:00","N/A","455"
"04.01.2022 13:00 - 04.01.2022 13:30","N/A","460"
"04.01.2022 13:30 - 04.01.2022 14:00","N/A","478"
"04.01.2022 14:00 - 04.01.2022 14:30","N/A","507"
"04.01.2022 14:30 - 04.01.2022 15:00","N/A","537"
"04.01.2022 15:00 - 04.01.2022 15:30","N/A","554"
"04.01.2022 15:30 - 04.01.2022 16:00","N/A","589"
"04.01.2022 16:00 - 04.01.2022 16:30","N/A","638"
"04.01.2022 16:30 - 04.01.2022 17:00","N/A","676"
"04.01.2022 17:00 - 04.01.2022 17:30","N/A","698"
"04.01.2022 17:30 - 04.01.2022 18:00","N/A","705"
"04.01.2022 18:00 - 04.01.2022 18:30","N/A","702"
"04.01.2022 18:30 - 04.01.2022 19:00","N/A","701"
"04.01.2022 19:00 - 04.01.2022 19:30","N/A","688"
"04.01.2022 19:30 - 04.01.2022 20:00","N/A","674"
"04.01.2022 20:00 - 04.01.2022 20:30","N/A","652"
"04.01.2022 20:30 - 04.01.2022 21:00","N/A","632"
"04.01.2022 21:00 - 04.01.2022 21:30","N/A","603"
"04.01.2022 21:30 - 04.01.2022 22:00","N/A","570"
"04.01.2022 22:00 - 04.01.2022 22:30","N/A","539"
"04.01.2022 22:30 - 04.01.2022 23:00","N/A","509"
"04.01.2022 23:00 - 04.01.2022 23:30","N/A","474"
"04.01.2022 23:30 - 05.01.2022 00:00","N/A","437"
"05.01.2022 00:00 - 05.01.2022 00:30","N/A","408"
"05.01.2022 00:30 - 05.01.2022 01:00","N/A","388"
"05.01.2022 01:00 - 05.01.2022 01:30","N/A","371"
"05.01.2022 01:30 - 05.01.2022 02:00","N/A","362"
"05.01.2022 02:00 - 05.01.2022 02:30","N/A","355"
"05.01.2022 02:30 - 05.01.2022 03:00","N/A","350"
"05.01.2022 03:00 - 05.01.2022 03:30","N/A","351"
"05.01.2022 03:30 - 05.01.2022 04:00","N/A","357"
"05.01.2022 04:00 - 05.01.2022 04:30","N/A","363"
"05.01.2022 04:30 - 05.01.2022 05:00","N/A","381"
"05.01.2022 05:00 - 05.01.2022 05:30","N/A","408"
"05.01.2022 05:30 - 05.01.2022 06:00","N/A","443"
"05.01.2022 06:00 - 05.01.2022 06:30","N/A","468"
"05.01.2022 06:30 - 05.01.2022 07:00","N/A","492"
"05.01.2022 07:00 - 05.01.2022 07:30","N/A","512"
"05.01.2022 07:30 - 05.01.2022 08:00","N/A","513"
"05.01.2022 08:00 - 05.01.2022 08:30","N/A","509"
"05.01.2022 08:30 - 05.01.2022 09:00","N/A","479"
"05.01.2022 09:00 - 05.01.2022 09:30","N/A","486"
"05.01.2022 09:30 - 05.01.2022 10:00","N/A","504"
"05.01.2022 10:00 - 05.01.2022 10:30","N/A","518"
"05.01.2022 10:30 - 05.01.2022 11:00","N/A","520"
"05.01.2022 11:00 - 05.01.2022 11:30","N/A","518"
"05.01.2022 11:30 - 05.01.2022 12:00","N/A","537"
"05.01.2022 12:00 - 05.01.2022 12:30","N/A","556"
"05.01.2022 12:30 - 05.01.2022 13:00","N/A","557"
"05.01.2022 13:00 - 05.01.2022 13:30","N/A","570"
"05.01.2022 13:30 - 05.01.2022 14:00","N/A","583"
"05.01.2022 14:00 - 05.01.2022 14:30","N/A","596"
"05.01.2022 14:30 - 05.01.2022 15:00","N/A","610"
"05.01.2022 15:00 - 05.01.2022 15:30","N/A","626"
"05.01.2022 15:30 - 05.01.2022 16:00","N/A","647"
"05.01.2022 16:00 - 05.01.2022 16:30","N/A","688"
"05.01.2022 16:30 - 05.01.2022 17:00","N/A","709"
"05.01.2022 17:00 - 05.01.2022 17:30","N/A","718"
"05.01.2022 17:30 - 05.01.2022 18:00","N/A","715"
"05.01.2022 18:00 - 05.01.2022 18:30","N/A","706"
"05.01.2022 18:30 - 05.01.2022 19:00","N/A","696"
"05.01.2022 19:00 - 05.01.2022 19:30","N/A","678"
"05.01.2022 19:30 - 05.01.2022 20:00","N/A","662"
"05.01.2022 20:00 - 05.01.2022 20:30","N/A","638"
"05.01.2022 20:30 - 05.01.2022 21:00","N/A","614"
"05.01.2022 21:00 - 05.01.2022 21:30","N/A","585"
"05.01.2022 21:30 - 05.01.2022 22:00","N/A","553"
"05.01.2022 22:00 - 05.01.2022 22:30","N/A","524"
"05.01.2022 22:30 - 05.01.2022 23:00","N/A","495"
"05.01.2022 23:00 - 05.01.2022 23:30","N/A","458"
"05.01.2022 23:30 - 06.01.2022 00:00","N/A","427"
"06.01.2022 00:00 - 06.01.2022 00:30","N/A","400"
"06.01.2022 00:30 - 06.01.2022 01:00","N/A","377"
"06.01.2022 01:00 - 06.01.2022 01:30","N/A","364"
"06.01.2022 01:30 - 06.01.2022 02:00","N/A","355"
"06.01.2022 02:00 - 06.01.2022 02:30","N/A","348"
"06.01.2022 02:30 - 06.01.2022 03:00","N/A","345"
"06.01.2022 03:00 - 06.01.2022 03:30","N/A","345"
"06.01.2022 03:30 - 06.01.2022 04:00","N/A","347"
"06.01.2022 04:00 - 06.01.2022 04:30","N/A","353"
"06.01.2022 04:30 - 06.01.2022 05:00","N/A","360"
"06.01.2022 05:00 - 06.01.2022 05:30","N/A","374"
"06.01.2022 05:30 - 06.01.2022 06:00","N/A","383"
"06.01.2022 06:00 - 06.01.2022 06:30","N/A","389"
"06.01.2022 06:30 - 06.01.2022 07:00","N/A","397"
"06.01.2022 07:00 - 06.01.2022 07:30","N/A","397"
"06.01.2022 07:30 - 06.01.2022 08:00","N/A","386"
"06.01.2022 08:00 - 06.01.2022 08:30","N/A","381"
"06.01.2022 08:30 - 06.01.2022 09:00","N/A","376"
"06.01.2022 09:00 - 06.01.2022 09:30","N/A","389"
"06.01.2022 09:30 - 06.01.2022 10:00","N/A","389"
"06.01.2022 10:00 - 06.01.2022 10:30","N/A","402"
"06.01.2022 10:30 - 06.01.2022 11:00","N/A","412"
"06.01.2022 11:00 - 06.01.2022 11:30","N/A","415"
"06.01.2022 11:30 - 06.01.2022 12:00","N/A","426"
"06.01.2022 12:00 - 06.01.2022 12:30","N/A","423"
"06.01.2022 12:30 - 06.01.2022 13:00","N/A","422"
"06.01.2022 13:00 - 06.01.2022 13:30","N/A","424"
"06.01.2022 13:30 - 06.01.2022 14:00","N/A","423"
"06.01.2022 14:00 - 06.01.2022 14:30","N/A","439"
"06.01.2022 14:30 - 06.01.2022 15:00","N/A","460"
"06.01.2022 15:00 - 06.01.2022 15:30","N/A","485"
"06.01.2022 15:30 - 06.01.2022 16:00","N/A","516"
"06.01.2022 16:00 - 06.01.2022 16:30","N/A","565"
"06.01.2022 16:30 - 06.01.2022 17:00","N/A","592"
"06.01.2022 17:00 - 06.01.2022 17:30","N/A","607"
"06.01.2022 17:30 - 06.01.2022 18:00","N/A","612"
"06.01.2022 18:00 - 06.01.2022 18:30","N/A","612"
"06.01.2022 18:30 - 06.01.2022 19:00","N/A","607"
"06.01.2022 19:00 - 06.01.2022 19:30","N/A","599"
"06.01.2022 19:30 - 06.01.2022 20:00","N/A","592"
"06.01.2022 20:00 - 06.01.2022 20:30","N/A","577"
"06.01.2022 20:30 - 06.01.2022 21:00","N/A","562"
"06.01.2022 21:00 - 06.01.2022 21:30","N/A","537"
"06.01.2022 21:30 - 06.01.2022 22:00","N/A","509"
"06.01.2022 22:00 - 06.01.2022 22:30","N/A","482"
"06.01.2022 22:30 - 06.01.2022 23:00","N/A","457"
"06.01.2022 23:00 - 06.01.2022 23:30","N/A","421"
"06.01.2022 23:30 - 07.01.2022 00:00","N/A","393"
"07.01.2022 00:00 - 07.01.2022 00:30","N/A","372"
"07.01.2022 00:30 - 07.01.2022 01:00","N/A","356"
"07.01.2022 01:00 - 07.01.2022 01:30","N/A","345"
"07.01.2022 01:30 - 07.01.2022 02:00","N/A","337"
"07.01.2022 02:00 - 07.01.2022 02:30","N/A","333"
"07.01.2022 02:30 - 07.01.2022 03:00","N/A","331"
"07.01.2022 03:00 - 07.01.2022 03:30","N/A","334"
"07.01.2022 03:30 - 07.01.2022 04:00","N/A","339"
"07.01.2022 04:00 - 07.01.2022 04:30","N/A","352"
"07.01.2022 04:30 - 07.01.2022 05:00","N/A","372"
"07.01.2022 05:00 - 07.01.2022 05:30","N/A","407"
"07.01.2022 05:30 - 07.01.2022 06:00","N/A","435"
"07.01.2022 06:00 - 07.01.2022 06:30","N/A","462"
"07.01.2022 06:30 - 07.01.2022 07:00","N/A","484"
"07.01.2022 07:00 - 07.01.2022 07:30","N/A","501"
"07.01.2022 07:30 - 07.01.2022 08:00","N/A","494"
"07.01.2022 08:00 - 07.01.2022 08:30","N/A","467"
"07.01.2022 08:30 - 07.01.2022 09:00","N/A","434"
"07.01.2022 09:00 - 07.01.2022 09:30","N/A","402"
"07.01.2022 09:30 - 07.01.2022 10:00","N/A","377"
"07.01.2022 10:00 - 07.01.2022 10:30","N/A","372"
"07.01.2022 10:30 - 07.01.2022 11:00","N/A","368"
"07.01.2022 11:00 - 07.01.2022 11:30","N/A","364"
"07.01.2022 11:30 - 07.01.2022 12:00","N/A","372"
"07.01.2022 12:00 - 07.01.2022 12:30","N/A","379"
