"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"17.08.2022 23:30 - 17.08.2022 23:45","570","558","514","n/e","n/e","n/e","8371","8747","10227"
"17.08.2022 23:45 - 18.08.2022 00:00","565","560","509","n/e","n/e","n/e","8274","8641","10104"
"18.08.2022 00:00 - 18.08.2022 00:15","442","528","528","n/e","n/e","n/e","9099","9870","9870"
"18.08.2022 00:15 - 18.08.2022 00:30","424","518","518","n/e","n/e","n/e","9028","9745","9745"
"18.08.2022 00:30 - 18.08.2022 00:45","411","507","507","n/e","n/e","n/e","8958","9619","9619"
"18.08.2022 00:45 - 18.08.2022 01:00","402","495","495","n/e","n/e","n/e","8888","9495","9495"
"18.08.2022 01:00 - 18.08.2022 01:15","399","494","494","n/e","n/e","n/e","8826","9364","9364"
"18.08.2022 01:15 - 18.08.2022 01:30","388","486","486","n/e","n/e","n/e","8748","9268","9268"
"18.08.2022 01:30 - 18.08.2022 01:45","374","477","477","n/e","n/e","n/e","8663","9168","9168"
"18.08.2022 01:45 - 18.08.2022 02:00","356","466","466","n/e","n/e","n/e","8575","9065","9065"
"18.08.2022 02:00 - 18.08.2022 02:15","334","463","463","n/e","n/e","n/e","8480","9000","9000"
"18.08.2022 02:15 - 18.08.2022 02:30","321","445","445","n/e","n/e","n/e","8394","8896","8896"
"18.08.2022 02:30 - 18.08.2022 02:45","312","426","426","n/e","n/e","n/e","8314","8791","8791"
"18.08.2022 02:45 - 18.08.2022 03:00","307","406","406","n/e","n/e","n/e","8236","8688","8688"
"18.08.2022 03:00 - 18.08.2022 03:15","306","386","386","n/e","n/e","n/e","8169","8567","8567"
"18.08.2022 03:15 - 18.08.2022 03:30","301","370","370","n/e","n/e","n/e","8084","8452","8452"
"18.08.2022 03:30 - 18.08.2022 03:45","295","356","356","n/e","n/e","n/e","7992","8335","8335"
"18.08.2022 03:45 - 18.08.2022 04:00","287","342","342","n/e","n/e","n/e","7898","8219","8219"
"18.08.2022 04:00 - 18.08.2022 04:15","279","360","360","n/e","n/e","n/e","7783","8292","8292"
"18.08.2022 04:15 - 18.08.2022 04:30","268","342","342","n/e","n/e","n/e","7709","8200","8200"
"18.08.2022 04:30 - 18.08.2022 04:45","257","326","326","n/e","n/e","n/e","7655","8111","8111"
"18.08.2022 04:45 - 18.08.2022 05:00","245","308","308","n/e","n/e","n/e","7616","8024","8024"
"18.08.2022 05:00 - 18.08.2022 05:15","234","274","274","n/e","n/e","n/e","7586","8360","8360"
"18.08.2022 05:15 - 18.08.2022 05:30","222","248","248","n/e","n/e","n/e","7557","8262","8262"
"18.08.2022 05:30 - 18.08.2022 05:45","210","222","222","n/e","n/e","n/e","7524","8172","8172"
"18.08.2022 05:45 - 18.08.2022 06:00","198","196","196","n/e","n/e","n/e","7487","8086","8086"
"18.08.2022 06:00 - 18.08.2022 06:15","188","132","132","n/e","n/e","n/e","7450","8249","8249"
"18.08.2022 06:15 - 18.08.2022 06:30","175","118","118","n/e","n/e","n/e","7410","8142","8142"
"18.08.2022 06:30 - 18.08.2022 06:45","160","106","106","n/e","n/e","n/e","7369","8043","8043"
"18.08.2022 06:45 - 18.08.2022 07:00","144","96","96","n/e","n/e","n/e","7329","7951","7951"
"18.08.2022 07:00 - 18.08.2022 07:15","134","96","96","n/e","n/e","n/e","7289","8050","8050"
"18.08.2022 07:15 - 18.08.2022 07:30","187","139","139","n/e","n/e","n/e","7247","7964","7964"
"18.08.2022 07:30 - 18.08.2022 07:45","304","253","253","n/e","n/e","n/e","7205","7885","7885"
"18.08.2022 07:45 - 18.08.2022 08:00","492","429","429","n/e","n/e","n/e","7164","7811","7811"
"18.08.2022 08:00 - 18.08.2022 08:15","1329","1287","1287","n/e","n/e","n/e","7116","8022","8022"
"18.08.2022 08:15 - 18.08.2022 08:30","1980","2001","2001","n/e","n/e","n/e","7082","7947","7947"
"18.08.2022 08:30 - 18.08.2022 08:45","2775","2821","2821","n/e","n/e","n/e","7052","7879","7879"
"18.08.2022 08:45 - 18.08.2022 09:00","3666","3706","3706","n/e","n/e","n/e","7028","7817","7817"
"18.08.2022 09:00 - 18.08.2022 09:15","5310","5326","5316","n/e","n/e","n/e","7001","7755","8064"
"18.08.2022 09:15 - 18.08.2022 09:30","6350","6362","6338","n/e","n/e","n/e","6986","7701","8006"
"18.08.2022 09:30 - 18.08.2022 09:45","7300","7341","7314","n/e","n/e","n/e","6974","7648","7951"
"18.08.2022 09:45 - 18.08.2022 10:00","8145","8234","8210","n/e","n/e","n/e","6966","7597","7899"
"18.08.2022 10:00 - 18.08.2022 10:15","9342","9587","9616","n/e","n/e","n/e","6958","7546","7559"
"18.08.2022 10:15 - 18.08.2022 10:30","10003","10291","10244","n/e","n/e","n/e","6952","7496","7541"
"18.08.2022 10:30 - 18.08.2022 10:45","10537","10823","10734","n/e","n/e","n/e","6947","7447","7523"
"18.08.2022 10:45 - 18.08.2022 11:00","10963","11211","11116","n/e","n/e","n/e","6942","7399","7505"
"18.08.2022 11:00 - 18.08.2022 11:15","11449","11620","11758","n/e","n/e","n/e","6936","7345","6714"
"18.08.2022 11:15 - 18.08.2022 11:30","11730","11847","12039","n/e","n/e","n/e","6932","7303","6759"
"18.08.2022 11:30 - 18.08.2022 11:45","11968","12048","12271","n/e","n/e","n/e","6930","7265","6790"
"18.08.2022 11:45 - 18.08.2022 12:00","12170","12230","12462","n/e","n/e","n/e","6931","7234","6813"
"18.08.2022 12:00 - 18.08.2022 12:15","12394","12433","12768","n/e","n/e","n/e","6924","7187","6275"
"18.08.2022 12:15 - 18.08.2022 12:30","12540","12580","12913","n/e","n/e","n/e","6933","7178","6337"
"18.08.2022 12:30 - 18.08.2022 12:45","12665","12711","13037","n/e","n/e","n/e","6947","7181","6395"
"18.08.2022 12:45 - 18.08.2022 13:00","12770","12823","13141","n/e","n/e","n/e","6969","7197","6454"
"18.08.2022 13:00 - 18.08.2022 13:15","12891","12963","13250","n/e","n/e","n/e","6982","7210","6242"
"18.08.2022 13:15 - 18.08.2022 13:30","12964","13032","13317","n/e","n/e","n/e","7020","7241","6343"
"18.08.2022 13:30 - 18.08.2022 13:45","13023","13076","13365","n/e","n/e","n/e","7067","7278","6439"
"18.08.2022 13:45 - 18.08.2022 14:00","13065","13099","13391","n/e","n/e","n/e","7121","7319","6533"
"18.08.2022 14:00 - 18.08.2022 14:15","13130","13134","13563","n/e","n/e","n/e","7177","7355","6623"
"18.08.2022 14:15 - 18.08.2022 14:30","13135","13121","13522","n/e","n/e","n/e","7236","7407","6720"
"18.08.2022 14:30 - 18.08.2022 14:45","13118","13094","13460","n/e","n/e","n/e","7296","7463","6822"
"18.08.2022 14:45 - 18.08.2022 15:00","13081","13051","13382","n/e","n/e","n/e","7357","7524","6927"
"18.08.2022 15:00 - 18.08.2022 15:15","13055","13031","13161","n/e","n/e","n/e","7412","7589","6598"
"18.08.2022 15:15 - 18.08.2022 15:30","12988","12951","13071","n/e","n/e","n/e","7482","7651","6687"
"18.08.2022 15:30 - 18.08.2022 15:45","12910","12852","12971","n/e","n/e","n/e","7558","7712","6779"
"18.08.2022 15:45 - 18.08.2022 16:00","12818","12736","12858","n/e","n/e","n/e","7637","7770","6875"
"18.08.2022 16:00 - 18.08.2022 16:15","12748","12623","12764","n/e","n/e","n/e","7732","7831","7049"
"18.08.2022 16:15 - 18.08.2022 16:30","12625","12489","12622","n/e","n/e","n/e","7799","7886","7148"
"18.08.2022 16:30 - 18.08.2022 16:45","12484","12351","12469","n/e","n/e","n/e","7853","7939","7235"
"18.08.2022 16:45 - 18.08.2022 17:00","12326","12205","12302","n/e","n/e","n/e","7897","7990","7315"
"18.08.2022 17:00 - 18.08.2022 17:15","12202","12108","12213","n/e","n/e","n/e","7934","8045","6894"
"18.08.2022 17:15 - 18.08.2022 17:30","12010","11926","12048","n/e","n/e","n/e","7974","8091","7000"
"18.08.2022 17:30 - 18.08.2022 17:45","11797","11713","11848","n/e","n/e","n/e","8018","8134","7100"
"18.08.2022 17:45 - 18.08.2022 18:00","11534","11439","11579","n/e","n/e","n/e","8066","8172","7193"
"18.08.2022 18:00 - 18.08.2022 18:15","11486","11391","11694","n/e","n/e","n/e","8116","8220","7166"
"18.08.2022 18:15 - 18.08.2022 18:30","11009","10879","11141","n/e","n/e","n/e","8169","8245","7251"
"18.08.2022 18:30 - 18.08.2022 18:45","10384","10208","10456","n/e","n/e","n/e","8222","8262","7316"
"18.08.2022 18:45 - 18.08.2022 19:00","9602","9381","9633","n/e","n/e","n/e","8273","8271","7366"
"18.08.2022 19:00 - 18.08.2022 19:15","9200","8899","9383","n/e","n/e","n/e","8338","8286","7260"
"18.08.2022 19:15 - 18.08.2022 19:30","8028","7729","8072","n/e","n/e","n/e","8373","8280","7336"
"18.08.2022 19:30 - 18.08.2022 19:45","6705","6445","6686","n/e","n/e","n/e","8395","8267","7404"
"18.08.2022 19:45 - 18.08.2022 20:00","5328","5131","5309","n/e","n/e","n/e","8407","8250","7462"
"18.08.2022 20:00 - 18.08.2022 20:15","4156","4026","4060","n/e","n/e","n/e","8422","8226","7263"
"18.08.2022 20:15 - 18.08.2022 20:30","2976","2906","3034","n/e","n/e","n/e","8417","8209","7315"
"18.08.2022 20:30 - 18.08.2022 20:45","2075","2040","2197","n/e","n/e","n/e","8408","8196","7361"
"18.08.2022 20:45 - 18.08.2022 21:00","1435","1413","1542","n/e","n/e","n/e","8398","8188","7403"
"18.08.2022 21:00 - 18.08.2022 21:15","878","849","923","n/e","n/e","n/e","8377","8176","8002"
"18.08.2022 21:15 - 18.08.2022 21:30","709","684","737","n/e","n/e","n/e","8376","8178","8025"
"18.08.2022 21:30 - 18.08.2022 21:45","628","611","655","n/e","n/e","n/e","8382","8184","8035"
"18.08.2022 21:45 - 18.08.2022 22:00","585","578","616","n/e","n/e","n/e","8394","8192","8036"
"18.08.2022 22:00 - 18.08.2022 22:15","545","551","569","n/e","n/e","n/e","8418","8205","8178"
"18.08.2022 22:15 - 18.08.2022 22:30","533","544","561","n/e","n/e","n/e","8423","8213","8164"
"18.08.2022 22:30 - 18.08.2022 22:45","528","539","560","n/e","n/e","n/e","8419","8219","8142"
"18.08.2022 22:45 - 18.08.2022 23:00","526","534","562","n/e","n/e","n/e","8408","8222","8116"
"18.08.2022 23:00 - 18.08.2022 23:15","530","530","565","n/e","n/e","n/e","8392","8224","8241"
"18.08.2022 23:15 - 18.08.2022 23:30","526","526","565","n/e","n/e","n/e","8377","8225","8198"
"18.08.2022 23:30 - 18.08.2022 23:45","516","522","563","n/e","n/e","n/e","8365","8226","8153"
"18.08.2022 23:45 - 19.08.2022 00:00","503","518","561","n/e","n/e","n/e","8355","8227","8107"
"19.08.2022 00:00 - 19.08.2022 00:15","501","565","565","n/e","n/e","n/e","8182","8082","8082"
"19.08.2022 00:15 - 19.08.2022 00:30","483","565","565","n/e","n/e","n/e","8150","8053","8053"
"19.08.2022 00:30 - 19.08.2022 00:45","474","564","564","n/e","n/e","n/e","8125","8025","8025"
"19.08.2022 00:45 - 19.08.2022 01:00","472","562","562","n/e","n/e","n/e","8103","7993","7993"
"19.08.2022 01:00 - 19.08.2022 01:15","474","570","570","n/e","n/e","n/e","8099","8029","8029"
"19.08.2022 01:15 - 19.08.2022 01:30","476","565","565","n/e","n/e","n/e","8065","7973","7973"
"19.08.2022 01:30 - 19.08.2022 01:45","475","558","558","n/e","n/e","n/e","8018","7913","7913"
"19.08.2022 01:45 - 19.08.2022 02:00","471","549","549","n/e","n/e","n/e","7961","7852","7852"
"19.08.2022 02:00 - 19.08.2022 02:15","472","549","549","n/e","n/e","n/e","7895","8250","8250"
"19.08.2022 02:15 - 19.08.2022 02:30","460","541","541","n/e","n/e","n/e","7835","8188","8188"
"19.08.2022 02:30 - 19.08.2022 02:45","445","532","532","n/e","n/e","n/e","7780","8121","8121"
"19.08.2022 02:45 - 19.08.2022 03:00","428","522","522","n/e","n/e","n/e","7730","8051","8051"
"19.08.2022 03:00 - 19.08.2022 03:15","410","518","518","n/e","n/e","n/e","7683","8204","8204"
"19.08.2022 03:15 - 19.08.2022 03:30","390","508","508","n/e","n/e","n/e","7637","8125","8125"
"19.08.2022 03:30 - 19.08.2022 03:45","371","498","498","n/e","n/e","n/e","7591","8052","8052"
"19.08.2022 03:45 - 19.08.2022 04:00","353","485","485","n/e","n/e","n/e","7544","7983","7983"
"19.08.2022 04:00 - 19.08.2022 04:15","336","475","475","n/e","n/e","n/e","7501","8113","8113"
"19.08.2022 04:15 - 19.08.2022 04:30","320","460","460","n/e","n/e","n/e","7450","8042","8042"
"19.08.2022 04:30 - 19.08.2022 04:45","304","443","443","n/e","n/e","n/e","7396","7980","7980"
"19.08.2022 04:45 - 19.08.2022 05:00","288","421","421","n/e","n/e","n/e","7340","7920","7920"
"19.08.2022 05:00 - 19.08.2022 05:15","279","421","421","n/e","n/e","n/e","7284","8126","8126"
"19.08.2022 05:15 - 19.08.2022 05:30","259","379","379","n/e","n/e","n/e","7226","8027","8027"
"19.08.2022 05:30 - 19.08.2022 05:45","236","332","332","n/e","n/e","n/e","7169","7932","7932"
"19.08.2022 05:45 - 19.08.2022 06:00","212","285","285","n/e","n/e","n/e","7113","7841","7841"
"19.08.2022 06:00 - 19.08.2022 06:15","187","221","221","n/e","n/e","n/e","7058","7860","7860"
"19.08.2022 06:15 - 19.08.2022 06:30","165","201","201","n/e","n/e","n/e","7004","7761","7761"
"19.08.2022 06:30 - 19.08.2022 06:45","147","187","187","n/e","n/e","n/e","6951","7665","7665"
"19.08.2022 06:45 - 19.08.2022 07:00","132","177","177","n/e","n/e","n/e","6893","7564","7564"
"19.08.2022 07:00 - 19.08.2022 07:15","119","195","195","n/e","n/e","n/e","6862","7485","7485"
"19.08.2022 07:15 - 19.08.2022 07:30","178","225","225","n/e","n/e","n/e","6775","7365","7365"
"19.08.2022 07:30 - 19.08.2022 07:45","305","333","333","n/e","n/e","n/e","6667","7236","7236"
"19.08.2022 07:45 - 19.08.2022 08:00","506","512","512","n/e","n/e","n/e","6539","7096","7096"
"19.08.2022 08:00 - 19.08.2022 08:15","1471","1416","1416","n/e","n/e","n/e","6421","7071","7071"
"19.08.2022 08:15 - 19.08.2022 08:30","2181","2198","2198","n/e","n/e","n/e","6267","6913","6913"
"19.08.2022 08:30 - 19.08.2022 08:45","3031","3092","3092","n/e","n/e","n/e","6105","6752","6752"
"19.08.2022 08:45 - 19.08.2022 09:00","3974","4049","4049","n/e","n/e","n/e","5939","6584","6584"
"19.08.2022 09:00 - 19.08.2022 09:15","5690","5787","5773","n/e","n/e","n/e","5775","6435","6275"
"19.08.2022 09:15 - 19.08.2022 09:30","6775","6875","6824","n/e","n/e","n/e","5608","6251","6111"
"19.08.2022 09:30 - 19.08.2022 09:45","7769","7880","7810","n/e","n/e","n/e","5445","6056","5954"
"19.08.2022 09:45 - 19.08.2022 10:00","8651","8778","8707","n/e","n/e","n/e","5290","5861","5802"
"19.08.2022 10:00 - 19.08.2022 10:15","9927","10062","10202","n/e","n/e","n/e","5123","5644","5537"
"19.08.2022 10:15 - 19.08.2022 10:30","10604","10734","10806","n/e","n/e","n/e","4994","5478","5414"
"19.08.2022 10:30 - 19.08.2022 10:45","11132","11241","11270","n/e","n/e","n/e","4881","5338","5299"
"19.08.2022 10:45 - 19.08.2022 11:00","11532","11609","11621","n/e","n/e","n/e","4783","5219","5189"
"19.08.2022 11:00 - 19.08.2022 11:15","11982","12005","12465","n/e","n/e","n/e","4687","5113","5250"
"19.08.2022 11:15 - 19.08.2022 11:30","12220","12206","12702","n/e","n/e","n/e","4605","5008","5141"
"19.08.2022 11:30 - 19.08.2022 11:45","12415","12372","12895","n/e","n/e","n/e","4526","4900","5036"
"19.08.2022 11:45 - 19.08.2022 12:00","12578","12515","13050","n/e","n/e","n/e","4450","4790","4936"
"19.08.2022 12:00 - 19.08.2022 12:15","12745","12659","13158","n/e","n/e","n/e","4371","4670","4701"
"19.08.2022 12:15 - 19.08.2022 12:30","12874","12778","13276","n/e","n/e","n/e","4303","4573","4637"
"19.08.2022 12:30 - 19.08.2022 12:45","12995","12893","13381","n/e","n/e","n/e","4241","4490","4577"
"19.08.2022 12:45 - 19.08.2022 13:00","13107","13001","13472","n/e","n/e","n/e","4184","4417","4517"
"19.08.2022 13:00 - 19.08.2022 13:15","13249","13141","13638","n/e","n/e","n/e","4121","4344","4489"
"19.08.2022 13:15 - 19.08.2022 13:30","13325","13213","13680","n/e","n/e","n/e","4077","4287","4429"
"19.08.2022 13:30 - 19.08.2022 13:45","13376","13258","13699","n/e","n/e","n/e","4041","4234","4373"
"19.08.2022 13:45 - 19.08.2022 14:00","13405","13280","13698","n/e","n/e","n/e","4011","4187","4324"
"19.08.2022 14:00 - 19.08.2022 14:15","13444","13312","13587","n/e","n/e","n/e","3979","4130","4206"
"19.08.2022 14:15 - 19.08.2022 14:30","13437","13295","13579","n/e","n/e","n/e","3958","4100","4188"
"19.08.2022 14:30 - 19.08.2022 14:45","13416","13265","13552","n/e","n/e","n/e","3942","4079","4175"
"19.08.2022 14:45 - 19.08.2022 15:00","13382","13221","13505","n/e","n/e","n/e","3929","4066","4167"
"19.08.2022 15:00 - 19.08.2022 15:15","13363","13190","13278","n/e","n/e","n/e","3909","4053","4004"
"19.08.2022 15:15 - 19.08.2022 15:30","13303","13121","13206","n/e","n/e","n/e","3907","4049","4019"
"19.08.2022 15:30 - 19.08.2022 15:45","13229","13041","13120","n/e","n/e","n/e","3911","4048","4036"
"19.08.2022 15:45 - 19.08.2022 16:00","13139","12948","13019","n/e","n/e","n/e","3922","4050","4061"
"19.08.2022 16:00 - 19.08.2022 16:15","13075","12870","12869","n/e","n/e","n/e","3923","4041","4082"
"19.08.2022 16:15 - 19.08.2022 16:30","12944","12755","12752","n/e","n/e","n/e","3952","4057","4149"
"19.08.2022 16:30 - 19.08.2022 16:45","12790","12629","12627","n/e","n/e","n/e","3990","4082","4219"
"19.08.2022 16:45 - 19.08.2022 17:00","12616","12490","12489","n/e","n/e","n/e","4039","4116","4288"
"19.08.2022 17:00 - 19.08.2022 17:15","12464","12393","12308","n/e","n/e","n/e","4080","4149","4424"
"19.08.2022 17:15 - 19.08.2022 17:30","12270","12219","12178","n/e","n/e","n/e","4148","4194","4484"
"19.08.2022 17:30 - 19.08.2022 17:45","12067","12018","12015","n/e","n/e","n/e","4225","4242","4544"
"19.08.2022 17:45 - 19.08.2022 18:00","11819","11758","11782","n/e","n/e","n/e","4308","4294","4604"
"19.08.2022 18:00 - 19.08.2022 18:15","11813","11740","11792","n/e","n/e","n/e","4397","4337","4787"
"19.08.2022 18:15 - 19.08.2022 18:30","11331","11227","11261","n/e","n/e","n/e","4485","4406","4843"
"19.08.2022 18:30 - 19.08.2022 18:45","10676","10541","10588","n/e","n/e","n/e","4573","4485","4900"
"19.08.2022 18:45 - 19.08.2022 19:00","9846","9686","9767","n/e","n/e","n/e","4662","4573","4961"
"19.08.2022 19:00 - 19.08.2022 19:15","9416","9205","9569","n/e","n/e","n/e","4744","4665","5100"
"19.08.2022 19:15 - 19.08.2022 19:30","8168","7967","8211","n/e","n/e","n/e","4843","4763","5175"
"19.08.2022 19:30 - 19.08.2022 19:45","6767","6602","6764","n/e","n/e","n/e","4952","4861","5258"
"19.08.2022 19:45 - 19.08.2022 20:00","5320","5204","5324","n/e","n/e","n/e","5068","4963","5349"
"19.08.2022 20:00 - 19.08.2022 20:15","4073","4016","3876","n/e","n/e","n/e","5190","5062","5491"
"19.08.2022 20:15 - 19.08.2022 20:30","2865","2848","2877","n/e","n/e","n/e","5317","5172","5600"
"19.08.2022 20:30 - 19.08.2022 20:45","1967","1967","2081","n/e","n/e","n/e","5447","5290","5711"
"19.08.2022 20:45 - 19.08.2022 21:00","1351","1351","1472","n/e","n/e","n/e","5577","5410","5822"
"19.08.2022 21:00 - 19.08.2022 21:15","833","828","947","n/e","n/e","n/e","5722","5547","5928"
"19.08.2022 21:15 - 19.08.2022 21:30","691","666","766","n/e","n/e","n/e","5847","5664","6031"
"19.08.2022 21:30 - 19.08.2022 21:45","626","592","675","n/e","n/e","n/e","5964","5774","6129"
"19.08.2022 21:45 - 19.08.2022 22:00","593","557","624","n/e","n/e","n/e","6070","5875","6219"
"19.08.2022 22:00 - 19.08.2022 22:15","564","529","563","n/e","n/e","n/e","6206","5992","6021"
"19.08.2022 22:15 - 19.08.2022 22:30","557","520","543","n/e","n/e","n/e","6275","6070","6076"
"19.08.2022 22:30 - 19.08.2022 22:45","554","512","530","n/e","n/e","n/e","6320","6135","6120"
"19.08.2022 22:45 - 19.08.2022 23:00","553","505","523","n/e","n/e","n/e","6347","6188","6156"
"19.08.2022 23:00 - 19.08.2022 23:15","556","495","535","n/e","n/e","n/e","6366","6244","6138"
"19.08.2022 23:15 - 19.08.2022 23:30","552","491","530","n/e","n/e","n/e","6378","6283","6156"
"19.08.2022 23:30 - 19.08.2022 23:45","545","490","527","n/e","n/e","n/e","6393","6318","6165"
"19.08.2022 23:45 - 20.08.2022 00:00","535","490","525","n/e","n/e","n/e","6410","6350","6166"
"20.08.2022 00:00 - 20.08.2022 00:15","473","567","567","n/e","n/e","n/e","6578","6396","6396"
"20.08.2022 00:15 - 20.08.2022 00:30","447","561","561","n/e","n/e","n/e","6544","6379","6379"
"20.08.2022 00:30 - 20.08.2022 00:45","434","555","555","n/e","n/e","n/e","6486","6356","6356"
"20.08.2022 00:45 - 20.08.2022 01:00","429","547","547","n/e","n/e","n/e","6411","6320","6320"
"20.08.2022 01:00 - 20.08.2022 01:15","430","552","552","n/e","n/e","n/e","6316","6540","6540"
"20.08.2022 01:15 - 20.08.2022 01:30","432","548","548","n/e","n/e","n/e","6246","6501","6501"
"20.08.2022 01:30 - 20.08.2022 01:45","431","544","544","n/e","n/e","n/e","6192","6451","6451"
"20.08.2022 01:45 - 20.08.2022 02:00","429","538","538","n/e","n/e","n/e","6144","6381","6381"
"20.08.2022 02:00 - 20.08.2022 02:15","424","539","539","n/e","n/e","n/e","6137","6298","6298"
"20.08.2022 02:15 - 20.08.2022 02:30","422","533","533","n/e","n/e","n/e","6056","6220","6220"
"20.08.2022 02:30 - 20.08.2022 02:45","420","525","525","n/e","n/e","n/e","5943","6131","6131"
"20.08.2022 02:45 - 20.08.2022 03:00","419","515","515","n/e","n/e","n/e","5810","6026","6026"
"20.08.2022 03:00 - 20.08.2022 03:15","421","501","501","n/e","n/e","n/e","5639","5854","5854"
"20.08.2022 03:15 - 20.08.2022 03:30","417","494","494","n/e","n/e","n/e","5526","5731","5731"
"20.08.2022 03:30 - 20.08.2022 03:45","411","489","489","n/e","n/e","n/e","5445","5606","5606"
"20.08.2022 03:45 - 20.08.2022 04:00","403","484","484","n/e","n/e","n/e","5385","5478","5478"
"20.08.2022 04:00 - 20.08.2022 04:15","393","491","491","n/e","n/e","n/e","5361","5039","5039"
"20.08.2022 04:15 - 20.08.2022 04:30","385","480","480","n/e","n/e","n/e","5293","4924","4924"
"20.08.2022 04:30 - 20.08.2022 04:45","380","465","465","n/e","n/e","n/e","5201","4816","4816"
"20.08.2022 04:45 - 20.08.2022 05:00","373","447","447","n/e","n/e","n/e","5091","4713","4713"
"20.08.2022 05:00 - 20.08.2022 05:15","382","445","445","n/e","n/e","n/e","4970","4560","4560"
"20.08.2022 05:15 - 20.08.2022 05:30","361","407","407","n/e","n/e","n/e","4853","4442","4442"
"20.08.2022 05:30 - 20.08.2022 05:45","328","363","363","n/e","n/e","n/e","4747","4329","4329"
"20.08.2022 05:45 - 20.08.2022 06:00","287","319","319","n/e","n/e","n/e","4649","4229","4229"
"20.08.2022 06:00 - 20.08.2022 06:15","245","267","267","n/e","n/e","n/e","4560","4000","4000"
"20.08.2022 06:15 - 20.08.2022 06:30","205","241","241","n/e","n/e","n/e","4467","3924","3924"
"20.08.2022 06:30 - 20.08.2022 06:45","171","219","219","n/e","n/e","n/e","4372","3850","3850"
"20.08.2022 06:45 - 20.08.2022 07:00","143","199","199","n/e","n/e","n/e","4270","3778","3778"
"20.08.2022 07:00 - 20.08.2022 07:15","120","204","204","n/e","n/e","n/e","4190","3358","3358"
"20.08.2022 07:15 - 20.08.2022 07:30","168","225","225","n/e","n/e","n/e","4067","3299","3299"
"20.08.2022 07:30 - 20.08.2022 07:45","286","326","326","n/e","n/e","n/e","3930","3235","3235"
"20.08.2022 07:45 - 20.08.2022 08:00","479","496","496","n/e","n/e","n/e","3782","3161","3161"
"20.08.2022 08:00 - 20.08.2022 08:15","1451","1394","1394","n/e","n/e","n/e","3646","2943","2943"
"20.08.2022 08:15 - 20.08.2022 08:30","2160","2181","2181","n/e","n/e","n/e","3482","2833","2833"
"20.08.2022 08:30 - 20.08.2022 08:45","3008","3077","3077","n/e","n/e","n/e","3316","2716","2716"
"20.08.2022 08:45 - 20.08.2022 09:00","3944","4033","4033","n/e","n/e","n/e","3150","2596","2596"
"20.08.2022 09:00 - 20.08.2022 09:15","5661","5787","5797","n/e","n/e","n/e","2989","2476","2675"
"20.08.2022 09:15 - 20.08.2022 09:30","6726","6858","6831","n/e","n/e","n/e","2832","2359","2532"
"20.08.2022 09:30 - 20.08.2022 09:45","7689","7831","7785","n/e","n/e","n/e","2683","2248","2399"
"20.08.2022 09:45 - 20.08.2022 10:00","8535","8688","8641","n/e","n/e","n/e","2548","2148","2280"
"20.08.2022 10:00 - 20.08.2022 10:15","9737","9905","10065","n/e","n/e","n/e","2397","2031","2026"
"20.08.2022 10:15 - 20.08.2022 10:30","10393","10541","10680","n/e","n/e","n/e","2299","1965","1966"
"20.08.2022 10:30 - 20.08.2022 10:45","10922","11024","11161","n/e","n/e","n/e","2224","1918","1927"
"20.08.2022 10:45 - 20.08.2022 11:00","11337","11380","11529","n/e","n/e","n/e","2169","1890","1902"
"20.08.2022 11:00 - 20.08.2022 11:15","11833","11764","12198","n/e","n/e","n/e","2108","1858","1772"
"20.08.2022 11:15 - 20.08.2022 11:30","12069","11965","12428","n/e","n/e","n/e","2084","1856","1756"
"20.08.2022 11:30 - 20.08.2022 11:45","12238","12132","12608","n/e","n/e","n/e","2071","1861","1748"
"20.08.2022 11:45 - 20.08.2022 12:00","12361","12276","12746","n/e","n/e","n/e","2067","1872","1746"
"20.08.2022 12:00 - 20.08.2022 12:15","12458","12425","12688","n/e","n/e","n/e","2059","1889","1791"
"20.08.2022 12:15 - 20.08.2022 12:30","12555","12541","12780","n/e","n/e","n/e","2070","1897","1796"
"20.08.2022 12:30 - 20.08.2022 12:45","12667","12649","12863","n/e","n/e","n/e","2087","1900","1812"
"20.08.2022 12:45 - 20.08.2022 13:00","12784","12748","12934","n/e","n/e","n/e","2109","1902","1839"
"20.08.2022 13:00 - 20.08.2022 13:15","12947","12875","12863","n/e","n/e","n/e","2131","1888","1963"
"20.08.2022 13:15 - 20.08.2022 13:30","13032","12936","12899","n/e","n/e","n/e","2157","1903","2013"
"20.08.2022 13:30 - 20.08.2022 13:45","13081","12973","12917","n/e","n/e","n/e","2184","1930","2069"
"20.08.2022 13:45 - 20.08.2022 14:00","13100","12989","12919","n/e","n/e","n/e","2213","1971","2128"
"20.08.2022 14:00 - 20.08.2022 14:15","13123","13008","12975","n/e","n/e","n/e","2232","2006","2071"
