"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"04.01.2022 13:00 - 04.01.2022 14:00","5183","5159","4519","n/e","n/e","n/e","10898","10419","11555"
"04.01.2022 14:00 - 04.01.2022 15:00","4627","4532","3796","n/e","n/e","n/e","11689","11482","13039"
"04.01.2022 15:00 - 04.01.2022 16:00","3996","3873","3089","n/e","n/e","n/e","12408","11898","13577"
"04.01.2022 16:00 - 04.01.2022 17:00","2780","2726","2031","n/e","n/e","n/e","12971","12537","13894"
"04.01.2022 17:00 - 04.01.2022 18:00","1066","1095","679","n/e","n/e","n/e","13330","12871","13191"
"04.01.2022 18:00 - 04.01.2022 19:00","93","81","44","n/e","n/e","n/e","13706","13163","13076"
"04.01.2022 19:00 - 04.01.2022 20:00","16","23","0","n/e","n/e","n/e","14253","13649","13638"
"04.01.2022 20:00 - 04.01.2022 21:00","10","10","2","n/e","n/e","n/e","14682","14227","15145"
"04.01.2022 21:00 - 04.01.2022 22:00","6","5","6","n/e","n/e","n/e","14851","14677","15322"
"04.01.2022 22:00 - 04.01.2022 23:00","6","4","7","n/e","n/e","n/e","14873","14732","15440"
"04.01.2022 23:00 - 05.01.2022 00:00","6","5","7","n/e","n/e","n/e","14736","14703","15373"
"05.01.2022 00:00 - 05.01.2022 01:00","5","8","8","n/e","n/e","n/e","14453","15035","15035"
"05.01.2022 01:00 - 05.01.2022 02:00","0","10","10","n/e","n/e","n/e","14233","14189","14189"
"05.01.2022 02:00 - 05.01.2022 03:00","1","8","8","n/e","n/e","n/e","13945","13666","13666"
"05.01.2022 03:00 - 05.01.2022 04:00","0","7","7","n/e","n/e","n/e","13638","13191","13191"
"05.01.2022 04:00 - 05.01.2022 05:00","5","5","5","n/e","n/e","n/e","13468","12853","12853"
"05.01.2022 05:00 - 05.01.2022 06:00","5","6","6","n/e","n/e","n/e","13308","12531","12531"
"05.01.2022 06:00 - 05.01.2022 07:00","5","6","6","n/e","n/e","n/e","13151","12026","12026"
"05.01.2022 07:00 - 05.01.2022 08:00","0","7","7","n/e","n/e","n/e","12952","12385","12385"
"05.01.2022 08:00 - 05.01.2022 09:00","66","62","62","n/e","n/e","n/e","12748","12431","13321"
"05.01.2022 09:00 - 05.01.2022 10:00","1627","1471","1513","n/e","n/e","n/e","12539","12295","13407"
"05.01.2022 10:00 - 05.01.2022 11:00","4013","3815","4022","n/e","n/e","n/e","12519","12320","12915"
"05.01.2022 11:00 - 05.01.2022 12:00","5311","5307","5393","n/e","n/e","n/e","12744","12484","12603"
"05.01.2022 12:00 - 05.01.2022 13:00","5754","5702","5837","n/e","n/e","n/e","13016","12711","12414"
"05.01.2022 13:00 - 05.01.2022 14:00","5481","5476","5695","n/e","n/e","n/e","12717","12334","12942"
"05.01.2022 14:00 - 05.01.2022 15:00","4857","4763","4847","n/e","n/e","n/e","11891","11834","12656"
"05.01.2022 15:00 - 05.01.2022 16:00","3824","3635","4010","n/e","n/e","n/e","11294","11230","12391"
"05.01.2022 16:00 - 05.01.2022 17:00","2182","2050","2529","n/e","n/e","n/e","10341","10205","11008"
"05.01.2022 17:00 - 05.01.2022 18:00","593","528","764","n/e","n/e","n/e","9333","9148","9554"
"05.01.2022 18:00 - 05.01.2022 19:00","37","31","37","n/e","n/e","n/e","8420","8229","9091"
"05.01.2022 19:00 - 05.01.2022 20:00","9","12","10","n/e","n/e","n/e","8114","7749","8985"
"05.01.2022 20:00 - 05.01.2022 21:00","10","8","13","n/e","n/e","n/e","7890","7299","8847"
"05.01.2022 21:00 - 05.01.2022 22:00","8","7","7","n/e","n/e","n/e","7681","6895","8899"
"05.01.2022 22:00 - 05.01.2022 23:00","7","6","8","n/e","n/e","n/e","7705","7039","8852"
"05.01.2022 23:00 - 06.01.2022 00:00","9","5","7","n/e","n/e","n/e","7893","7339","9007"
"06.01.2022 00:00 - 06.01.2022 01:00","4","4","4","n/e","n/e","n/e","8224","8695","8695"
"06.01.2022 01:00 - 06.01.2022 02:00","4","0","0","n/e","n/e","n/e","8531","8613","8613"
"06.01.2022 02:00 - 06.01.2022 03:00","4","0","0","n/e","n/e","n/e","8721","9303","9303"
"06.01.2022 03:00 - 06.01.2022 04:00","5","0","0","n/e","n/e","n/e","8806","9093","9093"
"06.01.2022 04:00 - 06.01.2022 05:00","6","0","0","n/e","n/e","n/e","8841","8693","8693"
"06.01.2022 05:00 - 06.01.2022 06:00","6","0","0","n/e","n/e","n/e","8869","8445","8445"
"06.01.2022 06:00 - 06.01.2022 07:00","6","0","0","n/e","n/e","n/e","8654","8148","8148"
"06.01.2022 07:00 - 06.01.2022 08:00","6","3","3","n/e","n/e","n/e","8394","7874","7874"
"06.01.2022 08:00 - 06.01.2022 09:00","111","116","116","n/e","n/e","n/e","8311","7758","7792"
"06.01.2022 09:00 - 06.01.2022 10:00","1871","2039","2049","n/e","n/e","n/e","8223","7561","7541"
"06.01.2022 10:00 - 06.01.2022 11:00","4997","4990","4849","n/e","n/e","n/e","7822","7228","7052"
"06.01.2022 11:00 - 06.01.2022 12:00","6860","6879","7205","n/e","n/e","n/e","7432","6983","6628"
"06.01.2022 12:00 - 06.01.2022 13:00","7751","7800","8098","n/e","n/e","n/e","7298","6752","6812"
"06.01.2022 13:00 - 06.01.2022 14:00","8039","8001","8252","n/e","n/e","n/e","7117","6699","7298"
"06.01.2022 14:00 - 06.01.2022 15:00","7946","7854","7958","n/e","n/e","n/e","6975","6736","7624"
"06.01.2022 15:00 - 06.01.2022 16:00","7422","7351","7543","n/e","n/e","n/e","6893","6757","7890"
"06.01.2022 16:00 - 06.01.2022 17:00","5429","5652","5810","n/e","n/e","n/e","6823","7052","7919"
"06.01.2022 17:00 - 06.01.2022 18:00","2288","2367","2684","n/e","n/e","n/e","6883","7358","7458"
"06.01.2022 18:00 - 06.01.2022 19:00","238","262","245","n/e","n/e","n/e","7331","7739","7995"
"06.01.2022 19:00 - 06.01.2022 20:00","46","51","50","n/e","n/e","n/e","7792","7935","8398"
"06.01.2022 20:00 - 06.01.2022 21:00","40","57","51","n/e","n/e","n/e","8064","8061","8417"
"06.01.2022 21:00 - 06.01.2022 22:00","39","44","15","n/e","n/e","n/e","8295","8154","8309"
"06.01.2022 22:00 - 06.01.2022 23:00","28","32","12","n/e","n/e","n/e","8540","8276","8214"
"06.01.2022 23:00 - 07.01.2022 00:00","25","25","10","n/e","n/e","n/e","8774","8409","8307"
"07.01.2022 00:00 - 07.01.2022 01:00","11","10","10","n/e","n/e","n/e","8600","8404","8404"
"07.01.2022 01:00 - 07.01.2022 02:00","10","12","12","n/e","n/e","n/e","8585","8268","8268"
"07.01.2022 02:00 - 07.01.2022 03:00","10","11","11","n/e","n/e","n/e","8592","8244","8244"
"07.01.2022 03:00 - 07.01.2022 04:00","9","10","10","n/e","n/e","n/e","8755","8051","8051"
"07.01.2022 04:00 - 07.01.2022 05:00","9","11","11","n/e","n/e","n/e","8952","8143","8143"
"07.01.2022 05:00 - 07.01.2022 06:00","9","10","10","n/e","n/e","n/e","9176","8415","8415"
"07.01.2022 06:00 - 07.01.2022 07:00","9","11","11","n/e","n/e","n/e","9306","8793","8793"
"07.01.2022 07:00 - 07.01.2022 08:00","8","10","10","n/e","n/e","n/e","9493","8723","8723"
"07.01.2022 08:00 - 07.01.2022 09:00","112","99","99","n/e","n/e","n/e","9638","9025","8990"
"07.01.2022 09:00 - 07.01.2022 10:00","2215","2047","2012","n/e","n/e","n/e","9740","9241","9358"
"07.01.2022 10:00 - 07.01.2022 11:00","5257","5243","5211","n/e","n/e","n/e","9611","9197","8764"
"07.01.2022 11:00 - 07.01.2022 12:00","6976","7089","6997","n/e","n/e","n/e","9647","9275","9132"
"07.01.2022 12:00 - 07.01.2022 13:00","7918","7935","7538","n/e","n/e","n/e","10099","9644","9259"
"07.01.2022 13:00 - 07.01.2022 14:00","8199","8204","8318","n/e","n/e","n/e","10405","9753","8832"
"07.01.2022 14:00 - 07.01.2022 15:00","8277","8198","8443","n/e","n/e","n/e","10329","9633","9166"
"07.01.2022 15:00 - 07.01.2022 16:00","7832","7758","7990","n/e","n/e","n/e","10050","9401","9386"
"07.01.2022 16:00 - 07.01.2022 17:00","6198","6109","6464","n/e","n/e","n/e","9506","8870","9218"
"07.01.2022 17:00 - 07.01.2022 18:00","2779","2758","2942","n/e","n/e","n/e","8950","8287","8731"
"07.01.2022 18:00 - 07.01.2022 19:00","247","266","283","n/e","n/e","n/e","8626","7709","8758"
"07.01.2022 19:00 - 07.01.2022 20:00","52","69","71","n/e","n/e","n/e","8413","7590","8720"
"07.01.2022 20:00 - 07.01.2022 21:00","36","48","56","n/e","n/e","n/e","8304","7466","8278"
"07.01.2022 21:00 - 07.01.2022 22:00","29","37","31","n/e","n/e","n/e","8125","7396","7674"
"07.01.2022 22:00 - 07.01.2022 23:00","24","34","32","n/e","n/e","n/e","7949","7232","7421"
