"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Ireland (IE)","Generation - Solar  [MW] Intraday / Ireland (IE)","Generation - Solar  [MW] Current / Ireland (IE)","Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Offshore  [MW] Intraday / Ireland (IE)","Generation - Wind Offshore  [MW] Current / Ireland (IE)","Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Onshore  [MW] Intraday / Ireland (IE)","Generation - Wind Onshore  [MW] Current / Ireland (IE)"
"25.06.2022 05:00 - 25.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","771","n/e","n/e"
"25.06.2022 06:00 - 25.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","714","n/e","n/e"
"25.06.2022 07:00 - 25.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","669","n/e","n/e"
"25.06.2022 08:00 - 25.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","656","n/e","n/e"
"25.06.2022 09:00 - 25.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","711","n/e","n/e"
"25.06.2022 10:00 - 25.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","808","n/e","n/e"
"25.06.2022 11:00 - 25.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","941","n/e","n/e"
"25.06.2022 12:00 - 25.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","1086","n/e","n/e"
"25.06.2022 13:00 - 25.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","1231","n/e","n/e"
"25.06.2022 14:00 - 25.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","1369","n/e","n/e"
"25.06.2022 15:00 - 25.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","1494","n/e","n/e"
"25.06.2022 16:00 - 25.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","1588","n/e","n/e"
"25.06.2022 17:00 - 25.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","1642","n/e","n/e"
"25.06.2022 18:00 - 25.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","1662","n/e","n/e"
"25.06.2022 19:00 - 25.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1655","n/e","n/e"
"25.06.2022 20:00 - 25.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1629","n/e","n/e"
"25.06.2022 21:00 - 25.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1582","n/e","n/e"
"25.06.2022 22:00 - 25.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","1540","n/e","n/e"
"25.06.2022 23:00 - 26.06.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","1533","n/e","n/e"
"26.06.2022 00:00 - 26.06.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","1575","n/e","n/e"
"26.06.2022 01:00 - 26.06.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2094","n/e","n/e"
"26.06.2022 02:00 - 26.06.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","1995","n/e","n/e"
"26.06.2022 03:00 - 26.06.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","1972","n/e","n/e"
"26.06.2022 04:00 - 26.06.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","1926","n/e","n/e"
"26.06.2022 05:00 - 26.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","1962","n/e","n/e"
"26.06.2022 06:00 - 26.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","1967","n/e","n/e"
"26.06.2022 07:00 - 26.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","1994","n/e","n/e"
"26.06.2022 08:00 - 26.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2021","n/e","n/e"
"26.06.2022 09:00 - 26.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2018","n/e","n/e"
"26.06.2022 10:00 - 26.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","2034","n/e","n/e"
"26.06.2022 11:00 - 26.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","2079","n/e","n/e"
"26.06.2022 12:00 - 26.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","2126","n/e","n/e"
"26.06.2022 13:00 - 26.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2148","n/e","n/e"
"26.06.2022 14:00 - 26.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2166","n/e","n/e"
"26.06.2022 15:00 - 26.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2202","n/e","n/e"
"26.06.2022 16:00 - 26.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2225","n/e","n/e"
"26.06.2022 17:00 - 26.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2209","n/e","n/e"
"26.06.2022 18:00 - 26.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2124","n/e","n/e"
"26.06.2022 19:00 - 26.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2008","n/e","n/e"
"26.06.2022 20:00 - 26.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1892","n/e","n/e"
"26.06.2022 21:00 - 26.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1739","n/e","n/e"
"26.06.2022 22:00 - 26.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","1548","n/e","n/e"
"26.06.2022 23:00 - 27.06.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","1383","n/e","n/e"
"27.06.2022 00:00 - 27.06.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","1272","n/e","n/e"
"27.06.2022 01:00 - 27.06.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","1277","n/e","n/e"
"27.06.2022 02:00 - 27.06.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","1160","n/e","n/e"
"27.06.2022 03:00 - 27.06.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","1135","n/e","n/e"
"27.06.2022 04:00 - 27.06.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","1099","n/e","n/e"
"27.06.2022 05:00 - 27.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","1047","n/e","n/e"
"27.06.2022 06:00 - 27.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","998","n/e","n/e"
"27.06.2022 07:00 - 27.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","890","n/e","n/e"
"27.06.2022 08:00 - 27.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","770","n/e","n/e"
"27.06.2022 09:00 - 27.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","698","n/e","n/e"
"27.06.2022 10:00 - 27.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","735","n/e","n/e"
"27.06.2022 11:00 - 27.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","841","n/e","n/e"
"27.06.2022 12:00 - 27.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","988","n/e","n/e"
"27.06.2022 13:00 - 27.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","1105","n/e","n/e"
"27.06.2022 14:00 - 27.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","1242","n/e","n/e"
"27.06.2022 15:00 - 27.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","1474","n/e","n/e"
"27.06.2022 16:00 - 27.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","1781","n/e","n/e"
"27.06.2022 17:00 - 27.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2085","n/e","n/e"
"27.06.2022 18:00 - 27.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2338","n/e","n/e"
"27.06.2022 19:00 - 27.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2518","n/e","n/e"
"27.06.2022 20:00 - 27.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","2660","n/e","n/e"
"27.06.2022 21:00 - 27.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","2779","n/e","n/e"
"27.06.2022 22:00 - 27.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","2876","n/e","n/e"
"27.06.2022 23:00 - 28.06.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","2939","n/e","n/e"
"28.06.2022 00:00 - 28.06.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2935","n/e","n/e"
"28.06.2022 01:00 - 28.06.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2930","n/e","n/e"
"28.06.2022 02:00 - 28.06.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","2830","n/e","n/e"
"28.06.2022 03:00 - 28.06.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","2744","n/e","n/e"
"28.06.2022 04:00 - 28.06.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2646","n/e","n/e"
"28.06.2022 05:00 - 28.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2474","n/e","n/e"
"28.06.2022 06:00 - 28.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2335","n/e","n/e"
"28.06.2022 07:00 - 28.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2263","n/e","n/e"
"28.06.2022 08:00 - 28.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2272","n/e","n/e"
"28.06.2022 09:00 - 28.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2309","n/e","n/e"
"28.06.2022 10:00 - 28.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","2349","n/e","n/e"
"28.06.2022 11:00 - 28.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","2403","n/e","n/e"
"28.06.2022 12:00 - 28.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","2450","n/e","n/e"
"28.06.2022 13:00 - 28.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2475","n/e","n/e"
"28.06.2022 14:00 - 28.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2452","n/e","n/e"
"28.06.2022 15:00 - 28.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2380","n/e","n/e"
"28.06.2022 16:00 - 28.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2245","n/e","n/e"
"28.06.2022 17:00 - 28.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2036","n/e","n/e"
"28.06.2022 18:00 - 28.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","1835","n/e","n/e"
"28.06.2022 19:00 - 28.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1545","n/e","n/e"
"28.06.2022 20:00 - 28.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1261","n/e","n/e"
"28.06.2022 21:00 - 28.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1000","n/e","n/e"
"28.06.2022 22:00 - 28.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","789","n/e","n/e"
"28.06.2022 23:00 - 29.06.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","643","n/e","n/e"
"29.06.2022 00:00 - 29.06.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","557","n/e","n/e"
"29.06.2022 01:00 - 29.06.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","669","n/e","n/e"
"29.06.2022 02:00 - 29.06.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","560","n/e","n/e"
"29.06.2022 03:00 - 29.06.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","493","n/e","n/e"
"29.06.2022 04:00 - 29.06.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","484","n/e","n/e"
"29.06.2022 05:00 - 29.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","472","n/e","n/e"
"29.06.2022 06:00 - 29.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","479","n/e","n/e"
"29.06.2022 07:00 - 29.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","472","n/e","n/e"
"29.06.2022 08:00 - 29.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","427","n/e","n/e"
"29.06.2022 09:00 - 29.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","390","n/e","n/e"
"29.06.2022 10:00 - 29.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","373","n/e","n/e"
"29.06.2022 11:00 - 29.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","368","n/e","n/e"
"29.06.2022 12:00 - 29.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","389","n/e","n/e"
"29.06.2022 13:00 - 29.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","421","n/e","n/e"
"29.06.2022 14:00 - 29.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","449","n/e","n/e"
"29.06.2022 15:00 - 29.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","467","n/e","n/e"
"29.06.2022 16:00 - 29.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","476","n/e","n/e"
"29.06.2022 17:00 - 29.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","475","n/e","n/e"
"29.06.2022 18:00 - 29.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","461","n/e","n/e"
"29.06.2022 19:00 - 29.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","438","n/e","n/e"
"29.06.2022 20:00 - 29.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","398","n/e","n/e"
"29.06.2022 21:00 - 29.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","348","n/e","n/e"
"29.06.2022 22:00 - 29.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","309","n/e","n/e"
"29.06.2022 23:00 - 30.06.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","282","n/e","n/e"
"30.06.2022 00:00 - 30.06.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","269","n/e","n/e"
"30.06.2022 01:00 - 30.06.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","180","n/e","n/e"
"30.06.2022 02:00 - 30.06.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","167","n/e","n/e"
"30.06.2022 03:00 - 30.06.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","188","n/e","n/e"
"30.06.2022 04:00 - 30.06.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","199","n/e","n/e"
"30.06.2022 05:00 - 30.06.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","194","n/e","n/e"
"30.06.2022 06:00 - 30.06.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","185","n/e","n/e"
"30.06.2022 07:00 - 30.06.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","166","n/e","n/e"
"30.06.2022 08:00 - 30.06.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","145","n/e","n/e"
"30.06.2022 09:00 - 30.06.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","127","n/e","n/e"
"30.06.2022 10:00 - 30.06.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","130","n/e","n/e"
"30.06.2022 11:00 - 30.06.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","153","n/e","n/e"
"30.06.2022 12:00 - 30.06.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","204","n/e","n/e"
"30.06.2022 13:00 - 30.06.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","283","n/e","n/e"
"30.06.2022 14:00 - 30.06.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","373","n/e","n/e"
"30.06.2022 15:00 - 30.06.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","461","n/e","n/e"
"30.06.2022 16:00 - 30.06.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","542","n/e","n/e"
"30.06.2022 17:00 - 30.06.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","609","n/e","n/e"
"30.06.2022 18:00 - 30.06.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","630","n/e","n/e"
"30.06.2022 19:00 - 30.06.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","611","n/e","n/e"
"30.06.2022 20:00 - 30.06.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","566","n/e","n/e"
"30.06.2022 21:00 - 30.06.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","494","n/e","n/e"
"30.06.2022 22:00 - 30.06.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","417","n/e","n/e"
"30.06.2022 23:00 - 01.07.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","349","n/e","n/e"
"01.07.2022 00:00 - 01.07.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","318","n/e","n/e"
"01.07.2022 01:00 - 01.07.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 02:00 - 01.07.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 03:00 - 01.07.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 04:00 - 01.07.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 05:00 - 01.07.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 06:00 - 01.07.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 07:00 - 01.07.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 08:00 - 01.07.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 09:00 - 01.07.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 10:00 - 01.07.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 11:00 - 01.07.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 12:00 - 01.07.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 13:00 - 01.07.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 14:00 - 01.07.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 15:00 - 01.07.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 16:00 - 01.07.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 17:00 - 01.07.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 18:00 - 01.07.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 19:00 - 01.07.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 20:00 - 01.07.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 21:00 - 01.07.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 22:00 - 01.07.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"01.07.2022 23:00 - 02.07.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 00:00 - 02.07.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 01:00 - 02.07.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 02:00 - 02.07.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 03:00 - 02.07.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 04:00 - 02.07.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 05:00 - 02.07.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 06:00 - 02.07.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 07:00 - 02.07.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 08:00 - 02.07.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 09:00 - 02.07.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 10:00 - 02.07.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 11:00 - 02.07.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 12:00 - 02.07.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 13:00 - 02.07.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 14:00 - 02.07.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 15:00 - 02.07.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 16:00 - 02.07.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 17:00 - 02.07.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 18:00 - 02.07.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 19:00 - 02.07.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 20:00 - 02.07.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 21:00 - 02.07.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 22:00 - 02.07.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"02.07.2022 23:00 - 03.07.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 00:00 - 03.07.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 01:00 - 03.07.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 02:00 - 03.07.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 03:00 - 03.07.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 04:00 - 03.07.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 05:00 - 03.07.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 06:00 - 03.07.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 07:00 - 03.07.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 08:00 - 03.07.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 09:00 - 03.07.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 10:00 - 03.07.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 11:00 - 03.07.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 12:00 - 03.07.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 13:00 - 03.07.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 14:00 - 03.07.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 15:00 - 03.07.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 16:00 - 03.07.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 17:00 - 03.07.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 18:00 - 03.07.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 19:00 - 03.07.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 20:00 - 03.07.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 21:00 - 03.07.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 22:00 - 03.07.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"03.07.2022 23:00 - 04.07.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 00:00 - 04.07.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 01:00 - 04.07.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 02:00 - 04.07.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 03:00 - 04.07.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 04:00 - 04.07.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 05:00 - 04.07.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 06:00 - 04.07.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 07:00 - 04.07.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 08:00 - 04.07.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 09:00 - 04.07.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 10:00 - 04.07.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 11:00 - 04.07.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"04.07.2022 12:00 - 04.07.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
